ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,42.50,43.10,41.65,41.70,0.00,0.00,,,,,,0.0000,,46,,,,,,,,263,,,,,23,,,,,,284,,,
2012/06/29,42.40,42.90,41.80,42.10,0.40,0.9592,,,,,,212.0000,,56,,,,,,,,212,,,,,26,,,,,,297,,,
2012/07/02,42.80,42.80,42.20,42.30,0.20,0.4751,,,,,,311.0000,,63,,,,,,,,99,,,,,27,,,,,,114,,,
2012/07/03,42.30,42.45,42.20,42.25,-0.05,-0.1182,,,,,,265.0000,,68,,,,,,,,46,,,,,30,,,,,,122,,,
2012/07/04,43.00,43.50,42.55,42.55,0.30,0.7101,42.1800,,,,,753.0000,,72,61,,,,,,,488,221,,,,29,27,,,,,125,189,,
2012/07/05,43.15,43.15,42.55,42.55,0.00,0.00,42.3500,,,,,753.0000,,72,66,,,,,,,90,187,,,,36,30,,,,,131,158,,
2012/07/06,42.60,42.60,41.80,41.80,-0.75,-1.7626,42.2900,,,,,687.0000,,67,68,,52.9412,,,,,66,157,,,,15,27,,,,,105,120,,
2012/07/09,41.50,41.70,41.05,41.45,-0.35,-0.8373,42.1200,,,,,569.0000,,64,69,,42.4528,,,,,118,161,,,,21,26,,,,,108,119,,
2012/07/10,41.60,41.60,41.25,41.40,-0.05,-0.1206,41.9500,,,,,541.0000,,64,68,,41.0584,,14.2857,38.0952,46.0317,28,158,38.0952,46.0317,22.2222,14,23,,,,,101,115,,
2012/07/11,41.20,42.20,41.00,41.50,0.10,0.2415,41.7400,41.9600,,,,591.0000,468.2000,65,66,64,45.3654,,20.0000,32.0635,41.3757,50,70,32.0635,41.3757,13.4392,0,17,22,,,,88,107,148,
2012/07/12,41.50,41.60,41.00,41.50,0.00,0.00,41.5300,41.9400,,,,591.0000,527.3000,60,64,65,45.3654,,20.0000,28.0423,36.9312,94,71,28.0423,36.9312,10.2646,0,10,20,,,,83,98,128,
2012/07/13,43.00,44.40,42.90,43.00,1.50,3.6145,41.7700,42.0300,,,,2153.0000,721.4000,57,62,65,78.8102,,58.8235,38.3027,37.3884,1562,370,38.3027,37.3884,40.1314,31,13,20,,,,111,99,109,
2012/07/16,43.45,43.45,42.30,42.50,-0.50,-1.1628,41.9800,42.0500,,,,1928.0000,883.1000,51,59,64,63.3084,59.5238,44.1176,40.2410,38.3393,225,391,40.2410,38.3393,44.0446,19,13,20,,,,93,96,107,
2012/07/17,42.20,42.95,42.15,42.40,-0.10,-0.2353,42.1800,42.0650,,,,1688.0000,1025.4000,48,56,62,60.4545,58.0169,41.1765,40.5528,39.0771,240,434,40.5528,39.0771,43.5043,18,14,18,,,,89,93,104,
2012/07/18,42.20,43.30,42.10,42.20,-0.20,-0.4717,42.3200,42.0300,,,,1497.0000,1099.8000,42,52,59,54.5524,54.9800,35.2941,38.7999,38.9847,191,462,38.7999,38.9847,38.4303,0,14,15,,,,65,89,98,
2012/07/19,42.40,42.90,42.30,42.65,0.45,1.0664,42.5500,42.0400,,,,1675.0000,1192.0000,51,50,57,64.0332,60.1057,48.5294,42.0431,40.0042,178,479,42.0431,40.0042,46.1209,0,14,12,,,,74,87,92,
2012/07/20,42.65,42.70,42.30,42.30,-0.35,-0.8206,42.4100,42.0900,,,,1615.0000,1284.8000,53,49,56,53.5977,54.8108,38.2353,40.7738,40.2607,60,178,40.7738,40.2607,41.8000,0,7,10,,,,76,80,89,
2012/07/23,42.00,42.10,41.70,41.90,-0.40,-0.9456,42.2900,42.1350,,,,1537.0000,1381.6000,53,49,54,43.8067,49.3866,26.4706,36.0061,38.8425,78,149,36.0061,38.8425,30.3332,0,4,8,,,,76,77,86,
2012/07/24,41.70,42.40,41.70,42.40,0.50,1.1933,42.2900,42.2350,,,,1606.0000,1488.1000,49,50,53,55.8927,55.4047,41.1765,37.7295,38.4715,69,115,37.7295,38.4715,36.2456,0,0,7,,,,72,73,83,
2012/07/25,42.20,42.90,41.90,42.05,-0.35,-0.8255,42.2600,42.2900,42.1250,,,1482.0000,1577.2000,43,50,51,47.3400,50.7928,12.9630,29.4740,35.4724,124,101,29.4740,35.4724,17.4773,23,5,9,,,,89,78,83,
2012/07/26,42.50,42.50,42.05,42.10,0.05,0.1189,42.1500,42.3500,42.1450,,,1601.0000,1678.2000,51,50,50,48.6860,51.4230,22.8571,27.2684,32.7377,119,90,27.2684,32.7377,16.3298,21,9,11,,,,95,82,85,
2012/07/27,42.10,42.20,41.85,41.90,-0.20,-0.4751,42.0700,42.2400,42.1350,,,1401.0000,1603.0000,59,51,50,43.3653,48.7014,12.5000,22.3456,29.2737,200,118,22.3456,29.2737,8.4895,20,13,10,,,,102,87,84,
2012/07/30,41.90,42.25,41.80,41.90,0.00,0.00,42.0700,42.1800,42.1150,,,1401.0000,1550.3000,66,54,52,43.3653,48.7014,12.5000,19.0637,25.8704,189,140,19.0637,25.8704,5.4505,0,13,8,,,,89,90,83,
2012/07/31,43.60,43.60,42.40,42.80,0.90,2.148,42.1500,42.2200,42.1425,,,1997.0000,1581.2000,74,59,54,66.8449,60.0301,57.8947,32.0074,27.9160,596,245,32.0074,27.9160,40.1901,0,13,6,,,,97,95,84,
2012/08/01,42.90,43.20,42.50,42.50,-0.30,-0.7009,42.2400,42.2500,42.1400,,,1653.0000,1596.8000,75,65,57,57.3367,55.5678,42.1053,35.3734,30.4018,344,289,35.3734,30.4018,45.3164,0,8,6,,,,98,97,87,
