ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/11,14.15,14.30,14.10,14.15,0.00,0.00,,,,,,0.0000,,3778,,,,,,,,59,,,,,0,,,,,,3778,,,
2012/06/12,14.20,14.20,14.15,14.15,0.00,0.00,,,,,,0.0000,,3778,,,,,,,,20,,,,,0,,,,,,3778,,,
2012/06/13,14.30,14.35,14.15,14.20,0.05,0.3534,,,,,,88.0000,,3778,,,,,,,,88,,,,,0,,,,,,3778,,,
2012/06/14,14.20,14.40,14.20,14.30,0.10,0.7042,,,,,,117.0000,,3778,,,,,,,,29,,,,,0,,,,,,3778,,,
2012/06/15,14.30,14.80,14.30,14.50,0.20,1.3986,14.2600,,,,,160.0000,,3778,3778,,,,,,,43,47,,,,0,0,,,,,3778,3778,,
2012/06/18,14.80,15.50,14.80,15.50,1.00,6.8966,14.5300,,,,,484.0000,,3778,3778,,,,,,,324,100,,,,0,0,,,,,3778,3778,,
2012/06/19,16.55,16.55,16.50,16.55,1.05,6.7742,15.0100,,,,,643.0000,,3778,3778,,100.0000,,,,,159,128,,,,0,0,,,,,3778,3778,,
2012/06/20,17.70,17.70,17.65,17.70,1.15,6.9486,15.7100,,,,,839.0000,,3778,3778,,100.0000,,,,,196,150,,,,0,0,,,,,3778,3778,,
2012/06/21,18.90,18.90,17.10,17.10,-0.60,-3.3898,16.2700,,,,,370.0000,,3778,3778,,81.3953,,62.5000,54.1667,51.3889,469,238,54.1667,51.3889,59.7222,0,0,,,,,3778,3778,,
2012/06/22,16.25,17.15,16.20,17.00,-0.10,-0.5848,16.7700,15.5150,,,,-17.0000,268.4000,3778,3778,3778,78.4753,,60.0000,56.1111,52.9630,387,307,56.1111,52.9630,62.4074,0,0,0,,,,3778,3778,3778,
2012/06/25,17.00,17.30,16.90,16.95,-0.05,-0.2941,17.0600,15.7950,,,,-221.0000,246.3000,3778,3778,3778,76.8218,,58.9474,57.0565,54.3275,204,283,57.0565,54.3275,62.5146,0,0,0,,,,3778,3778,3778,
2012/06/26,16.25,16.60,16.20,16.50,-0.45,-2.6549,17.0500,16.0300,,,,-368.0000,209.5000,3773,3777,3778,62.5805,,48.9362,54.3497,54.3349,147,280,54.3497,54.3349,54.3794,0,0,0,,,,3773,3777,3778,
2012/06/27,16.50,16.55,16.00,16.00,-0.50,-3.0303,16.7100,16.2100,,,,-664.0000,134.3000,3773,3776,3777,50.1778,67.6190,36.9565,48.5520,52.4073,296,300,48.5520,52.4073,40.8415,0,0,0,,,,3773,3776,3777,
2012/06/28,16.00,16.00,15.40,15.45,-0.55,-3.4375,16.3800,16.3250,,,,-843.0000,38.3000,3773,3775,3777,39.7729,60.6838,15.8537,37.6526,47.4890,179,242,37.6526,47.4890,17.9796,0,0,0,,,,3773,3775,3777,
2012/06/29,15.20,15.55,15.20,15.50,0.05,0.3236,16.0800,16.4250,,,,-799.0000,-57.6000,3773,3774,3776,41.1051,61.0796,8.1081,27.8044,40.9275,44,174,27.8044,40.9275,1.5582,0,0,0,,,,3773,3774,3776,
