ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,86.10,86.40,85.10,85.70,0.00,0.00,,,,,,0.0000,,58373,,,,,,,,313,,,,,0,,,,,,58767,,,
2012/06/29,85.70,86.00,85.10,85.50,-0.20,-0.2334,,,,,,-239.0000,,58833,,,,,,,,239,,,,,158,,,,,,59420,,,
2012/07/02,86.50,87.40,86.00,86.70,1.20,1.4035,,,,,,257.0000,,58728,,,,,,,,496,,,,,146,,,,,,59399,,,
2012/07/03,86.30,86.90,86.30,86.70,0.00,0.00,,,,,,257.0000,,58668,,,,,,,,253,,,,,0,,,,,,59193,,,
2012/07/04,86.70,87.40,86.50,86.60,-0.10,-0.1153,86.2400,,,,,-130.0000,,58560,58633,,,,,,,387,337,,,,143,90,,,,,59203,59197,,
2012/07/05,86.70,86.80,86.10,86.10,-0.50,-0.5774,86.3200,,,,,-339.0000,,58478,58654,,,,,,,209,316,,,,0,90,,,,,58977,59239,,
2012/07/06,86.00,86.40,85.60,85.70,-0.40,-0.4646,86.3600,,,,,-545.0000,,58420,58572,,50.0000,,,,,206,310,,,,142,86,,,,,59061,59168,,
2012/07/09,85.70,86.30,85.00,85.00,-0.70,-0.8168,86.0200,,,,,-696.0000,,58354,58497,,37.0370,,,,,151,241,,,,145,86,,,,,58998,59087,,
2012/07/10,85.80,85.80,84.40,84.60,-0.40,-0.4706,85.6000,,,,,-988.0000,,58365,58436,,31.4465,,6.6667,35.5556,45.1852,292,249,35.5556,45.1852,16.2963,0,86,,,,,58864,59022,,
2012/07/11,85.80,88.80,85.80,87.40,2.80,3.3097,85.7600,86.0000,,,,1106.0000,-131.7000,57635,58251,58442,69.7726,,68.1818,46.4310,45.6004,2094,590,46.4310,45.6004,48.0920,167,91,90,,,,58341,58849,59023,
2012/07/12,88.00,88.00,85.30,85.30,-2.10,-2.4027,85.6000,85.9600,,,,399.0000,-91.8000,57420,58040,58347,46.4172,,20.4545,37.7722,42.9910,707,690,37.7722,42.9910,27.3345,0,91,90,,,,57959,58645,58942,
2012/07/13,85.10,86.80,85.10,86.30,1.00,1.1723,85.7200,86.0400,,,,1393.0000,71.4000,57070,57769,58171,55.0208,,43.1818,39.5754,41.8525,994,847,39.5754,41.8525,35.0212,236,110,98,,,,57865,58406,58787,
2012/07/16,87.20,87.40,86.40,86.40,0.10,0.1159,86.0000,86.0100,,,,2326.0000,278.3000,56992,57497,57997,55.8710,53.6842,45.4545,41.5351,41.7467,933,1004,41.5351,41.7467,41.1119,183,117,102,,,,57994,58205,58646,
2012/07/17,85.60,86.90,85.60,86.30,-0.10,-0.1157,86.3400,85.9700,,,,1913.0000,443.9000,57058,57236,57836,54.6317,53.0747,43.1818,42.0840,41.8591,413,1028,42.0840,41.8591,42.5338,168,151,119,,,,58112,58055,58538,
2012/07/18,86.30,88.20,86.30,88.00,1.70,1.9699,86.4600,86.1100,,,,3227.0000,779.6000,57202,57149,57700,68.7653,61.2362,81.8182,55.3287,46.3490,1314,872,55.3287,46.3490,73.2882,321,182,136,,,,58421,58071,58460,
2012/07/19,85.90,88.30,85.90,87.20,-0.80,-0.9091,86.8400,86.2200,,,,988.0000,912.3000,57322,57129,57584,58.4777,56.2168,63.6364,58.0979,50.2653,2239,1178,58.0979,50.2653,73.7632,304,243,167,,,,58998,58279,58462,
2012/07/20,87.40,88.00,86.80,86.90,-0.30,-0.344,86.9600,86.3400,,,,363.0000,1003.1000,57351,57186,57478,54.7892,54.3928,56.8182,57.6714,52.7340,625,1104,57.6714,52.7340,67.5461,280,251,181,,,,59109,58528,58467,
2012/07/23,86.50,89.30,86.30,88.70,1.80,2.0713,87.4200,86.7100,,,,1610.0000,1233.7000,57540,57295,57396,68.9090,62.3817,85.7143,67.0190,57.4957,1247,1167,67.0190,57.4957,86.0657,275,270,194,,,,59535,58836,58521,
2012/07/24,89.60,93.50,89.40,93.50,4.80,5.4115,88.8600,87.6000,,,,4434.0000,1775.9000,57615,57407,57321,84.4498,75.0802,100.0000,78.0127,64.3347,2824,1649,78.0127,64.3347,105.3687,411,318,235,,,,60433,59300,58677,
