ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2008/05/08,18.10,20.60,18.10,20.60,0.00,0.00,,,,,,0.0000,,0,,,,,,,,33,,,,,0,,,,,,0,,,
2008/05/09,19.80,20.30,19.70,20.15,-0.45,-2.1845,,,,,,-15.0000,,0,,,,,,,,15,,,,,0,,,,,,0,,,
2008/05/12,19.35,20.10,19.35,20.10,-0.05,-0.2481,,,,,,-19.0000,,0,,,,,,,,4,,,,,0,,,,,,0,,,
2008/05/13,20.00,20.00,20.00,20.00,-0.10,-0.4975,,,,,,-20.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2008/05/14,19.15,19.15,18.70,18.80,-1.20,-6.00,19.9300,,,,,-29.0000,,0,0,,,,,,,9,12,,,,0,0,,,,,0,0,,
2008/05/15,19.30,20.10,18.70,19.40,0.60,3.1915,19.6900,,,,,32.0000,,0,0,,,,,,,61,18,,,,0,0,,,,,0,0,,
2008/05/16,19.40,20.75,18.50,20.75,1.35,6.9588,19.8100,,,,,135.0000,,0,0,,52.0000,,,,,103,35,,,,0,0,,,,,0,0,,
2008/05/19,20.00,21.85,19.80,20.50,-0.25,-1.2048,19.8900,,,,,109.0000,,0,0,,48.1481,,,,,26,40,,,,0,0,,,,,0,0,,
2008/05/20,20.50,20.50,19.55,20.35,-0.15,-0.7317,19.9600,,,,,94.0000,,0,0,,45.7103,,60.0000,53.3333,51.1111,15,42,53.3333,51.1111,57.7778,0,0,,,,,0,0,,
2008/05/21,19.50,19.80,19.50,19.80,-0.55,-2.7027,20.1600,20.0450,,,,90.0000,37.7000,0,0,0,37.3821,,38.8060,48.4909,50.2377,4,41,48.4909,50.2377,44.9972,0,0,0,,,,0,0,0,
2008/05/22,18.60,20.80,18.60,20.70,0.90,4.5455,20.4200,20.0550,,,,178.0000,55.5000,0,0,0,53.8816,,65.6716,54.2178,51.5644,88,47,54.2178,51.5644,59.5246,0,0,0,,,,0,0,0,
2008/05/23,20.70,20.70,20.05,20.50,-0.20,-0.9662,20.3700,20.0900,,,,165.0000,73.5000,0,0,0,50.3442,,59.7015,56.0457,53.0582,13,29,56.0457,53.0582,62.0208,0,0,0,,,,0,0,0,
2008/05/26,20.30,20.45,20.00,20.00,-0.50,-2.439,20.2700,20.0800,,,,155.0000,90.9000,0,0,0,42.0601,45.2381,44.7761,52.2892,52.8018,10,26,52.2892,52.8018,51.2638,0,0,0,,,,0,0,0,
2008/05/27,20.85,21.40,18.60,20.40,0.40,2.00,20.2800,20.1200,,,,261.0000,119.0000,0,0,0,49.9641,48.7854,56.7164,53.7649,53.1229,106,44,53.7649,53.1229,55.0490,0,0,0,,,,0,0,0,
2008/05/28,19.15,20.70,19.15,19.60,-0.80,-3.9216,20.2400,20.2000,,,,230.0000,144.9000,0,0,0,37.6406,42.7443,32.8358,46.7886,51.0114,31,49,46.7886,51.0114,38.3428,0,0,0,,,,0,0,0,
2008/05/29,19.55,19.95,19.20,19.45,-0.15,-0.7653,19.9900,20.2050,,,,212.0000,162.9000,0,0,0,35.6615,41.6883,26.1538,39.9103,47.3111,18,35,39.9103,47.3111,25.1088,0,0,0,,,,0,0,0,
2008/05/30,19.45,19.45,18.20,18.75,-0.70,-3.599,19.6400,20.0050,,,,196.0000,169.0000,0,0,0,27.5498,37.0312,17.1875,32.3360,42.3194,16,36,32.3360,42.3194,12.3694,0,0,0,,,,0,0,0,
2008/06/02,18.80,20.05,18.80,19.00,0.25,1.3333,19.4400,19.8550,,,,223.0000,180.4000,0,0,0,33.9852,39.6576,25.0000,29.8907,38.1765,27,39,29.8907,38.1765,13.3191,0,0,0,,,,0,0,0,
2008/06/03,18.40,19.60,18.35,19.00,0.00,0.00,19.1600,19.7200,,,,223.0000,193.3000,1,0,0,33.9852,39.6576,25.0000,28.2605,34.8711,17,21,28.2605,34.8711,15.0391,0,0,0,,,,1,0,0,
2008/06/04,19.30,19.30,18.80,18.90,-0.10,-0.5263,19.0200,19.6300,19.8375,,,218.0000,206.1000,1,1,0,32.3311,38.8855,21.8750,26.1320,31.9581,5,16,26.1320,31.9581,14.4797,0,0,0,,,,1,1,0,
2008/06/05,19.00,20.20,19.00,20.10,1.20,6.3492,19.1500,19.5700,19.8125,,,244.0000,212.7000,1,1,0,60.2156,51.2978,59.3750,37.2130,33.7097,26,18,37.2130,33.7097,44.2195,0,0,0,,,,1,1,0,
2008/06/06,19.50,20.10,19.50,19.95,-0.15,-0.7463,19.3900,19.5150,19.8025,,,234.0000,219.6000,1,1,1,56.7103,49.9153,54.6875,43.0378,36.8191,10,17,43.0378,36.8191,55.4753,0,0,0,,,,1,1,1,
2008/06/09,19.70,19.70,19.70,19.70,-0.25,-1.2531,19.5300,19.4850,19.7825,,,233.0000,227.4000,1,1,1,50.7963,47.5838,60.0000,48.6919,40.7767,1,11,48.6919,40.7767,64.5223,0,0,0,,,,1,1,1,
2008/06/10,19.70,19.70,19.70,19.70,0.00,0.00,19.6700,19.4150,19.7675,,,233.0000,224.6000,1,1,1,50.7963,47.5838,75.0000,57.4613,46.3382,1,8,57.4613,46.3382,79.7073,0,0,0,,,,1,1,1,
2008/06/11,19.80,19.80,19.80,19.80,0.10,0.5076,19.8500,19.4350,19.8175,,,234.0000,225.0000,1,1,1,53.5844,48.7240,80.0000,64.9742,52.5502,1,7,64.9742,52.5502,89.8221,0,0,0,,,,1,1,1,
2008/06/12,18.70,18.70,18.50,18.70,-1.10,-5.5556,19.5700,19.3600,19.7825,,,227.0000,226.5000,1,1,1,30.6553,38.6386,18.9189,49.6224,51.5743,7,4,49.6224,51.5743,45.7187,0,0,0,,-0.2190,,1,1,1,
2008/06/13,20.00,20.00,18.80,18.80,0.10,0.5348,19.3400,19.3650,19.6850,,,238.0000,230.7000,1,1,1,33.7480,39.8729,24.3243,41.1897,48.1128,11,4,41.1897,48.1128,27.3437,0,0,0,,-0.2588,,1,1,1,
