ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,10.15,10.20,10.00,10.00,0.00,0.00,,,,,,0.0000,,5215,,,,,,,,50,,,,,0,,,,,,5215,,,
2012/06/20,10.00,10.20,10.00,10.10,0.10,1.00,,,,,,41.0000,,5215,,,,,,,,41,,,,,0,,,,,,5215,,,
2012/06/21,10.10,10.15,10.00,10.15,0.05,0.495,,,,,,97.0000,,5215,,,,,,,,56,,,,,0,,,,,,5215,,,
2012/06/22,10.05,10.30,10.05,10.15,0.00,0.00,,,,,,97.0000,,5215,,,,,,,,55,,,,,0,,,,,,5215,,,
2012/06/25,10.15,10.25,10.15,10.15,0.00,0.00,10.1100,,,,,97.0000,,5215,5215,,,,,,,21,44,,,,0,0,,,,,5215,5215,,
2012/06/26,10.05,10.30,10.05,10.20,0.05,0.4926,10.1500,,,,,184.0000,,5215,5215,,,,,,,87,52,,,,0,0,,,,,5215,5215,,
2012/06/27,10.10,10.25,10.10,10.25,0.05,0.4902,10.1800,,,,,188.0000,,5215,5215,,100.0000,,,,,4,44,,,,0,0,,,,,5215,5215,,
2012/06/28,10.20,10.30,10.10,10.10,-0.15,-1.4634,10.1700,,,,,137.0000,,5215,5215,,58.1395,,,,,51,43,,,,0,0,,,,,5215,5215,,
2012/06/29,10.10,10.20,10.10,10.20,0.10,0.9901,10.1800,,,,,177.0000,,5215,5215,,68.6411,,66.6667,55.5556,51.8519,40,40,55.5556,51.8519,62.9630,0,0,,,,,5215,5215,,
2012/07/02,10.25,10.35,10.00,10.05,-0.15,-1.4706,10.1600,10.1350,,,,99.0000,111.7000,5215,5215,5215,47.2876,,14.2857,41.7989,48.5009,78,52,41.7989,48.5009,28.3951,0,0,0,,,,5215,5215,5215,
2012/07/03,10.15,10.20,10.05,10.10,0.05,0.4975,10.1400,10.1450,,,,170.0000,128.7000,5215,5215,5215,53.1210,,28.5714,37.3898,44.7972,71,48,37.3898,44.7972,22.5750,0,0,0,,,,5215,5215,5215,
2012/07/04,10.10,10.20,10.10,10.15,0.05,0.495,10.1200,10.1500,,,,202.0000,144.8000,5215,5215,5215,58.6166,,42.8571,39.2122,42.9355,32,54,39.2122,42.9355,31.7656,0,0,0,,,,5215,5215,5215,
2012/07/05,10.15,10.15,10.05,10.05,-0.10,-0.9852,10.1100,10.1400,,,,85.0000,143.6000,5215,5215,5215,45.7459,52.9412,14.2857,30.9034,38.9248,117,67,30.9034,38.9248,14.8605,0,0,0,,,,5215,5215,5215,
2012/07/06,10.05,10.05,10.05,10.05,0.00,0.00,10.0800,10.1300,,,,85.0000,142.4000,5215,5215,5215,45.7459,52.9412,14.2857,25.3642,34.4046,5,60,25.3642,34.4046,7.2833,0,0,0,,,,5215,5215,5215,
2012/07/09,10.10,10.10,10.00,10.10,0.05,0.4975,10.0900,10.1250,,,,130.0000,145.7000,5215,5215,5215,53.1522,56.0200,28.5714,26.4333,31.7475,45,54,26.4333,31.7475,15.8048,0,0,0,,,,5215,5215,5215,
2012/07/10,10.10,10.15,10.05,10.15,0.05,0.495,10.1000,10.1200,,,,154.0000,142.7000,5215,5215,5215,59.7464,58.9498,42.8571,31.9079,31.8009,24,44,31.9079,31.8009,32.1217,0,0,0,,,,5215,5215,5215,
2012/07/11,10.15,10.30,10.15,10.30,0.15,1.4778,10.1300,10.1250,,,,186.0000,142.5000,5215,5215,5215,73.2840,66.2977,85.7143,49.8434,37.8151,32,44,49.8434,37.8151,73.8999,0,0,0,,,,5215,5215,5215,
2012/07/12,10.20,10.30,9.95,10.05,-0.25,-2.4272,10.1300,10.1200,,,,60.0000,134.8000,5215,5215,5215,43.8140,50.0191,25.0000,41.5622,39.0641,126,46,41.5622,39.0641,46.5584,0,0,0,,,,5215,5215,5215,
2012/07/13,10.15,10.15,10.15,10.15,0.10,0.995,10.1500,10.1150,,,,67.0000,123.8000,5215,5215,5215,52.9046,54.8560,57.1429,46.7558,41.6280,7,46,46.7558,41.6280,57.0113,0,0,0,,,,5215,5215,5215,
2012/07/16,10.05,10.05,10.00,10.00,-0.15,-1.4778,10.1300,10.1100,10.1225,,,52.0000,119.1000,5215,5215,5215,40.9722,47.3566,14.2857,35.9324,39.7295,15,40,35.9324,39.7295,28.3383,0,0,0,,,,5215,5215,5215,
2012/07/17,10.05,10.05,10.05,10.05,0.05,0.50,10.1100,10.1050,10.1250,,,65.0000,108.6000,5215,5215,5215,45.8569,49.8497,28.5714,33.4788,37.6459,13,38,33.4788,37.6459,25.1445,0,0,0,,,,5215,5215,5215,
2012/07/18,10.05,10.05,10.00,10.00,-0.05,-0.4975,10.0500,10.0900,10.1200,,,23.0000,90.7000,5215,5215,5215,41.7145,47.4008,14.2857,27.0811,34.1243,42,40,27.0811,34.1243,12.9946,0,0,0,,,,5215,5215,5215,
2012/07/19,10.10,10.15,10.00,10.15,0.15,1.50,10.0700,10.1000,10.1200,,,55.0000,87.7000,5215,5215,5215,56.0175,54.6862,57.1429,37.1017,35.1168,32,21,37.1017,35.1168,41.0715,0,0,0,,,,5215,5215,5215,
2012/07/20,10.05,10.15,10.05,10.15,0.00,0.00,10.0700,10.1100,10.1200,,,55.0000,84.7000,5215,5215,5215,56.0175,54.6862,57.1429,43.7821,38.0052,81,36,43.7821,38.0052,55.3358,0,0,0,,,,5215,5215,5215,
2012/07/23,10.05,10.05,10.00,10.05,-0.10,-0.9852,10.0800,10.1050,10.1150,,,-2.0000,71.5000,5215,5215,5215,45.3370,49.2717,28.5714,38.7119,38.2407,57,45,38.7119,38.2407,39.6541,0,0,0,,,,5215,5215,5215,
2012/07/24,10.00,10.00,9.96,10.00,-0.05,-0.4975,10.0700,10.0900,10.1050,,,-61.0000,50.0000,5215,5215,5215,40.6830,46.7471,14.2857,30.5698,35.6838,59,54,30.5698,35.6838,20.3419,0,0,0,,-0.0280,,5215,5215,5215,
2012/07/25,10.00,10.00,9.98,9.98,-0.02,-0.20,10.0660,10.0580,10.0915,,,-83.0000,23.1000,5215,5215,5215,38.7725,45.7248,10.5263,23.8886,31.7521,22,50,23.8886,31.7521,8.1618,0,0,0,,-0.0341,,5215,5215,5215,
2012/07/26,9.98,9.99,9.98,9.98,0.00,0.00,10.0320,10.0510,10.0855,,,-83.0000,8.8000,5215,5215,5215,38.7725,45.7248,10.5263,19.4345,27.6462,21,48,19.4345,27.6462,3.0112,0,0,0,,-0.0385,,5215,5215,5215,
2012/07/27,10.00,10.10,9.99,9.99,0.01,0.1002,10.0000,10.0350,10.0750,,,-46.0000,-2.5000,5215,5215,5215,40.7750,46.4220,15.7895,18.2195,24.5040,37,39,18.2195,24.5040,5.6506,0,0,0,,-0.0407,,5215,5215,5215,
2012/07/30,10.00,10.15,10.00,10.00,0.01,0.1001,9.9900,10.0350,10.0725,,,-6.0000,-8.3000,5215,5215,5215,43.0116,47.1625,21.0526,19.1639,22.7240,40,35,19.1639,22.7240,12.0438,0,0,0,,-0.0411,,5215,5215,5215,
2012/07/31,10.00,10.10,10.00,10.10,0.10,1.00,10.0100,10.0400,10.0725,,,12.0000,-13.6000,5215,5215,5215,60.7835,54.0849,73.6842,37.3373,27.5951,18,27,37.3373,27.5951,56.8218,0,0,0,,-0.0330,,5215,5215,5215,
2012/08/01,10.00,10.10,10.00,10.10,0.00,0.00,10.0340,10.0500,10.0700,,,12.0000,-14.7000,5215,5215,5215,60.7835,54.0849,73.6842,49.4530,34.8810,12,25,49.4530,34.8810,78.5968,0,0,0,,-0.0263,,5215,5215,5215,
2012/08/03,10.00,10.10,10.00,10.10,0.00,0.00,10.0580,10.0450,10.0725,,,12.0000,-19.0000,5215,5215,5215,60.7835,54.0849,73.6842,57.5300,42.4307,15,24,57.5300,42.4307,87.7287,0,0,0,,-0.0207,,5215,5215,5215,
2012/08/06,10.10,10.10,9.95,10.00,-0.10,-0.9901,10.0600,10.0300,10.0700,,,-50.0000,-29.5000,5215,5215,5215,39.4986,46.2228,25.0000,46.6867,43.8494,62,29,46.6867,43.8494,52.3613,0,0,0,0.0154,-0.0241,-0.0318,5215,5215,5215,
2012/08/07,10.05,10.10,10.00,10.00,0.00,0.00,10.0600,10.0250,10.0650,,,-50.0000,-34.3000,5215,5215,5215,39.4986,46.2228,25.0000,39.4578,42.3855,35,28,39.4578,42.3855,33.6024,0,0,0,0.0085,-0.0265,-0.0308,5215,5215,5215,
2012/08/08,10.00,10.00,10.00,10.00,0.00,0.00,10.0400,10.0250,10.0575,,,-50.0000,-33.2000,5215,5215,5215,39.4986,46.2228,25.0000,34.6385,39.8032,12,27,34.6385,39.8032,24.3092,0,0,0,0.0043,-0.0281,-0.0302,5215,5215,5215,
2012/08/09,10.00,10.15,10.00,10.15,0.15,1.50,10.0500,10.0420,10.0500,,,18.0000,-23.1000,5215,5215,5215,68.2849,58.0876,100.0000,56.4257,45.3440,68,38,56.4257,45.3440,78.5890,0,0,0,0.0212,-0.0170,-0.0276,5215,5215,5215,
2012/08/10,10.15,10.20,10.00,10.05,-0.10,-0.9852,10.0400,10.0490,10.0500,,,-20.0000,-16.8000,5215,5215,5215,49.4590,50.0558,40.0000,50.9505,47.2128,38,43,50.9505,47.2128,58.4257,0,0,0,0.0184,-0.0161,-0.0253,5215,5215,5215,
2012/08/13,10.05,10.10,10.05,10.10,0.05,0.4975,10.0600,10.0600,10.0475,,,4.0000,-11.8000,5215,5215,5215,56.6327,53.5584,60.0000,53.9670,49.4642,24,35,53.9670,49.4642,62.9725,0,0,0,0.0225,-0.0113,-0.0225,5215,5215,5215,
2012/08/14,10.10,10.10,10.00,10.00,-0.10,-0.9901,10.0600,10.0600,10.0475,,,-15.0000,-12.7000,5215,5215,5215,42.2426,46.4508,20.0000,42.6446,47.1910,19,32,42.6446,47.1910,33.5519,0,0,0,0.0115,-0.0153,-0.0210,5215,5215,5215,
2012/08/15,10.00,10.30,10.00,10.10,0.10,1.00,10.0800,10.0600,10.0500,,,129.0000,-1.0000,5215,5215,5215,55.7386,53.2228,42.8571,42.7155,45.6992,144,58,42.7155,45.6992,36.7481,0,0,0,0.0172,-0.0103,-0.0189,5215,5215,5215,
2012/08/16,10.10,10.25,10.10,10.25,0.15,1.4851,10.1000,10.0750,10.0625,,,186.0000,16.4000,5215,5215,5215,68.8431,61.2432,85.7143,57.0484,49.4823,57,56,57.0484,49.4823,72.1807,0,0,0,0.0393,0.0057,-0.0140,5215,5215,5215,
2012/08/17,10.25,10.25,10.15,10.20,-0.05,-0.4878,10.1300,10.0850,10.0650,,,112.0000,26.4000,5215,5215,5215,61.5534,57.6489,66.6667,60.2545,53.0730,74,63,60.2545,53.0730,74.6175,0,0,0,0.0450,0.0142,-0.0083,5215,5215,5215,
2012/08/20,10.20,10.20,10.15,10.15,-0.05,-0.4902,10.1400,10.1000,10.0650,,,64.0000,37.8000,5215,5215,5215,54.6139,54.1800,50.0000,56.8363,54.3274,48,68,56.8363,54.3274,61.8541,0,0,0,0.0400,0.0167,-0.0033,5215,5215,5215,
2012/08/21,10.20,10.25,10.15,10.15,0.00,0.00,10.1700,10.1150,10.0700,,,64.0000,49.2000,5215,5215,5215,54.6139,54.1800,50.0000,54.5576,54.4041,64,77,54.5576,54.4041,54.8644,0,0,0,0.0348,0.0184,0.0010,5215,5215,5215,
2012/08/22,10.20,10.25,10.15,10.25,0.10,0.9852,10.2000,10.1400,10.0825,,,97.0000,63.9000,5215,5215,5215,65.7384,59.9202,83.3333,64.1495,57.6526,33,55,64.1495,57.6526,77.1433,0,0,0,0.0425,0.0276,0.0063,5215,5215,5215,
2012/08/23,10.25,10.25,10.15,10.20,-0.05,-0.4878,10.1900,10.1450,10.0935,,,74.0000,69.5000,5215,5215,5215,57.3101,56.0876,66.6667,64.9885,60.0979,23,48,64.9885,60.0979,74.7698,0,0,0,0.0386,0.0304,0.0111,5215,5215,5215,
2012/08/24,10.20,10.20,10.15,10.15,-0.05,-0.4902,10.1800,10.1550,10.1020,,,48.0000,76.3000,5215,5215,5215,49.6685,52.4292,50.0000,59.9924,60.0627,26,38,59.9924,60.0627,59.8516,0,0,0,0.0275,0.0283,0.0146,5215,5215,5215,
