ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/12/27,24.30,24.35,24.20,24.30,0.00,0.00,,,,,,0.0000,,232,,,,,,,,79,,,,,0,,,,,,232,,,
2011/12/28,24.30,24.35,24.20,24.30,0.00,0.00,,,,,,0.0000,,232,,,,,,,,87,,,,,0,,,,,,232,,,
2011/12/29,24.30,24.35,24.25,24.35,0.05,0.2058,,,,,,78.0000,,232,,,,,,,,78,,,,,0,,,,,,232,,,
2011/12/30,24.40,24.40,24.35,24.40,0.05,0.2053,,,,,,165.0000,,232,,,,,,,,87,,,,,0,,,,,,232,,,
2012/01/02,24.35,24.40,24.30,24.30,-0.10,-0.4098,24.3300,,,,,83.0000,,232,233,,,,,,,82,82,,,,0,0,,,,,232,233,,
2012/01/03,24.40,24.45,24.35,24.45,0.15,0.6173,24.3600,,,,,159.0000,,232,233,,,,,,,76,82,,,,0,0,,,,,232,233,,
2012/01/04,24.60,24.85,24.55,24.85,0.40,1.636,24.4700,,,,,262.0000,,232,233,,86.6667,,,,,103,85,,,,0,0,,,,,232,233,,
2012/01/05,24.80,25.00,24.80,25.00,0.15,0.6036,24.6000,,,,,354.0000,,232,233,,89.2473,,,,,92,88,,,,0,0,,,,,232,233,,
2012/01/06,24.90,25.20,24.90,25.20,0.20,0.80,24.7600,,,,,433.0000,,232,233,,91.7898,,100.0000,66.6667,55.5556,79,86,66.6667,55.5556,88.8889,0,0,,,,,232,233,,
2012/01/09,25.00,25.15,25.00,25.15,-0.05,-0.1984,24.9300,24.6300,,,,400.0000,193.4000,232,233,233,85.7099,,95.0000,76.1111,62.4074,33,76,76.1111,62.4074,103.5185,0,0,0,,,,232,233,233,
2012/01/10,25.00,25.00,24.95,25.00,-0.15,-0.5964,25.0400,24.7000,,,,332.0000,226.6000,232,233,233,69.2072,,78.9474,77.0565,67.2904,68,75,77.0565,67.2904,96.5887,0,0,0,,,,232,233,233,
2012/01/11,25.00,25.00,25.00,25.00,0.00,0.00,25.0700,24.7700,,,,332.0000,259.8000,232,233,233,69.2072,,77.7778,77.2969,70.6259,20,58,77.2969,70.6259,90.6389,0,0,0,,,,232,233,233,
