ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,18.45,18.70,18.45,18.55,0.00,0.00,,,,,,0.0000,,12304,,,,,,,,294,,,,,0,,,,,,12304,,,
2012/06/29,18.55,18.80,18.55,18.70,0.15,0.8086,,,,,,282.0000,,12422,,,,,,,,282,,,,,0,,,,,,12422,,,
2012/07/02,18.85,18.90,18.75,18.85,0.15,0.8021,,,,,,633.0000,,12560,,,,,,,,351,,,,,0,,,,,,12560,,,
2012/07/03,18.85,19.20,18.85,19.20,0.35,1.8568,,,,,,1037.0000,,12662,,,,,,,,404,,,,,0,,,,,,12662,,,
2012/07/04,19.30,19.85,19.25,19.30,0.10,0.5208,18.9200,,,,,1804.0000,,12798,12550,,,,,,,767,419,,,,0,0,,,,,12798,12550,,
2012/07/05,19.40,19.40,18.90,18.90,-0.40,-2.0725,18.9900,,,,,1234.0000,,12948,12679,,,,,,,570,474,,,,0,0,,,,,12948,12679,,
2012/07/06,18.95,19.25,18.90,19.05,0.15,0.7937,19.0600,,,,,1502.0000,,13096,12814,,69.2308,,,,,268,472,,,,0,0,,,,,13096,12814,,
2012/07/09,19.00,19.15,19.00,19.10,0.05,0.2625,19.1100,,,,,1706.0000,,13207,12943,,70.5882,,,,,204,442,,,,0,0,,,,,13207,12943,,
2012/07/10,19.15,19.30,19.15,19.15,0.05,0.2618,19.1000,,,,,2030.0000,,13355,13082,,72.0670,,50.0000,50.0000,50.0000,324,426,50.0000,50.0000,50.0000,0,0,,,,,13355,13082,,
2012/07/11,19.15,19.40,19.15,19.30,0.15,0.7833,19.1000,19.0100,,,,2270.0000,1249.8000,13472,13217,12883,76.3482,,57.6923,52.5641,50.8547,240,321,52.5641,50.8547,55.9829,0,0,0,,,,13472,13217,12883,
2012/07/12,19.30,19.30,19.00,19.05,-0.25,-1.2953,19.1300,19.0600,,,,1874.0000,1437.2000,13604,13348,13013,58.4359,,27.2727,44.1336,48.6143,396,286,44.1336,48.6143,35.1722,0,0,0,,,,13604,13348,13013,
2012/07/13,19.05,19.15,18.95,19.00,-0.05,-0.2625,19.1200,19.0900,,,,1538.0000,1562.8000,13760,13481,13147,55.3210,,15.0000,34.4224,43.8837,336,300,34.4224,43.8837,15.4999,0,0,0,,,,13760,13481,13147,
2012/07/16,19.00,19.35,19.00,19.30,0.30,1.5789,19.1600,19.1350,,,,1904.0000,1689.9000,13909,13621,13282,67.7128,67.4419,42.1053,36.9834,41.5836,366,332,36.9834,41.5836,27.7829,0,0,0,,,,13909,13621,13282,
2012/07/17,19.40,19.60,19.40,19.45,0.15,0.7772,19.2200,19.1600,,,,2203.0000,1806.5000,14032,13756,13419,72.3192,69.7446,78.5714,50.8461,44.6711,299,327,50.8461,44.6711,63.1960,0,0,0,,,,14032,13756,13419,
2012/07/18,19.55,19.60,19.45,19.50,0.05,0.2571,19.2600,19.1800,,,,2504.0000,1876.5000,14184,13899,13558,73.8136,70.5032,85.7143,62.4688,50.6037,301,339,62.4688,50.6037,86.1991,0,0,0,,,,14184,13899,13558,
2012/07/19,19.50,19.55,19.35,19.50,0.00,0.00,19.3500,19.2400,,,,2504.0000,2003.5000,14362,14050,13699,73.8136,70.5032,84.6154,69.8510,57.0194,320,324,69.8510,57.0194,95.5141,0,0,0,,,,14362,14050,13699,
2012/07/20,19.55,19.55,19.40,19.50,0.00,0.00,19.4500,19.2850,,,,2504.0000,2103.7000,14505,14199,13840,73.8136,70.5032,84.6154,74.7725,62.9371,191,295,74.7725,62.9371,98.4432,0,0,0,,,,14505,14199,13840,
2012/07/23,19.40,19.60,19.20,19.20,-0.30,-1.5385,19.4300,19.2950,,,,2187.0000,2151.8000,14651,14348,13984,47.3244,58.9829,38.4615,62.6688,62.8477,317,285,62.6688,62.8477,62.3111,0,0,0,,,,14651,14348,13984,
2012/07/24,19.20,19.30,19.15,19.30,0.10,0.5208,19.4000,19.3100,,,,2401.0000,2188.9000,14807,14503,14130,53.9366,61.2834,53.8462,59.7279,61.8078,214,268,59.7279,61.8078,55.5683,0,0,0,,,,14807,14503,14130,
