ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/14,5.37,5.40,5.35,5.40,0.00,0.00,,,,,,0.0000,,1593,,,,,,,,315,,,,,0,,,,,,1593,,,
2012/06/15,5.40,5.43,5.38,5.40,0.00,0.00,,,,,,0.0000,,1635,,,,,,,,274,,,,,0,,,,,,1635,,,
2012/06/18,5.50,5.53,5.47,5.49,0.09,1.6667,,,,,,572.0000,,1717,,,,,,,,572,,,,,0,,,,,,1717,,,
2012/06/19,5.47,5.48,5.43,5.47,-0.02,-0.3643,,,,,,249.0000,,1735,,,,,,,,323,,,,,0,,,,,,1735,,,
2012/06/20,5.48,5.56,5.46,5.49,0.02,0.3656,5.4500,,,,,827.0000,,1778,1693,,,,,,,578,412,,,,0,0,,,,,1778,1693,,
2012/06/21,5.50,5.58,5.50,5.58,0.09,1.6393,5.4860,,,,,1699.0000,,1780,1730,,,,,,,872,523,,,,0,0,,,,,1780,1730,,
2012/06/22,5.51,5.59,5.51,5.56,-0.02,-0.3584,5.5180,,,,,1325.0000,,1780,1759,,83.3333,,,,,374,543,,,,0,0,,,,,1780,1759,,
2012/06/25,5.56,5.56,5.49,5.56,0.00,0.00,5.5320,,,,,1325.0000,,1809,1777,,83.3333,,,,,413,512,,,,0,0,,,,,1809,1777,,
2012/06/26,5.52,5.54,5.48,5.52,-0.04,-0.7194,5.5420,,,,,1063.0000,,1797,1790,,67.2043,,70.8333,56.9444,52.3148,262,499,56.9444,52.3148,66.2037,0,0,,,,,1797,1790,,
2012/06/27,5.51,5.55,5.49,5.51,-0.01,-0.1812,5.5460,5.4980,,,,726.0000,778.6000,1845,1803,1748,63.5163,,61.9048,58.5979,54.4092,337,451,58.5979,54.4092,66.9753,0,0,0,,,,1845,1803,1748,
2012/06/28,5.51,5.54,5.46,5.46,-0.05,-0.9074,5.5220,5.5040,,,,197.0000,798.3000,1864,1820,1775,47.7829,,18.7500,45.3153,51.3779,529,383,45.3153,51.3779,33.1900,0,0,0,,,,1864,1820,1775,
2012/06/29,5.47,5.52,5.45,5.49,0.03,0.5495,5.5080,5.5130,,,,801.0000,878.4000,1892,1842,1801,55.6862,,37.5000,42.7102,48.4886,604,429,42.7102,48.4886,31.1532,0,0,0,,,,1892,1842,1801,
2012/07/02,5.55,5.56,5.50,5.55,0.06,1.0929,5.5060,5.5190,,,,1439.0000,965.1000,1934,1867,1822,67.4940,67.4419,71.4286,52.2830,49.7534,638,474,52.2830,49.7534,57.3421,0,0,0,,,,1934,1867,1822,
2012/07/03,5.55,5.58,5.52,5.56,0.01,0.1802,5.5140,5.5280,,,,2102.0000,1150.4000,1937,1895,1843,69.1387,68.2474,78.5714,61.0458,53.5175,663,554,61.0458,53.5175,76.1023,0,0,0,,,,1937,1895,1843,
2012/07/04,5.56,5.62,5.54,5.62,0.06,1.0791,5.5360,5.5410,,,,2783.0000,1346.0000,1949,1916,1860,77.3792,72.6730,100.0000,74.0305,60.3552,681,623,74.0305,60.3552,101.3812,0,0,0,,,,1949,1916,1860,
2012/07/05,5.62,5.74,5.61,5.72,0.10,1.7794,5.5880,5.5550,,,,3605.0000,1536.6000,1993,1942,1881,85.2540,78.1979,93.1034,80.3882,67.0329,822,681,80.3882,67.0329,107.0988,0,0,0,,,,1993,1942,1881,
2012/07/06,5.75,5.89,5.75,5.80,0.08,1.3986,5.6500,5.5790,,,,4751.0000,1879.2000,2007,1965,1904,88.9477,81.4679,79.5455,80.1073,71.3910,1146,790,80.1073,71.3910,97.5398,0,0,0,,,,2007,1965,1904,
2012/07/09,5.85,5.96,5.83,5.95,0.15,2.5862,5.7300,5.6180,,,,5903.0000,2337.0000,2005,1979,1923,92.9315,85.8185,98.0392,86.0846,76.2889,1152,892,86.0846,76.2889,105.6760,0,0,0,,,,2005,1979,1923,
2012/07/10,6.00,6.00,5.71,5.71,-0.24,-4.0336,5.7600,5.6370,,,,4612.0000,2691.9000,1949,1982,1938,54.9221,60.8743,47.2727,73.1473,75.2417,1291,1018,73.1473,75.2417,68.9586,0,0,0,,,,1949,1982,1938,
2012/07/11,5.75,5.83,5.73,5.78,0.07,1.2259,5.7920,5.6640,5.5810,,,5229.0000,3142.2000,1963,1984,1950,60.5670,64.1864,60.0000,68.7649,73.0827,617,1005,68.7649,73.0827,60.1291,0,0,0,,,,1963,1984,1950,
2012/07/12,5.76,5.81,5.65,5.73,-0.05,-0.8651,5.7940,5.6910,5.5975,,,4696.0000,3592.1000,1931,1972,1957,54.6961,60.2144,46.0000,61.1766,69.1140,533,947,61.1766,69.1140,45.3017,0,0,0,,,,1931,1972,1957,
2012/07/13,5.72,5.72,5.55,5.60,-0.13,-2.2688,5.7540,5.7020,5.6075,,,4241.0000,3936.1000,1947,1960,1962,41.9955,51.2236,16.6667,46.3399,61.5227,455,809,46.3399,61.5227,15.9745,0,0,0,,,,1947,1960,1962,
2012/07/16,5.75,5.75,5.51,5.57,-0.03,-0.5357,5.6780,5.7040,5.6115,,,3818.0000,4174.0000,1979,1955,1967,39.4583,49.3679,12.2449,34.9749,52.6734,423,663,34.9749,52.6734,-0.4220,0,0,0,,,,1979,1955,1967,
2012/07/17,5.57,5.60,5.51,5.53,-0.04,-0.7181,5.6420,5.7010,5.6145,,,3301.0000,4293.9000,2001,1965,1973,35.9802,46.8967,4.0816,24.6772,43.3413,517,509,24.6772,43.3413,-12.6512,0,0,0,,,,2001,1965,1973,
2012/07/18,5.53,5.59,5.50,5.50,-0.03,-0.5425,5.5860,5.6890,5.6150,,,3096.0000,4325.2000,2000,1973,1978,33.3356,45.0516,0.0000,16.4514,34.3780,205,426,16.4514,34.3780,-19.4017,0,0,0,,,,2000,1973,1978,
2012/07/19,5.52,5.59,5.52,5.56,0.06,1.0909,5.5520,5.6730,5.6140,,,3618.0000,4326.5000,2078,2002,1987,43.3320,49.3956,12.0000,14.9676,27.9079,522,424,14.9676,27.9079,-10.9129,0,0,0,,0.0242,,2078,2002,1987,
2012/07/20,5.59,5.60,5.57,5.60,0.04,0.7194,5.5520,5.6530,5.6160,,,4018.0000,4253.2000,2142,2041,2000,49.4018,52.1469,20.0000,16.6451,24.1536,400,413,16.6451,24.1536,1.6280,0,0,0,,0.0218,,2142,2041,2000,
2012/07/23,5.60,5.60,5.51,5.58,-0.02,-0.3571,5.5540,5.6160,5.6170,,,3682.0000,4031.1000,2123,2070,2012,46.4186,50.6450,24.2424,19.1775,22.4949,336,396,19.1775,22.4949,12.5427,0,0,0,,0.0181,,2123,2070,2012,
2012/07/24,5.55,5.57,5.42,5.50,-0.08,-1.4337,5.5480,5.5950,5.6160,,,3155.0000,3885.4000,2080,2086,2025,35.9875,44.9905,20.5128,19.6226,21.5375,527,398,19.6226,21.5375,15.7929,0,0,0,,0.0086,,2080,2086,2025,
2012/07/25,5.47,5.54,5.45,5.51,0.01,0.1818,5.5500,5.5680,5.6160,,,3425.0000,3705.0000,2117,2109,2041,38.0748,45.8155,27.2727,22.1727,21.7492,270,411,22.1727,21.7492,23.0195,0,0,0,,0.0019,,2117,2109,2041,
2012/07/26,5.51,5.60,5.49,5.52,0.01,0.1815,5.5420,5.5470,5.6190,,,3792.0000,3614.6000,2124,2118,2060,40.4067,46.6877,30.3030,24.8828,22.7937,367,380,24.8828,22.7937,29.0609,0,0,0,,-0.0026,,2124,2118,2060,
2012/07/27,5.58,5.59,5.53,5.56,0.04,0.7246,5.5340,5.5430,5.6225,,,4229.0000,3613.4000,2138,2117,2079,49.5294,50.1865,77.7778,42.5144,29.3673,437,387,42.5144,29.3673,68.8087,0,0,0,,-0.0029,,2138,2117,2079,
2012/07/30,5.57,5.60,5.53,5.56,0.00,0.00,5.5300,5.5420,5.6230,,,4229.0000,3654.5000,2188,2130,2100,49.5294,50.1865,77.7778,54.2689,37.6678,420,404,54.2689,37.6678,87.4710,0,0,0,,-0.0031,,2188,2130,2100,
2012/07/31,5.57,5.61,5.53,5.57,0.01,0.1799,5.5440,5.5460,5.6235,,,4810.0000,3805.4000,2238,2162,2124,52.1656,51.1405,78.9474,62.4951,45.9436,581,415,62.4951,45.9436,95.5980,0,0,0,-0.0190,-0.0025,0.0070,2238,2162,2124,
2012/08/01,5.58,5.58,5.52,5.57,0.00,0.00,5.5560,5.5530,5.6210,,,4810.0000,3976.8000,2287,2196,2152,52.1656,51.1405,78.9474,67.9792,53.2888,419,444,67.9792,53.2888,97.3599,0,0,0,-0.0143,-0.0019,0.0053,2287,2196,2152,
