ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2009/10/21,24.00,24.15,23.70,23.95,0.00,0.00,,,,,,0.0000,,10270,,,,,,,,15,,,,,0,,,,,,10270,,,
2009/10/22,23.95,25.60,23.95,25.60,1.65,6.8894,,,,,,253.0000,,10270,,,,,,,,253,,,,,0,,,,,,10270,,,
2009/10/23,26.00,26.00,24.50,25.00,-0.60,-2.3438,,,,,,175.0000,,10270,,,,,,,,78,,,,,0,,,,,,10270,,,
2009/10/26,25.00,25.50,24.60,25.00,0.00,0.00,,,,,,175.0000,,10270,,,,,,,,40,,,,,0,,,,,,10270,,,
2009/10/27,25.40,25.40,24.25,25.00,0.00,0.00,24.9100,,,,,175.0000,,10270,10270,,,,,,,26,82,,,,0,0,,,,,10270,10270,,
2009/10/28,24.75,24.75,24.10,24.60,-0.40,-1.60,25.0400,,,,,138.0000,,10270,10270,,,,,,,37,86,,,,0,0,,,,,10270,10270,,
2009/10/29,25.10,25.10,24.00,25.00,0.40,1.626,24.9200,,,,,206.0000,,10270,10270,,67.2131,,,,,68,49,,,,0,0,,,,,10270,10270,,
2009/10/30,25.10,25.10,24.35,25.00,0.00,0.00,24.9200,,,,,206.0000,,10270,10270,,67.2131,,,,,24,39,,,,0,0,,,,,10270,10270,,
2009/11/02,24.00,24.80,24.00,24.80,-0.20,-0.80,24.8800,,,,,193.0000,,10270,10270,,61.4140,,47.8261,49.2754,49.7585,13,33,49.2754,49.7585,48.3092,0,0,,,,,10270,10270,,
2009/11/03,24.80,24.80,24.20,24.25,-0.55,-2.2177,24.7300,24.8200,,,,187.0000,170.8000,10269,10270,10270,47.8034,,14.6341,37.7283,45.7484,6,29,37.7283,45.7484,21.6881,0,0,0,,,,10269,10270,10270,
2009/11/04,24.25,24.60,24.00,24.50,0.25,1.0309,24.7100,24.8750,,,,218.0000,192.6000,10269,10270,10270,53.4326,,25.0000,33.4855,41.6608,31,28,33.4855,41.6608,17.1350,0,0,0,,,,10269,10270,10270,
2009/11/05,24.60,24.60,24.20,24.20,-0.30,-1.2245,24.5500,24.7350,,,,214.0000,188.7000,10269,10270,10270,46.2500,,13.3333,26.7681,36.6966,4,15,26.7681,36.6966,6.9113,0,0,0,,,,10269,10270,10270,
2009/11/06,24.05,24.60,23.75,24.20,0.00,0.00,24.3900,24.6550,,,,214.0000,192.6000,10267,10269,10270,46.2500,52.8736,27.2727,26.9363,33.4431,20,14,26.9363,33.4431,13.9227,0,0,0,,,,10267,10269,10270,
2009/11/09,24.25,24.30,24.00,24.20,0.00,0.00,24.2700,24.5750,,,,214.0000,196.5000,10267,10268,10269,46.2500,52.8736,33.3333,29.0687,31.9850,7,13,29.0687,31.9850,23.2360,0,0,0,,,,10267,10268,10269,
2009/11/10,24.40,24.40,24.05,24.20,0.00,0.00,24.2600,24.4950,,,,214.0000,200.4000,10267,10268,10269,46.2500,52.8736,33.3333,30.4902,31.4867,7,13,30.4902,31.4867,28.4972,0,0,0,,,,10267,10268,10269,
2009/11/11,24.05,24.20,24.05,24.05,-0.15,-0.6198,24.1700,24.4400,,,,208.0000,207.4000,10267,10268,10269,40.5926,50.6079,22.2222,27.7342,30.2359,6,8,27.7342,30.2359,22.7309,0,0,0,,,,10267,10268,10269,
2009/11/12,24.60,24.90,24.45,24.60,0.55,2.2869,24.2500,24.4000,,,,247.0000,211.5000,10267,10267,10268,61.3791,57.8350,73.9130,43.1272,34.5330,39,15,43.1272,34.5330,60.3155,0,0,0,,,,10267,10267,10268,
2009/11/13,24.60,25.10,24.60,24.90,0.30,1.2195,24.3900,24.3900,,,,310.0000,221.9000,10267,10267,10268,68.5760,61.2121,85.1852,57.1465,42.0708,63,24,57.1465,42.0708,87.2979,0,0,0,,,,10267,10267,10268,
2009/11/16,25.40,25.40,24.90,25.15,0.25,1.004,24.5800,24.4250,,,,341.0000,236.7000,10267,10267,10268,73.5119,63.8446,84.8485,66.3805,50.1740,31,29,66.3805,50.1740,98.7934,0,0,0,,,,10267,10267,10268,
2009/11/17,25.00,25.05,24.90,24.90,-0.25,-0.994,24.7200,24.4900,24.6550,,,325.0000,250.5000,10267,10267,10268,61.8532,59.4434,69.6970,67.4860,55.9447,16,31,67.4860,55.9447,90.5686,0,0,0,,,,10267,10267,10268,
2009/11/18,24.90,25.80,24.90,25.20,0.30,1.2048,24.9500,24.5600,24.7175,,,384.0000,267.1000,10267,10267,10267,68.9454,62.8005,70.7317,68.5679,60.1524,59,41,68.5679,60.1524,85.3988,0,0,0,,,,10267,10267,10267,
