ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/08/17,8.80,9.00,8.65,8.86,0.00,0.00,,,,,,0.0000,,0,,,,,,,,16,,,,,0,,,,,,0,,,
2011/08/18,8.40,8.60,8.40,8.40,-0.46,-5.1919,,,,,,-6.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2011/08/19,8.60,8.60,8.20,8.30,-0.10,-1.1905,,,,,,-51.0000,,0,,,,,,,,45,,,,,0,,,,,,0,,,
2011/08/23,8.52,8.70,8.20,8.70,0.40,4.8193,,,,,,-41.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2011/08/24,8.20,8.60,8.20,8.60,-0.10,-1.1494,8.5720,,,,,-41.0000,,0,0,,,,,,,0,15,,,,0,0,,,,,0,0,,
2011/08/25,8.60,8.60,8.60,8.60,0.00,0.00,8.5200,,,,,-41.0000,,0,0,,,,,,,2,12,,,,0,0,,,,,0,0,,
2011/08/30,8.46,8.80,8.46,8.80,0.20,2.3256,8.6000,,,,,-18.0000,,0,0,,47.6190,,,,,23,16,,,,0,0,,,,,0,0,,
2011/08/31,8.80,8.84,8.80,8.80,0.00,0.00,8.7000,,,,,-18.0000,,0,0,,47.6190,,,,,10,9,,,,0,0,,,,,0,0,,
2011/09/05,8.46,8.46,8.46,8.46,-0.34,-3.8636,8.6520,,,,,-20.0000,,0,0,,34.2936,,32.5000,44.1667,48.0556,2,7,44.1667,48.0556,36.3889,0,0,,,,,0,0,,
2011/09/06,8.60,8.83,8.41,8.45,-0.01,-0.1182,8.6220,8.5970,,,,-230.0000,-46.6000,0,0,0,33.9582,,39.0625,42.4653,46.1921,210,49,42.4653,46.1921,35.0116,0,0,0,,,,0,0,0,
2011/09/07,8.50,8.83,8.50,8.83,0.38,4.497,8.6680,8.5940,,,,-22.0000,-48.8000,0,0,0,54.3268,,98.4375,61.1227,51.1690,208,90,61.1227,51.1690,81.0301,0,0,0,,,,0,0,0,
2011/09/08,8.30,8.83,8.30,8.83,0.00,0.00,8.6740,8.6370,,,,-22.0000,-50.4000,0,0,0,54.3268,,98.4375,73.5610,58.6330,277,141,73.5610,58.6330,103.4169,0,0,0,,,,0,0,0,
2011/09/09,8.50,8.50,8.35,8.40,-0.43,-4.8698,8.5940,8.6470,,,,-44.0000,-49.7000,0,0,0,36.1561,40.4959,31.2500,59.4573,58.9078,22,143,59.4573,58.9078,60.5564,0,0,0,,,,0,0,0,
2011/09/13,8.35,8.40,8.35,8.40,0.00,0.00,8.5820,8.6170,,,,-44.0000,-50.0000,0,0,0,36.1561,40.4959,18.5185,45.8110,54.5422,18,147,45.8110,54.5422,28.3488,0,0,0,,,,0,0,0,
2011/09/14,8.20,8.30,8.20,8.20,-0.20,-2.381,8.5320,8.5770,,,,-66.0000,-52.5000,0,0,0,29.5389,36.8696,0.0000,30.5407,46.5417,22,109,30.5407,46.5417,-1.4613,0,0,0,,,,0,0,0,
2011/09/15,8.25,8.25,8.20,8.20,0.00,0.00,8.4060,8.5370,,,,-66.0000,-55.0000,0,0,0,29.5389,36.8696,0.0000,20.3605,37.8146,6,69,20.3605,37.8146,-14.5478,0,0,0,,,,0,0,0,
2011/09/16,8.26,8.31,8.00,8.31,0.11,1.3415,8.3020,8.4880,,,,0.0000,-53.2000,0,0,0,38.4592,40.3649,37.3494,26.0234,33.8842,66,26,26.0234,33.8842,10.3019,0,0,0,,,,0,0,0,
2011/09/19,8.20,8.30,8.20,8.20,-0.11,-1.3237,8.2620,8.4280,,,,-14.0000,-52.8000,0,0,0,33.3871,38.0658,24.0964,25.3811,31.0498,14,25,25.3811,31.0498,14.0436,0,0,0,,,,0,0,0,
