ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2013/11/21,27.00,36.00,27.00,35.30,0.00,0.00,,,,,,0.0000,,0,,,,,,,,76000,,,,,0,,,,,,0,,,
2013/11/22,35.30,36.20,34.87,35.50,0.20,0.5666,,,,,,54280.0000,,0,,,,,,,,54280,,,,,0,,,,,,0,,,
2013/11/25,35.80,35.80,35.80,35.80,0.30,0.8451,,,,,,56280.0000,,0,,,,,,,,2000,,,,,0,,,,,,0,,,
2013/11/26,34.21,35.00,33.00,33.39,-2.41,-6.7318,,,,,,39280.0000,,0,,,,,,,,17000,,,,,0,,,,,,0,,,
2013/11/27,33.10,35.00,33.10,33.35,-0.04,-0.1198,34.6680,,,,,18000.0000,,0,0,,,,,,,21280,34112,,,,0,0,,,,,0,0,,
2013/11/28,33.25,35.00,33.25,35.00,1.65,4.9475,34.6080,,,,,26000.0000,,0,0,,,,,,,8000,20512,,,,0,0,,,,,0,0,,
2013/11/29,35.20,35.26,34.80,35.26,0.26,0.7429,34.5600,,,,,30001.0000,,0,0,,49.5885,,,,,4001,10456,,,,0,0,,,,,0,0,,
2013/12/02,35.26,35.30,35.26,35.30,0.04,0.1134,34.4600,,,,,37001.0000,,0,0,,50.0815,,,,,7000,11456,,,,0,0,,,,,0,0,,
2013/12/03,34.00,35.00,34.00,35.00,-0.30,-0.8499,34.7820,,,,,31901.0000,,0,0,,46.0300,,86.9565,62.3188,54.1063,5100,9076,62.3188,54.1063,78.7440,0,0,,,,,0,0,,
2013/12/04,34.50,34.50,34.00,34.00,-1.00,-2.8571,34.9120,34.7900,,,,23901.0000,31664.4000,0,0,0,34.7765,,31.2500,51.9626,53.3917,8000,6420,51.9626,53.3917,49.1043,0,0,0,,,,0,0,0,
