ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,52.90,54.20,52.80,53.80,0.00,0.00,,,,,,0.0000,,3861,,,,,,,,279,,,,,44,,,,,,8420,,,
2012/06/28,54.20,55.30,54.20,54.40,0.60,1.1152,,,,,,536.0000,,3861,,,,,,,,536,,,,,43,,,,,,8419,,,
2012/06/29,54.90,54.90,53.80,54.60,0.20,0.3676,,,,,,824.0000,,3861,,,,,,,,288,,,,,38,,,,,,8414,,,
2012/07/02,55.00,57.20,55.00,57.00,2.40,4.3956,,,,,,1465.0000,,3869,,,,,,,,641,,,,,44,,,,,,7016,,,
2012/07/03,57.50,58.30,57.20,57.20,0.20,0.3509,55.4000,,,,,2010.0000,,3867,3865,,,,,,,545,457,,,,41,42,,,,,7011,7856,,
2012/07/04,57.20,58.00,57.20,57.80,0.60,1.049,56.2000,,,,,2421.0000,,3913,3875,,,,,,,411,484,,,,31,39,,,,,7047,7582,,
2012/07/05,58.00,58.80,57.90,58.80,1.00,1.7301,57.0800,,,,,2918.0000,,3913,3885,,100.0000,,,,,497,476,,,,37,38,,,,,7049,7308,,
2012/07/06,58.80,59.10,56.50,57.90,-0.90,-1.5306,57.7400,,,,,2426.0000,,3957,3905,,82.2368,,,,,492,517,,,,40,39,,,,,7091,7043,,
2012/07/09,57.70,58.00,57.00,57.20,-0.70,-1.209,57.7800,,,,,2062.0000,,3975,3926,,70.5418,,69.8413,56.6138,52.2046,364,461,56.6138,52.2046,65.4321,40,38,,,,,7109,7062,,
2012/07/10,57.00,57.70,57.00,57.50,0.30,0.5245,57.8400,56.6200,,,,2474.0000,1713.6000,3982,3949,3907,72.5494,,69.8113,61.0129,55.1407,412,435,61.0129,55.1407,72.7574,45,39,40,,,,7121,7084,7470,
2012/07/11,57.50,59.00,57.50,59.00,1.50,2.6087,58.0800,57.1400,,,,3314.0000,2045.0000,3986,3963,3919,80.5166,,98.1132,73.3797,61.2204,840,521,73.3797,61.2204,97.6984,152,63,51,,,,7229,7120,7351,
2012/07/12,55.20,56.30,54.30,55.20,-3.80,-6.4407,57.3600,57.2200,,,,2488.0000,2240.2000,4025,3986,3936,42.7752,,18.7500,55.1698,59.2035,826,586,55.1698,59.2035,47.1024,91,74,56,,,,7207,7152,7230,
2012/07/13,54.60,55.00,52.90,53.00,-2.20,-3.9855,56.3800,57.0600,,,,2116.0000,2369.4000,4017,3998,3951,32.2674,47.2222,1.6129,37.3175,51.9082,372,562,37.3175,51.9082,8.1362,85,83,61,,,,7182,7170,7107,
2012/07/16,53.20,55.00,53.20,55.00,2.00,3.7736,55.9400,56.8600,,,,2385.0000,2461.4000,4068,4016,3971,46.5825,54.1667,33.8710,36.1687,46.6617,269,543,36.1687,46.6617,15.1826,45,84,61,,,,7193,7187,7124,
2012/07/17,55.00,55.50,54.60,55.10,0.10,0.1818,55.4600,56.6500,,,,2500.0000,2510.4000,4070,4034,3991,47.2514,54.4933,35.4839,35.9404,43.0879,115,484,35.9404,43.0879,21.6454,0,75,57,,,,7150,7193,7138,
2012/07/18,55.70,55.70,54.70,54.70,-0.40,-0.726,54.6000,56.3400,,,,2415.0000,2509.8000,4069,4051,4007,44.5723,52.8499,29.0323,33.6377,39.9378,85,333,33.6377,39.9378,21.0374,0,45,54,,,,7149,7177,7149,
2012/07/19,55.00,55.30,54.60,55.00,0.30,0.5484,54.5600,55.9600,,,,2541.0000,2472.1000,4068,4059,4023,47.2634,53.9853,34.4262,33.9005,37.9254,126,193,33.9005,37.9254,25.8508,44,35,54,,,,7192,7174,7163,
2012/07/20,56.00,57.10,55.60,56.80,1.80,3.2727,55.3200,55.8500,,,,2943.0000,2523.8000,4071,4070,4034,60.9233,60.2504,63.9344,43.9118,39.9209,402,199,43.9118,39.9209,51.8937,37,26,54,,,,7188,7175,7173,
2012/07/23,56.80,56.80,56.00,56.40,-0.40,-0.7042,55.6000,55.7700,,,,2686.0000,2586.2000,4071,4071,4044,56.9870,58.3252,57.3770,48.4002,42.7473,257,197,48.4002,42.7473,59.7060,31,23,53,,,,7182,7173,7180,
2012/07/24,55.90,56.90,55.90,56.90,0.50,0.8865,55.9600,55.7100,56.1650,,,2845.0000,2623.3000,4071,4071,4052,60.7873,60.0652,95.2381,64.0129,49.8358,159,205,64.0129,49.8358,92.3669,0,23,49,,,,7151,7173,7183,
2012/07/25,56.90,56.90,56.20,56.70,-0.20,-0.3515,56.3600,55.4800,56.3100,,,2677.0000,2559.6000,4070,4071,4061,58.3143,58.9905,90.4762,72.8340,57.5019,168,222,72.8340,57.5019,103.4981,0,23,34,,,,7150,7173,7175,
2012/07/26,56.70,57.30,56.40,57.00,0.30,0.5291,56.7600,55.6600,56.4400,,,2769.0000,2587.7000,4078,4073,4066,61.1586,60.1571,92.6829,79.4503,64.8180,92,215,79.4503,64.8180,108.7148,35,21,28,,,,7193,7173,7174,
2012/07/27,57.00,58.50,57.00,58.40,1.40,2.4561,57.0800,56.2000,56.6300,,,2995.0000,2675.6000,4131,4085,4078,71.8970,65.1972,97.4359,85.4455,71.6938,226,180,85.4455,71.6938,112.9488,27,19,22,,,,7238,7183,7179,
2012/07/30,59.00,60.50,58.90,60.30,1.90,3.2534,57.8600,56.7300,56.7950,,,3427.0000,2779.8000,4131,4097,4084,80.6219,70.6871,96.6102,89.1671,77.5182,432,215,89.1671,77.5182,112.4647,65,26,24,,,,7276,7202,7188,
2012/07/31,60.30,61.60,59.60,61.30,1.00,1.6584,58.7400,57.3500,57.0000,,,3905.0000,2920.3000,4212,4125,4098,83.7987,73.1215,95.7143,91.3495,82.1287,478,279,91.3495,82.1287,109.7911,73,40,32,,,,7350,7242,7208,
2012/08/01,61.80,63.00,60.70,60.90,-0.40,-0.6525,59.5800,57.9700,57.1550,,,3468.0000,3025.6000,4152,4142,4106,77.6856,70.5643,71.6216,84.7735,83.0103,437,333,84.7735,83.0103,88.3000,75,56,39,,1.4890,,7292,7271,7222,
2012/08/03,60.10,60.60,59.70,60.30,-0.60,-0.9852,60.2400,58.5000,57.2300,,,3161.0000,3087.6000,4139,4154,4113,68.6688,66.7447,61.9718,77.1730,81.0645,307,376,77.1730,81.0645,69.3899,67,62,41,,1.5412,,7271,7286,7230,
2012/08/06,61.50,62.00,60.50,60.50,0.20,0.3317,60.6600,58.8700,57.3600,,,3406.0000,3133.9000,4100,4148,4116,70.0589,67.3866,64.7887,73.0449,78.3913,245,379,73.0449,78.3913,62.3521,59,68,44,,1.5806,,7224,7284,7233,
2012/08/07,60.80,61.60,60.50,61.50,1.00,1.6529,60.9000,59.3800,57.5750,,,3750.0000,3240.3000,4038,4129,4113,76.3537,70.4934,77.9412,74.6770,77.1532,344,362,74.6770,77.1532,69.7246,46,65,45,,1.6732,,7129,7254,7228,
2012/08/08,61.50,61.60,60.50,61.00,-0.50,-0.813,60.8400,59.7900,57.7500,,,3386.0000,3294.4000,3962,4079,4102,67.8011,67.0115,69.6970,73.0170,75.7745,364,339,73.0170,75.7745,67.5020,39,58,49,,1.6868,,7046,7193,7218,
2012/08/09,61.00,61.00,59.70,60.70,-0.30,-0.4918,60.8000,60.1900,57.8350,,,3121.0000,3338.8000,3963,4041,4091,62.7410,64.9128,61.6667,69.2335,73.5941,265,305,69.2335,73.5941,60.5123,43,51,53,,1.6543,,7021,7139,7205,
2012/08/10,60.20,60.40,59.50,59.60,-1.10,-1.8122,60.6600,60.4500,58.0550,,,2848.0000,3346.7000,4008,4015,4084,47.2315,57.6863,17.0732,51.8467,66.3450,273,298,51.8467,66.3450,22.8502,0,38,50,,1.5222,,7022,7089,7188,
2012/08/13,59.70,62.00,59.70,62.00,2.40,4.0268,60.9600,60.8100,58.5050,,,3301.0000,3377.3000,3953,3985,4066,67.9650,66.5498,71.4286,58.3740,63.6880,453,339,58.3740,63.6880,47.7460,46,35,52,,1.5928,,7014,7047,7165,
