ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,5.04,5.04,4.97,5.00,0.00,0.00,,,,,,0.0000,,714,,,,,,,,286,,,,,0,,,,,,714,,,
2012/06/29,5.00,5.02,4.95,5.00,0.00,0.00,,,,,,0.0000,,714,,,,,,,,420,,,,,0,,,,,,714,,,
2012/07/02,5.05,5.06,5.01,5.03,0.03,0.60,,,,,,345.0000,,716,,,,,,,,345,,,,,0,,,,,,716,,,
2012/07/03,5.03,5.20,5.03,5.16,0.13,2.5845,,,,,,1218.0000,,720,,,,,,,,873,,,,,0,,,,,,720,,,
2012/07/04,5.16,5.26,5.14,5.22,0.06,1.1628,5.0820,,,,,1687.0000,,723,718,,,,,,,469,478,,,,0,0,,,,,723,718,,
2012/07/05,5.22,5.22,5.11,5.16,-0.06,-1.1494,5.1140,,,,,1120.0000,,775,730,,,,,,,567,534,,,,0,0,,,,,775,730,,
2012/07/06,5.20,5.20,5.11,5.12,-0.04,-0.7752,5.1380,,,,,788.0000,,766,740,,68.7500,,,,,332,517,,,,0,0,,,,,766,740,,
2012/07/09,5.07,5.12,5.04,5.09,-0.03,-0.5859,5.1500,,,,,415.0000,,759,749,,61.7978,,,,,373,522,,,,0,0,,,,,759,749,,
2012/07/10,5.05,5.11,5.05,5.08,-0.01,-0.1965,5.1340,,,,,42.0000,,749,755,,59.3952,,41.9355,47.3118,49.1039,373,422,47.3118,49.1039,43.7276,0,0,,,,,749,755,,
2012/07/11,5.05,5.12,5.05,5.08,0.00,0.00,5.1060,5.0940,,,,42.0000,565.7000,756,761,740,59.3952,,41.9355,45.5197,47.9092,194,367,45.5197,47.9092,40.7407,0,0,0,,,,756,761,740,
2012/07/12,5.08,5.11,5.01,5.07,-0.01,-0.1969,5.0880,5.1010,,,,-347.0000,531.0000,747,756,743,56.2464,,24.0000,38.3465,44.7216,389,332,38.3465,44.7216,25.5962,0,0,0,,,,747,756,743,
2012/07/13,5.06,5.10,5.04,5.07,0.00,0.00,5.0780,5.1080,,,,-347.0000,496.3000,748,752,746,56.2464,,24.0000,33.5643,41.0025,299,325,33.5643,41.0025,18.6879,0,0,0,,,,748,752,746,
2012/07/16,5.10,5.10,5.05,5.05,-0.02,-0.3945,5.0700,5.1100,,,,-474.0000,414.4000,743,749,749,48.7961,56.4103,16.0000,27.7095,36.5715,127,276,27.7095,36.5715,9.9856,0,0,0,,,,743,749,749,
2012/07/17,5.05,5.12,5.05,5.07,0.02,0.396,5.0680,5.1010,,,,-257.0000,266.9000,744,748,751,55.8187,58.7196,28.5714,27.9968,33.7133,217,245,27.9968,33.7133,16.5639,0,0,0,,,,744,748,751,
