ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,13.00,13.00,13.00,13.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2012/06/29,13.00,13.35,13.00,13.20,0.20,1.5385,,,,,,12.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2012/07/02,13.30,13.30,13.20,13.20,0.00,0.00,,,,,,12.0000,,0,,,,,,,,3,,,,,0,,,,,,0,,,
2012/07/03,13.30,13.30,13.30,13.30,0.10,0.7576,,,,,,19.0000,,0,,,,,,,,7,,,,,0,,,,,,0,,,
2012/07/04,13.30,13.30,12.80,13.00,-0.30,-2.2556,13.1400,,,,,7.0000,,0,0,,,,,,,12,8,,,,0,0,,,,,0,0,,
2012/07/05,13.00,13.00,12.85,13.00,0.00,0.00,13.1400,,,,,7.0000,,0,0,,,,,,,9,8,,,,0,0,,,,,0,0,,
2012/07/06,13.00,13.00,13.00,13.00,0.00,0.00,13.1000,,,,,7.0000,,0,0,,50.0000,,,,,1,6,,,,0,0,,,,,0,0,,
2012/07/09,13.00,13.00,13.00,13.00,0.00,0.00,13.0600,,,,,7.0000,,0,0,,50.0000,,,,,1,6,,,,0,0,,,,,0,0,,
2012/07/10,13.00,13.40,12.70,12.90,-0.10,-0.7692,12.9800,,,,,-14.0000,,0,0,,40.3226,,28.5714,42.8571,47.6190,21,8,42.8571,47.6190,33.3333,0,0,,,,,0,0,,
2012/07/11,12.90,12.90,12.90,12.90,0.00,0.00,12.9600,13.0500,,,,-14.0000,4.3000,0,0,0,40.3226,,28.5714,38.0952,44.4444,6,7,38.0952,44.4444,25.3968,0,0,0,,,,0,0,0,
2012/07/12,12.90,12.90,12.70,12.70,-0.20,-1.5504,12.9000,13.0200,,,,-45.0000,-0.2000,0,0,0,25.8906,,0.0000,25.3968,38.0952,31,12,25.3968,38.0952,0.0000,0,0,0,,,,0,0,0,
2012/07/13,12.80,12.80,12.60,12.70,0.00,0.00,12.8400,12.9700,,,,-45.0000,-5.9000,0,0,0,25.8906,,12.5000,21.0979,32.4295,22,16,21.0979,32.4295,-1.5653,0,0,0,,,,0,0,0,
2012/07/16,12.80,12.80,12.60,12.70,0.00,0.00,12.7800,12.9200,,,,-45.0000,-11.6000,0,0,0,25.8906,33.3333,12.5000,18.2319,27.6969,24,20,18.2319,27.6969,-0.6981,0,0,0,,,,0,0,0,
2012/07/17,12.75,12.75,12.75,12.75,0.05,0.3937,12.7500,12.8650,,,,-43.0000,-17.8000,0,0,0,35.8148,37.1429,18.7500,18.4046,24.5995,2,17,18.4046,24.5995,6.0148,0,0,0,,,,0,0,0,
2012/07/18,12.80,12.80,12.80,12.80,0.05,0.3922,12.7300,12.8450,,,,-37.0000,-22.2000,0,0,0,44.7011,40.8313,25.0000,20.6031,23.2674,6,17,20.6031,23.2674,15.2745,0,0,0,,,,0,0,0,
2012/07/19,13.00,13.00,12.80,12.90,0.10,0.7812,12.7700,12.8350,,,,-31.0000,-26.0000,0,0,0,58.4928,47.5468,37.5000,26.2354,24.2567,6,12,26.2354,24.2567,30.1928,0,0,0,,,,0,0,0,
2012/07/20,12.90,12.90,12.80,12.85,-0.05,-0.3876,12.8000,12.8200,,,,-36.0000,-30.3000,0,0,0,50.8792,44.7749,31.2500,27.9069,25.4734,5,8,27.9069,25.4734,32.7739,0,0,0,,,,0,0,0,
2012/07/23,12.70,12.80,12.60,12.80,-0.05,-0.3891,12.8200,12.8000,,,,-45.0000,-35.5000,0,0,0,44.0056,42.0975,50.0000,35.2713,28.7394,9,5,35.2713,28.7394,48.3351,0,0,0,,,,0,0,0,
2012/07/24,12.80,12.80,12.70,12.70,-0.10,-0.7813,12.8100,12.7800,,,,-49.0000,-39.0000,0,0,0,33.2311,37.2392,25.0000,31.8475,29.7754,4,6,31.8475,29.7754,35.9917,0,0,0,,,,0,0,0,
2012/07/25,12.70,12.80,12.70,12.80,0.10,0.7874,12.8100,12.7700,12.9100,,,-35.0000,-41.1000,0,0,0,48.3937,44.2571,50.0000,37.8983,32.4831,14,7,37.8983,32.4831,48.7289,0,0,0,,,,0,0,0,
2012/07/26,12.90,12.90,12.90,12.90,0.10,0.7812,12.8100,12.7900,12.9050,,,-34.0000,-40.0000,0,0,0,59.4452,50.3177,75.0000,50.2656,38.4106,1,6,50.2656,38.4106,73.9756,0,0,0,,,,0,0,0,
2012/07/27,12.90,13.00,12.90,13.00,0.10,0.7752,12.8400,12.8200,12.8950,,,-30.0000,-38.5000,0,0,0,67.7364,55.5855,100.0000,66.8437,47.8883,4,6,66.8437,47.8883,104.7546,0,0,0,,,,0,0,0,
2012/07/30,13.00,13.00,12.90,12.95,-0.05,-0.3846,12.8700,12.8450,12.8825,,,-34.0000,-37.4000,0,0,0,60.3353,52.5465,87.5000,73.7291,56.5019,4,5,73.7291,56.5019,108.1836,0,0,0,,,,0,0,0,
2012/07/31,12.95,13.10,12.95,13.00,0.05,0.3861,12.9300,12.8700,12.8675,,,-28.0000,-35.9000,0,0,0,64.9331,55.2175,80.0000,75.8194,62.9411,6,5,75.8194,62.9411,101.5761,0,0,0,,,,0,0,0,
2012/08/01,13.00,13.30,13.00,13.25,0.25,1.9231,13.0200,12.9150,12.8800,,,-8.0000,-33.0000,0,0,0,79.3177,65.7368,92.8571,81.4987,69.1269,20,7,81.4987,69.1269,106.2421,0,0,0,,,,0,0,0,
2012/08/03,13.10,13.10,13.00,13.00,-0.25,-1.8868,13.0400,12.9250,12.8800,,,-12.0000,-31.1000,0,0,0,53.1533,52.3277,57.1429,73.3801,70.5446,4,7,73.3801,70.5446,79.0509,0,0,0,,0.0283,,0,0,0,
2012/08/06,13.20,13.30,13.20,13.30,0.30,2.3077,13.1000,12.9700,12.8950,,,-6.0000,-28.1000,0,0,0,68.2397,62.3748,100.0000,82.2534,74.4476,6,8,82.2534,74.4476,97.8650,0,0,0,,0.0530,,0,0,0,
2012/08/07,13.20,13.20,13.00,13.00,-0.30,-2.2556,13.1100,12.9900,12.8950,,,-11.0000,-24.7000,0,0,0,49.2192,50.7148,50.0000,71.5023,73.4658,5,8,71.5023,73.4658,67.5752,0,0,0,,0.0478,,0,0,0,
2012/08/08,13.10,13.35,13.00,13.15,0.15,1.1538,13.1400,13.0350,12.9075,,,7.0000,-19.1000,0,0,0,56.4949,55.2751,55.5556,66.1867,71.0394,18,10,66.1867,71.0394,56.4812,0,0,0,,0.0551,,0,0,0,
2012/08/09,13.10,13.35,13.00,13.30,0.15,1.1407,13.1500,13.0850,12.9275,,,41.0000,-11.5000,0,0,0,62.8775,59.3758,88.8889,73.7541,71.9443,34,13,73.7541,71.9443,77.3736,0,0,0,,0.0722,,0,0,0,
2012/08/10,13.30,13.30,13.10,13.10,-0.20,-1.5038,13.1700,13.1050,12.9475,,,34.0000,-4.7000,0,0,0,50.9239,52.3891,44.4444,63.9842,69.2909,7,14,63.9842,69.2909,53.3707,0,0,0,,0.0688,,0,0,0,
