ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,33.00,33.00,32.90,33.00,0.00,0.00,,,,,,0.0000,,27602,,,,,,,,23,,,,,0,,,,,,27602,,,
2012/06/29,33.00,33.00,32.75,32.90,-0.10,-0.303,,,,,,-26.0000,,27602,,,,,,,,26,,,,,0,,,,,,27602,,,
2012/07/02,33.00,33.30,32.90,32.95,0.05,0.152,,,,,,13.0000,,27602,,,,,,,,39,,,,,0,,,,,,27602,,,
2012/07/03,32.95,33.15,32.95,33.15,0.20,0.607,,,,,,26.0000,,27602,,,,,,,,13,,,,,0,,,,,,27602,,,
2012/07/04,33.25,33.35,33.15,33.30,0.15,0.4525,33.0600,,,,,65.0000,,27602,27602,,,,,,,39,28,,,,0,0,,,,,27602,27602,,
2012/07/05,33.40,33.40,33.30,33.30,0.00,0.00,33.1200,,,,,65.0000,,27602,27602,,,,,,,10,25,,,,0,0,,,,,27602,27602,,
2012/07/06,33.40,33.50,33.30,33.40,0.10,0.3003,33.2200,,,,,95.0000,,27602,27602,,83.3333,,,,,30,26,,,,0,0,,,,,27602,27602,,
2012/07/09,33.30,33.30,32.90,32.90,-0.50,-1.497,33.2100,,,,,23.0000,,27602,27602,,41.6667,,,,,72,32,,,,0,0,,,,,27602,27602,,
2012/07/10,33.20,33.20,33.00,33.00,0.10,0.304,33.1800,,,,,60.0000,,27602,27602,,47.9167,,33.3333,44.4444,48.1481,37,37,44.4444,48.1481,37.0370,0,0,,,,,27602,27602,,
2012/07/11,33.20,33.25,33.10,33.10,0.10,0.303,33.1400,33.1000,,,,86.0000,40.7000,27602,27602,27602,53.8502,,46.6667,45.1852,47.1605,26,35,45.1852,47.1605,41.2346,0,0,0,,,,27602,27602,27602,
2012/07/12,33.20,33.40,33.10,33.20,0.10,0.3021,33.1200,33.1200,,,,134.0000,54.1000,27602,27602,27602,59.4005,,50.0000,46.7901,47.0370,48,42,46.7901,47.0370,46.2963,0,0,0,,,,27602,27602,27602,
2012/07/13,33.20,33.40,33.20,33.20,0.00,0.00,33.0800,33.1500,,,,134.0000,70.1000,27602,27602,27602,59.4005,,50.0000,47.8601,47.3114,19,40,47.8601,47.3114,48.9575,0,0,0,,,,27602,27602,27602,
2012/07/16,33.10,33.10,33.00,33.00,-0.20,-0.6024,33.1000,33.1550,,,,103.0000,79.1000,27602,27602,27602,44.1190,50.0000,16.6667,37.4623,44.0283,31,32,37.4623,44.0283,24.3301,0,0,0,,,,27602,27602,27602,
2012/07/17,33.00,33.20,33.00,33.00,0.00,0.00,33.1000,33.1400,,,,103.0000,86.8000,27602,27602,27602,44.1190,50.0000,16.6667,30.5304,39.5290,34,31,30.5304,39.5290,12.5332,0,0,0,,,,27602,27602,27602,
2012/07/18,33.20,33.20,33.00,33.10,0.10,0.303,33.1000,33.1200,,,,204.0000,100.7000,27602,27602,27602,52.8522,53.4615,33.3333,31.4647,36.8409,101,46,31.4647,36.8409,20.7123,0,0,0,,,,27602,27602,27602,
2012/07/19,33.30,33.30,33.25,33.30,0.20,0.6042,33.1200,33.1200,,,,228.0000,117.0000,27602,27602,27602,65.7125,59.5687,80.0000,47.6431,40.4417,24,41,47.6431,40.4417,62.0461,0,0,0,,,,27602,27602,27602,
