ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/07,15.50,15.50,15.00,15.00,0.00,0.00,,,,,,0.0000,,154,,,,,,,,2,,,,,0,,,,,,154,,,
2012/05/08,15.00,15.00,15.00,15.00,0.00,0.00,,,,,,0.0000,,154,,,,,,,,1,,,,,0,,,,,,154,,,
2012/05/09,14.70,15.55,14.70,14.70,-0.30,-2.00,,,,,,-11.0000,,154,,,,,,,,11,,,,,0,,,,,,154,,,
2012/05/10,15.00,15.00,14.60,14.90,0.20,1.3605,,,,,,-1.0000,,154,,,,,,,,10,,,,,0,,,,,,154,,,
2012/05/14,15.20,15.20,15.20,15.20,0.30,2.0134,14.9600,,,,,0.0000,,154,155,,,,,,,1,5,,,,0,0,,,,,154,155,,
2012/05/17,14.55,15.10,14.50,15.10,-0.10,-0.6579,14.9800,,,,,-3.0000,,154,155,,,,,,,3,5,,,,0,0,,,,,154,155,,
2012/05/18,14.05,14.15,14.05,14.05,-1.05,-6.9536,14.7900,,,,,-34.0000,,154,155,,25.6410,,,,,31,11,,,,0,0,,,,,154,155,,
2012/05/21,14.00,14.00,13.15,13.15,-0.90,-6.4057,14.4800,,,,,-53.0000,,154,155,,16.5017,,,,,19,12,,,,0,0,,,,,154,155,,
2012/05/22,13.90,13.90,13.90,13.90,0.75,5.7034,14.2800,,,,,-52.0000,,154,155,,38.4428,,31.2500,43.7500,47.9167,1,11,43.7500,47.9167,35.4167,0,0,,,,,154,155,,
2012/05/23,13.05,13.65,13.05,13.65,-0.25,-1.7986,13.9700,14.4650,,,,-55.0000,-20.9000,154,155,155,34.7864,,24.0000,37.1667,44.3333,3,11,37.1667,44.3333,22.8333,0,0,0,,,,154,155,155,
2012/05/24,13.50,13.50,13.20,13.20,-0.45,-3.2967,13.5900,14.2850,,,,-62.0000,-27.1000,154,155,155,28.8578,,6.0000,26.7778,38.4815,7,12,26.7778,38.4815,3.3704,0,0,0,,,,154,155,155,
2012/05/25,13.10,14.00,13.10,13.25,0.05,0.3788,13.4300,14.1100,,,,-55.0000,-32.6000,154,155,155,30.4385,,9.3023,20.9526,32.6385,7,7,20.9526,32.6385,-2.4192,0,0,0,,,,154,155,155,
