ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2007/10/09,15.95,16.35,15.70,16.35,0.00,0.00,,,,,,0.0000,,708,,,,,,,,817,,,,,0,,,,,,6935,,,
2007/10/11,17.20,17.45,16.75,16.80,0.45,2.7523,,,,,,3402.0000,,707,,,,,,,,3402,,,,,0,,,,,,6919,,,
2007/10/12,16.40,16.70,15.90,16.00,-0.80,-4.7619,,,,,,2335.0000,,707,,,,,,,,1067,,,,,0,,,,,,6934,,,
2007/10/15,16.00,16.30,15.55,15.60,-0.40,-2.50,,,,,,1652.0000,,707,,,,,,,,683,,,,,178,,,,,,7098,,,
2007/10/16,15.60,16.65,15.30,16.20,0.60,3.8462,16.1900,,,,,2375.0000,,707,708,,,,,,,723,1338,,,,0,36,,,,,6934,6965,,
2007/10/17,15.70,16.10,15.50,15.80,-0.40,-2.4691,16.0800,,,,,1630.0000,,695,705,,,,,,,745,1324,,,,183,73,,,,,7091,6996,,
2007/10/18,15.80,16.20,15.60,15.70,-0.10,-0.6329,15.8600,,,,,813.0000,,690,702,,38.1818,,,,,817,807,,,,0,73,,,,,6902,6993,,
2007/10/19,15.65,15.70,15.50,15.50,-0.20,-1.2739,15.7600,,,,,232.0000,,691,698,,35.1171,,,,,581,709,,,,0,73,,,,,6903,6986,,
2007/10/22,15.00,15.30,14.80,14.85,-0.65,-4.1935,15.6100,,,,,-207.0000,,691,695,,26.7448,,1.8868,33.9623,44.6541,439,661,33.9623,44.6541,12.5786,0,37,,,,,6918,6950,,
2007/10/23,14.90,15.00,14.30,14.65,-0.20,-1.3468,15.3000,15.7450,,,,-929.0000,1130.3000,692,692,700,24.5810,,11.1111,26.3452,38.5511,722,660,26.3452,38.5511,1.9334,0,37,36,,,,6904,6944,6955,
2007/10/24,14.75,15.00,14.20,15.00,0.35,2.3891,15.1400,15.6100,,,,-149.0000,1115.4000,676,688,697,35.5340,,32.0000,28.2301,35.1108,780,667,28.2301,35.1108,14.4688,0,0,36,,,,6888,6904,6950,
2007/10/25,15.00,15.00,14.35,14.45,-0.55,-3.6667,14.8900,15.3750,,,,-676.0000,707.6000,676,686,694,27.8947,,10.2041,22.2215,30.8144,527,609,22.2215,30.8144,5.0357,0,0,36,,,,6903,6904,6948,
2007/10/26,14.50,14.60,14.10,14.20,-0.25,-1.7301,14.6300,15.1950,,,,-1082.0000,365.9000,677,683,691,24.9670,28.2828,3.9216,16.1215,25.9167,406,574,16.1215,25.9167,-3.4690,0,0,36,,,,6889,6901,6944,
2007/10/29,14.20,14.50,14.00,14.30,0.10,0.7042,14.5200,15.0650,,,,-492.0000,151.5000,677,680,688,28.5658,29.8293,13.6364,15.2931,22.3755,590,605,15.2931,22.3755,1.1283,0,0,18,,,,6904,6898,6924,
2007/10/30,14.40,14.40,13.90,14.00,-0.30,-2.0979,14.3900,14.8450,,,,-993.0000,-185.3000,676,677,684,24.3597,27.8630,4.3478,11.6447,18.7986,501,560,11.6447,18.7986,-2.6631,0,0,18,,,,6888,6895,6920,
2007/10/31,13.80,14.00,13.50,13.55,-0.45,-3.2143,14.1000,14.6200,,,,-1653.0000,-513.6000,677,677,683,19.2561,25.1501,2.2727,8.5207,15.3726,660,536,8.5207,15.3726,-5.1831,193,39,19,,,,7083,6934,6919,
2007/11/01,13.50,13.85,12.80,13.15,-0.40,-2.952,13.8400,14.3650,,,,-2659.0000,-860.8000,678,677,681,15.7389,22.9804,14.0000,10.3471,13.6975,1006,632,10.3471,13.6975,3.6465,213,82,41,,,,7054,6964,6934,
2007/11/02,12.80,13.00,12.25,12.25,-0.90,-6.8441,13.4500,14.0400,,,,-4131.0000,-1297.1000,679,678,680,10.5405,18.9646,0.0000,6.8981,11.4310,1472,845,6.8981,11.4310,-2.1677,0,82,41,,,,6611,6909,6905,
2007/11/05,11.40,11.75,11.40,11.40,-0.85,-6.9388,12.8700,13.6950,,,,-5482.0000,-1824.6000,679,678,679,7.6696,16.0711,0.0000,4.5987,9.1536,1351,998,4.5987,9.1536,-4.5110,0,82,41,,,,6389,6806,6852,
2007/11/06,10.80,11.30,10.65,10.70,-0.70,-6.1404,12.2100,13.3000,14.5225,,,-8638.0000,-2595.5000,679,679,678,6.0431,14.1338,1.1494,3.4490,7.2520,3156,1529,3.4490,7.2520,-4.1572,18,85,43,,,,6108,6650,6772,
2007/11/07,10.80,11.40,10.80,11.40,0.70,6.5421,11.7800,12.9400,14.2750,,,-7206.0000,-3301.2000,678,679,678,25.1038,24.1134,18.9873,8.6284,7.7108,1432,1683,8.6284,7.7108,10.4636,0,47,43,,,,5438,6321,6627,
2007/11/08,11.40,11.40,10.65,10.65,-0.75,-6.5789,11.2800,12.5600,13.9675,,,-8737.0000,-4107.3000,678,679,678,19.9106,21.2295,0.0000,5.7523,7.0580,1531,1788,5.7523,7.0580,3.1409,0,4,43,,,,4950,5900,6432,
2007/11/09,10.50,10.50,9.91,9.91,-0.74,-6.9484,10.8120,12.1310,13.6630,,,-10990.0000,-5098.1000,678,679,678,15.9933,18.8083,0.0000,3.8349,5.9836,2253,1944,3.8349,5.9836,-0.4627,0,4,43,,,,4867,5551,6230,
2007/11/12,9.22,9.22,9.22,9.22,-0.69,-6.9627,10.3760,11.6230,13.3440,,,-11440.0000,-6192.9000,678,679,678,13.1077,16.8531,0.0000,2.5566,4.8413,450,1764,2.5566,4.8413,-2.0128,0,4,43,,,,4867,5247,6026,
2007/11/13,8.58,8.85,8.58,8.58,-0.64,-6.9414,9.9520,11.0810,12.9630,,,-12435.0000,-7337.1000,678,678,679,10.9156,15.2492,0.0000,1.7044,3.7956,995,1332,1.7044,3.7956,-2.4781,0,0,43,,,,678,4161,5405,
2007/11/14,8.80,9.18,8.71,9.18,0.60,6.993,9.5080,10.6440,12.6320,,,-9413.0000,-8113.1000,678,678,679,25.0220,22.7668,13.5747,5.6611,4.4175,3022,1650,5.6611,4.4175,8.1485,0,0,23,,-2.5361,,3767,3827,5074,
2007/11/15,9.10,9.10,8.68,9.00,-0.18,-1.9608,9.1780,10.2290,12.2970,,,-12217.0000,-9068.9000,678,678,679,23.6725,22.1245,13.2492,8.1905,5.6751,2804,1904,8.1905,5.6751,13.2212,0,0,2,,-2.5037,,2561,3349,4624,
2007/11/16,8.72,9.63,8.71,9.63,0.63,7.00,9.1220,9.9670,12.0035,,,-8547.0000,-9510.5000,678,678,679,37.7686,29.6971,37.2340,17.8717,9.7407,3670,2188,17.8717,9.7407,34.1337,0,0,2,,-2.3995,,689,2513,4032,
2007/11/19,10.30,10.30,10.30,10.30,0.67,6.9574,9.3380,9.8570,11.7760,,,-7947.0000,-9757.0000,678,678,678,49.6381,36.8243,60.9929,32.2454,17.2422,600,2218,32.2454,17.2422,62.2518,0,0,2,,-2.2371,,678,1675,3461,
2007/11/20,11.00,11.00,11.00,11.00,0.70,6.7961,9.8220,9.8870,11.5935,,,-6412.0000,-9534.4000,678,678,678,59.3569,43.3680,85.8156,50.1021,28.1955,1535,2326,50.1021,28.1955,93.9154,0,0,0,,-2.0285,,678,1675,2918,
2007/11/21,11.75,11.75,11.75,11.75,0.75,6.8182,10.3360,9.9220,11.4310,,,-5994.0000,-9413.2000,678,678,678,67.4365,49.4837,100.0000,66.7348,41.0420,418,1805,66.7348,41.0420,118.1204,0,0,0,,-1.7821,,678,1057,2442,
2007/11/22,12.55,12.55,11.80,12.45,0.70,5.9574,11.0260,10.1020,11.3310,,,2980.0000,-8241.5000,678,678,678,73.3664,54.4880,97.4811,76.9835,53.0225,8974,3039,76.9835,53.0225,124.9057,0,0,0,,-1.5129,,678,681,2015,
2007/11/23,12.40,13.30,11.85,13.20,0.75,6.0241,11.7400,10.4310,11.2810,,,7731.0000,-6369.4000,678,678,678,78.4192,59.2109,97.8814,83.9495,63.3315,4751,3255,83.9495,63.3315,125.1855,0,0,0,,-1.2250,,678,678,1596,
2007/11/26,13.50,13.80,12.50,12.65,-0.55,-4.1667,12.2100,10.7740,11.1985,,,4840.0000,-4741.4000,678,678,678,67.2002,54.6721,77.5391,81.8127,69.4919,2891,3713,81.8127,69.4919,106.4543,0,0,0,1.7757,-1.0293,-1.9171,678,678,1177,
2007/11/27,11.85,12.50,11.85,11.95,-0.70,-5.5336,12.4000,11.1110,11.0960,,,3089.0000,-3189.0000,678,678,678,55.1500,49.4132,63.8672,75.8308,71.6049,1751,3757,75.8308,71.6049,84.2828,0,0,0,1.5953,-0.9201,-1.7177,678,678,1177,
2007/11/28,11.80,12.30,11.40,11.90,-0.05,-0.4184,12.4300,11.3830,11.0135,,,1375.0000,-2110.2000,678,678,678,54.3152,49.0455,62.6719,71.4445,71.5514,1714,4016,71.4445,71.5514,71.2308,0,0,0,1.4235,-0.8280,-1.5398,678,678,868,
2007/11/29,12.40,12.40,11.80,12.00,0.10,0.8403,12.3400,11.6830,10.9560,,,2456.0000,-642.9000,678,678,678,55.9167,49.8594,48.5714,63.8202,68.9743,1081,2437,63.8202,68.9743,53.5118,0,0,0,1.2821,-0.7385,-1.3795,678,678,679,
2007/11/30,12.00,12.25,11.85,11.85,-0.15,-1.25,12.0700,11.9050,10.9360,,,1340.0000,345.8000,678,678,678,52.5978,48.5894,30.3571,52.6658,63.5382,1116,1710,52.6658,63.5382,30.9211,0,0,0,1.1322,-0.6719,-1.2380,678,678,678,
2007/12/03,11.85,11.85,11.35,11.50,-0.35,-2.9536,11.8400,12.0250,10.9410,,,227.0000,1163.2000,678,678,678,45.1020,45.6309,6.1224,37.1514,54.7426,1113,1355,37.1514,54.7426,1.9690,0,0,0,0.9569,-0.6399,-1.1184,678,678,678,
2007/12/04,11.50,12.30,11.50,12.30,0.80,6.9565,11.9100,12.1550,11.0210,,,1072.0000,1911.6000,678,678,678,60.5302,52.7975,38.7755,37.6927,49.0593,845,1173,37.6927,49.0593,14.9597,0,0,0,0.9193,-0.5438,-1.0035,678,678,678,
2007/12/05,13.00,13.15,12.45,12.85,0.55,4.4715,12.1000,12.2650,11.0935,,,4225.0000,2933.5000,678,678,678,67.9591,57.0441,61.2245,45.5367,47.8851,3153,1461,45.5367,47.8851,40.8398,0,0,0,0.9360,-0.4184,-0.8865,678,678,678,
2007/12/06,12.60,13.55,12.50,12.90,0.05,0.3891,12.2800,12.3100,11.2060,,,6586.0000,3294.1000,675,678,678,68.6037,57.4240,63.2653,51.4462,49.0721,2361,1717,51.4462,49.0721,56.1944,0,0,0,0.9200,-0.3115,-0.7715,686,680,679,
2007/12/07,13.10,13.35,12.75,12.90,0.00,0.00,12.4900,12.2800,11.3555,,,6586.0000,3179.6000,675,677,678,68.6037,57.4240,70.4545,57.7823,51.9755,985,1691,57.7823,51.9755,69.3959,0,0,0,0.8758,-0.2241,-0.6620,686,682,680,
2007/12/10,12.90,13.20,12.40,12.45,-0.45,-3.4884,12.6800,12.2600,11.5170,,,5535.0000,3249.1000,675,677,677,54.4151,52.4554,50.0000,55.1882,53.0464,1051,1679,55.1882,53.0464,59.4718,0,0,0,0.7568,-0.1890,-0.5674,675,681,680,
2007/12/11,11.60,12.30,11.60,11.85,-0.60,-4.8193,12.5900,12.2500,11.6805,,,4101.0000,3350.3000,675,676,677,40.8855,46.5918,22.7273,44.3679,50.1536,1434,1796,44.3679,50.1536,32.7965,0,0,0,0.5763,-0.2072,-0.4953,675,681,679,
2007/12/12,11.40,12.20,11.40,12.10,0.25,2.1097,12.4400,12.2700,11.8265,,,5213.0000,3734.1000,675,675,677,47.4219,49.1743,34.0909,40.9422,47.0831,1112,1388,40.9422,47.0831,28.6604,0,0,0,0.4739,-0.1991,-0.4361,675,680,679,
2007/12/13,12.25,12.30,11.60,11.70,-0.40,-3.3058,12.2000,12.2400,11.9615,,,4390.0000,3927.5000,675,675,677,39.1174,45.3470,15.9091,32.5979,42.2547,823,1081,32.5979,42.2547,13.2842,0,0,0,0.3418,-0.2225,-0.3934,675,678,679,
2007/12/14,11.50,11.95,10.90,11.10,-0.60,-5.1282,11.8400,12.1650,12.0350,,,2956.0000,4089.1000,675,675,676,29.7422,40.2241,7.5472,24.2476,36.2523,1434,1170,24.2476,36.2523,0.2382,0,0,0,0.1717,-0.2861,-0.3719,675,675,679,
2007/12/17,11.00,11.40,10.35,10.40,-0.70,-6.3063,11.4300,12.0550,12.0400,,,1895.0000,4255.9000,674,675,676,22.2698,35.1676,1.5625,16.6859,29.7302,1061,1172,16.6859,29.7302,-9.4027,0,0,0,-0.0265,-0.3885,-0.3752,685,677,679,
2007/12/18,10.00,10.75,9.80,10.30,-0.10,-0.9615,11.1200,11.8550,12.0050,,,587.0000,4207.4000,674,675,675,21.3503,34.4919,13.3333,15.5684,25.0096,1308,1147,15.5684,25.0096,-3.3140,0,0,0,-0.1553,-0.4723,-0.3946,685,680,680,
2007/12/19,10.30,11.00,10.30,11.00,0.70,6.7961,10.9000,11.6700,11.9675,,,1108.0000,3895.7000,674,675,675,41.6044,42.8739,33.8028,21.6465,23.8886,521,1029,21.6465,23.8886,17.1624,0,0,0,-0.1313,-0.4767,-0.4111,674,679,680,
2007/12/20,11.30,11.50,10.60,10.60,-0.40,-3.6364,10.6800,11.4400,11.8750,,,128.0000,3249.9000,674,675,675,35.3602,39.7067,23.5294,22.2742,23.3504,980,1060,22.2742,23.3504,20.1216,0,0,0,-0.1530,-0.5067,-0.4302,674,679,678,
2007/12/21,11.00,11.00,10.30,10.90,0.30,2.8302,10.6400,11.2400,11.7600,,,693.0000,2660.6000,674,674,675,43.0525,43.1432,44.0000,29.5161,25.4057,565,887,29.5161,25.4057,37.7370,0,0,0,-0.1124,-0.5004,-0.4442,674,679,677,
2007/12/24,10.90,11.20,10.80,11.10,0.20,1.8349,10.7800,11.1050,11.6825,,,1437.0000,2250.8000,674,674,675,48.0027,45.4061,52.0000,37.0107,29.2740,744,823,37.0107,29.2740,52.4842,0,0,0,-0.0474,-0.4739,-0.4502,674,677,677,
2007/12/25,11.10,11.15,10.90,11.10,0.00,0.00,10.9400,11.0300,11.6400,,,1437.0000,1984.4000,674,674,675,48.0027,45.4061,52.0000,42.0072,33.5184,490,660,42.0072,33.5184,58.9847,0,0,0,0.0040,-0.4477,-0.4497,674,674,677,
2007/12/26,11.10,11.15,10.50,10.80,-0.30,-2.7027,10.9000,10.9000,11.5850,,,703.0000,1533.4000,674,674,675,40.4145,42.3940,46.5116,43.5086,36.8485,734,702,43.5086,36.8485,56.8290,0,0,0,0.0059,-0.4460,-0.4489,674,674,677,
2007/12/27,10.75,11.00,10.70,10.70,-0.10,-0.9259,10.9200,10.8000,11.5200,,,-570.0000,1037.4000,674,674,674,38.0110,41.3955,52.9412,46.6528,40.1166,1273,761,46.6528,40.1166,59.7253,0,0,0,0.0022,-0.4475,-0.4486,674,674,677,
2007/12/28,10.70,10.95,10.55,10.85,0.15,1.4019,10.9100,10.7750,11.4700,,,453.0000,787.1000,674,674,674,44.0051,43.5705,61.7647,51.6901,43.9744,1023,852,51.6901,43.9744,67.1215,0,0,0,0.0271,-0.4317,-0.4453,674,674,677,
2007/12/31,10.85,11.60,10.85,11.60,0.75,6.9124,11.0100,10.8950,11.4750,,,1921.0000,789.7000,674,674,674,64.5643,53.0706,100.0000,67.7934,51.9141,1468,997,67.7934,51.9141,99.5520,0,0,0,0.1452,-0.3545,-0.4271,674,674,675,
2008/01/02,11.80,12.40,11.70,12.20,0.60,5.1724,11.2300,11.0850,11.4700,12.3378,,5437.0000,1274.7000,674,674,674,73.7993,59.0825,90.4762,75.3543,59.7275,3516,1602,75.3543,59.7275,106.6080,0,0,0,0.2959,-0.2422,-0.3901,674,674,674,
2008/01/03,12.35,13.05,12.35,13.05,0.85,6.9672,11.6800,11.2900,11.4800,12.2828,,9753.0000,2139.2000,674,674,674,81.8435,65.8446,100.0000,83.5696,67.6749,4316,2319,83.5696,67.6749,115.3590,0,0,0,0.4905,-0.0836,-0.3288,674,674,674,
2008/01/04,13.95,13.95,12.65,13.30,0.25,1.9157,12.2000,11.5600,11.5000,12.2245,,15837.0000,3710.1000,674,674,674,83.6186,67.5645,81.1594,82.7662,72.7053,6084,3281,82.7662,72.7053,102.8879,0,0,0,0.6246,0.0616,-0.2507,674,674,674,
2008/01/07,12.45,12.70,12.40,12.40,-0.90,-6.7669,12.5100,11.7100,11.4750,12.1645,,14703.0000,5111.1000,674,674,674,58.7890,56.4091,55.0725,73.5349,72.9818,1134,3303,73.5349,72.9818,74.6411,0,0,0,0.5656,0.1028,-0.1800,674,674,674,
2008/01/08,11.55,12.00,11.55,11.55,-0.85,-6.8548,12.5000,11.7550,11.4300,12.0970,,11722.0000,6139.6000,674,674,674,43.9863,48.2084,30.4348,59.1682,68.3773,2981,3606,59.1682,68.3773,40.7501,0,0,0,0.3938,0.0661,-0.1308,674,674,674,
