ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/04/30,9.20,9.40,9.20,9.40,0.00,0.00,,,,,,0.0000,,489,,,,,,,,2,,,,,0,,,,,,489,,,
2012/05/02,9.48,9.48,9.11,9.34,-0.06,-0.6383,,,,,,-46.0000,,489,,,,,,,,46,,,,,0,,,,,,489,,,
2012/05/03,9.55,9.55,9.15,9.20,-0.14,-1.4989,,,,,,-67.0000,,489,,,,,,,,21,,,,,0,,,,,,489,,,
2012/05/04,9.20,9.45,9.11,9.35,0.15,1.6304,,,,,,-25.0000,,489,,,,,,,,42,,,,,0,,,,,,489,,,
2012/05/07,9.14,9.24,9.14,9.24,-0.11,-1.1765,9.3060,,,,,-29.0000,,489,490,,,,,,,4,23,,,,0,0,,,,,489,490,,
2012/05/08,9.04,9.20,9.00,9.20,-0.04,-0.4329,9.2660,,,,,-56.0000,,489,490,,,,,,,27,28,,,,0,0,,,,,489,490,,
2012/05/09,8.96,9.17,8.96,9.10,-0.10,-1.087,9.2180,,,,,-73.0000,,489,490,,25.0000,,,,,17,22,,,,0,0,,,,,489,490,,
2012/05/10,9.16,9.16,9.05,9.15,0.05,0.5495,9.2080,,,,,-48.0000,,489,490,,31.8182,,,,,25,23,,,,0,0,,,,,489,490,,
2012/05/11,8.97,9.15,8.95,9.15,0.00,0.00,9.1680,,,,,-48.0000,,489,490,,31.8182,,33.3333,44.4444,48.1481,19,18,44.4444,48.1481,37.0370,0,0,,,,,489,490,,
2012/05/14,8.90,9.15,8.90,9.15,0.00,0.00,9.1500,9.2280,,,,-48.0000,-44.0000,489,490,490,31.8182,,38.4615,42.4501,46.2488,13,20,42.4501,46.2488,34.8528,0,0,0,,,,489,490,490,
2012/05/15,8.51,9.15,8.51,9.14,-0.01,-0.1093,9.1380,9.2020,,,,-81.0000,-52.1000,489,490,490,30.8490,,60.5769,48.4924,46.9967,33,21,48.4924,46.9967,51.4839,0,0,0,,,,489,490,490,
2012/05/16,8.85,9.11,8.85,9.11,-0.03,-0.3282,9.1400,9.1790,,,,-101.0000,-57.6000,489,490,490,27.8004,,63.8298,53.6049,49.1994,20,22,53.6049,49.1994,62.4158,0,0,0,,,,489,490,490,
2012/05/17,9.10,9.10,9.10,9.10,-0.01,-0.1098,9.1300,9.1690,,,,-105.0000,-61.4000,489,490,490,26.7432,28.5714,80.8219,62.6772,53.6920,4,17,62.6772,53.6920,80.6476,0,0,0,,,,489,490,490,
2012/05/21,9.08,9.08,9.08,9.08,-0.02,-0.2198,9.1160,9.1420,,,,-106.0000,-69.5000,489,490,490,24.5067,27.7078,82.6087,69.3210,58.9017,1,14,69.3210,58.9017,90.1598,0,0,0,,,,489,490,490,
2012/05/22,9.02,9.03,8.85,9.03,-0.05,-0.5507,9.0920,9.1210,,,,-113.0000,-77.9000,489,490,490,19.5914,25.5976,78.7879,72.4767,63.4267,7,13,72.4767,63.4267,90.5766,0,0,0,,,,489,490,490,
2012/05/23,9.00,9.08,8.80,8.99,-0.04,-0.443,9.0620,9.1000,,,,-125.0000,-84.8000,646,521,505,16.4282,24.0023,73.8462,72.9332,66.5955,12,8,72.9332,66.5955,85.6085,0,0,0,,,,646,521,505,
2012/05/24,9.00,9.00,8.75,8.80,-0.19,-2.1135,9.0000,9.0700,,,,-133.0000,-90.8000,646,552,521,8.5549,18.1431,45.3125,63.7263,65.6391,8,6,63.7263,65.6391,59.9006,0,0,0,,,,646,552,521,
2012/05/25,8.60,8.71,8.20,8.69,-0.11,-1.25,8.9180,9.0240,,,,-149.0000,-100.9000,646,584,537,6.4180,15.7195,51.5789,59.6772,63.6518,16,8,59.6772,63.6518,51.7279,0,0,0,,,,646,584,537,
2012/05/28,8.68,8.98,8.50,8.79,0.10,1.1507,8.8600,8.9880,,,,-144.0000,-110.5000,646,615,552,26.4579,25.5786,62.1053,60.4865,62.5967,5,9,60.4865,62.5967,56.2662,0,0,0,,,,646,615,552,
2012/05/29,8.93,9.18,8.90,9.13,0.34,3.868,8.8800,8.9860,9.1070,,,-132.0000,-118.9000,646,647,568,60.7503,48.0982,94.8980,71.9570,65.7168,12,10,71.9570,65.7168,84.4374,0,0,0,,,,646,647,568,
2012/05/30,8.81,9.11,8.81,9.11,-0.02,-0.2191,8.9040,8.9830,9.0925,,,-137.0000,-124.5000,646,647,584,58.8144,47.1820,92.8571,78.9237,70.1191,5,9,78.9237,70.1191,96.5329,0,0,0,,,,646,647,584,
2012/05/31,8.70,9.00,8.70,9.00,-0.11,-1.2075,8.9440,8.9720,9.0755,,,-145.0000,-128.9000,646,647,600,48.5942,42.3428,81.6327,79.8267,73.3550,8,9,79.8267,73.3550,92.7702,0,0,0,,,,646,647,600,
2012/06/01,8.50,8.91,8.50,8.88,-0.12,-1.3333,8.9820,8.9500,9.0595,,,-184.0000,-136.8000,646,647,615,39.5886,37.7365,69.3878,76.3470,74.3523,39,13,76.3470,74.3523,80.3365,0,0,0,,,,646,647,615,
2012/06/04,8.88,9.00,8.33,8.43,-0.45,-5.0676,8.9100,8.8850,9.0135,,,-204.0000,-146.6000,646,647,631,21.5865,26.1148,23.4694,58.7212,69.1419,20,16,58.7212,69.1419,37.8796,0,0,0,,,,646,647,631,
2012/06/05,8.50,9.00,8.50,8.80,0.37,4.3891,8.8440,8.8620,8.9915,,,-175.0000,-152.8000,646,647,647,45.8719,42.1071,61.2245,59.5556,65.9465,29,20,59.5556,65.9465,46.7738,0,0,0,,,,646,647,647,
2012/06/06,8.65,8.88,8.50,8.88,0.08,0.9091,8.7980,8.8510,8.9755,,,-137.0000,-154.0000,646,647,647,49.8980,44.9192,69.3878,62.8330,64.9087,38,26,62.8330,64.9087,58.6816,0,0,0,,-0.1244,,646,647,647,
2012/06/07,8.97,8.98,8.67,8.98,0.10,1.1261,8.7940,8.8690,8.9695,,,-130.0000,-153.7000,646,647,647,54.9268,48.3410,76.4706,67.3789,65.7321,7,26,67.3789,65.7321,70.6724,0,0,0,,-0.1078,,646,647,647,
2012/06/08,8.92,8.92,8.92,8.92,-0.06,-0.6682,8.8020,8.8920,8.9580,,,-132.0000,-152.0000,646,647,647,51.2249,46.4522,69.4118,68.0565,66.5069,2,19,68.0565,66.5069,71.1557,0,0,0,,-0.0983,,646,647,647,
2012/06/11,9.00,9.09,8.92,9.07,0.15,1.6816,8.9300,8.9200,8.9540,,,-113.0000,-148.9000,646,647,647,59.4282,51.6089,94.8718,76.9949,70.0029,19,19,76.9949,70.0029,90.9790,0,0,0,,-0.0778,,646,647,647,
2012/06/12,8.80,9.05,8.60,9.05,-0.02,-0.2205,8.9800,8.9120,8.9490,,,-161.0000,-151.8000,646,647,647,57.8709,50.8960,94.7368,82.9089,74.3049,48,22,82.9089,74.3049,100.1169,0,0,0,,-0.0625,,646,647,647,
2012/06/13,9.10,9.15,8.75,9.05,0.00,0.00,9.0140,8.9060,8.9445,,,-161.0000,-154.2000,646,647,647,57.8709,50.8960,87.8049,84.5409,77.7169,35,22,84.5409,77.7169,98.1889,0,0,0,,-0.0497,,646,647,647,
