ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/02/07,23.00,23.50,23.00,23.50,0.00,0.00,,,,,,0.0000,,471,,,,,,,,2,,,,,0,,,,,,471,,,
2012/02/08,23.00,23.00,23.00,23.00,-0.50,-2.1277,,,,,,-2.0000,,471,,,,,,,,2,,,,,0,,,,,,471,,,
2012/02/09,22.00,22.75,21.50,22.50,-0.50,-2.1739,,,,,,-11.0000,,471,,,,,,,,9,,,,,0,,,,,,471,,,
2012/02/10,21.50,22.00,21.50,22.00,-0.50,-2.2222,,,,,,-16.0000,,471,,,,,,,,5,,,,,0,,,,,,471,,,
2012/02/13,21.50,21.50,21.20,21.20,-0.80,-3.6364,22.4400,,,,,-23.0000,,471,472,,,,,,,7,5,,,,0,0,,,,,471,472,,
2012/02/14,21.00,21.45,21.00,21.45,0.25,1.1792,22.0300,,,,,-15.0000,,471,472,,,,,,,8,6,,,,0,0,,,,,471,472,,
2012/02/15,21.45,22.85,21.45,22.85,1.40,6.5268,22.0000,,,,,-10.0000,,471,472,,41.7722,,,,,5,6,,,,0,0,,,,,471,472,,
2012/02/16,22.85,22.85,22.85,22.85,0.00,0.00,22.0700,,,,,-10.0000,,471,472,,41.7722,,,,,1,5,,,,0,0,,,,,471,472,,
2012/02/17,23.00,23.00,23.00,23.00,0.15,0.6565,22.2700,,,,,-9.0000,,471,472,,44.7912,,80.0000,60.0000,53.3333,1,4,60.0000,53.3333,73.3333,0,0,,,,,471,472,,
2012/02/20,22.50,22.80,21.50,22.80,-0.20,-0.8696,22.5900,22.5150,,,,-14.0000,-11.0000,471,472,472,41.3600,,90.0000,70.0000,58.8889,5,4,70.0000,58.8889,92.2222,0,0,0,,,,471,472,472,
2012/02/21,22.80,22.80,22.80,22.80,0.00,0.00,22.8600,22.4450,,,,-14.0000,-12.4000,471,472,472,41.3600,,90.0000,76.6667,64.8148,1,2,76.6667,64.8148,100.3704,0,0,0,,,,471,472,472,
2012/02/23,22.60,22.60,22.55,22.55,-0.25,-1.0965,22.8000,22.4000,,,,-19.0000,-14.1000,471,472,472,36.3482,,77.5000,76.9444,68.8580,5,2,76.9444,68.8580,93.1173,0,0,0,,,,471,472,472,
