ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/14,208.00,209.00,205.50,205.50,0.00,0.00,,,,,,0.0000,,141602,,,,,,,,964,,,,,732,,,,,,166905,,,
2012/06/15,206.50,212.50,205.00,212.00,6.50,3.163,,,,,,2431.0000,,140882,,,,,,,,2431,,,,,816,,,,,,166407,,,
2012/06/18,216.00,220.00,216.00,218.00,6.00,2.8302,,,,,,4362.0000,,140972,,,,,,,,1931,,,,,863,,,,,,166572,,,
2012/06/19,221.50,222.00,212.00,218.00,0.00,0.00,,,,,,4362.0000,,141605,,,,,,,,1987,,,,,713,,,,,,166765,,,
2012/06/20,219.50,221.00,218.50,220.00,2.00,0.9174,214.7000,,,,,5630.0000,,141869,141386,,,,,,,1268,1716,,,,737,773,,,,,167108,166752,,
2012/06/21,221.00,221.00,216.00,216.00,-4.00,-1.8182,216.8000,,,,,4517.0000,,141931,141452,,,,,,,1113,1746,,,,754,777,,,,,167187,166809,,
2012/06/22,212.50,214.50,212.00,213.00,-3.00,-1.3889,217.0000,,,,,3542.0000,,141446,141565,,67.4419,,,,,975,1454,,,,687,752,,,,,166578,166843,,
2012/06/25,213.00,217.00,211.00,212.50,-0.50,-0.2347,215.9000,,,,,2660.0000,,141445,141660,,65.6109,,,,,882,1245,,,,691,717,,,,,166566,166842,,
2012/06/26,210.50,211.50,206.00,206.00,-6.50,-3.0588,213.5000,,,,,1540.0000,,140444,141427,,46.0903,,5.8824,35.2941,45.0980,1120,1071,35.2941,45.0980,15.6863,665,707,,,,,165538,166596,,
2012/06/27,205.00,205.50,200.00,202.00,-4.00,-1.9417,209.9000,212.3000,,,,-1781.0000,2726.3000,138755,140805,141096,37.7880,,9.0909,26.5597,38.9186,3321,1482,26.5597,38.9186,1.8419,708,701,737,,,,163603,165895,166324,
2012/06/28,202.50,204.50,197.00,198.00,-4.00,-1.9802,206.3000,211.5500,,,,-4161.0000,2310.2000,137966,140012,140732,31.0716,,4.0000,19.0398,32.2923,2380,1735,19.0398,32.2923,-7.4652,682,687,732,,,,162701,164998,165903,
