ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,39.00,40.40,39.00,40.00,0.00,0.00,,,,,,0.0000,,150,,,,,,,,258,,,,,0,,,,,,1508,,,
2012/06/29,39.70,40.20,39.60,39.95,-0.05,-0.125,,,,,,-102.0000,,152,,,,,,,,102,,,,,0,,,,,,1510,,,
2012/07/02,40.00,40.20,39.60,39.65,-0.30,-0.7509,,,,,,-264.0000,,161,,,,,,,,162,,,,,0,,,,,,1519,,,
2012/07/03,40.00,41.50,39.85,40.50,0.85,2.1438,,,,,,178.0000,,169,,,,,,,,442,,,,,0,,,,,,1527,,,
2012/07/04,40.65,40.85,40.55,40.85,0.35,0.8642,40.1900,,,,,346.0000,,175,162,,,,,,,168,226,,,,0,0,,,,,1533,1520,,
2012/07/05,40.90,41.05,40.55,40.90,0.05,0.1224,40.3700,,,,,497.0000,,170,166,,,,,,,151,205,,,,0,0,,,,,1528,1524,,
2012/07/06,40.90,40.90,40.05,40.05,-0.85,-2.0782,40.3900,,,,,287.0000,,145,164,,51.0204,,,,,210,226,,,,0,0,,,,,1503,1523,,
2012/07/09,40.05,40.05,39.60,39.65,-0.40,-0.9988,40.3900,,,,,196.0000,,96,151,,42.6621,,,,,91,212,,,,0,0,,,,,1454,1510,,
2012/07/10,39.20,39.20,38.50,38.70,-0.95,-2.396,40.0300,,,,,16.0000,,94,136,,29.0833,,6.6667,35.5556,45.1852,180,160,35.5556,45.1852,16.2963,0,0,,,,,1452,1495,,
2012/07/11,38.70,39.30,38.60,39.30,0.60,1.5504,39.7200,39.9550,,,,121.0000,127.5000,94,120,141,42.8657,,26.6667,32.5926,40.9877,105,147,32.5926,40.9877,15.8025,0,0,0,,,,1452,1478,1499,
2012/07/12,39.50,39.50,38.70,38.70,-0.60,-1.5267,39.2800,39.8250,,,,47.0000,132.2000,93,105,135,34.7593,,6.6667,23.9506,35.3086,74,132,23.9506,35.3086,1.2346,0,0,0,,,,1451,1463,1493,
2012/07/13,38.50,39.20,38.50,38.60,-0.10,-0.2584,38.9900,39.6900,,,,-79.0000,134.5000,93,94,129,33.4925,,3.3333,17.0782,29.2318,126,115,17.0782,29.2318,-7.2291,0,0,0,,,,1451,1453,1488,
2012/07/16,39.25,39.35,37.60,38.00,-0.60,-1.5544,38.6600,39.5250,,,,-229.0000,138.0000,95,94,123,26.5309,32.4561,11.5942,15.2502,24.5713,150,127,15.2502,24.5713,-3.3920,0,0,0,,,,1422,1446,1478,
2012/07/17,37.50,38.25,37.50,38.00,0.00,0.00,38.5200,39.2750,,,,-229.0000,97.3000,102,96,116,26.5309,32.4561,14.0845,14.8616,21.3347,90,109,14.8616,21.3347,1.9154,0,0,0,,,,1412,1438,1466,
2012/07/18,38.50,38.50,38.00,38.00,0.00,0.00,38.2600,38.9900,,,,-229.0000,39.8000,102,97,109,26.5309,32.4561,14.7059,14.8097,19.1597,31,94,14.8097,19.1597,6.1097,0,0,0,,,,1412,1430,1454,
2012/07/19,38.45,38.75,38.05,38.75,0.75,1.9737,38.2700,38.7750,,,,-81.0000,-18.0000,110,101,103,49.2956,42.3109,49.0196,26.2130,21.5108,148,109,26.2130,21.5108,35.6174,0,0,0,,,,1372,1414,1439,
2012/07/20,38.75,38.75,38.35,38.50,-0.25,-0.6452,38.2500,38.6200,,,,-141.0000,-60.8000,116,105,100,43.8596,40.1792,50.0000,34.1420,25.7212,60,95,34.1420,25.7212,50.9836,0,0,0,,,,1378,1400,1426,
2012/07/23,38.30,38.30,37.50,37.70,-0.80,-2.0779,38.1900,38.4250,,,,-247.0000,-105.1000,100,106,100,30.8121,34.1695,10.0000,26.0947,25.8457,106,87,26.0947,25.8457,26.5926,0,0,0,,,,1362,1388,1417,
2012/07/24,37.70,37.70,36.55,36.80,-0.90,-2.3873,37.9500,38.2350,,,,-414.0000,-148.1000,109,108,102,21.9835,28.8699,8.4746,20.2213,23.9709,167,102,20.2213,23.9709,12.7221,0,0,0,,,,1371,1380,1409,
2012/07/25,36.80,37.30,36.10,36.90,0.10,0.2717,37.7300,37.9950,38.9750,,,-216.0000,-181.8000,118,111,104,24.8544,30.1825,24.6154,21.6860,23.2093,198,135,21.6860,23.2093,18.6395,0,0,0,,,,1380,1373,1402,
2012/07/26,35.50,35.50,34.65,34.80,-2.10,-5.6911,36.9400,37.6050,38.7150,,,-386.0000,-225.1000,118,112,106,12.8959,21.2144,3.1915,15.5212,20.6466,170,140,15.5212,20.6466,5.2704,0,0,0,,,,1380,1375,1395,
2012/07/27,35.10,35.50,35.00,35.50,0.70,2.0115,36.3400,37.2950,38.4925,,,-243.0000,-241.5000,120,113,109,26.9541,28.8969,20.7317,17.2580,19.5170,143,156,17.2580,19.5170,12.7399,0,0,0,,,,1382,1376,1388,
2012/07/30,35.00,35.65,35.00,35.40,-0.10,-0.2817,35.8800,37.0350,38.2800,,,-331.0000,-251.7000,119,117,112,26.2284,28.4643,18.2927,17.6029,18.8790,88,153,17.6029,18.8790,15.0507,0,0,0,,,,1381,1379,1384,
2012/07/31,35.30,35.40,34.70,35.20,-0.20,-0.565,35.5600,36.7550,38.0150,,,-382.0000,-267.0000,123,120,114,24.6365,27.5641,13.4146,16.2068,17.9883,51,130,16.2068,17.9883,12.6439,0,0,0,,,,1385,1382,1381,
2012/08/01,35.50,35.65,35.20,35.40,0.20,0.5682,35.2600,36.4950,37.7425,,,-311.0000,-275.2000,124,121,116,29.7528,29.9799,18.2927,16.9021,17.6262,71,104,16.9021,17.6262,15.4539,0,0,0,,,,1386,1383,1378,
2012/08/03,35.40,35.50,34.50,35.10,-0.30,-0.8475,35.3200,36.1300,37.4525,,,-467.0000,-313.8000,121,122,117,26.5129,28.4284,15.7895,16.5312,17.2612,156,101,16.5312,17.2612,15.0712,175,35,18,,-1.8028,,1558,1419,1397,
2012/08/06,35.50,35.90,35.20,35.75,0.65,1.8519,35.3700,35.8550,37.2375,,,-287.0000,-328.4000,131,124,118,42.7277,36.2289,39.0625,24.0417,19.5214,180,109,24.0417,19.5214,33.0822,142,63,32,,-1.7157,,1535,1450,1413,
2012/08/07,35.75,36.50,35.75,36.40,0.65,1.8182,35.5700,35.7250,37.0750,,,-72.0000,-310.9000,133,127,122,54.7175,43.0053,67.8571,38.6468,25.8965,215,134,38.6468,25.8965,64.1474,110,85,43,,-1.5761,,1505,1474,1427,
2012/08/08,36.40,36.65,36.00,36.50,0.10,0.2747,35.8300,35.6950,36.9650,,,150.0000,-254.5000,130,128,124,56.4025,44.0039,93.0233,56.7723,36.1884,222,168,56.7723,36.1884,97.9400,31,92,46,,-1.4408,,1423,1482,1432,
2012/08/09,36.80,36.80,36.40,36.60,0.10,0.274,36.0700,35.6650,36.8300,,,241.0000,-208.8000,136,130,126,58.2660,45.0542,91.3043,68.2830,46.8866,91,172,68.2830,46.8866,111.0757,10,94,47,,-1.3103,,1408,1486,1435,
2012/08/10,36.65,37.10,36.30,37.10,0.50,1.3661,36.4700,35.8950,36.7500,,,466.0000,-123.6000,137,134,128,66.7846,50.1537,100.0000,78.8553,57.5429,225,186,78.8553,57.5429,121.4803,0,59,47,,-1.1533,,1399,1455,1437,
2012/08/13,37.10,37.50,37.10,37.25,0.15,0.4043,36.7700,36.0700,36.6825,,,612.0000,-38.1000,136,135,129,69.0583,51.6231,91.6667,83.1258,66.0705,146,179,83.1258,66.0705,117.2363,0,30,47,,-1.0052,,1398,1427,1438,
2012/08/14,37.25,37.90,37.25,37.85,0.60,1.6107,37.0600,36.3150,36.6750,,,751.0000,70.1000,138,136,131,76.7105,57.1369,98.5294,88.2603,73.4671,139,164,88.2603,73.4671,117.8467,0,8,47,,-0.8298,,1400,1406,1440,
2012/08/15,37.85,38.50,37.85,38.25,0.40,1.0568,37.4100,36.6200,36.6875,,,971.0000,205.4000,138,137,133,80.5572,60.4178,93.7500,90.0902,79.0081,220,164,90.0902,79.0081,112.2544,0,2,47,1.2501,-0.6511,-1.2761,1400,1402,1442,
2012/08/16,38.20,38.40,37.70,38.30,0.05,0.1307,37.7500,36.9100,36.7025,,,1127.0000,349.2000,158,142,136,81.0273,60.8267,93.9394,91.3733,83.1298,156,177,91.3733,83.1298,107.8601,0,0,47,1.2425,-0.4996,-1.1208,1420,1404,1445,
2012/08/17,38.30,39.00,38.30,38.75,0.45,1.1749,38.0800,37.2750,36.7025,,,1264.0000,522.3000,161,146,140,84.9555,64.4340,92.3077,91.6847,85.9815,137,159,91.6847,85.9815,103.0913,0,0,29,1.2504,-0.3393,-0.9645,1423,1409,1432,
2012/08/20,38.95,39.00,38.30,38.35,-0.40,-1.0323,38.3000,37.5350,36.6950,,,1173.0000,668.3000,161,151,143,69.5873,59.1521,78.3333,87.2343,86.3991,91,148,87.2343,86.3991,88.9047,0,0,15,1.1563,-0.2418,-0.8200,1420,1413,1420,
2012/08/21,38.35,38.55,38.00,38.15,-0.20,-0.5215,38.3600,37.7100,36.7175,,,1061.0000,781.6000,166,157,146,62.7739,56.6204,68.5185,80.9957,84.5979,112,143,80.9957,84.5979,73.7912,0,0,4,1.0262,-0.1786,-0.6917,1400,1413,1410,
2012/08/22,36.50,38.25,36.50,37.80,-0.35,-0.9174,38.2700,37.8400,36.7675,,,989.0000,865.5000,179,165,151,52.0680,52.3435,55.5556,72.5156,80.5705,72,113,72.5156,80.5705,56.4059,0,0,1,0.8588,-0.1550,-0.5844,1413,1416,1409,
2012/08/23,37.45,38.50,37.45,37.95,0.15,0.3968,38.2000,37.9750,36.8200,,,1070.0000,948.4000,180,170,156,55.9331,53.9691,58.0000,67.6771,76.2727,81,98,67.6771,76.2727,50.4859,0,0,0,0.7386,-0.1227,-0.4920,1414,1415,1409,
2012/08/24,37.95,38.00,37.60,37.85,-0.10,-0.2635,38.0200,38.0500,36.9725,,,849.0000,986.7000,185,174,160,52.5435,52.6627,54.0000,63.1181,71.8878,221,115,63.1181,71.8878,45.5785,0,0,0,0.6208,-0.1040,-0.4144,1361,1402,1405,
2012/08/27,38.00,38.10,37.80,37.95,0.10,0.2642,37.9400,38.1200,37.0950,,,912.0000,1016.7000,184,179,165,55.7606,53.8806,58.0000,61.4120,68.3959,63,109,61.4120,68.3959,47.4443,0,0,0,0.5347,-0.0802,-0.3476,1360,1390,1402,
2012/08/28,37.95,38.00,37.50,37.90,-0.05,-0.1318,37.8900,38.1250,37.2200,,,790.0000,1020.6000,185,183,170,53.5812,53.1349,56.0000,59.6080,65.4666,122,111,59.6080,65.4666,47.8909,0,0,0,0.4527,-0.0647,-0.2910,1349,1380,1397,
