ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/04,25.90,27.15,25.40,27.15,0.00,0.00,,,,,,0.0000,,60893,,,,,,,,38,,,,,0,,,,,,60893,,,
2012/05/07,26.95,26.95,26.85,26.85,-0.30,-1.105,,,,,,-2.0000,,60893,,,,,,,,2,,,,,0,,,,,,60893,,,
2012/05/08,27.05,27.10,27.00,27.00,0.15,0.5587,,,,,,1.0000,,60893,,,,,,,,3,,,,,0,,,,,,60893,,,
2012/05/09,26.95,26.95,26.95,26.95,-0.05,-0.1852,,,,,,0.0000,,60893,,,,,,,,1,,,,,0,,,,,,60893,,,
2012/05/10,26.95,26.95,25.80,26.75,-0.20,-0.7421,26.9400,,,,,-11.0000,,60893,60894,,,,,,,11,11,,,,0,0,,,,,60893,60894,,
2012/05/11,26.00,26.40,26.00,26.40,-0.35,-1.3084,26.7900,,,,,-16.0000,,60893,60894,,,,,,,5,4,,,,0,0,,,,,60893,60894,,
2012/05/14,25.65,26.25,25.65,26.10,-0.30,-1.1364,26.6400,,,,,-22.0000,,60893,60894,,11.1111,,,,,6,5,,,,0,0,,,,,60893,60894,,
2012/05/15,26.90,26.90,25.25,25.25,-0.85,-3.2567,26.2900,,,,,-31.0000,,60893,60894,,6.3291,,,,,9,6,,,,0,0,,,,,60893,60894,,
2012/05/16,25.60,25.60,25.00,25.50,0.25,0.9901,26.0000,,,,,-20.0000,,60893,60894,,18.6813,,23.2558,41.0853,47.0284,11,8,41.0853,47.0284,29.1990,0,0,,,,,60893,60894,,
2012/05/17,24.85,25.40,24.80,25.25,-0.25,-0.9804,25.7000,26.3200,,,,-28.0000,-12.9000,60893,60894,60894,16.1290,,19.5652,33.9119,42.6563,8,7,33.9119,42.6563,16.4232,0,0,0,,,,60893,60894,60894,
