ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/03/06,72.90,79.80,72.70,79.80,0.00,0.00,,,,,,0.0000,,1,,,,,,,,21,,,,,0,,,,,,1,,,
2012/03/07,75.00,75.00,75.00,75.00,-4.80,-6.015,,,,,,-1.0000,,1,,,,,,,,1,,,,,0,,,,,,1,,,
2012/03/08,77.70,77.70,76.00,76.00,1.00,1.3333,,,,,,3.0000,,1,,,,,,,,4,,,,,0,,,,,,1,,,
2012/03/09,79.50,79.50,78.50,78.50,2.50,3.2895,,,,,,5.0000,,1,,,,,,,,2,,,,,0,,,,,,1,,,
2012/03/12,79.50,79.50,75.50,78.80,0.30,0.3822,77.6200,,,,,9.0000,,1,1,,,,,,,4,6,,,,0,0,,,,,1,1,,
2012/03/13,78.80,83.90,74.30,83.90,5.10,6.4721,78.4400,,,,,16.0000,,1,1,,,,,,,7,3,,,,0,0,,,,,1,1,,
2012/03/14,80.00,83.70,78.40,83.70,-0.20,-0.2384,80.1800,,,,,6.0000,,1,1,,64.0288,,,,,10,5,,,,0,0,,,,,1,1,,
2012/03/15,78.00,78.00,78.00,78.00,-5.70,-6.81,80.5800,,,,,5.0000,,1,1,,42.9122,,,,,1,4,,,,0,0,,,,,1,1,,
2012/03/16,82.70,82.70,82.50,82.50,4.50,5.7692,81.3800,,,,,7.0000,,1,1,,56.5026,,87.5000,62.5000,54.1667,2,4,62.5000,54.1667,79.1667,0,0,,,,,1,1,,
2012/03/19,84.30,84.30,84.30,84.30,1.80,2.1818,82.4800,80.0500,,,,8.0000,5.8000,1,1,1,60.9633,,100.0000,75.0000,61.1111,1,4,75.0000,61.1111,102.7778,0,0,0,,,,1,1,1,
2012/03/21,81.80,81.80,81.80,81.80,-2.50,-2.9656,82.0600,80.2500,,,,7.0000,6.5000,1,1,1,52.0645,,75.0000,75.0000,65.7407,1,3,75.0000,65.7407,93.5185,0,0,0,,,,1,1,1,
2012/03/22,76.20,78.70,76.10,76.10,-5.70,-6.9682,80.5400,80.3600,,,,-1.0000,6.5000,1,1,1,37.2057,,18.0000,56.0000,62.4938,8,2,56.0000,62.4938,43.0123,0,0,0,,,,1,1,1,
2012/03/23,77.70,77.70,77.50,77.50,1.40,1.8397,80.4400,80.5100,,,,1.0000,6.3000,1,1,1,42.0778,46.7606,32.0000,48.0000,57.6626,2,2,48.0000,57.6626,28.6749,0,0,0,,,,1,1,1,
2012/03/26,74.50,77.10,74.50,77.00,-0.50,-0.6452,79.3400,80.3600,,,,-3.0000,5.5000,1,1,1,40.7237,46.0530,27.0000,41.0000,52.1084,4,3,41.0000,52.1084,18.7833,0,0,0,,,,1,1,1,
2012/03/27,75.00,76.30,75.00,76.30,-0.70,-0.9091,77.7400,80.1100,,,,-6.0000,4.0000,1,1,1,38.6348,45.0127,18.3673,33.4558,45.8908,3,3,33.4558,45.8908,8.5857,0,0,0,,,,1,1,1,
2012/03/28,74.50,74.70,74.00,74.60,-1.70,-2.228,76.3000,79.1800,,,,-13.0000,1.1000,1,1,1,33.6106,42.4709,5.8252,24.2456,38.6758,7,4,24.2456,38.6758,-4.6147,0,0,0,,,,1,1,1,
2012/03/29,74.60,74.70,72.50,72.50,-2.10,-2.815,75.5800,78.0600,,,,-22.0000,-1.7000,1,1,1,28.1786,39.4676,0.0000,16.1637,31.1718,9,5,16.1637,31.1718,-13.8523,0,0,0,,,,1,1,1,
2012/03/30,74.60,77.20,73.10,75.70,3.20,4.4138,75.2200,77.8300,,,,-11.0000,-3.3000,1,1,1,44.5620,45.8348,27.1186,19.8154,27.3863,11,6,19.8154,27.3863,4.6735,0,0,0,,,,1,1,1,
2012/04/02,77.00,77.00,77.00,77.00,1.30,1.7173,75.2200,77.2800,,,,-7.0000,-4.7000,1,1,1,50.1100,48.2473,48.3871,29.3393,28.0373,4,6,29.3393,28.0373,31.9433,0,0,0,,,,1,1,1,
2012/04/03,75.80,80.20,75.00,80.20,3.20,4.1558,76.0000,76.8700,78.4600,,,-2.0000,-5.7000,1,1,1,61.4930,53.7759,100.0000,52.8929,36.3225,5,7,52.8929,36.3225,86.0336,0,0,0,,,,1,1,1,
2012/04/05,76.00,79.00,76.00,77.20,-3.00,-3.7406,76.5200,76.4100,78.3300,,,-9.0000,-7.3000,1,1,1,48.9328,48.4793,61.0390,55.6082,42.7511,7,7,55.6082,42.7511,81.3226,0,0,0,,,,1,1,1,
2012/04/06,74.00,76.00,74.00,75.00,-2.20,-2.8497,77.0200,76.3000,78.3300,,,-14.0000,-8.6000,1,1,1,41.4775,44.9384,32.4675,47.8947,44.4656,5,6,47.8947,44.4656,54.7528,0,0,0,,,,1,1,1,
2012/04/09,77.10,77.70,77.10,77.70,2.70,3.60,77.4200,76.3200,78.4150,,,-9.0000,-9.6000,1,1,1,52.2024,49.8432,67.5325,54.4406,47.7906,5,5,54.4406,47.7906,67.7406,0,0,0,,,,1,1,1,
2012/04/10,77.50,77.50,77.50,77.50,-0.20,-0.2574,77.5200,76.3700,78.3650,,,-11.0000,-10.4000,1,1,1,51.3657,49.4869,64.9351,57.9388,51.1733,2,4,57.9388,51.1733,71.4696,0,0,0,,,,1,1,1,
2012/04/16,77.40,78.00,77.40,78.00,0.50,0.6452,77.0800,76.5400,78.3250,,,-9.0000,-10.7000,1,1,1,53.5970,50.4527,71.4286,62.4354,54.9273,2,4,62.4354,54.9273,77.4514,0,0,0,,,,1,1,1,
2012/04/17,75.20,75.40,75.20,75.40,-2.60,-3.3333,76.7200,76.6200,77.9000,,,-11.0000,-10.5000,1,1,1,41.6678,45.5162,32.3944,52.4217,54.0921,2,3,52.4217,54.0921,49.0808,0,0,0,,-0.8133,,1,1,1,
2012/04/19,74.50,74.50,74.50,74.50,-0.90,-1.1936,76.6200,76.8200,77.4400,,,-12.0000,-9.5000,1,1,1,38.1415,43.8944,8.0645,37.6360,48.6067,1,2,37.6360,48.6067,15.6944,0,0,0,,-0.9520,,1,1,1,
2012/04/23,74.00,74.00,74.00,74.00,-0.50,-0.6711,75.8800,76.6500,77.2400,,,-14.0000,-9.8000,1,1,1,36.1046,42.9666,0.0000,25.0906,40.7680,2,1,25.0906,40.7680,-6.2641,0,0,0,,-1.0898,,1,1,1,
