ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/13,11.30,11.45,11.25,11.25,0.00,0.00,,,,,,0.0000,,23110,,,,,,,,35,,,,,0,,,,,,23110,,,
2012/06/14,11.20,11.35,11.05,11.20,-0.05,-0.4444,,,,,,-16.0000,,23110,,,,,,,,16,,,,,0,,,,,,23110,,,
2012/06/15,11.05,11.25,11.05,11.25,0.05,0.4464,,,,,,45.0000,,23110,,,,,,,,61,,,,,0,,,,,,23110,,,
2012/06/18,11.35,11.55,11.35,11.50,0.25,2.2222,,,,,,102.0000,,23110,,,,,,,,57,,,,,0,,,,,,23110,,,
2012/06/19,11.40,11.40,11.40,11.40,-0.10,-0.8696,11.3200,,,,,86.0000,,23110,23110,,,,,,,16,37,,,,0,0,,,,,23110,23110,,
2012/06/20,11.50,11.75,11.50,11.60,0.20,1.7544,11.3900,,,,,168.0000,,23110,23110,,,,,,,82,46,,,,0,0,,,,,23110,23110,,
2012/06/21,11.50,11.80,11.50,11.50,-0.10,-0.8621,11.4500,,,,,112.0000,,23110,23110,,66.6667,,,,,56,54,,,,0,0,,,,,23110,23110,,
2012/06/22,11.50,11.65,11.30,11.50,0.00,0.00,11.5000,,,,,112.0000,,23110,23110,,66.6667,,,,,71,56,,,,0,0,,,,,23110,23110,,
2012/06/25,11.60,11.80,11.40,11.60,0.10,0.8696,11.5200,,,,,170.0000,,23110,23110,,72.0358,,73.3333,57.7778,52.5926,58,56,57.7778,52.5926,68.1481,0,0,,,,,23110,23110,,
2012/06/26,11.60,11.70,11.60,11.60,0.00,0.00,11.5600,11.4400,,,,170.0000,94.9000,23110,23110,23110,72.0358,,73.3333,62.9630,56.0494,16,56,62.9630,56.0494,76.7901,0,0,0,,,,23110,23110,23110,
2012/06/27,11.55,11.70,11.55,11.55,-0.05,-0.431,11.5500,11.4700,,,,137.0000,108.6000,23110,23110,23110,64.5498,,66.6667,64.1975,58.7654,33,46,64.1975,58.7654,75.0617,0,0,0,,,,23110,23110,23110,
2012/06/28,11.55,11.60,11.30,11.30,-0.25,-2.1645,11.5100,11.4800,,,,72.0000,117.4000,23110,23110,23110,39.7590,,0.0000,42.7984,53.4431,65,48,42.7984,53.4431,21.5089,0,0,0,,,,23110,23110,23110,
2012/06/29,11.15,11.30,11.15,11.30,0.00,0.00,11.4700,11.4850,,,,72.0000,120.1000,23110,23110,23110,39.7590,52.1739,23.0769,36.2245,47.7036,81,50,36.2245,47.7036,13.2665,0,0,0,,,,23110,23110,23110,
2012/07/02,11.35,11.40,11.20,11.30,0.00,0.00,11.4100,11.4650,,,,72.0000,117.1000,23110,23110,23110,39.7590,52.1739,23.0769,31.8420,42.4164,34,45,31.8420,42.4164,10.6933,0,0,0,,,,23110,23110,23110,
2012/07/03,11.30,11.45,11.30,11.35,0.05,0.4425,11.3600,11.4600,,,,105.0000,119.0000,23110,23110,23110,46.8178,54.5268,30.7692,31.4844,38.7724,33,49,31.4844,38.7724,16.9085,0,0,0,,,,23110,23110,23110,
2012/07/04,11.40,11.45,11.35,11.45,0.10,0.8811,11.3400,11.4450,,,,139.0000,116.1000,23110,23110,23110,58.4912,58.9347,46.1538,36.3742,37.9730,34,49,36.3742,37.9730,33.1767,0,0,0,,,,23110,23110,23110,
