ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/08,19.25,19.45,18.90,18.90,0.00,0.00,,,,,,0.0000,,896,,,,,,,,176,,,,,0,,,,,,897,,,
2012/06/11,19.30,20.20,19.00,20.10,1.20,6.3492,,,,,,1601.0000,,955,,,,,,,,1601,,,,,0,,,,,,956,,,
2012/06/12,19.50,20.10,19.50,19.80,-0.30,-1.4925,,,,,,1185.0000,,931,,,,,,,,416,,,,,0,,,,,,932,,,
2012/06/13,19.90,20.20,19.60,20.20,0.40,2.0202,,,,,,1795.0000,,957,,,,,,,,610,,,,,0,,,,,,958,,,
2012/06/14,20.20,20.30,19.90,19.90,-0.30,-1.4851,19.7800,,,,,1040.0000,,937,936,,,,,,,755,711,,,,0,0,,,,,938,936,,
2012/06/15,20.10,20.25,20.05,20.05,0.15,0.7538,20.0100,,,,,1468.0000,,967,950,,,,,,,428,762,,,,0,0,,,,,968,951,,
2012/06/18,20.50,20.75,20.20,20.60,0.55,2.7431,20.1100,,,,,2315.0000,,986,956,,79.3103,,,,,847,611,,,,0,0,,,,,987,957,,
2012/06/19,20.60,20.60,19.90,20.00,-0.60,-2.9126,20.1500,,,,,1704.0000,,988,967,,63.5359,,,,,611,650,,,,0,0,,,,,989,968,,
2012/06/20,20.20,21.10,20.20,20.80,0.80,4.00,20.2700,,,,,2989.0000,,1391,1054,,72.3386,,86.3636,62.1212,54.0404,1285,785,62.1212,54.0404,78.2828,0,0,,,,,1392,1055,,
2012/06/21,20.50,21.10,20.50,20.80,0.00,0.00,20.4500,20.1150,,,,2989.0000,1708.6000,1373,1141,1038,72.3386,,85.7143,69.9856,59.3555,813,796,69.9856,59.3555,91.2458,0,0,0,,,,1374,1142,1039,
2012/06/22,20.40,21.00,20.30,21.00,0.20,0.9615,20.6400,20.3250,,,,3617.0000,2070.3000,1395,1227,1088,74.5504,,93.7500,77.9070,65.5393,628,836,77.9070,65.5393,102.6425,0,0,0,,,,1396,1228,1089,
2012/06/25,20.95,22.40,20.90,21.35,0.35,1.6667,20.7900,20.4500,,,,6533.0000,2563.5000,1334,1297,1126,78.2093,,62.5000,72.7714,67.9500,2916,1250,72.7714,67.9500,82.4141,0,0,0,,,,1335,1297,1127,
