ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,72.40,72.60,72.40,72.50,0.00,0.00,,,,,,0.0000,,25490,,,,,,,,83,,,,,0,,,,,,25490,,,
2012/06/29,72.50,72.50,71.90,72.00,-0.50,-0.6897,,,,,,-70.0000,,25499,,,,,,,,70,,,,,1,,,,,,25500,,,
2012/07/02,72.80,72.80,72.20,72.20,0.20,0.2778,,,,,,-39.0000,,25500,,,,,,,,31,,,,,0,,,,,,25500,,,
2012/07/03,72.00,72.30,71.80,72.10,-0.10,-0.1385,,,,,,-62.0000,,25500,,,,,,,,23,,,,,0,,,,,,25500,,,
2012/07/04,72.40,72.50,72.00,72.10,0.00,0.00,72.1800,,,,,-62.0000,,25500,25498,,,,,,,45,50,,,,0,0,,,,,25500,25499,,
2012/07/05,72.10,72.50,72.10,72.10,0.00,0.00,72.1000,,,,,-62.0000,,25500,25501,,,,,,,33,40,,,,0,0,,,,,25500,25501,,
2012/07/06,72.30,72.30,72.00,72.10,0.00,0.00,72.1200,,,,,-62.0000,,25500,25501,,25.0000,,,,,27,31,,,,0,0,,,,,25500,25501,,
2012/07/09,72.10,72.30,71.90,72.00,-0.10,-0.1387,72.0800,,,,,-123.0000,,25500,25501,,21.7391,,,,,61,37,,,,0,0,,,,,25500,25501,,
2012/07/10,71.20,71.20,69.00,69.00,-3.00,-4.1667,71.4600,,,,,-367.0000,,25476,25496,,3.8168,,0.0000,33.3333,44.4444,244,82,33.3333,44.4444,11.1111,0,0,,,,,25476,25496,,
2012/07/11,68.40,69.20,68.40,68.80,-0.20,-0.2899,70.8000,71.4900,,,,-644.0000,-149.1000,25406,25477,25488,3.5806,,9.0909,25.2525,38.0471,277,128,25.2525,38.0471,-0.3367,0,0,0,,,,25406,25477,25488,
2012/07/12,68.80,69.00,67.90,68.10,-0.70,-1.0174,70.0000,71.0500,,,,-870.0000,-236.1000,25363,25450,25475,2.8421,,4.0816,18.1956,31.4299,226,167,18.1956,31.4299,-8.2732,0,0,0,,,,25363,25450,25475,
2012/07/13,68.20,68.60,67.90,67.90,-0.20,-0.2937,69.1600,70.6400,,,,-934.0000,-322.5000,25348,25419,25460,2.6544,,0.0000,12.1304,24.9968,64,174,12.1304,24.9968,-13.6024,0,0,0,,,,25348,25419,25460,
2012/07/16,68.10,69.00,68.00,68.90,1.00,1.4728,68.5400,70.3100,,,,-876.0000,-406.2000,25349,25389,25445,30.2828,20.0000,21.7391,15.3333,21.7756,58,173,15.3333,21.7756,2.4487,0,0,0,,,,25349,25389,25445,
2012/07/17,68.20,69.00,68.20,69.00,0.10,0.1451,68.5400,70.0000,,,,-827.0000,-482.7000,25359,25366,25431,32.5790,21.4286,23.9130,18.1932,20.5815,49,134,18.1932,20.5815,13.4167,0,0,0,,,,25359,25366,25431,
2012/07/18,69.00,70.20,68.50,69.60,0.60,0.8696,68.7000,69.7500,,,,-714.0000,-547.9000,25390,25363,25420,45.5027,29.6512,38.6364,25.0076,22.0568,113,102,25.0076,22.0568,30.9091,0,0,0,,,,25390,25363,25420,
2012/07/19,70.90,70.90,69.90,70.00,0.40,0.5747,69.0800,69.5400,,,,-654.0000,-607.1000,25378,25366,25408,52.7486,34.6267,47.7273,32.5808,25.5648,60,68,32.5808,25.5648,46.6128,0,0,0,,,,25378,25366,25408,
2012/07/20,70.00,70.30,69.80,69.80,-0.20,-0.2857,69.4600,69.3100,,,,-699.0000,-670.8000,25368,25370,25394,48.8514,33.3405,57.5758,40.9125,30.6807,45,65,40.9125,30.6807,61.3760,0,0,0,,,,25368,25370,25394,
2012/07/23,70.00,70.00,69.20,69.20,-0.60,-0.8596,69.5200,69.0300,,,,-720.0000,-730.5000,25369,25374,25381,38.5880,29.7267,43.3333,41.7194,34.3603,21,57,41.7194,34.3603,56.4377,0,0,0,,,,25369,25374,25381,
2012/07/24,68.20,69.70,68.20,69.40,0.20,0.289,69.6000,69.0700,,,,-657.0000,-759.5000,25373,25376,25371,43.3489,32.3915,50.0000,44.4796,37.7334,63,60,44.4796,37.7334,57.9721,0,0,0,,,,25373,25376,25371,
2012/07/25,69.40,69.70,69.40,69.60,0.20,0.2882,69.6000,69.1500,70.3200,,,-627.0000,-757.8000,25378,25374,25368,48.1704,35.0772,56.6667,48.5420,41.3363,30,43,48.5420,41.3363,62.9534,0,0,0,,,,25378,25374,25368,
2012/07/26,69.60,70.00,69.50,69.80,0.20,0.2874,69.5600,69.3200,70.1850,,,-584.0000,-729.2000,25387,25376,25371,52.9734,37.7737,62.0690,53.0510,45.2412,43,40,53.0510,45.2412,68.6706,0,0,0,,,,25387,25376,25371,
2012/07/27,70.00,70.00,69.80,69.80,0.00,0.00,69.5600,69.5100,70.0750,,,-584.0000,-694.2000,25397,25382,25376,52.9734,37.7737,59.2593,55.1204,48.5342,43,40,55.1204,48.5342,68.2927,0,0,0,,,,25397,25382,25376,
2012/07/30,70.00,70.00,69.30,70.00,0.20,0.2865,69.7200,69.6200,69.9650,,,-438.0000,-650.4000,25425,25393,25383,58.5099,40.7047,66.6667,58.9692,52.0125,146,65,58.9692,52.0125,72.8824,0,0,0,,,,25425,25393,25383,
2012/07/31,70.00,70.20,69.50,69.70,-0.30,-0.4286,69.7800,69.6900,69.8450,,,-516.0000,-619.3000,25441,25406,25391,48.2788,37.7919,55.5556,57.8313,53.9521,78,68,57.8313,53.9521,65.5896,0,0,0,,,,25441,25406,25391,
2012/08/01,69.70,70.30,69.70,70.20,0.50,0.7174,69.9000,69.7500,69.7500,,,-467.0000,-594.6000,25444,25420,25397,61.6801,44.9539,95.2381,70.3002,59.4015,49,71,70.3002,59.4015,92.0977,0,0,0,,,,25444,25420,25397,
2012/08/03,70.00,70.20,70.00,70.20,0.00,0.00,69.9800,69.7700,69.6550,,,-467.0000,-575.9000,25438,25430,25403,61.6801,44.9539,95.2381,78.6128,65.8053,40,71,78.6128,65.8053,104.2280,0,0,0,,-0.3162,,25438,25430,25403,
2012/08/06,70.30,70.60,70.30,70.30,0.10,0.1425,70.0800,69.8200,69.5650,,,-360.0000,-542.0000,25379,25426,25404,64.3410,46.4221,87.5000,81.5752,71.0619,107,84,81.5752,71.0619,102.6018,0,0,0,,-0.2651,,25379,25426,25404,
2012/08/07,70.00,70.10,69.60,70.00,-0.30,-0.4267,70.0800,69.9000,69.4650,,,-558.0000,-525.8000,25398,25421,25407,51.4734,42.6952,53.8462,72.3322,71.4854,198,94,72.3322,71.4854,74.0259,0,0,0,,-0.2460,,25398,25421,25407,
2012/08/08,70.00,70.30,70.00,70.20,0.20,0.2857,70.1800,69.9800,69.5250,,,-412.0000,-501.3000,25320,25397,25401,58.1665,45.8565,69.2308,71.2984,71.4230,146,108,71.2984,71.4230,71.0491,0,0,0,,-0.2122,,25320,25397,25401,
2012/08/09,70.20,72.00,70.20,72.00,1.80,2.5641,70.5400,70.2200,69.6850,,,-251.0000,-463.7000,25335,25375,25397,83.1967,64.8791,100.0000,80.8656,74.5706,161,130,80.8656,74.5706,93.4557,0,0,0,,-0.0398,,25335,25375,25397,
2012/08/10,72.00,72.90,72.00,72.90,0.90,1.25,71.0800,70.5300,69.9250,,,-45.0000,-409.8000,25353,25358,25394,87.6355,70.5272,100.0000,87.2437,78.7949,206,163,87.2437,78.7949,104.1413,0,0,0,,0.1676,,25353,25358,25394,
2012/08/13,73.50,73.60,72.60,73.00,0.10,0.1372,71.6200,70.8500,70.1800,,,228.0000,-328.6000,25354,25353,25390,88.0562,71.0908,85.3659,86.6178,81.4026,273,196,86.6178,81.4026,97.0482,9,2,1,,0.3361,,25363,25355,25390,
2012/08/14,73.00,73.50,72.70,73.00,0.00,0.00,72.2200,71.1500,70.3850,,,228.0000,-262.0000,25354,25344,25382,88.0562,71.0908,85.0000,86.0785,82.9612,319,221,86.0785,82.9612,92.3131,30,8,4,,0.4643,,25384,25352,25386,
2012/08/15,67.60,68.50,67.40,67.40,-5.60,-7.6712,71.6600,70.9200,70.3050,,,-106.0000,-221.0000,25393,25359,25378,23.5215,31.2586,0.0000,57.3857,74.4360,334,258,57.3857,74.4360,23.2850,0,8,4,0.2251,0.1127,0.0002,25394,25367,25382,
2012/08/16,68.00,68.00,67.50,67.80,0.40,0.5935,70.8200,70.6800,70.2150,,,-32.0000,-177.5000,25400,25372,25373,28.0418,34.1343,6.4516,40.4077,63.0932,74,241,40.4077,63.0932,-4.9635,0,8,4,-0.2116,-0.1321,-0.0263,25400,25380,25377,
2012/08/17,67.80,68.00,67.40,67.40,-0.40,-0.59,69.7200,70.4000,70.0850,,,-134.0000,-144.2000,25400,25381,25370,26.1846,32.6445,0.0000,26.9384,51.0416,102,220,26.9384,51.0416,-21.2680,0,8,4,-0.5248,-0.3543,-0.0919,25400,25389,25373,
