ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/04,14.60,14.85,14.55,14.55,0.00,0.00,,,,,,0.0000,,236,,,,,,,,227,,,,,0,,,,,,236,,,
2012/06/05,15.20,15.20,14.70,15.15,0.60,4.1237,,,,,,110.0000,,246,,,,,,,,110,,,,,0,,,,,,246,,,
2012/06/06,14.85,16.20,14.85,16.20,1.05,6.9307,,,,,,430.0000,,254,,,,,,,,320,,,,,0,,,,,,254,,,
2012/06/07,17.30,17.30,17.15,17.30,1.10,6.7901,,,,,,1506.0000,,254,,,,,,,,1076,,,,,0,,,,,,254,,,
2012/06/08,16.95,17.20,16.70,16.70,-0.60,-3.4682,15.9800,,,,,533.0000,,232,245,,,,,,,973,541,,,,0,0,,,,,232,245,,
2012/06/11,17.05,17.30,16.70,16.75,0.05,0.2994,16.4200,,,,,948.0000,,226,243,,,,,,,415,578,,,,0,0,,,,,226,243,,
2012/06/12,16.75,17.90,16.50,17.90,1.15,6.8657,16.9700,,,,,2148.0000,,222,238,,86.8132,,,,,1200,796,,,,0,0,,,,,222,238,,
2012/06/13,18.05,18.95,18.05,18.50,0.60,3.352,17.4300,,,,,3777.0000,,216,231,,88.6148,,,,,1629,1058,,,,0,0,,,,,216,231,,
2012/06/14,18.50,18.60,17.95,18.00,-0.50,-2.7027,17.5700,,,,,3185.0000,,216,223,,77.9633,,78.4091,59.4697,53.1566,592,961,59.4697,53.1566,72.0960,0,0,,,,,216,223,,
2012/06/15,18.00,19.25,18.00,18.60,0.60,3.3333,17.9500,16.9650,,,,4825.0000,1746.2000,216,220,233,81.2148,,85.7143,68.2179,58.1770,1640,1095,68.2179,58.1770,88.2997,0,0,0,,,,216,220,233,
2012/06/18,18.90,19.10,18.65,18.70,0.10,0.5376,18.3400,17.3800,,,,5415.0000,2287.7000,216,218,231,81.7532,,87.5000,74.6453,63.6664,590,1130,74.6453,63.6664,96.6029,0,0,0,,,,216,218,231,
2012/06/19,18.50,18.65,18.00,18.25,-0.45,-2.4064,18.4100,17.6900,,,,4985.0000,2775.2000,216,217,228,70.7952,,63.6364,70.9756,66.1028,430,976,70.9756,66.1028,80.7212,0,0,0,,,,216,217,228,
2012/06/20,18.50,19.05,18.30,18.55,0.30,1.6438,18.4200,17.9250,,,,5785.0000,3310.7000,246,223,227,73.6235,78.1690,74.5455,72.1656,68.1237,800,810,72.1656,68.1237,80.2492,0,0,0,,,,246,223,227,
2012/06/21,18.55,18.70,18.15,18.20,-0.35,-1.8868,18.4600,18.0150,,,,5447.0000,3704.8000,239,227,225,64.8332,74.1798,61.8182,68.7164,68.3213,338,759,68.7164,68.3213,69.5067,0,0,0,,,,239,227,225,
2012/06/22,17.80,18.55,17.65,18.45,0.25,1.3736,18.4300,18.1900,,,,5866.0000,4238.1000,246,233,227,68.0980,75.1673,70.9091,69.4473,68.6966,419,515,69.4473,68.6966,70.9487,0,0,0,,,,246,233,227,
2012/06/25,18.45,18.80,18.20,18.20,-0.25,-1.355,18.3300,18.3350,,,,5498.0000,4693.1000,228,236,227,61.2719,72.1568,34.3750,57.7565,65.0499,368,471,57.7565,65.0499,43.1698,0,0,0,,,,228,236,227,
2012/06/26,18.00,18.35,17.70,17.70,-0.50,-2.7473,18.2200,18.3150,,,,5194.0000,4997.7000,228,238,227,49.3900,66.3582,3.1250,39.5460,56.5486,304,445,39.5460,56.5486,5.5408,0,0,0,,,,228,238,227,
2012/06/27,17.80,18.15,17.80,18.00,0.30,1.6949,18.1100,18.2650,,,,5443.0000,5164.3000,228,234,229,55.5906,68.0393,21.8750,33.6557,48.9177,249,335,33.6557,48.9177,3.1317,0,0,0,,,,228,234,229,
2012/06/28,18.30,18.30,17.65,17.65,-0.35,-1.9444,18.0000,18.2300,,,,5272.0000,5373.0000,228,232,230,47.4515,63.9708,0.0000,22.4371,40.0908,171,302,22.4371,40.0908,-12.8703,0,0,0,,,,228,232,230,
2012/06/29,17.70,18.00,17.70,17.90,0.25,1.4164,17.8900,18.1600,17.5625,,,5472.0000,5437.7000,228,229,231,53.3108,65.5748,17.8571,20.9105,33.6974,200,258,20.9105,33.6974,-4.6633,0,0,0,,,,228,229,231,
2012/07/02,18.25,18.30,18.00,18.00,0.10,0.5587,17.8500,18.0900,17.7350,,,5751.0000,5471.3000,228,229,232,55.6827,66.2309,25.0000,22.2736,29.8895,279,240,22.2736,29.8895,7.0420,0,0,0,,,,228,229,232,
2012/07/03,18.00,18.85,17.90,18.40,0.40,2.2222,17.9900,18.1050,17.8975,,,6391.0000,5611.9000,228,229,233,64.3709,68.8234,62.5000,35.6824,31.8204,640,307,35.6824,31.8204,43.4064,0,0,0,,,,228,229,233,
2012/07/04,18.55,19.65,18.50,19.45,1.05,5.7065,18.2800,18.1950,18.0600,,,7862.0000,5819.6000,247,232,233,77.9732,74.4423,90.0000,53.7883,39.1431,1471,552,53.7883,39.1431,83.0787,0,0,0,,,,247,232,233,
2012/07/05,19.30,19.75,19.00,19.05,-0.40,-2.0566,18.5600,18.2800,18.1475,,,7133.0000,5988.2000,247,236,234,66.3870,69.2551,66.6667,58.0811,45.4557,729,663,58.0811,45.4557,83.3318,0,0,0,,,,247,236,234,
2012/07/06,19.00,19.30,18.85,18.90,-0.15,-0.7874,18.7600,18.3250,18.2575,,,6840.0000,6085.6000,279,246,237,62.2261,67.3357,59.5238,58.5620,49.8245,293,682,58.5620,49.8245,76.0370,0,0,0,,,,279,246,237,
2012/07/09,18.75,19.10,18.55,18.80,-0.10,-0.5291,18.9200,18.3850,18.3600,,,6519.0000,6187.7000,256,252,240,59.2550,66.0052,54.7619,57.2953,52.3148,321,690,57.2953,52.3148,67.2564,0,0,0,,0.5893,,256,252,240,
2012/07/10,18.80,18.95,17.50,17.55,-1.25,-6.6489,18.7500,18.3700,18.3425,,,5834.0000,6251.7000,257,258,243,34.5268,51.9957,2.2222,38.9376,47.8557,685,699,38.9376,47.8557,21.1014,0,0,0,,0.4744,,257,258,243,
2012/07/11,17.40,17.50,16.90,17.40,-0.15,-0.8547,18.3400,18.3100,18.2875,,,5533.0000,6260.7000,97,228,230,32.5696,50.5900,17.5439,31.8064,42.5059,301,465,31.8064,42.5059,10.4072,14,3,1,,0.3670,,112,231,232,
2012/07/12,17.40,17.60,17.10,17.15,-0.25,-1.4368,17.9600,18.2600,18.2450,,,5357.0000,6269.2000,110,200,218,29.2531,48.2199,8.7719,24.1282,36.3800,176,355,24.1282,36.3800,-0.3754,0,3,1,,0.2588,,110,203,220,
2012/07/13,17.15,17.30,16.60,16.80,-0.35,-2.0408,17.5400,18.1500,18.1550,,,4940.0000,6216.0000,110,167,206,24.9797,45.0000,6.3492,18.2019,30.3206,417,380,18.2019,30.3206,-6.0356,0,3,1,,0.1431,,110,170,208,
2012/07/16,16.40,16.45,16.00,16.00,-0.80,-4.7619,16.9800,17.9500,18.0200,,,4632.0000,6104.1000,110,137,195,17.8339,38.5768,0.0000,12.1346,24.2586,308,377,12.1346,24.2586,-12.1135,12,6,3,,-0.0130,,123,143,197,
2012/07/17,15.80,16.35,15.80,16.30,0.30,1.875,16.7300,17.7400,17.9225,,,4770.0000,5942.0000,116,109,183,27.2047,41.9656,12.6582,12.3091,20.2755,138,268,12.3091,20.2755,-3.6235,0,6,3,,-0.1112,,116,115,186,
2012/07/18,16.35,16.35,16.00,16.05,-0.25,-1.5337,16.4600,17.4000,17.7975,,,4653.0000,5621.1000,113,112,170,24.4197,39.9613,7.1429,10.5870,17.0460,117,231,10.5870,17.0460,-2.3308,0,3,3,,-0.2069,,113,115,173,
2012/07/19,16.15,16.45,16.15,16.45,0.40,2.4922,16.3200,17.1400,17.7100,,,4904.0000,5398.2000,113,113,157,36.8351,44.5812,19.6970,13.6237,15.9052,251,246,13.6237,15.9052,9.0606,0,3,3,-0.7737,-0.2475,0.1393,113,116,159,
