ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,26.60,26.60,26.45,26.50,0.00,0.00,,,,,,0.0000,,137,,,,,,,,101,,,,,0,,,,,,137,,,
2012/06/21,26.60,26.60,26.40,26.60,0.10,0.3774,,,,,,33.0000,,137,,,,,,,,33,,,,,0,,,,,,137,,,
2012/06/22,26.55,26.65,26.50,26.65,0.05,0.188,,,,,,96.0000,,137,,,,,,,,63,,,,,0,,,,,,137,,,
2012/06/25,26.65,26.65,26.55,26.60,-0.05,-0.1876,,,,,,-2.0000,,137,,,,,,,,98,,,,,0,,,,,,137,,,
2012/06/26,26.55,26.55,26.50,26.50,-0.10,-0.3759,26.5700,,,,,-21.0000,,137,137,,,,,,,19,62,,,,0,0,,,,,137,137,,
2012/06/27,26.55,26.65,26.50,26.60,0.10,0.3774,26.5900,,,,,38.0000,,137,137,,,,,,,59,54,,,,0,0,,,,,137,137,,
2012/06/28,26.70,26.70,26.55,26.60,0.00,0.00,26.5900,,,,,38.0000,,137,137,,62.5000,,,,,122,72,,,,0,0,,,,,137,137,,
2012/06/29,26.60,26.65,26.50,26.65,0.05,0.188,26.5900,,,,,203.0000,,137,137,,67.3913,,,,,165,92,,,,0,0,,,,,137,137,,
2012/07/02,26.70,26.70,26.50,26.65,0.00,0.00,26.6000,,,,,203.0000,,137,137,,67.3913,,83.3333,61.1111,53.7037,189,110,61.1111,53.7037,75.9259,0,0,,,,,137,137,,
2012/07/03,26.70,26.75,26.65,26.65,0.00,0.00,26.6300,26.6000,,,,203.0000,79.1000,137,137,137,67.3913,,71.4286,64.5503,57.3192,172,141,64.5503,57.3192,79.0123,0,0,0,,,,137,137,137,
2012/07/04,26.70,27.15,26.70,27.15,0.50,1.8762,26.7400,26.6650,,,,415.0000,120.6000,139,138,138,89.9786,,100.0000,76.3668,63.6684,212,172,76.3668,63.6684,101.7637,0,0,0,,,,192,148,143,
2012/07/05,27.25,27.60,27.20,27.60,0.45,1.6575,26.9400,26.7650,,,,561.0000,173.4000,151,141,139,94.2672,,100.0000,84.2446,70.5271,146,176,84.2446,70.5271,111.6794,0,0,0,,,,204,162,150,
