ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,27.40,27.50,27.25,27.25,0.00,0.00,,,,,,0.0000,,107,,,,,,,,26,,,,,0,,,,,,107,,,
2012/06/29,27.30,27.50,27.15,27.30,0.05,0.1835,,,,,,99.0000,,107,,,,,,,,99,,,,,0,,,,,,107,,,
2012/07/02,27.50,27.65,27.40,27.65,0.35,1.2821,,,,,,176.0000,,107,,,,,,,,77,,,,,0,,,,,,107,,,
2012/07/03,27.70,27.75,27.55,27.60,-0.05,-0.1808,,,,,,77.0000,,107,,,,,,,,99,,,,,0,,,,,,107,,,
2012/07/04,27.70,27.85,27.60,27.65,0.05,0.1812,27.4900,,,,,156.0000,,107,107,,,,,,,79,76,,,,0,0,,,,,107,107,,
2012/07/05,27.70,27.80,27.40,27.80,0.15,0.5425,27.6000,,,,,268.0000,,107,107,,,,,,,112,93,,,,0,0,,,,,107,107,,
2012/07/06,27.95,27.95,27.65,27.65,-0.15,-0.5396,27.6700,,,,,234.0000,,107,107,,75.0000,,,,,34,80,,,,0,0,,,,,107,107,,
2012/07/09,28.00,28.00,27.80,27.85,0.20,0.7233,27.7100,,,,,338.0000,,107,107,,80.7692,,,,,104,85,,,,0,0,,,,,107,107,,
2012/07/10,27.95,27.95,27.50,27.50,-0.35,-1.2567,27.6900,,,,,278.0000,,107,107,,54.4041,,41.1765,47.0588,49.0196,60,77,47.0588,49.0196,43.1373,0,0,,,,,107,107,,
2012/07/11,27.70,27.75,27.40,27.70,0.20,0.7273,27.7000,27.5950,,,,298.0000,192.4000,108,107,107,62.7434,,64.7059,52.9412,50.3268,20,66,52.9412,50.3268,58.1699,0,0,0,,,,108,107,107,
2012/07/12,27.90,27.90,27.55,27.65,-0.05,-0.1805,27.6700,27.6350,,,,258.0000,218.2000,107,107,107,59.4799,,41.6667,49.1830,49.9455,40,51,49.1830,49.9455,47.6580,0,0,0,,,,107,107,107,
