ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,19.00,19.05,18.60,18.60,0.00,0.00,,,,,,0.0000,,139,,,,,,,,789,,,,,0,,,,,,1758,,,
2012/06/29,18.75,19.35,18.65,19.05,0.45,2.4194,,,,,,2870.0000,,151,,,,,,,,2870,,,,,0,,,,,,1770,,,
2012/07/02,19.20,19.70,19.15,19.30,0.25,1.3123,,,,,,5860.0000,,150,,,,,,,,2990,,,,,0,,,,,,1768,,,
2012/07/03,19.40,19.70,19.10,19.50,0.20,1.0363,,,,,,8885.0000,,152,,,,,,,,3025,,,,,0,,,,,,1770,,,
2012/07/04,19.70,19.70,19.30,19.30,-0.20,-1.0256,19.1500,,,,,7180.0000,,150,148,,,,,,,1705,2275,,,,0,0,,,,,1768,1767,,
2012/07/05,19.30,19.70,19.30,19.30,0.00,0.00,19.2900,,,,,7180.0000,,127,146,,,,,,,1472,2412,,,,0,0,,,,,1745,1765,,
2012/07/06,19.60,20.65,19.50,20.65,1.35,6.9948,19.6100,,,,,13174.0000,,141,144,,91.8367,,,,,5994,3037,,,,1195,239,,,,,3512,2113,,
2012/07/09,20.75,21.50,20.50,20.95,0.30,1.4528,19.9400,,,,,19171.0000,,174,149,,92.8826,,,,,5997,3638,,,,975,434,,,,,3325,2424,,
2012/07/10,20.95,21.00,19.65,21.00,0.05,0.2387,20.2400,,,,,23496.0000,,167,152,,93.0604,,82.7586,60.9195,53.6398,4325,3898,60.9195,53.6398,75.4789,0,434,,,,,2325,2535,,
2012/07/11,20.85,21.35,20.45,20.45,-0.55,-2.619,20.4700,19.8100,,,,20308.0000,10812.4000,370,196,172,69.9823,,63.1579,61.6657,56.3151,3188,4195,61.6657,56.3151,72.3667,575,549,274,,,,3021,2786,2277,
2012/07/12,20.75,20.75,19.75,19.75,-0.70,-3.423,20.5600,19.9250,,,,18325.0000,12644.9000,389,248,197,50.7578,,27.0833,50.1382,54.2562,1983,4297,50.1382,54.2562,41.9023,462,641,321,,,,2827,3002,2384,
2012/07/13,20.00,20.10,19.00,19.10,-0.65,-3.2911,20.2500,19.9300,,,,16129.0000,13970.8000,288,278,211,38.8621,,4.0000,34.7588,47.7570,2196,3537,34.7588,47.7570,8.7624,0,402,321,,,,2264,2753,2433,
2012/07/16,19.40,19.45,18.65,18.65,-0.45,-2.356,19.7900,19.8650,,,,14577.0000,14842.5000,383,319,234,32.5287,50.4854,0.0000,23.1725,39.5622,1552,2648,23.1725,39.5622,-9.6068,0,207,321,,,,2359,2560,2492,
2012/07/17,18.65,19.95,18.65,19.95,1.30,6.9705,19.5800,19.9100,,,,16498.0000,15603.8000,393,365,258,56.8864,61.1765,45.6140,30.6530,36.5925,1921,2168,30.6530,36.5925,18.7742,562,320,377,,,,2931,2681,2608,
2012/07/18,20.20,20.30,19.55,19.75,-0.20,-1.0025,19.4400,19.9550,,,,14072.0000,16293.0000,327,356,276,53.3319,59.0371,38.5965,33.3009,35.4953,2426,2015,33.3009,35.4953,28.9120,462,297,423,,,,2765,2630,2708,
2012/07/19,19.80,20.40,19.80,19.80,0.05,0.2532,19.4500,20.0050,,,,15779.0000,17152.9000,330,344,296,54.1906,59.4241,40.3509,35.6509,35.5471,1707,1960,35.6509,35.5471,35.8583,462,297,469,,,,2768,2618,2810,
2012/07/20,20.40,20.50,19.85,19.90,0.10,0.5051,19.6100,19.9300,,,,17766.0000,17612.1000,333,353,315,56.1280,60.2436,46.2963,39.1993,36.7645,1987,1918,39.1993,36.7645,44.0689,462,390,396,,,,2771,2719,2736,
2012/07/23,19.50,19.80,19.15,19.15,-0.75,-3.7688,19.7100,19.7500,,,,16389.0000,17333.9000,274,331,325,40.6538,51.7005,18.5185,32.3057,35.2783,1377,1883,32.3057,35.2783,26.3607,472,484,346,,,,2722,2792,2676,
2012/07/24,19.15,19.35,19.00,19.35,0.20,1.0444,19.5900,19.5850,,,,17185.0000,16702.8000,235,300,332,45.4650,53.6141,33.3333,32.6483,34.4016,796,1658,32.6483,34.4016,29.1416,0,372,346,,,,2211,2648,2664,
2012/07/25,19.30,20.20,19.15,19.60,0.25,1.292,19.5600,19.5000,19.6550,,,18657.0000,16537.7000,346,304,330,51.3777,55.9917,51.3514,38.8826,35.8953,1472,1467,38.8826,35.8953,44.8573,462,372,334,,,,2784,2652,2641,
2012/07/26,19.85,20.10,19.75,19.75,0.15,0.7653,19.5500,19.5000,19.7125,,,19811.0000,16686.3000,231,284,314,54.8985,57.4202,59.4595,45.7416,39.1774,1154,1357,45.7416,39.1774,58.8700,0,279,288,,,,2207,2539,2579,
2012/07/27,20.10,20.15,19.70,19.85,0.10,0.5063,19.5400,19.5750,19.7525,,,21109.0000,17184.3000,230,263,308,57.3681,58.4023,64.8649,52.1160,43.4903,1298,1219,52.1160,43.4903,69.3675,0,187,288,,,,2206,2426,2573,
2012/07/30,20.00,20.00,19.20,19.20,-0.65,-3.2746,19.5500,19.6300,19.7475,,,19816.0000,17708.2000,118,232,282,40.1991,50.1936,13.3333,39.1884,42.0563,1293,1202,39.1884,42.0563,33.4527,0,92,288,,,,2094,2301,2546,
