ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,28.00,29.55,28.00,29.55,0.00,0.00,,,,,,0.0000,,28,,,,,,,,239,,,,,0,,,,,,28,,,
2012/06/21,29.55,29.80,28.90,29.30,-0.25,-0.846,,,,,,-251.0000,,27,,,,,,,,251,,,,,0,,,,,,27,,,
2012/06/22,28.40,29.80,28.40,29.30,0.00,0.00,,,,,,-251.0000,,29,,,,,,,,91,,,,,0,,,,,,29,,,
2012/06/25,29.20,30.55,29.10,30.50,1.20,4.0956,,,,,,-90.0000,,30,,,,,,,,161,,,,,0,,,,,,30,,,
2012/06/26,30.30,30.30,29.40,29.60,-0.90,-2.9508,29.6500,,,,,-192.0000,,23,27,,,,,,,102,168,,,,0,0,,,,,23,28,,
2012/06/27,29.60,30.35,29.30,29.30,-0.30,-1.0135,29.6000,,,,,-276.0000,,25,27,,,,,,,84,137,,,,0,0,,,,,25,27,,
2012/06/28,29.30,30.00,29.30,29.50,0.20,0.6826,29.6400,,,,,-223.0000,,27,27,,49.1228,,,,,53,98,,,,0,0,,,,,27,27,,
2012/06/29,29.50,29.95,29.25,29.95,0.45,1.5254,29.7700,,,,,-175.0000,,28,27,,57.2271,,,,,48,89,,,,0,0,,,,,28,27,,
2012/07/02,30.40,31.50,30.10,30.50,0.55,1.8364,29.7700,,,,,1.0000,,30,27,,65.3276,,71.4286,57.1429,52.3810,176,92,57.1429,52.3810,66.6667,0,0,,,,,30,27,,
2012/07/03,30.45,30.45,29.80,29.80,-0.70,-2.2951,29.8100,29.7300,,,,-142.0000,-159.9000,25,27,27,50.6714,,45.1613,53.1490,52.6370,143,100,53.1490,52.6370,54.1731,0,0,0,,,,25,27,27,
2012/07/04,31.30,31.30,30.40,30.40,0.60,2.0134,30.0300,29.8150,,,,-40.0000,-163.9000,30,28,27,59.9202,,64.5161,56.9380,54.0707,102,104,56.9380,54.0707,62.6728,0,0,0,,,,30,28,28,
2012/07/05,31.00,31.00,30.30,30.30,-0.10,-0.3289,30.1900,29.9150,,,,-115.0000,-150.3000,29,28,28,57.7545,,50.0000,54.6254,54.2556,75,108,54.6254,54.2556,55.3650,0,0,0,,,,29,29,28,
2012/07/06,30.40,30.40,29.30,29.35,-0.95,-3.1353,30.0700,29.9200,,,,-202.0000,-145.4000,21,27,27,40.9016,48.3871,4.4444,37.8984,48.8032,87,116,37.8984,48.8032,16.0888,0,0,0,,,,21,27,27,
2012/07/09,29.30,29.75,29.10,29.15,-0.20,-0.6814,29.8000,29.7850,,,,-239.0000,-160.3000,14,24,25,38.0934,46.7422,2.0833,25.9600,41.1888,37,88,25.9600,41.1888,-4.4975,0,0,0,,,,14,24,25,
2012/07/10,29.50,29.50,28.00,28.80,-0.35,-1.2007,29.6000,29.7050,,,,-317.0000,-172.8000,5,20,23,33.2932,43.8936,22.8571,24.9257,35.7678,78,75,24.9257,35.7678,3.2417,0,0,0,,,,5,20,24,
2012/07/11,27.50,29.20,27.50,28.30,-0.50,-1.7361,29.1800,29.6050,,,,-358.0000,-181.0000,3,14,21,27.3789,40.0863,20.0000,23.2838,31.6065,41,63,23.2838,31.6065,6.6386,0,0,0,,,,3,15,21,
2012/07/12,28.30,28.40,27.70,27.70,-0.60,-2.1201,28.6600,29.4250,,,,-405.0000,-199.2000,2,9,19,21.8018,35.9987,5.0000,17.1892,26.8007,47,58,17.1892,26.8007,-2.0338,0,0,0,,,,2,9,19,
2012/07/13,28.80,28.80,27.50,27.75,0.05,0.1805,28.3400,29.2050,,,,-358.0000,-217.5000,2,5,16,23.3629,36.5866,6.5789,13.6525,22.4180,47,50,13.6525,22.4180,-3.8785,0,0,0,,,,2,5,16,
2012/07/16,29.00,29.00,27.60,27.65,-0.10,-0.3604,28.0400,28.9200,,,,-390.0000,-256.6000,2,3,13,22.2947,35.8678,3.9474,10.4174,18.4178,32,49,10.4174,18.4178,-5.5833,0,0,0,,,,2,3,13,
2012/07/17,27.65,28.00,27.35,27.65,0.00,0.00,27.8100,28.7050,29.2175,,,-390.0000,-281.4000,2,2,11,22.2947,35.8678,8.2192,9.6847,15.5067,32,39,9.6847,15.5067,-1.9595,0,0,0,,,,2,2,11,
2012/07/18,27.65,27.70,27.40,27.40,-0.25,-0.9042,27.6300,28.4050,29.1100,,,-413.0000,-318.7000,3,2,8,19.1437,33.8871,1.6393,7.0029,12.6721,23,36,7.0029,12.6721,-4.3356,0,0,0,,,,3,2,8,
2012/07/19,27.55,28.00,27.00,27.00,-0.40,-1.4599,27.4900,28.0750,28.9950,,,-471.0000,-354.3000,3,2,6,15.0576,30.9079,0.0000,4.6686,10.0043,58,38,4.6686,10.0043,-6.0028,0,0,0,,,,3,2,6,
2012/07/20,27.00,27.50,27.00,27.30,0.30,1.1111,27.4000,27.8700,28.8950,,,-444.0000,-378.5000,4,3,4,28.7455,35.5442,12.0000,7.1124,9.0403,27,34,7.1124,9.0403,3.2565,0,0,0,,,,4,3,4,
2012/07/23,27.15,27.20,26.00,26.00,-1.30,-4.7619,27.0700,27.5550,28.6700,,,-491.0000,-403.7000,3,3,3,15.6400,26.9843,0.0000,4.7416,7.6074,47,37,4.7416,7.6074,-0.9900,0,0,0,,,,3,3,3,
2012/07/24,26.00,26.70,24.20,24.65,-1.35,-5.1923,26.4700,27.1400,28.4225,,,-565.0000,-428.5000,3,3,3,9.9736,21.2004,9.3750,6.2861,7.1670,74,45,6.2861,7.1670,4.5243,0,0,0,,,,3,3,3,
2012/07/25,24.80,25.10,24.50,24.70,0.05,0.2028,25.9300,26.7800,28.1925,,,-525.0000,-445.2000,3,3,3,11.4003,21.8770,10.4167,7.6629,7.3323,40,49,7.6629,7.3323,8.3242,0,0,0,,-1.7566,,3,3,3,
2012/07/26,25.20,25.70,25.00,25.15,0.45,1.8219,25.5600,26.5250,27.9750,,,-479.0000,-452.6000,3,3,3,24.3480,27.9507,19.7917,11.7058,8.7901,46,46,11.7058,8.7901,17.5373,0,0,0,,-1.7621,,3,3,3,
2012/07/27,25.40,25.40,24.50,24.50,-0.65,-2.5845,25.0000,26.2000,27.7025,,,-552.0000,-472.0000,3,3,3,19.4271,24.9002,7.8947,10.4355,9.3386,73,56,10.4355,9.3386,12.6293,0,0,0,,-1.7981,,3,3,3,
2012/07/30,24.70,25.20,24.60,24.60,0.10,0.4082,24.7200,25.8950,27.4075,,,-508.0000,-483.8000,3,3,3,22.3253,26.2510,10.5263,10.4658,9.7143,44,55,10.4658,9.7143,11.9686,0,0,0,,-1.7978,,3,3,3,
2012/07/31,24.60,24.95,24.00,24.75,0.15,0.6098,24.7400,25.6050,27.1550,,,-480.0000,-492.8000,3,3,3,27.0486,28.3597,18.7500,13.2272,10.8853,28,46,13.2272,10.8853,17.9110,0,0,0,,-1.7652,,3,3,3,
2012/08/01,24.70,24.75,24.20,24.60,-0.15,-0.6061,24.7200,25.3250,26.8650,,,-521.0000,-503.6000,3,3,3,25.2091,27.5019,17.1429,14.5324,12.1010,41,46,14.5324,12.1010,19.3952,0,0,0,,-1.7315,,3,3,3,
2012/08/03,24.55,24.75,24.20,24.30,-0.30,-1.2195,24.5500,25.0550,26.5650,,,-563.0000,-512.8000,3,3,3,21.6718,25.7992,9.3750,12.8133,12.3384,42,45,12.8133,12.3384,13.7630,0,0,0,,-1.7092,,3,3,3,
2012/08/06,24.80,24.80,23.00,23.50,-0.80,-3.2922,24.3500,24.6750,26.2725,,,-625.0000,-530.9000,3,3,3,14.9562,21.8619,13.5135,13.0467,12.5745,62,43,13.0467,12.5745,13.9911,0,0,0,,-1.7362,,3,3,3,
2012/08/07,23.40,23.40,21.90,22.00,-1.50,-6.383,23.8300,24.2750,25.9150,,,-786.0000,-560.4000,3,3,3,8.8122,16.6609,2.6316,9.5750,11.5747,161,66,9.5750,11.5747,5.5756,0,0,0,-0.1779,-1.8571,-1.7682,3,3,3,
2012/08/08,20.60,21.50,20.55,20.90,-1.10,-5.00,23.0600,23.9000,25.5200,,,-903.0000,-594.2000,5,3,3,6.4724,13.9970,6.7961,8.6487,10.5993,117,84,8.6487,10.5993,4.7474,0,0,0,-0.4005,-2.0185,-1.8183,5,3,3,
2012/08/09,20.90,21.80,20.90,21.60,0.70,3.3493,22.4600,23.5900,25.1850,,,-798.0000,-621.5000,5,4,3,22.2392,22.5894,21.6495,12.9823,11.3937,105,97,12.9823,11.3937,16.1596,0,0,0,-0.3965,-2.0661,-1.8678,5,4,3,
2012/08/10,21.60,22.45,20.70,22.35,0.75,3.4722,22.0700,23.3100,24.9175,,,-685.0000,-642.1000,5,4,4,36.0911,30.6839,38.7097,21.5581,14.7818,113,111,21.5581,14.7818,35.1107,0,0,0,-0.2434,-2.0200,-1.8982,5,4,4,
2012/08/13,21.60,22.25,21.60,21.80,-0.55,-2.4609,21.7300,23.0400,24.6200,,,-729.0000,-659.8000,5,5,4,31.2002,28.3153,28.4091,23.8418,17.8018,44,108,23.8418,17.8018,35.9217,0,0,0,-0.1703,-2.0047,-1.9195,5,5,4,
2012/08/14,21.60,22.50,21.60,22.00,0.20,0.9174,21.7300,22.7800,24.3375,,,-683.0000,-677.3000,5,5,4,35.0414,30.4452,34.1176,27.2671,20.9569,46,85,27.2671,20.9569,39.8874,0,0,0,-0.0551,-1.9540,-1.9264,5,5,4,
2012/08/15,22.00,22.95,22.00,22.40,0.40,1.8182,22.0300,22.5450,24.0750,,,-602.0000,-689.5000,5,5,4,42.7172,34.6798,43.5294,32.6878,24.8672,81,77,32.6878,24.8672,48.3291,0,0,0,0.1063,-1.8600,-1.9131,5,5,4,
2012/08/16,22.75,22.75,22.05,22.20,-0.20,-0.8929,22.1500,22.3050,23.8150,,,-661.0000,-703.5000,5,5,4,39.8891,33.5652,38.8235,34.7331,28.1558,59,68,34.7331,28.1558,47.8876,0,0,0,0.2112,-1.7812,-1.8867,5,5,4,
2012/08/17,22.10,22.10,21.35,21.40,-0.80,-3.6036,21.9600,22.0150,23.5350,,,-760.0000,-723.2000,5,5,5,30.2699,29.4367,29.8246,33.0969,29.8028,99,65,33.0969,29.8028,39.6850,0,0,0,0.1981,-1.7629,-1.8620,5,5,5,
2012/08/20,21.40,21.40,20.80,21.30,-0.10,-0.4673,21.8600,21.7950,23.2350,,,-814.0000,-742.1000,5,5,5,29.2132,28.9511,31.2500,32.4813,30.6957,54,67,32.4813,30.6957,36.0525,0,0,0,0.2008,-1.7365,-1.8369,5,5,5,
2012/08/21,20.85,21.20,20.85,21.00,-0.30,-1.4085,21.6600,21.6950,22.9850,,,-872.0000,-750.7000,5,5,5,25.9517,27.4682,13.3333,26.0986,29.1633,58,70,26.0986,29.1633,19.9692,0,0,0,0.1871,-1.7199,-1.8135,5,5,5,
2012/08/22,20.60,21.20,20.60,21.20,0.20,0.9524,21.4200,21.7250,22.8125,,,-824.0000,-742.8000,5,5,5,32.0231,30.0731,25.5319,25.9097,28.0788,48,63,25.9097,28.0788,21.5716,0,0,0,0.2273,-1.6714,-1.7851,5,5,5,
2012/08/23,21.20,21.30,20.85,20.90,-0.30,-1.4151,21.1600,21.6550,22.6225,,,-857.0000,-748.7000,5,5,5,27.9047,28.4039,12.7660,21.5285,25.8953,33,58,21.5285,25.8953,12.7947,0,0,0,0.2349,-1.6383,-1.7557,5,5,5,
2012/08/24,21.20,21.70,21.05,21.60,0.70,3.3493,21.2000,21.5800,22.4450,,,-803.0000,-760.5000,5,5,5,46.9925,37.2673,42.5532,28.5367,26.7758,54,49,28.5367,26.7758,32.0585,0,0,0,0.3486,-1.5378,-1.7121,5,5,5,
2012/08/27,21.60,21.60,20.80,21.15,-0.45,-2.0833,21.1700,21.5150,22.2775,,,-847.0000,-772.3000,5,5,5,39.0225,34.2903,23.4043,26.8259,26.7925,44,47,26.8259,26.7925,26.8927,0,0,0,0.3755,-1.4775,-1.6652,5,5,5,
2012/08/28,21.15,21.20,20.90,21.00,-0.15,-0.7092,21.1700,21.4150,22.0975,,,-890.0000,-793.0000,5,5,5,36.5434,33.3223,18.6047,24.0855,25.8902,43,44,24.0855,25.8902,20.4761,0,0,0,0.3838,-1.4253,-1.6172,5,5,5,
2012/08/29,20.75,21.00,20.75,20.85,-0.15,-0.7143,21.1000,21.2600,21.9025,,,-929.0000,-825.7000,5,5,5,33.9547,32.3268,16.6667,21.6125,24.4643,39,42,21.6125,24.4643,15.9091,0,0,0,0.3793,-1.3802,-1.5698,5,5,5,
2012/08/30,20.95,21.30,20.95,20.95,0.10,0.4796,21.1100,21.1350,21.7200,,,-901.0000,-849.7000,5,5,5,37.4968,33.7659,31.8182,25.0144,24.6477,28,41,25.0144,24.6477,25.7479,0,0,0,0.3979,-1.3211,-1.5201,5,5,5,
2012/08/31,20.95,20.95,20.65,20.70,-0.25,-1.1933,20.9300,21.0650,21.5400,,,-957.0000,-869.4000,5,5,5,32.3000,31.9149,9.0909,19.7066,23.0006,56,42,19.7066,23.0006,13.1185,0,0,0,0.3846,-1.2797,-1.4720,5,5,5,
2012/09/03,20.70,21.15,20.20,20.70,0.00,0.00,20.8400,21.0050,21.4000,,,-957.0000,-883.7000,5,5,5,32.3000,31.9149,33.3333,24.2488,23.4167,44,42,24.2488,23.4167,25.9131,271,54,27,0.3829,-1.2327,-1.4242,276,59,32,
2012/09/04,20.70,21.00,20.70,21.00,0.30,1.4493,20.8400,21.0050,21.3500,,,-929.0000,-889.4000,5,5,5,45.3806,36.8579,53.3333,33.9437,26.9257,28,39,33.9437,26.9257,47.9796,271,108,54,0.4260,-1.1579,-1.3709,276,113,59,
2012/09/05,21.05,21.70,21.05,21.20,0.20,0.9524,20.9100,21.0050,21.3650,,,-866.0000,-893.6000,5,5,5,52.6930,40.0247,66.6667,44.8513,32.9009,63,43,44.8513,32.9009,68.7522,275,163,82,0.4812,-1.0701,-1.3108,280,168,87,
2012/09/06,20.10,20.90,20.10,20.60,-0.60,-2.8302,20.8400,20.9750,21.3150,,,-938.0000,-901.7000,5,5,5,35.5563,34.3815,31.2500,40.3176,35.3731,72,52,40.3176,35.3731,50.2064,275,218,109,0.4379,-1.0371,-1.2560,280,223,114,
2012/09/07,20.95,21.00,20.20,20.20,-0.40,-1.9417,20.7400,20.8350,21.2075,,,-1067.0000,-928.1000,5,5,5,28.2153,31.1839,6.2500,28.9617,33.2360,129,67,28.9617,33.2360,20.4131,276,274,137,0.3597,-1.0312,-1.2111,281,279,142,
2012/09/10,19.20,19.70,19.20,19.50,-0.70,-3.4653,20.5000,20.6700,21.0925,,,-1158.0000,-959.2000,5,5,5,19.6820,26.4819,12.0000,23.3078,29.9266,91,76,23.3078,29.9266,10.0702,271,274,164,0.2245,-1.0707,-1.1830,276,279,169,
2012/09/11,19.50,19.70,19.40,19.60,0.10,0.5128,20.2200,20.5300,20.9725,,,-1093.0000,-979.5000,5,5,5,23.6409,28.1698,16.0000,20.8719,26.9083,65,84,20.8719,26.9083,8.7989,271,274,191,0.1624,-1.0815,-1.1627,276,279,196,
2012/09/12,19.80,19.90,19.65,19.65,0.05,0.2551,19.9100,20.4100,20.8350,24.7092,,-1062.0000,-992.8000,5,5,5,25.8343,29.0582,18.0000,19.9146,24.5771,31,77,19.9146,24.5771,10.5896,271,273,218,0.1425,-1.0736,-1.1449,276,278,223,
2012/09/13,20.00,20.00,19.65,19.85,0.20,1.0178,19.7600,20.3000,20.7175,24.5475,,-1020.0000,-1004.7000,5,5,5,34.8212,32.6909,26.0000,21.9431,23.6991,42,71,21.9431,23.6991,18.4310,271,272,245,0.1690,-1.0393,-1.1238,276,277,250,
2012/09/14,20.35,20.35,19.70,19.80,-0.05,-0.2519,19.6800,20.2100,20.6375,24.3892,,-1059.0000,-1014.9000,5,5,5,33.5998,32.2406,24.0000,22.6287,23.3423,39,53,22.6287,23.3423,21.2015,271,271,272,0.1908,-1.0045,-1.0999,276,276,277,
2012/09/17,19.90,19.90,19.70,19.70,-0.10,-0.5051,19.7200,20.1100,20.5575,24.2292,,-1100.0000,-1029.2000,5,5,5,30.9908,31.3001,20.0000,21.7525,22.8123,41,43,21.7525,22.8123,19.6327,271,271,272,0.2018,-0.9738,-1.0747,276,276,277,
2012/09/18,19.90,21.05,19.90,21.05,1.35,6.8528,20.0100,20.1150,20.5600,24.0717,,-908.0000,-1027.1000,5,5,5,69.4364,51.9462,100.0000,47.8350,31.1532,192,69,47.8350,31.1532,81.1985,271,271,272,0.3900,-0.8310,-1.0259,276,276,277,
2012/09/19,21.20,21.60,21.05,21.30,0.25,1.1876,20.3400,20.1250,20.5650,23.9333,,-682.0000,-1008.7000,5,5,5,72.8034,54.6967,87.5000,61.0567,41.1210,226,108,61.0567,41.1210,100.9279,271,271,272,0.5381,-0.6896,-0.9587,276,276,277,
2012/09/20,21.50,21.50,20.65,20.80,-0.50,-2.3474,20.5300,20.1450,20.5600,23.7917,,-766.0000,-991.5000,5,5,5,57.5798,48.6244,66.6667,62.9267,48.3896,84,116,62.9267,48.3896,92.0008,271,271,272,0.5564,-0.6109,-0.8891,276,276,277,
2012/09/21,20.80,21.20,20.80,21.10,0.30,1.4423,20.7900,20.2350,20.5350,23.6517,,-723.0000,-957.1000,5,5,5,63.1307,52.1048,77.2727,67.7087,54.8293,43,117,67.7087,54.8293,93.4675,271,271,271,0.5932,-0.5184,-0.8150,276,276,276,
2012/09/24,21.00,21.00,20.00,20.20,-0.90,-4.2654,20.8900,20.3050,20.4875,23.4892,,-804.0000,-921.7000,5,5,5,42.9145,42.6492,28.2051,54.5408,54.7331,81,125,54.5408,54.7331,54.1562,271,271,271,0.4852,-0.5117,-0.7543,276,276,276,
2012/09/25,20.20,20.50,20.20,20.25,0.05,0.2475,20.7300,20.3700,20.4500,23.3183,,-761.0000,-888.5000,5,5,5,44.1077,43.2731,30.7692,46.6170,52.0277,43,95,46.6170,52.0277,35.7954,271,271,271,0.4122,-0.4967,-0.7028,276,276,276,
2012/09/26,20.20,20.30,20.00,20.20,-0.05,-0.2469,20.5100,20.4250,20.4175,23.1583,,-815.0000,-863.8000,5,5,5,43.0285,42.7656,26.3158,39.8499,47.9685,54,61,39.8499,47.9685,23.6128,271,271,271,0.3512,-0.4833,-0.6589,276,276,276,
2012/09/27,20.00,20.80,20.00,20.65,0.45,2.2277,20.4800,20.5050,20.4025,22.9958,,-776.0000,-839.4000,5,5,5,54.9370,48.6757,50.0000,43.2333,46.3901,39,52,43.2333,46.3901,36.9197,271,271,271,0.3641,-0.4314,-0.6134,276,276,276,
2012/09/28,21.50,21.50,20.90,21.00,0.35,1.6949,20.4600,20.6250,20.4175,22.8408,,-653.0000,-798.8000,5,5,5,62.2933,52.8102,64.7059,50.3908,47.7236,123,68,50.3908,47.7236,55.7251,271,271,271,0.4089,-0.3578,-0.5623,276,276,276,
2012/10/01,21.40,21.40,21.05,21.25,0.25,1.1905,20.6700,20.7800,20.4450,22.7058,,-592.0000,-748.0000,5,5,5,66.9217,55.5975,78.1250,59.6355,51.6943,61,64,59.6355,51.6943,75.5181,271,271,271,0.4577,-0.2762,-0.5051,276,276,276,
2012/10/02,21.20,21.45,21.05,21.10,-0.15,-0.7059,20.8400,20.7850,20.4500,22.5717,,-715.0000,-728.7000,5,5,5,61.4875,53.5281,73.3333,64.2015,55.8633,123,80,64.2015,55.8633,80.8777,271,271,271,0.4544,-0.2211,-0.4483,276,276,276,
2012/10/03,21.10,21.30,20.80,20.90,-0.20,-0.9479,20.9800,20.7450,20.4350,22.4400,,-760.0000,-736.5000,5,5,5,54.4174,50.7789,60.0000,62.8010,58.1759,45,78,62.8010,58.1759,72.0512,271,271,271,0.4111,-0.1913,-0.3969,276,276,276,
2012/10/04,20.90,21.65,20.75,21.00,0.10,0.4785,21.0500,20.7650,20.4550,22.3183,,-678.0000,-727.7000,5,5,5,57.3592,52.1202,60.6061,62.0693,59.4737,82,86,62.0693,59.4737,67.2606,271,271,271,0.3825,-0.1578,-0.3491,276,276,276,
2012/10/05,21.30,22.45,21.25,22.45,1.45,6.9048,21.3400,20.9000,20.5675,22.2308,,-365.0000,-691.9000,5,5,5,79.9145,66.5424,100.0000,74.7129,64.5534,313,124,74.7129,64.5534,95.0318,271,271,271,0.5359,-0.0141,-0.2821,276,276,276,
2012/10/08,23.95,24.00,23.50,24.00,1.55,6.9042,21.8900,21.2800,20.7925,22.1683,,-71.0000,-618.6000,5,5,5,88.0338,75.2398,100.0000,83.1419,70.7496,294,171,83.1419,70.7496,107.9266,271,271,271,0.8069,0.2222,-0.1812,276,276,276,
2012/10/09,24.80,24.80,22.60,22.80,-1.20,-5.00,22.2300,21.5350,20.9525,22.0875,,-675.0000,-610.0000,5,5,5,63.9989,61.6948,58.3333,74.8724,72.1239,604,267,74.8724,72.1239,80.3695,271,271,271,0.7847,0.3092,-0.0831,276,276,276,
2012/10/11,22.20,22.50,21.30,21.55,-1.25,-5.4825,22.3600,21.6700,21.0475,21.9858,,-825.0000,-611.0000,5,5,5,47.7150,51.2171,19.7531,56.4993,66.9157,150,288,56.4993,66.9157,35.6665,271,271,271,0.5715,0.2741,-0.0117,276,276,276,
2012/10/12,21.60,22.30,21.30,21.50,-0.05,-0.232,22.4600,21.7550,21.1300,21.8875,,-925.0000,-625.9000,5,5,5,47.1393,50.8404,18.5185,43.8390,59.2235,100,292,43.8390,59.2235,13.0702,271,271,271,0.4018,0.2394,0.0385,276,276,276,
2012/10/15,21.80,21.80,21.35,21.35,-0.15,-0.6977,22.2400,21.7900,21.2075,21.7933,,-982.0000,-658.8000,5,5,5,45.1770,49.6451,14.8148,34.1643,50.8704,57,241,34.1643,50.8704,0.7521,271,271,271,0.2545,0.1976,0.0703,276,276,276,
2012/10/16,21.95,22.80,21.95,22.80,1.45,6.7916,22.0000,21.9450,21.3625,21.7183,,-842.0000,-683.8000,5,5,5,63.0296,59.6488,50.6173,39.6486,47.1298,140,210,39.6486,47.1298,24.6862,271,271,271,0.3327,0.2783,0.1119,276,276,276,
2012/10/17,24.00,24.00,22.80,23.60,0.80,3.5088,22.1600,22.1950,21.4900,21.6783,,-470.0000,-659.3000,5,5,5,69.5867,63.9583,70.3704,49.8892,48.0496,372,163,49.8892,48.0496,53.5684,271,271,271,0.4643,0.4021,0.1700,276,276,276,
