ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,30.20,30.25,29.60,29.90,0.00,0.00,,,,,,0.0000,,56428,,,,,,,,238,,,,,1280,,,,,,57711,,,
2012/06/29,30.00,30.20,29.90,29.90,0.00,0.00,,,,,,0.0000,,56456,,,,,,,,208,,,,,1263,,,,,,57722,,,
2012/07/02,29.90,30.20,29.85,29.90,0.00,0.00,,,,,,0.0000,,56494,,,,,,,,323,,,,,1273,,,,,,57770,,,
2012/07/03,30.00,30.15,29.90,29.90,0.00,0.00,,,,,,0.0000,,56515,,,,,,,,213,,,,,1283,,,,,,57801,,,
2012/07/04,30.00,30.20,29.70,29.70,-0.20,-0.6689,29.8600,,,,,-274.0000,,56521,56483,,,,,,,274,251,,,,1299,1280,,,,,57823,57766,,
2012/07/05,29.80,30.15,29.70,29.80,0.10,0.3367,29.8400,,,,,-91.0000,,56525,56502,,,,,,,183,240,,,,1309,1286,,,,,57837,57791,,
2012/07/06,29.65,30.05,29.20,29.35,-0.45,-1.5101,29.7300,,,,,-412.0000,,56524,56516,,13.3333,,,,,321,262,,,,1398,1313,,,,,57925,57832,,
2012/07/09,29.35,29.75,29.10,29.30,-0.05,-0.1704,29.6100,,,,,-568.0000,,56510,56519,,12.3457,,,,,156,229,,,,1397,1338,,,,,57910,57860,,
2012/07/10,29.30,29.40,28.25,28.30,-1.00,-3.413,29.2900,,,,,-855.0000,,56515,56519,,4.4444,,2.5000,34.1667,44.7222,287,244,34.1667,44.7222,13.0556,1448,1371,,,,,57966,57893,,
2012/07/11,28.50,28.75,28.35,28.75,0.45,1.5901,29.1000,29.4800,,,,-643.0000,-284.3000,56524,56520,56501,28.9867,,25.6410,31.3248,40.2564,212,231,31.3248,40.2564,13.4615,1471,1405,1343,,,,57998,57928,57847,
2012/07/12,28.85,28.95,28.20,28.20,-0.55,-1.913,28.7800,29.3100,,,,-990.0000,-383.3000,56512,56517,56510,21.0553,,0.0000,20.8832,33.7987,347,264,20.8832,33.7987,-4.9478,1466,1437,1361,,,,57981,57956,57874,
2012/07/13,27.45,27.70,27.20,27.40,-0.80,-2.8369,28.3900,29.0600,,,,-1265.0000,-509.8000,56500,56512,56514,14.2497,,6.6667,16.1443,27.9139,275,255,16.1443,27.9139,-7.3947,1461,1449,1381,,,,57964,57964,57898,
2012/07/16,27.45,27.65,26.80,26.85,-0.55,-2.0073,27.9000,28.7550,,,,-1496.0000,-659.4000,56500,56510,56515,11.2498,13.2530,1.4706,11.2531,22.3603,231,270,11.2531,22.3603,-10.9613,1451,1460,1399,,,,57954,57973,57916,
2012/07/17,27.00,27.10,26.20,26.80,-0.05,-0.1862,27.6000,28.4450,,,,-1698.0000,-829.2000,56524,56512,56516,10.9972,13.0811,15.1899,12.5654,19.0953,202,253,12.5654,19.0953,-0.4946,1444,1459,1415,,,,57971,57974,57933,
2012/07/18,27.00,27.10,26.50,26.80,0.00,0.00,27.2100,28.1550,,,,-1698.0000,-971.6000,56519,56511,56516,10.9972,13.0811,15.5844,13.5717,17.2541,134,237,13.5717,17.2541,6.2069,1441,1453,1429,,,,57963,57967,57947,
2012/07/19,26.80,27.10,26.80,26.80,0.00,0.00,26.9300,27.8550,,,,-1698.0000,-1132.3000,56537,56516,56517,10.9972,13.0811,16.9014,14.6816,16.3966,185,205,14.6816,16.3966,11.2516,1438,1448,1442,,,,57978,57966,57961,
2012/07/20,27.00,27.10,26.85,27.05,0.25,0.9328,26.8600,27.6250,,,,-1574.0000,-1248.5000,56533,56523,56518,25.4566,19.8322,26.5625,18.6419,17.1450,124,175,18.6419,17.1450,21.6356,1437,1443,1446,,,,57973,57968,57966,
2012/07/23,26.80,26.80,26.55,26.60,-0.45,-1.6636,26.8100,27.3550,,,,-1690.0000,-1360.7000,56527,56528,56519,18.8440,17.2077,14.5455,17.2764,17.1888,116,152,17.2764,17.1888,17.4516,0,1153,1306,,,,56529,57683,57828,
2012/07/24,24.75,26.60,24.75,25.95,-0.65,-2.4436,26.6400,27.1200,,,,-1971.0000,-1472.3000,56548,56533,56523,12.9936,14.2386,28.5714,21.0414,18.4730,281,168,21.0414,18.4730,26.1782,1490,1162,1311,,,,58041,57697,57836,
2012/07/25,25.50,25.90,25.00,25.75,-0.20,-0.7707,26.4300,26.8200,28.1500,,,-2105.0000,-1618.5000,56566,56542,56527,11.6573,13.4590,33.8983,25.3271,20.7577,134,168,25.3271,20.7577,34.4657,1464,1166,1310,,,,58033,57711,57839,
2012/07/26,25.75,26.60,25.75,26.60,0.85,3.301,26.3900,26.6600,27.9850,,,-1922.0000,-1711.7000,56561,56547,56532,42.0514,30.9786,63.7931,38.1491,26.5548,183,167,38.1491,26.5548,61.3376,1462,1171,1309,,,,58026,57721,57844,
2012/07/27,27.00,27.30,26.60,26.60,0.00,0.00,26.3000,26.5800,27.8200,,,-1922.0000,-1777.4000,56569,56554,56539,42.0514,30.9786,72.5490,49.6157,34.2418,134,169,49.6157,34.2418,80.3636,1460,1176,1309,,,,58032,57733,57850,
2012/07/30,26.60,26.95,26.00,26.00,-0.60,-2.2556,26.1800,26.4950,27.6250,,,-2030.0000,-1830.8000,56575,56564,56546,31.1558,26.4760,49.0196,49.4170,39.3002,108,168,49.4170,39.3002,69.6506,1460,1468,1310,,,,58038,58034,57859,
2012/07/31,26.00,26.20,25.85,26.20,0.20,0.7692,26.2300,26.4350,27.4400,,,-1893.0000,-1850.3000,56632,56581,56557,37.6208,30.1668,56.8627,51.8989,43.4998,137,139,51.8989,43.4998,68.6972,0,1170,1166,,,,56634,57753,57725,
2012/08/01,26.30,26.85,26.30,26.75,0.55,2.0992,26.4300,26.4300,27.2925,,,-1763.0000,-1856.8000,56647,56597,56570,52.3786,39.3071,78.4314,60.7431,49.2475,130,138,60.7431,49.2475,83.7341,1447,1166,1166,,,,58097,57766,57738,
2012/08/03,26.75,27.00,26.40,26.60,-0.15,-0.5607,26.4300,26.4100,27.1325,,,-1934.0000,-1880.4000,56640,56613,56580,48.6145,37.8338,72.5490,64.6784,54.3912,171,136,64.6784,54.3912,85.2529,1423,1159,1165,,-1.0625,,58066,57774,57747,
2012/08/06,26.85,27.10,26.60,27.00,0.40,1.5038,26.5100,26.4050,27.0150,,,-1670.0000,-1890.0000,56676,56634,56594,58.2218,43.9459,88.2353,72.5307,60.4377,264,162,72.5307,60.4377,96.7167,0,866,1021,,-0.9625,,56678,57503,57618,
2012/08/07,27.30,27.30,26.65,26.65,-0.35,-1.2963,26.6400,26.4100,26.8825,,,-1830.0000,-1904.0000,56680,56655,56610,48.6677,40.1754,71.7391,72.2668,64.3807,160,172,72.2668,64.3807,88.0391,0,574,1021,,-0.9012,,56682,57232,57633,
