ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,20.30,20.40,19.80,19.85,0.00,0.00,,,,,,0.0000,,21192,,,,,,,,709,,,,,134,,,,,,22036,,,
2012/06/29,20.00,20.85,19.85,20.55,0.70,3.5264,,,,,,1486.0000,,21261,,,,,,,,1486,,,,,190,,,,,,22161,,,
2012/07/02,20.90,21.20,20.50,20.60,0.05,0.2433,,,,,,2699.0000,,21291,,,,,,,,1213,,,,,125,,,,,,21816,,,
2012/07/03,20.80,20.80,20.60,20.65,0.05,0.2427,,,,,,3426.0000,,21294,,,,,,,,727,,,,,110,,,,,,21804,,,
2012/07/04,20.80,21.15,20.80,20.90,0.25,1.2107,20.5100,,,,,4548.0000,,21320,21272,,,,,,,1122,1051,,,,121,136,,,,,21841,21932,,
2012/07/05,20.90,21.30,20.75,20.90,0.00,0.00,20.7200,,,,,4548.0000,,21325,21299,,,,,,,1320,1173,,,,127,135,,,,,21850,21895,,
2012/07/06,20.90,21.00,20.60,20.90,0.00,0.00,20.7900,,,,,4548.0000,,21341,21315,,100.0000,,,,,476,971,,,,121,121,,,,,21860,21834,,
2012/07/09,20.60,20.80,20.55,20.55,-0.35,-1.6746,20.7800,,,,,4153.0000,,21329,21322,,71.4286,,,,,395,808,,,,0,96,,,,,21726,21817,,
2012/07/10,20.55,21.00,20.35,20.35,-0.20,-0.9732,20.7200,,,,,3369.0000,,21356,21335,,59.7270,,36.6667,45.5556,48.5185,784,819,45.5556,48.5185,39.6296,0,74,,,,,21753,21807,,
2012/07/11,20.40,20.55,20.05,20.10,-0.25,-1.2285,20.5600,20.5350,,,,2726.0000,3150.3000,21439,21359,21315,47.9452,,17.2414,36.1175,44.3848,643,723,36.1175,44.3848,19.5828,120,74,105,,,,21957,21830,21881,
2012/07/12,20.15,20.25,19.05,19.20,-0.90,-4.4776,20.2200,20.4700,,,,1580.0000,3308.3000,21417,21377,21338,25.8860,,6.6667,26.3006,38.3567,1146,688,26.3006,38.3567,2.1882,111,71,103,,,,21926,21845,21870,
2012/07/13,18.80,19.20,18.15,18.20,-1.00,-5.2083,19.6800,20.2350,,,,542.0000,3213.9000,21446,21398,21356,16.0439,,1.5873,18.0628,31.5921,1038,801,18.0628,31.5921,-8.9958,97,66,94,,,,21941,21861,21848,
2012/07/16,18.20,18.50,17.65,17.65,-0.55,-3.022,19.1000,19.9400,,,,-231.0000,2920.9000,21470,21426,21374,12.8254,24.4186,0.0000,12.0419,25.0754,773,876,12.0419,25.0754,-14.0251,95,85,91,,,,21963,21908,21863,
2012/07/17,17.65,18.20,17.65,17.90,0.25,1.4164,18.6100,19.6650,,,,468.0000,2625.1000,21435,21442,21388,21.4232,28.9264,6.8493,10.3110,20.1539,699,859,10.3110,20.1539,-9.3748,87,102,88,,,,21920,21942,21874,
2012/07/18,17.90,18.05,17.55,17.55,-0.35,-1.9553,18.1000,19.3300,,,,44.0000,2174.7000,21433,21441,21400,18.3781,26.5115,0.0000,6.8740,15.7273,424,816,6.8740,15.7273,-10.8325,0,78,76,,,,21830,21916,21873,
2012/07/19,17.90,17.90,17.50,17.70,0.15,0.8547,17.8000,19.0100,,,,629.0000,1782.8000,21585,21474,21426,23.9383,29.2722,5.7143,6.4874,12.6473,585,703,6.4874,12.6473,-5.8324,0,56,63,,,,21982,21928,21886,
2012/07/20,17.70,18.10,17.70,17.90,0.20,1.1299,17.7400,18.7100,,,,1429.0000,1470.9000,21746,21534,21466,31.4138,32.9366,11.4286,8.1345,11.1430,800,656,8.1345,11.1430,2.1173,94,55,61,,,,22237,21987,21924,
2012/07/23,17.80,17.80,17.20,17.20,-0.70,-3.9106,17.6500,18.3750,,,,848.0000,1140.4000,21766,21594,21510,22.2354,27.4971,0.0000,5.4230,9.2364,581,617,5.4230,9.2364,-2.2038,93,55,70,,,,22256,22046,21977,
2012/07/24,17.20,17.30,16.00,16.30,-0.90,-5.2326,17.3300,17.9700,,,,-179.0000,785.6000,21803,21667,21555,15.3264,22.3256,7.0588,5.9683,8.1470,1027,683,5.9683,8.1470,1.6108,87,55,79,,,,22287,22119,22030,
2012/07/25,16.30,16.85,16.30,16.40,0.10,0.6135,17.1000,17.6000,19.0675,,,786.0000,591.6000,21829,21746,21594,18.6948,24.0569,12.5000,8.1455,8.1465,965,791,8.1455,8.1465,8.1435,0,55,67,,,,22225,22198,22057,
2012/07/26,16.50,16.80,16.50,16.65,0.25,1.5244,16.8900,17.3450,18.9075,,,1304.0000,564.0000,21826,21795,21634,27.3635,28.4087,26.0000,14.0970,10.1300,518,778,14.0970,10.1300,22.0310,83,72,64,,,,22306,22263,22095,
