ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,14.00,14.00,13.45,13.50,0.00,0.00,,,,,,0.0000,,113,,,,,,,,21,,,,,0,,,,,,113,,,
2012/06/28,13.60,13.65,13.35,13.35,-0.15,-1.1111,,,,,,-41.0000,,113,,,,,,,,41,,,,,0,,,,,,113,,,
2012/06/29,13.45,13.55,13.45,13.55,0.20,1.4981,,,,,,349.0000,,113,,,,,,,,390,,,,,0,,,,,,113,,,
2012/07/02,14.00,14.30,13.70,13.70,0.15,1.107,,,,,,418.0000,,113,,,,,,,,69,,,,,0,,,,,,113,,,
2012/07/03,13.85,14.05,13.85,13.85,0.15,1.0949,13.5900,,,,,1131.0000,,113,113,,,,,,,713,246,,,,0,0,,,,,113,113,,
2012/07/04,14.00,14.65,14.00,14.50,0.65,4.6931,13.7900,,,,,1234.0000,,113,113,,,,,,,103,263,,,,0,0,,,,,113,113,,
2012/07/05,14.40,14.55,14.20,14.40,-0.10,-0.6897,14.0000,,,,,1175.0000,,113,113,,82.1429,,,,,59,266,,,,0,0,,,,,113,113,,
2012/07/06,14.25,14.40,14.20,14.20,-0.20,-1.3889,14.1300,,,,,1124.0000,,113,113,,70.1220,,,,,51,199,,,,0,0,,,,,113,113,,
2012/07/09,13.85,14.20,13.85,14.05,-0.15,-1.0563,14.2000,,,,,1024.0000,,113,113,,61.9612,,53.8462,51.2821,50.4274,100,205,51.2821,50.4274,52.9915,0,0,,,,,113,113,,
2012/07/10,13.15,13.15,12.90,12.95,-1.10,-7.8292,14.0200,13.8050,,,,991.0000,740.5000,113,113,113,30.6112,,2.8571,35.1404,45.3317,33,69,35.1404,45.3317,14.7578,0,0,0,,,,113,113,113,
2012/07/11,13.00,13.05,12.95,12.95,0.00,0.00,13.7100,13.7500,,,,991.0000,839.6000,113,113,113,30.6112,,2.8571,24.3793,38.3476,8,50,24.3793,38.3476,-3.5572,0,0,0,,,,113,113,113,
2012/07/12,12.85,13.00,12.75,13.00,0.05,0.3861,13.4300,13.7150,,,,1003.0000,944.0000,113,113,113,32.8355,,13.1579,20.6388,32.4447,12,40,20.6388,32.4447,-2.9728,0,0,0,,,,113,113,113,
2012/07/13,13.00,13.00,12.70,12.70,-0.30,-2.3077,13.1300,13.6300,,,,989.0000,1008.0000,113,113,113,26.6781,37.5000,0.0000,13.7592,26.2162,14,33,13.7592,26.2162,-11.1547,0,0,0,,,,113,113,113,
2012/07/16,12.60,12.60,12.15,12.15,-0.55,-4.3307,12.7500,13.4750,,,,952.0000,1061.4000,113,113,113,18.8865,31.5789,0.0000,9.1728,20.5351,37,20,9.1728,20.5351,-13.5517,0,0,0,,,,113,113,113,
2012/07/17,12.15,12.30,12.15,12.30,0.15,1.2346,12.6200,13.3200,,,,961.0000,1044.4000,113,113,113,25.9632,34.6489,6.2500,8.1985,16.4229,9,16,8.1985,16.4229,-8.2501,0,0,0,,,,113,113,113,
2012/07/18,12.20,12.55,12.20,12.45,0.15,1.2195,12.5200,13.1150,,,,977.0000,1018.7000,113,113,113,32.9797,37.6985,13.3333,9.9101,14.2520,16,17,9.9101,14.2520,1.2265,0,0,0,,,,113,113,113,
2012/07/19,12.35,12.45,12.00,12.40,-0.05,-0.4016,12.4000,12.9150,,,,951.0000,996.3000,113,113,113,31.7752,37.0695,18.1818,12.6674,13.7238,26,20,12.6674,13.7238,10.5546,0,0,0,,,,113,113,113,
2012/07/20,12.30,12.40,12.20,12.40,0.00,0.00,12.3400,12.7350,,,,951.0000,979.0000,113,113,113,31.7752,37.0695,34.7826,20.0391,15.8289,72,32,20.0391,15.8289,28.4596,0,0,0,,,,113,113,113,
2012/07/24,12.10,12.10,12.05,12.05,-0.35,-2.8226,12.3200,12.5350,,,,932.0000,969.8000,113,113,113,23.2247,32.5456,4.7619,14.9467,15.5348,19,28,14.9467,15.5348,13.7705,0,0,0,,,,113,113,113,
2012/07/25,12.05,12.35,12.05,12.05,0.00,0.00,12.2700,12.4450,13.1250,,,932.0000,963.9000,113,113,113,23.2247,32.5456,5.0000,11.6311,14.2336,3,27,11.6311,14.2336,6.4262,0,0,0,,,,113,113,113,
2012/07/26,12.05,12.10,11.90,12.10,0.05,0.4149,12.2000,12.3600,13.0550,,,1014.0000,966.2000,113,113,113,27.2518,33.9167,18.1818,13.8147,14.0940,82,40,13.8147,14.0940,13.2562,0,0,0,,,,113,113,113,
2012/07/27,12.35,12.35,12.35,12.35,0.25,2.0661,12.1900,12.2950,13.0050,,,1016.0000,967.5000,113,113,113,44.6662,40.5121,64.2857,30.6384,19.6088,2,35,30.6384,19.6088,52.6976,0,0,0,,,,113,113,113,
2012/07/30,12.15,12.15,12.15,12.15,-0.20,-1.6194,12.1400,12.2400,12.9350,,,1005.0000,969.1000,113,113,113,36.3198,37.2661,38.4615,33.2461,24.1545,11,23,33.2461,24.1545,51.4292,0,0,0,,,,113,113,113,
2012/07/31,12.50,12.80,12.20,12.80,0.65,5.3498,12.2900,12.3050,12.8900,,,1049.0000,978.8000,113,113,113,63.1642,51.1446,100.0000,55.4974,34.6022,44,28,55.4974,34.6022,97.2879,0,0,0,,,,113,113,113,
2012/08/01,12.65,12.75,12.50,12.75,-0.05,-0.3906,12.4300,12.3500,12.8350,,,988.0000,981.5000,113,113,113,60.7984,50.2124,94.4444,68.4797,45.8947,61,40,68.4797,45.8947,113.6499,0,0,0,,,,113,113,113,
2012/08/03,12.45,12.45,12.25,12.45,-0.30,-2.3529,12.5000,12.3500,12.7325,,,923.0000,976.1000,113,113,113,47.8850,44.8606,61.1111,66.0235,52.6043,65,36,66.0235,52.6043,92.8620,0,0,0,,-0.4301,,113,113,113,
2012/08/06,12.75,12.75,12.45,12.45,0.00,0.00,12.5200,12.3550,12.6350,,,923.0000,973.3000,113,113,113,47.8850,44.8606,61.1111,64.3861,56.5316,46,45,64.3861,56.5316,80.0951,0,0,0,,-0.4052,,113,113,113,
2012/08/07,12.40,12.40,12.35,12.40,-0.05,-0.4016,12.5700,12.3550,12.5450,,,896.0000,967.8000,113,113,113,45.5624,43.9319,55.5556,61.4426,58.1686,27,48,61.4426,58.1686,67.9906,0,0,0,,-0.3850,,113,113,113,
2012/08/08,12.50,12.50,12.40,12.40,0.00,0.00,12.4900,12.3900,12.4625,,,896.0000,964.2000,113,113,113,45.5624,43.9319,55.5556,59.4802,58.6058,6,41,59.4802,58.6058,61.2291,0,0,0,,-0.3649,,113,113,113,
2012/08/09,12.40,12.50,12.35,12.50,0.10,0.8065,12.4400,12.4350,12.4400,,,953.0000,966.3000,113,113,113,52.2347,46.5650,53.8462,57.6022,58.2713,57,40,57.6022,58.2713,56.2641,0,0,0,,-0.3369,,113,113,113,
2012/08/10,12.60,12.60,12.45,12.50,0.00,0.00,12.4500,12.4750,12.4175,,,953.0000,960.2000,113,113,113,52.2347,46.5650,53.8462,56.3502,57.6309,56,38,56.3502,57.6309,53.7888,0,0,0,,-0.3112,,113,113,113,
2012/08/13,12.50,12.80,12.50,12.65,0.15,1.20,12.4900,12.5050,12.4000,,,1115.0000,970.1000,113,113,113,62.2333,50.6981,75.0000,62.5668,59.2762,162,61,62.5668,59.2762,69.1480,0,0,0,,-0.2756,,113,113,113,
2012/08/14,12.65,13.50,12.65,13.50,0.85,6.7194,12.7100,12.6400,12.4400,,,1665.0000,1036.1000,113,113,113,84.4159,66.6464,100.0000,75.0445,64.5323,550,166,75.0445,64.5323,96.0690,0,0,0,,-0.1767,,113,113,113,
2012/08/15,13.45,14.10,13.45,13.75,0.25,1.8519,12.9800,12.7350,12.5200,,,2016.0000,1132.8000,113,113,113,87.0919,69.7826,81.0811,77.0567,68.7071,351,235,77.0567,68.7071,93.7559,0,0,0,0.4595,-0.0772,-0.3070,113,113,113,
2012/08/16,13.90,13.90,13.50,13.70,-0.05,-0.3636,13.2200,12.8300,12.5900,,,1936.0000,1227.6000,113,113,113,83.6449,68.3798,77.1429,77.0854,71.4999,80,239,77.0854,71.4999,88.2565,0,0,0,0.4873,-0.0024,-0.2461,113,113,113,
2012/08/17,13.50,13.80,13.50,13.80,0.10,0.7299,13.4800,12.9650,12.6575,,,2021.0000,1337.4000,113,113,113,85.0637,69.7084,82.8571,79.0093,74.0030,85,245,79.0093,74.0030,89.0219,0,0,0,0.4964,0.0642,-0.1840,113,113,113,
2012/08/20,13.80,13.80,13.55,13.60,-0.20,-1.4493,13.6700,13.0800,12.7175,,,1964.0000,1441.5000,113,113,113,70.4054,63.8544,71.4286,76.4824,74.8295,57,224,76.4824,74.8295,79.7883,0,0,0,0.4539,0.0997,-0.1273,113,113,113,
2012/08/21,13.80,13.90,13.50,13.60,0.00,0.00,13.6900,13.2000,12.7775,,,1964.0000,1548.3000,113,113,113,70.4054,63.8544,71.4286,74.7978,74.8189,53,125,74.7978,74.8189,74.7555,0,0,0,0.4058,0.1264,-0.0766,113,113,113,
2012/08/22,13.40,13.70,13.40,13.70,0.10,0.7353,13.6800,13.3300,12.8600,,,1983.0000,1657.0000,113,113,113,73.6720,65.5746,75.7576,75.1177,74.9185,19,58,75.1177,74.9185,75.5161,0,0,0,0.3686,0.1538,-0.0305,113,113,113,
2012/08/23,13.80,14.05,13.70,13.85,0.15,1.0949,13.7100,13.4650,12.9500,,,2066.0000,1768.3000,113,113,113,78.0358,68.0619,84.3750,78.2035,76.0135,83,59,78.2035,76.0135,82.5834,0,0,0,0.3456,0.1855,0.0127,113,113,113,
2012/08/24,13.85,14.05,13.85,14.00,0.15,1.083,13.7500,13.6150,13.0450,,,2121.0000,1885.1000,113,113,113,81.6796,70.3954,93.1034,83.1701,78.3991,55,53,83.1701,78.3991,92.7123,0,0,0,0.3320,0.2202,0.0542,113,113,113,
2012/08/27,13.90,14.10,13.85,14.00,0.00,0.00,13.8300,13.7500,13.1275,,,2121.0000,1985.7000,113,113,113,81.6796,70.3954,85.7143,84.0182,80.2721,49,51,84.0182,80.2721,91.5104,0,0,0,0.3051,0.2449,0.0923,113,113,113,
2012/08/28,14.00,14.00,13.85,13.90,-0.10,-0.7143,13.8900,13.7900,13.2150,,,2090.0000,2028.2000,113,113,113,70.4582,66.5384,71.4286,79.8216,80.1219,31,47,79.8216,80.1219,79.2210,0,0,0,0.2577,0.2534,0.1246,113,113,113,
2012/08/29,14.10,14.10,13.90,14.00,0.10,0.7194,13.9500,13.8150,13.2750,,,2175.0000,2044.1000,113,113,113,74.6392,68.4256,85.7143,81.7859,80.6766,85,60,81.7859,80.6766,84.0044,0,0,0,0.2251,0.2652,0.1527,113,113,113,
2012/08/30,14.00,14.70,13.95,14.25,0.25,1.7857,14.0300,13.8700,13.3500,,,2265.0000,2077.0000,113,113,113,82.1977,72.6349,65.3846,76.3188,79.2240,90,62,76.3188,79.2240,70.5084,0,0,0,0.2219,0.2914,0.1804,113,113,113,
2012/08/31,14.30,14.50,14.20,14.25,0.00,0.00,14.0800,13.9150,13.4400,,,2265.0000,2101.4000,113,113,113,82.1977,72.6349,65.3846,72.6741,77.0407,72,65,72.6741,77.0407,63.9408,0,0,0,0.2050,0.3086,0.2061,113,113,113,
2012/09/03,14.00,14.55,14.00,14.30,0.05,0.3509,14.1400,13.9850,13.5325,,,2391.0000,2144.1000,113,113,113,83.6050,73.4765,69.2308,71.5263,75.2025,126,80,71.5263,75.2025,64.1738,56,11,6,0.1863,0.3225,0.2294,169,124,119,
2012/09/04,14.20,14.65,14.20,14.50,0.20,1.3986,14.2600,14.0750,13.6375,,,2680.0000,2215.7000,113,113,113,88.1148,76.6149,80.0000,74.3509,74.9187,289,132,74.3509,74.9187,73.2153,56,22,11,0.1862,0.3457,0.2526,169,136,124,
2012/09/05,14.45,14.50,14.30,14.50,0.00,0.00,14.3600,14.1550,13.7425,,,2680.0000,2285.4000,113,113,113,88.1148,76.6149,76.4706,75.0574,74.9649,38,123,75.0574,74.9649,75.2425,56,34,17,0.1717,0.3599,0.2741,169,147,130,
