ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,20.25,20.25,20.10,20.15,0.00,0.00,,,,,,0.0000,,8598,,,,,,,,276,,,,,0,,,,,,11689,,,
2012/06/29,20.25,20.85,20.20,20.70,0.55,2.7295,,,,,,1391.0000,,8660,,,,,,,,1391,,,,,400,,,,,,12153,,,
2012/07/02,21.00,21.05,20.75,20.85,0.15,0.7246,,,,,,1887.0000,,8680,,,,,,,,496,,,,,349,,,,,,11530,,,
2012/07/03,20.75,20.80,20.55,20.65,-0.20,-0.9592,,,,,,1401.0000,,8597,,,,,,,,486,,,,,0,,,,,,11097,,,
2012/07/04,20.65,20.90,20.65,20.90,0.25,1.2107,20.6500,,,,,1795.0000,,8637,8635,,,,,,,394,608,,,,369,224,,,,,11507,11595,,
2012/07/05,20.95,21.05,20.75,20.75,-0.15,-0.7177,20.7700,,,,,1402.0000,,8640,8643,,,,,,,393,632,,,,368,298,,,,,11507,11559,,
2012/07/06,20.75,20.90,20.70,20.70,-0.05,-0.241,20.7700,,,,,1144.0000,,8646,8641,,70.3704,,,,,258,405,,,,366,291,,,,,11511,11431,,
2012/07/09,20.70,20.75,20.45,20.55,-0.15,-0.7246,20.7100,,,,,859.0000,,8650,8635,,62.0915,,,,,285,363,,,,0,221,,,,,11148,11354,,
2012/07/10,20.55,20.55,20.25,20.30,-0.25,-1.2165,20.6400,,,,,498.0000,,8666,8649,,50.2646,,21.0526,40.3509,46.7836,361,338,40.3509,46.7836,27.4854,363,294,,,,,11528,11440,,
2012/07/11,20.30,20.65,20.30,20.65,0.35,1.7241,20.5900,20.6200,,,,795.0000,1117.2000,8663,8654,8644,62.3216,,52.9412,44.5476,46.0383,297,318,44.5476,46.0383,41.5663,0,220,222,,,,11161,11371,11483,
2012/07/12,20.65,20.75,20.45,20.65,0.00,0.00,20.5700,20.6700,,,,795.0000,1196.7000,8627,8651,8647,62.3216,,50.0000,46.3651,46.1472,469,334,46.3651,46.1472,46.8008,361,219,258,,,,11487,11367,11463,
2012/07/13,20.50,20.55,20.20,20.35,-0.30,-1.4528,20.5000,20.6350,,,,294.0000,1087.0000,8598,8642,8641,47.9685,,17.6471,36.7924,43.0290,501,382,36.7924,43.0290,24.3193,356,217,254,,,,11453,11356,11393,
2012/07/16,20.55,20.60,20.00,20.05,-0.30,-1.4742,20.4000,20.5550,,,,-417.0000,856.6000,8596,8631,8633,37.5820,48.1481,4.7619,26.1156,37.3912,711,467,26.1156,37.3912,3.5644,352,287,254,,,,11447,11415,11385,
2012/07/17,20.05,20.20,20.05,20.15,0.10,0.4988,20.3700,20.5050,,,,39.0000,720.4000,8584,8614,8631,42.5572,50.1618,14.2857,22.1723,32.3182,456,486,22.1723,32.3182,1.8805,0,214,254,,,,11082,11326,11383,
2012/07/18,20.20,20.35,19.90,20.00,-0.15,-0.7444,20.2400,20.4150,,,,-1083.0000,432.6000,8606,8603,8628,37.2174,47.1646,10.0000,18.1149,27.5838,1122,651,18.1149,27.5838,-0.8229,433,301,261,,,,11538,11402,11386,
2012/07/19,19.40,19.40,18.90,19.10,-0.90,-4.50,19.9300,20.2500,,,,-1655.0000,126.9000,8719,8621,8636,19.5532,33.9046,10.8108,15.6802,23.6159,572,672,15.6802,23.6159,-0.1913,355,300,259,,,,11573,11419,11393,
2012/07/20,19.20,19.35,19.05,19.05,-0.05,-0.2618,19.6700,20.0850,,,,-1904.0000,-177.9000,8814,8665,8653,18.9535,33.3366,8.1081,13.1562,20.1293,249,622,13.1562,20.1293,-0.7902,335,296,256,,,,11648,11458,11407,
2012/07/23,19.00,19.00,18.75,18.80,-0.25,-1.3123,19.4200,19.9100,,,,-2232.0000,-487.0000,8779,8701,8666,16.0076,30.5453,2.5000,9.6041,16.6209,328,545,9.6041,16.6209,-4.4295,315,288,288,,,,11593,11487,11451,
2012/07/24,18.80,18.85,18.55,18.65,-0.15,-0.7979,19.1200,19.7450,,,,-2489.0000,-785.7000,8777,8740,8677,14.3966,28.9582,4.5455,7.9179,13.7199,257,505,7.9179,13.7199,-3.6861,314,351,283,,,,11590,11589,11457,
2012/07/25,18.60,18.80,18.50,18.70,0.05,0.2681,18.8600,19.5500,20.0850,,,-2227.0000,-1087.9000,8798,8778,8691,17.7094,30.2755,9.5238,8.4532,11.9643,262,333,8.4532,11.9643,1.4309,0,265,283,,,,11296,11540,11471,
2012/07/26,19.00,19.00,18.80,18.85,0.15,0.8021,18.8100,19.3700,20.0200,,,-2112.0000,-1378.6000,8793,8793,8707,27.7720,34.2649,16.6667,11.1910,11.7066,115,242,11.1910,11.7066,10.1599,0,193,247,,,,11291,11484,11451,
2012/07/27,19.05,19.15,19.00,19.10,0.25,1.3263,18.8200,19.2450,19.9400,,,-1760.0000,-1584.0000,8799,8790,8727,41.9651,40.4589,32.4324,18.2715,13.8949,352,262,18.2715,13.8949,27.0247,303,187,241,,,,11601,11474,11466,
2012/07/30,19.30,19.30,19.10,19.10,0.00,0.00,18.8800,19.1500,19.8525,,,-1760.0000,-1718.3000,8799,8794,8748,41.9651,40.4589,32.4324,22.9918,16.9272,118,220,22.9918,16.9272,35.1210,0,124,206,,,,11297,11415,11451,
2012/07/31,19.00,19.10,18.80,18.80,-0.30,-1.5707,18.9100,19.0150,19.7600,,,-2291.0000,-1951.3000,8444,8727,8733,31.3275,35.6603,33.3333,26.4390,20.0978,531,275,26.4390,20.0978,39.1214,0,61,206,,,,10941,11286,11437,
2012/08/01,18.90,19.10,18.85,19.00,0.20,1.0638,18.9700,18.9150,19.6650,,,-2149.0000,-2057.9000,8445,8657,8717,42.9057,40.7694,58.8235,37.2338,25.8098,142,251,37.2338,25.8098,60.0819,253,112,188,,,,11196,11266,11403,
2012/08/03,18.80,19.10,18.75,18.90,-0.10,-0.5263,18.9800,18.8950,19.5725,,,-2390.0000,-2131.4000,8440,8586,8689,38.9641,39.0768,50.0000,41.4892,31.0363,241,276,41.4892,31.0363,62.3951,294,171,182,,-0.6886,,11232,11254,11369,
2012/08/06,19.15,19.35,18.90,18.90,0.00,0.00,18.9400,18.8800,19.4825,,,-2390.0000,-2180.0000,8455,8517,8653,38.9641,39.0768,47.0588,43.3458,35.1394,188,244,43.3458,35.1394,59.7584,294,169,178,,-0.6578,,11247,11183,11329,
2012/08/07,18.80,18.95,18.75,18.90,0.00,0.00,18.9000,18.8900,19.4000,,,-2390.0000,-2195.8000,8449,8447,8620,38.9641,39.0768,47.0588,44.5834,38.2874,210,262,44.5834,38.2874,57.1755,270,223,173,,-0.6262,,11217,11167,11291,
2012/08/08,18.90,19.20,18.80,19.15,0.25,1.3228,18.9700,18.9400,19.3425,,,-2047.0000,-2151.6000,8449,8448,8588,56.3050,46.3111,66.6667,51.9445,42.8398,343,224,51.9445,42.8398,70.1540,407,305,183,,-0.5744,,11354,11250,11268,
2012/08/09,19.15,19.70,19.15,19.55,0.40,2.0888,19.0800,19.0250,19.2875,,,-1065.0000,-2035.4000,8449,8449,8553,71.7274,55.5285,84.2105,62.6999,49.4598,982,392,62.6999,49.4598,89.1799,297,313,212,,-0.4953,,11244,11259,11263,
2012/08/10,19.55,19.60,19.35,19.40,-0.15,-0.7673,19.1800,19.0800,19.2250,,,-1514.0000,-1975.6000,8471,8455,8520,61.8964,51.8845,68.4211,64.6069,54.5089,449,434,64.6069,54.5089,84.8031,271,309,240,,-0.4397,,11240,11261,11257,
2012/08/13,19.60,19.60,19.30,19.35,-0.05,-0.2577,19.2700,19.1050,19.1750,,,-2001.0000,-1999.7000,8483,8460,8489,58.6793,50.6752,63.1579,64.1239,57.7139,487,494,64.1239,57.7139,76.9440,266,303,236,,-0.3951,,11247,11261,11222,
2012/08/14,19.35,19.50,19.35,19.40,0.05,0.2584,19.3700,19.1350,19.1425,,,-1691.0000,-1992.8000,8504,8471,8459,61.1052,51.8983,68.4211,65.5563,60.3280,310,514,65.5563,60.3280,76.0129,259,301,262,,-0.3517,,11261,11270,11219,
2012/08/15,19.40,19.60,19.35,19.40,0.00,0.00,19.4200,19.1950,19.1050,,,-1691.0000,-1932.8000,8504,8482,8465,61.1052,51.8983,68.4211,66.5112,62.3891,338,513,66.5112,62.3891,74.7555,249,269,287,0.3822,-0.3136,-0.5047,11251,11249,11250,
2012/08/16,19.50,19.80,19.45,19.65,0.25,1.2887,19.4400,19.2600,19.0875,,,-1208.0000,-1838.7000,8522,8497,8473,72.6613,58.0829,85.7143,72.9122,65.8968,483,413,72.9122,65.8968,86.9431,250,260,287,0.3911,-0.2603,-0.4558,11270,11254,11257,
2012/08/17,19.70,19.90,19.70,19.70,0.05,0.2545,19.5000,19.3400,19.1175,,,-649.0000,-1664.6000,8477,8498,8477,74.4809,59.2267,82.6087,76.1444,69.3127,559,435,76.1444,69.3127,89.8078,0,206,257,0.3908,-0.2116,-0.4070,11092,11225,11243,
2012/08/20,19.90,19.90,19.50,19.55,-0.15,-0.7614,19.5400,19.4050,19.1425,,,-963.0000,-1521.9000,8492,8500,8480,60.0838,54.3712,68.1818,73.4902,70.7052,314,400,73.4902,70.7052,79.0602,0,152,228,0.3585,-0.1829,-0.3622,11107,11197,11229,
2012/08/21,19.65,19.70,19.55,19.60,0.05,0.2558,19.5800,19.4750,19.1825,,,-784.0000,-1361.3000,8523,8504,8488,62.9486,55.6920,60.0000,68.9935,70.1346,179,374,68.9935,70.1346,66.7112,0,100,201,0.3324,-0.1544,-0.3206,11138,11172,11221,
2012/08/22,19.60,20.20,19.50,20.10,0.50,2.551,19.7200,19.5700,19.2550,,,476.0000,-1109.0000,8521,8507,8495,80.0932,66.3263,88.8889,75.6253,71.9648,1260,559,75.6253,71.9648,82.9462,257,102,186,0.3683,-0.0905,-0.2746,11394,11201,11225,
2012/08/23,20.50,21.30,20.35,21.00,0.90,4.4776,19.9900,19.7150,19.3700,,,2903.0000,-712.2000,8481,8499,8498,90.0441,77.1127,85.0000,78.7502,74.2266,2427,947,78.7502,74.2266,87.7973,359,124,192,0.4913,0.0325,-0.2132,11756,11298,11276,
2012/08/24,21.00,21.20,20.80,20.80,-0.20,-0.9524,20.2100,19.8550,19.4675,,,1593.0000,-401.5000,8473,8498,8498,79.4530,71.5561,74.3590,77.2864,75.2466,1310,1098,77.2864,75.2466,81.3662,320,188,197,0.5211,0.1125,-0.1480,12009,11481,11353,
2012/08/27,21.20,21.30,20.70,21.05,0.25,1.2019,20.5100,20.0250,19.5650,,,2418.0000,40.4000,8487,8497,8499,82.5345,74.1010,87.1795,80.5841,77.0257,825,1200,80.5841,77.0257,87.7009,323,253,202,0.5470,0.1938,-0.0797,12076,11675,11436,
2012/08/28,21.05,21.05,20.20,20.40,-0.65,-3.0879,20.6700,20.1250,19.6300,,,1559.0000,365.4000,8493,8491,8497,56.2259,59.1026,51.3514,70.8399,74.9638,859,1336,70.8399,74.9638,62.5920,0,253,176,0.4531,0.2035,-0.0230,11858,11819,11496,
2012/08/29,20.75,21.80,20.50,21.80,1.40,6.8627,21.0100,20.3650,19.7800,,,5669.0000,1101.4000,8469,8481,8494,75.9993,72.2838,100.0000,80.5599,76.8292,4110,1906,80.5599,76.8292,88.0214,373,276,189,0.5496,0.3204,0.0457,12658,12072,11636,
2012/08/30,22.00,22.20,21.40,21.50,-0.30,-1.3761,21.1100,20.5500,19.9050,,,36.0000,1225.8000,8357,8456,8477,68.0903,67.2193,74.0741,78.3980,77.3521,5633,2547,78.3980,77.3521,80.4897,420,288,206,0.5421,0.3845,0.1134,12943,12309,11804,
