ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/05,21.25,21.85,21.25,21.70,0.00,0.00,,,,,,0.0000,,1333,,,,,,,,58,,,,,0,,,,,,1333,,,
2012/06/06,21.50,21.70,21.50,21.60,-0.10,-0.4608,,,,,,-75.0000,,1337,,,,,,,,75,,,,,0,,,,,,1337,,,
2012/06/07,21.75,21.80,21.60,21.75,0.15,0.6944,,,,,,3.0000,,1345,,,,,,,,78,,,,,0,,,,,,1345,,,
2012/06/08,21.65,21.80,21.60,21.80,0.05,0.2299,,,,,,47.0000,,1348,,,,,,,,44,,,,,0,,,,,,1348,,,
2012/06/11,21.70,22.10,21.70,22.10,0.30,1.3761,21.7900,,,,,124.0000,,1356,1344,,,,,,,77,66,,,,0,0,,,,,1356,1344,,
2012/06/12,22.00,22.10,21.70,22.10,0.00,0.00,21.8700,,,,,124.0000,,1351,1348,,,,,,,40,62,,,,0,0,,,,,1351,1348,,
2012/06/13,22.10,22.20,21.80,22.20,0.10,0.4525,21.9900,,,,,195.0000,,1352,1351,,85.7143,,,,,71,62,,,,0,0,,,,,1352,1351,,
2012/06/14,22.25,22.35,22.15,22.35,0.15,0.6757,22.1100,,,,,297.0000,,1348,1352,,88.6364,,,,,102,66,,,,0,0,,,,,1348,1352,,
2012/06/15,21.40,22.55,21.40,22.55,0.20,0.8949,22.2600,,,,,499.0000,,1356,1353,,91.4384,,100.0000,66.6667,55.5556,202,98,66.6667,55.5556,88.8889,0,0,,,,,1356,1353,,
2012/06/18,22.40,22.60,22.35,22.35,-0.20,-0.8869,22.3100,22.0500,,,,443.0000,165.7000,1362,1354,1349,70.5603,,79.1667,70.8333,60.6481,56,94,70.8333,60.6481,91.2037,0,0,0,,,,1362,1354,1349,
2012/06/19,22.50,22.80,22.45,22.55,0.20,0.8949,22.4000,22.1350,,,,657.0000,231.4000,1362,1357,1352,76.8918,,82.1429,74.6032,65.2998,214,129,74.6032,65.2998,93.2099,0,0,0,,,,1362,1357,1352,
2012/06/20,22.55,22.85,22.55,22.85,0.30,1.3304,22.5300,22.2600,,,,820.0000,320.9000,1372,1361,1356,83.3409,,100.0000,83.0688,71.2228,163,147,83.0688,71.2228,106.7607,0,0,0,,,,1372,1361,1356,
2012/06/21,22.80,22.90,22.60,22.80,-0.05,-0.2188,22.6200,22.3650,,,,721.0000,392.7000,1373,1366,1359,78.9350,80.5556,93.3333,86.4903,76.3120,99,146,86.4903,76.3120,106.8470,0,0,0,,,,1373,1366,1359,
2012/06/22,22.60,22.70,22.60,22.70,-0.10,-0.4386,22.6500,22.4550,,,,629.0000,450.9000,1373,1369,1361,70.0475,75.9524,86.6667,86.5491,79.7243,92,124,86.5491,79.7243,100.1986,0,0,0,,,,1373,1369,1361,
2012/06/25,22.70,22.75,22.60,22.75,0.05,0.2203,22.7300,22.5200,,,,669.0000,505.4000,1382,1373,1364,71.9429,76.6793,90.0000,87.6994,82.3827,40,121,87.6994,82.3827,98.3328,0,0,0,,,,1382,1373,1364,
2012/06/26,22.60,22.70,22.60,22.65,-0.10,-0.4396,22.7500,22.5750,,,,593.0000,552.3000,1390,1379,1368,62.4573,71.9352,83.3333,86.2440,83.6698,76,94,86.2440,83.6698,91.3925,0,0,0,,,,1390,1379,1368,
2012/06/27,22.60,22.80,22.60,22.80,0.15,0.6623,22.7400,22.6350,,,,679.0000,600.7000,1402,1385,1373,69.6583,74.5153,93.3333,88.6071,85.3156,86,78,88.6071,85.3156,95.1902,0,0,0,,,,1402,1385,1373,
2012/06/28,22.70,22.90,22.70,22.90,0.10,0.4386,22.7600,22.6900,,,,821.0000,653.1000,1411,1392,1379,73.6947,76.1124,100.0000,92.4048,87.6786,142,87,92.4048,87.6786,101.8570,0,0,0,,,,1411,1392,1379,
2012/06/29,22.90,22.90,22.80,22.90,0.00,0.00,22.8000,22.7250,,,,821.0000,685.3000,1416,1401,1385,73.6947,76.1124,100.0000,94.9365,90.0979,55,79,94.9365,90.0979,104.6137,0,0,0,,,,1416,1401,1385,
2012/07/02,22.90,23.00,22.90,23.00,0.10,0.4367,22.8500,22.7900,22.4200,,,927.0000,733.7000,1425,1409,1391,77.9238,77.7703,100.0000,96.6243,92.2734,106,93,96.6243,92.2734,105.3262,0,0,0,,,,1425,1409,1391,
2012/07/03,23.00,23.15,23.00,23.10,0.10,0.4348,22.9400,22.8450,22.4900,,,996.0000,767.6000,1431,1418,1398,81.4940,79.3350,90.9091,94.7193,93.0887,69,91,94.7193,93.0887,97.9804,0,0,0,,,,1431,1418,1398,
2012/07/04,23.20,23.20,23.05,23.10,0.00,0.00,23.0000,22.8700,22.5650,,,996.0000,785.2000,1435,1424,1404,81.4940,79.3350,83.3333,90.9239,92.3671,68,88,90.9239,92.3671,88.0376,0,0,0,,,,1435,1424,1404,
2012/07/05,23.10,23.15,23.00,23.05,-0.05,-0.2165,23.0300,22.8950,22.6300,,,901.0000,803.2000,1441,1430,1411,72.9945,76.1458,75.0000,85.6160,90.1167,95,78,85.6160,90.1167,76.6144,0,0,0,,,,1441,1430,1411,
2012/07/06,23.00,23.00,22.85,23.00,-0.05,-0.2169,23.0500,22.9250,22.6900,,,832.0000,823.5000,1441,1435,1418,64.8751,72.9468,66.6667,79.2995,86.5110,69,81,79.2995,86.5110,64.8766,0,0,0,,,,1441,1435,1418,
2012/07/09,22.90,23.00,22.75,23.00,0.00,0.00,23.0500,22.9500,22.7350,,,832.0000,839.8000,1445,1439,1424,64.8751,72.9468,66.6667,75.0886,82.7035,68,73,75.0886,82.7035,59.8587,0,0,0,,,,1445,1439,1424,
2012/07/10,23.00,23.00,22.70,22.70,-0.30,-1.3043,22.9700,22.9550,22.7650,,,769.0000,857.4000,1443,1442,1430,33.0816,56.1137,0.0000,50.0591,71.8220,63,72,50.0591,71.8220,6.5331,0,0,0,,0.3311,,1443,1442,1430,
2012/07/11,22.70,22.70,22.35,22.45,-0.25,-1.1013,22.8400,22.9200,22.7775,,,664.0000,855.9000,1451,1445,1435,22.2014,46.3834,11.7647,37.2943,60.3128,105,80,37.2943,60.3128,-8.7427,0,0,0,,0.2752,,1451,1445,1435,
2012/07/12,22.40,22.40,22.20,22.35,-0.10,-0.4454,22.7000,22.8650,22.7775,,,406.0000,814.4000,1448,1446,1438,19.1744,43.1206,15.0000,29.8628,50.1628,258,112,29.8628,50.1628,-10.7371,0,0,0,,0.2202,,1448,1446,1438,
2012/07/13,20.25,20.50,20.15,20.35,-2.00,-8.9485,22.1700,22.6100,22.6675,,,35.0000,735.8000,1448,1448,1441,4.4881,17.0116,6.5574,22.0944,40.8067,371,173,22.0944,40.8067,-15.3302,0,0,0,,0.0151,,1448,1448,1441,
2012/07/16,20.35,20.50,20.20,20.30,-0.05,-0.2457,21.6300,22.3400,22.5650,,,-65.0000,636.6000,1446,1448,1444,4.3873,16.7352,4.9180,16.3689,32.6607,100,179,16.3689,32.6607,-16.2147,0,0,0,,-0.1498,,1446,1448,1444,
2012/07/17,20.30,20.50,20.15,20.35,0.05,0.2463,21.1600,22.0650,22.4550,,,105.0000,547.5000,1470,1453,1447,6.8968,18.1851,6.6667,13.1348,26.1521,170,200,13.1348,26.1521,-12.8997,0,0,0,,-0.2732,,1470,1453,1447,
2012/07/18,20.30,20.45,20.30,20.30,-0.05,-0.2457,20.7300,21.7850,22.3275,,,50.0000,452.9000,1481,1459,1452,6.6862,17.8461,5.2632,10.5109,20.9384,55,190,10.5109,20.9384,-10.3439,0,0,0,,-0.3709,,1481,1459,1452,
2012/07/19,20.30,20.50,20.30,20.40,0.10,0.4926,20.3400,21.5200,22.2075,,,159.0000,378.7000,1517,1473,1460,13.0576,21.0570,8.7719,9.9313,17.2693,109,161,9.9313,17.2693,-4.7449,0,0,0,,-0.4351,,1517,1473,1460,
2012/07/20,20.40,20.40,20.35,20.35,-0.05,-0.2451,20.3400,21.2550,22.0900,,,-38.0000,291.7000,1540,1491,1470,12.5437,20.6175,7.0175,8.9600,14.4996,197,126,8.9600,14.4996,-2.1191,0,0,0,-0.7753,-0.4845,-0.0969,1540,1491,1470,
2012/07/23,20.35,20.35,20.25,20.25,-0.10,-0.4914,20.3300,20.9800,21.9650,,,-119.0000,196.6000,1529,1508,1478,11.4612,19.7194,3.9216,7.2805,12.0932,81,122,7.2805,12.0932,-2.3448,0,0,0,-0.6861,-0.5257,-0.1826,1529,1508,1478,
2012/07/24,20.20,20.45,20.20,20.30,0.05,0.2469,20.3200,20.7400,21.8475,,,-38.0000,115.9000,1529,1520,1487,15.8201,21.5826,6.6667,7.0759,10.4208,81,104,7.0759,10.4208,0.3862,0,0,0,-0.5845,-0.5479,-0.2557,1529,1520,1487,
2012/07/25,20.30,20.40,20.25,20.40,0.10,0.4926,20.3400,20.5350,21.7275,,,24.0000,51.9000,1532,1530,1495,24.7153,25.3619,71.4286,28.5268,16.4561,62,106,28.5268,16.4561,52.6681,0,0,0,-0.4727,-0.5511,-0.3148,1532,1530,1495,
2012/07/26,20.25,20.65,20.25,20.40,0.00,0.00,20.3400,20.3400,21.6025,,,24.0000,13.7000,1532,1533,1503,24.7153,25.3619,50.0000,35.6845,22.8656,71,98,35.6845,22.8656,61.3224,0,0,0,-0.3722,-0.5474,-0.3613,1532,1533,1503,
2012/07/27,20.40,20.65,20.30,20.60,0.20,0.9804,20.3900,20.3650,21.4875,,,172.0000,27.4000,1535,1532,1512,42.2809,33.0427,90.0000,53.7897,33.1736,148,88,53.7897,33.1736,95.0218,0,0,0,-0.2575,-0.5222,-0.3935,1535,1532,1512,
2012/07/30,20.60,20.80,20.55,20.70,0.10,0.4854,20.4800,20.4050,21.3725,,,310.0000,64.9000,1542,1535,1521,49.3689,36.6014,83.3333,63.6376,43.3283,138,100,63.6376,43.3283,104.2562,0,0,0,-0.1522,-0.4886,-0.4125,1542,1535,1521,
2012/07/31,20.55,20.90,20.55,20.80,0.10,0.4831,20.5800,20.4500,21.2575,,,412.0000,95.6000,1544,1538,1529,55.8717,40.0758,85.7143,70.9965,52.5510,102,104,70.9965,52.5510,107.8874,0,0,0,-0.0579,-0.4487,-0.4198,1544,1538,1529,
2012/08/01,20.80,20.95,20.70,20.75,-0.05,-0.2404,20.6500,20.4950,21.1400,,,254.0000,116.0000,1545,1540,1535,51.8742,38.9126,73.3333,71.7754,58.9591,158,123,71.7754,58.9591,97.4080,0,0,0,0.0054,-0.4164,-0.4191,1545,1540,1535,
2012/08/03,20.75,20.90,20.65,20.75,0.00,0.00,20.7200,20.5300,21.0250,,,254.0000,125.5000,1544,1543,1538,51.8742,38.9126,73.3333,72.2947,63.4043,164,142,72.2947,63.4043,90.0755,0,0,0,0.0525,-0.3862,-0.4125,1544,1543,1538,
