ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2010/03/16,12.25,12.50,12.25,12.50,0.00,0.00,,,,,,0.0000,,20,,,,,,,,99,,,,,0,,,,,,20,,,
2010/03/17,12.50,12.70,12.50,12.65,0.15,1.20,,,,,,166.0000,,20,,,,,,,,166,,,,,0,,,,,,20,,,
2010/03/18,12.65,13.00,12.55,12.90,0.25,1.9763,,,,,,404.0000,,12,,,,,,,,238,,,,,0,,,,,,12,,,
2010/03/19,13.00,13.00,12.70,12.80,-0.10,-0.7752,,,,,,232.0000,,12,,,,,,,,172,,,,,0,,,,,,12,,,
2010/03/22,12.70,13.55,12.65,13.25,0.45,3.5156,12.8200,,,,,653.0000,,12,16,,,,,,,421,219,,,,0,0,,,,,12,16,,
2010/03/23,13.40,13.55,13.25,13.25,0.00,0.00,12.9700,,,,,653.0000,,12,14,,,,,,,299,259,,,,0,0,,,,,12,14,,
2010/03/24,13.40,13.40,12.75,12.80,-0.45,-3.3962,13.0000,,,,,454.0000,,12,13,,60.7143,,,,,199,265,,,,0,0,,,,,12,13,,
2010/03/25,12.80,13.00,12.60,12.70,-0.10,-0.7813,12.9600,,,,,279.0000,,12,13,,55.9211,,,,,175,253,,,,0,0,,,,,12,13,,
2010/03/26,12.70,12.85,12.40,12.60,-0.10,-0.7874,12.9200,,,,,150.0000,,12,13,,51.0817,,26.9231,42.3077,47.4359,129,244,42.3077,47.4359,32.0513,0,0,,,,,12,13,,
2010/03/29,12.60,12.75,12.60,12.60,0.00,0.00,12.7900,12.8050,,,,150.0000,314.1000,11,12,14,51.0817,,17.3913,34.0022,42.9580,204,201,34.0022,42.9580,16.0907,0,0,0,,,,11,12,14,
