ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,42.25,43.25,42.25,43.20,0.00,0.00,,,,,,0.0000,,85,,,,,,,,38,,,,,0,,,,,,285,,,
2012/06/21,43.10,43.20,41.80,42.00,-1.20,-2.7778,,,,,,-45.0000,,83,,,,,,,,45,,,,,0,,,,,,263,,,
2012/06/22,42.00,42.90,42.00,42.80,0.80,1.9048,,,,,,-22.0000,,81,,,,,,,,23,,,,,0,,,,,,261,,,
2012/06/25,42.95,42.95,42.90,42.90,0.10,0.2336,,,,,,-13.0000,,80,,,,,,,,9,,,,,0,,,,,,260,,,
2012/06/26,42.00,42.60,41.70,42.60,-0.30,-0.6993,42.7000,,,,,-67.0000,,75,81,,,,,,,54,33,,,,0,0,,,,,255,265,,
2012/06/28,42.35,42.35,42.35,42.35,-0.25,-0.5869,42.5300,,,,,-69.0000,,75,79,,,,,,,2,26,,,,0,0,,,,,75,223,,
2012/06/29,42.35,42.35,41.40,42.25,-0.10,-0.2361,42.5800,,,,,-100.0000,,75,77,,32.7273,,,,,31,23,,,,0,0,,,,,255,221,,
2012/07/02,42.20,43.20,41.10,41.15,-1.10,-2.6036,42.2500,,,,,-163.0000,,76,76,,22.1130,,,,,63,31,,,,0,0,,,,,256,220,,
2012/07/03,41.95,42.25,41.75,42.25,1.10,2.6731,42.1200,,,,,-156.0000,,75,75,,43.9335,,53.4884,51.1628,50.3876,7,31,51.1628,50.3876,52.7132,0,0,,,,,255,219,,
2012/07/04,42.45,42.45,41.80,42.20,-0.05,-0.1183,42.0400,42.3700,,,,-170.0000,-80.5000,73,75,78,43.2722,,52.3810,51.5688,50.7813,14,23,51.5688,50.7813,53.1438,0,0,0,,,,253,219,242,
2012/07/05,42.35,42.35,41.90,42.30,0.10,0.237,42.0300,42.2800,,,,-134.0000,-93.9000,73,74,77,45.2500,,57.1429,53.4268,51.6632,36,30,53.4268,51.6632,56.9542,0,0,0,,,,253,254,239,
2012/07/06,42.00,42.00,41.25,41.40,-0.90,-2.1277,41.8600,42.2200,,,,-206.0000,-110.0000,73,74,76,32.8726,,14.2857,40.3798,47.9021,72,38,40.3798,47.9021,25.3353,0,0,0,,,,253,254,238,
2012/07/09,41.00,42.45,41.00,42.00,0.60,1.4493,42.0300,42.1400,,,,-189.0000,-126.7000,73,73,75,44.9246,40.9091,45.4545,42.0714,45.9585,17,29,42.0714,45.9585,34.2972,0,0,0,,,,253,253,237,
2012/07/10,42.35,42.95,41.50,41.75,-0.25,-0.5952,41.9300,42.0250,,,,-279.0000,-153.3000,70,72,74,41.2239,39.2857,34.0909,39.4112,43.7761,90,45,39.4112,43.7761,30.6815,0,0,0,,,,220,246,233,
2012/07/11,41.75,41.95,41.75,41.95,0.20,0.479,41.8800,41.9600,,,,-262.0000,-172.8000,69,72,73,45.5313,41.3180,43.1818,40.6681,42.7401,17,46,40.6681,42.7401,36.5241,0,0,0,,,,219,240,229,
2012/07/12,42.10,42.30,41.80,41.95,0.00,0.00,41.8100,41.9200,,,,-262.0000,-192.1000,67,70,72,45.5313,41.3180,43.1818,41.5060,42.3287,98,58,41.5060,42.3287,39.8606,0,0,0,,,,217,232,243,
2012/07/13,41.85,42.00,41.40,41.95,0.00,0.00,41.9200,41.8900,,,,-262.0000,-208.3000,65,69,71,45.5313,41.3180,48.7179,43.9100,42.8558,38,52,43.9100,42.8558,46.0183,0,0,0,,,,215,225,239,
2012/07/16,42.50,42.50,41.05,41.50,-0.45,-1.0727,41.8200,41.9250,,,,-299.0000,-221.9000,64,67,70,35.4348,37.6378,25.6410,37.8203,41.1773,37,56,37.8203,41.1773,31.1064,0,0,0,,,,214,217,235,
2012/07/17,41.10,41.75,41.00,41.25,-0.25,-0.6024,41.7200,41.8250,,,,-332.0000,-239.5000,63,66,69,30.8711,35.7102,12.8205,29.4871,37.2806,33,44,29.4871,37.2806,13.9000,0,0,0,,,,213,216,231,
2012/07/18,41.65,41.65,41.00,41.00,-0.25,-0.6061,41.5300,41.7050,42.0375,,,-363.0000,-258.8000,62,64,68,26.7386,33.8205,0.0000,19.6580,31.4064,31,47,19.6580,31.4064,-3.8387,0,0,0,,,,212,214,227,
2012/07/19,39.00,39.95,39.00,39.60,-1.40,-3.4146,41.0600,41.4350,41.8575,,,-435.0000,-288.9000,64,64,67,14.0763,25.5583,15.1899,18.1687,26.9938,72,42,18.1687,26.9938,0.5183,0,0,0,,,,214,214,223,
2012/07/20,39.65,41.00,39.50,40.70,1.10,2.7778,40.8100,41.3650,41.7925,,,-395.0000,-307.8000,64,63,66,40.5989,38.4472,43.0380,26.4584,26.8153,40,42,26.4584,26.8153,25.7446,0,0,0,,,,214,213,219,
