ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2010/06/24,15.35,16.00,14.80,15.35,0.00,0.00,,,,,,0.0000,,12825,,,,,,,,290,,,,,0,,,,,,12825,,,
2010/06/25,14.35,14.80,14.30,14.50,-0.85,-5.5375,,,,,,-209.0000,,12825,,,,,,,,209,,,,,0,,,,,,12825,,,
2010/06/28,14.20,14.60,13.60,13.70,-0.80,-5.5172,,,,,,-310.0000,,12825,,,,,,,,101,,,,,0,,,,,,12825,,,
2010/06/29,13.60,14.65,13.05,14.65,0.95,6.9343,,,,,,-131.0000,,12825,,,,,,,,179,,,,,0,,,,,,12825,,,
2010/06/30,14.20,14.35,13.80,14.05,-0.60,-4.0956,14.4500,,,,,-241.0000,,12825,12825,,,,,,,110,177,,,,0,0,,,,,12825,12825,,
2010/07/01,14.30,14.45,14.00,14.40,0.35,2.4911,14.2600,,,,,-165.0000,,12825,12825,,,,,,,76,135,,,,0,0,,,,,12825,12825,,
2010/07/02,14.10,14.55,13.40,13.60,-0.80,-5.5556,14.0800,,,,,-278.0000,,12825,12825,,29.8851,,,,,113,115,,,,0,0,,,,,12825,12825,,
2010/07/05,14.00,14.10,13.50,13.80,0.20,1.4706,14.1000,,,,,-236.0000,,12825,12825,,33.5512,,,,,42,104,,,,0,0,,,,,12825,12825,,
2010/07/06,13.50,14.00,13.50,13.60,-0.20,-1.4493,13.8900,,,,,-312.0000,,12825,12825,,31.5703,,18.6441,39.5480,46.5160,76,83,39.5480,46.5160,25.6121,0,0,,,,,12825,12825,,
2010/07/07,13.50,13.85,13.50,13.50,-0.10,-0.7353,13.7800,14.1150,,,,-381.0000,-226.3000,12806,12821,12823,30.4902,,25.7143,34.9368,42.6563,69,75,34.9368,42.6563,19.4978,0,0,0,,,,12806,12821,12823,
2010/07/08,13.55,14.00,13.50,13.60,0.10,0.7407,13.6200,13.9400,,,,-288.0000,-255.1000,12806,12818,12821,33.2314,,34.3750,34.7495,40.0207,93,78,34.7495,40.0207,24.2072,0,0,0,,,,12806,12818,12821,
2010/07/09,13.95,14.50,13.80,14.00,0.40,2.9412,13.7000,13.8900,,,,-140.0000,-248.2000,12806,12814,12820,43.8585,,59.3750,42.9580,40.9998,148,85,42.9580,40.9998,46.8745,0,0,0,,,,12806,12814,12820,
2010/07/12,14.00,14.95,13.80,14.95,0.95,6.7857,13.9300,14.0150,,,,138.0000,-203.4000,12806,12810,12818,61.3781,46.8254,100.0000,61.9720,47.9905,278,132,61.9720,47.9905,89.9350,0,0,0,,,,12806,12810,12818,
2010/07/13,15.95,15.95,15.65,15.95,1.00,6.689,14.4000,14.1450,,,,1711.0000,-19.2000,12806,12806,12816,72.2978,54.6740,100.0000,74.6480,56.8764,1573,432,74.6480,56.8764,110.1913,0,0,0,,,,12806,12806,12816,
2010/07/14,15.60,15.60,14.85,14.90,-1.05,-6.5831,14.6800,14.2300,,,,977.0000,102.6000,12806,12806,12814,53.3074,46.7671,58.8235,69.3732,61.0420,734,565,69.3732,61.0420,86.0356,0,0,0,,,,12806,12806,12814,
2010/07/15,14.80,15.00,14.25,14.30,-0.60,-4.0268,14.8200,14.2200,,,,764.0000,195.5000,12806,12806,12812,45.1713,42.8996,32.6531,57.1331,59.7390,213,589,57.1331,59.7390,51.9214,0,0,0,,,,12806,12806,12812,
2010/07/16,14.30,14.50,14.10,14.10,-0.20,-1.3986,14.8400,14.2700,,,,664.0000,289.7000,12806,12806,12810,42.5722,41.6472,24.4898,46.2520,55.2434,100,579,46.2520,55.2434,28.2694,0,0,0,,,,12806,12806,12810,
