ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,60.50,60.80,59.60,59.90,0.00,0.00,,,,,,0.0000,,12510,,,,,,,,192,,,,,345,,,,,,13735,,,
2012/06/29,60.80,61.40,60.20,61.00,1.10,1.8364,,,,,,316.0000,,12544,,,,,,,,316,,,,,341,,,,,,13782,,,
2012/07/02,61.70,61.70,61.00,61.10,0.10,0.1639,,,,,,562.0000,,12575,,,,,,,,246,,,,,312,,,,,,14350,,,
2012/07/03,61.10,62.00,61.10,61.60,0.50,0.8183,,,,,,765.0000,,12580,,,,,,,,203,,,,,292,,,,,,14335,,,
2012/07/04,62.00,62.30,61.50,61.70,0.10,0.1623,61.0600,,,,,967.0000,,12581,12558,,,,,,,202,231,,,,0,258,,,,,14044,14050,,
2012/07/05,61.70,62.30,61.50,61.50,-0.20,-0.3241,61.3800,,,,,813.0000,,12582,12573,,,,,,,154,224,,,,0,189,,,,,14044,14111,,
2012/07/06,61.50,61.50,61.00,61.40,-0.10,-0.1626,61.4600,,,,,647.0000,,12588,12581,,85.7143,,,,,166,194,,,,0,121,,,,,14050,14165,,
2012/07/09,61.40,61.90,61.30,61.30,-0.10,-0.1629,61.5000,,,,,529.0000,,12570,12580,,81.0811,,,,,118,168,,,,0,58,,,,,14032,14101,,
2012/07/10,61.30,62.20,60.80,60.90,-0.40,-0.6525,61.3600,,,,,303.0000,,12564,12577,,64.3777,,48.1481,49.3827,49.7942,226,173,49.3827,49.7942,48.5597,0,0,,,,,14063,14047,,
2012/07/11,60.50,61.10,60.40,61.10,0.20,0.3284,61.2400,61.1500,,,,435.0000,533.7000,12569,12575,12567,68.2964,,42.8571,47.2075,48.9320,132,159,47.2075,48.9320,43.7586,0,0,129,,,,14068,14052,14051,
2012/07/12,61.10,61.30,59.60,59.60,-1.50,-2.455,60.8600,61.1200,,,,148.0000,548.5000,12582,12575,12574,34.3186,,0.0000,31.4717,43.1119,287,185,31.4717,43.1119,8.1913,278,56,122,,,,14399,14123,14117,
2012/07/13,59.60,59.90,58.30,58.30,-1.30,-2.1812,60.2400,60.8500,,,,3.0000,517.2000,12572,12572,12577,22.6167,,0.0000,20.9811,35.7350,145,181,20.9811,35.7350,-8.5266,0,56,88,,,,14131,14139,14152,
2012/07/16,59.20,59.30,58.30,58.30,0.00,0.00,59.6400,60.5700,,,,3.0000,461.3000,12573,12572,12576,22.6167,35.7143,0.0000,13.9874,28.4858,150,188,13.9874,28.4858,-15.0093,277,111,85,,,,14434,14219,14160,
2012/07/17,58.30,59.00,58.30,58.50,0.20,0.3431,59.1600,60.2600,,,,107.0000,395.5000,12575,12574,12576,28.0516,38.1250,5.0000,10.9916,22.6544,104,163,10.9916,22.6544,-12.3340,0,111,56,,,,14159,14239,14143,
2012/07/18,59.00,59.20,58.40,58.40,-0.10,-0.1709,58.6200,59.9300,,,,46.0000,303.4000,12576,12576,12575,26.9173,37.3608,2.5641,8.1824,17.8304,61,149,8.1824,17.8304,-11.1135,267,165,82,,,,14427,14310,14181,
2012/07/19,58.90,59.00,58.50,58.70,0.30,0.5137,58.4400,59.6500,,,,134.0000,235.5000,12585,12576,12576,36.2042,41.2170,10.2564,8.8738,14.8449,88,109,8.8738,14.8449,-3.0684,247,158,107,,,,14416,14314,14218,
2012/07/20,58.50,59.40,58.40,58.40,-0.30,-0.5111,58.4600,59.3500,,,,-19.0000,168.9000,12589,12580,12576,31.4140,38.6231,2.5641,6.7705,12.1534,153,111,6.7705,12.1534,-3.9952,227,204,130,,,,14338,14355,14247,
2012/07/23,58.20,58.20,57.00,57.50,-0.90,-1.5411,58.3000,58.9700,,,,-178.0000,98.2000,12601,12585,12579,21.2785,32.0269,11.6279,8.3897,10.8988,159,113,8.3897,10.8988,3.3713,0,148,130,,,,14144,14297,14258,
2012/07/24,57.50,57.50,56.60,57.20,-0.30,-0.5217,58.0400,58.6000,,,,-287.0000,39.2000,12604,12591,12583,18.8462,30.1542,12.7660,9.8484,10.5487,109,114,9.8484,10.5487,8.4479,0,148,130,,,,14147,14295,14267,
2012/07/25,57.00,57.90,56.60,57.60,0.40,0.6993,57.8800,58.2500,59.7000,,,-204.0000,-24.7000,12606,12597,12587,31.3935,35.6290,30.3030,16.6666,12.5880,83,118,16.6666,12.5880,24.8239,220,139,152,,,,14370,14283,14297,
2012/07/26,57.90,58.10,57.70,58.00,0.40,0.6944,57.7400,58.0900,59.6050,,,-127.0000,-52.2000,12623,12605,12591,42.1303,40.6997,50.0000,27.7778,17.6513,77,116,27.7778,17.6513,48.0307,211,132,145,,,,14378,14276,14295,
2012/07/27,58.00,59.80,58.00,58.70,0.70,1.2069,57.8000,58.1300,59.4900,,,8.0000,-51.7000,12638,12615,12597,56.4446,48.4519,65.6250,40.3935,25.2320,135,112,40.3935,25.2320,70.7165,180,122,163,,,,14362,14280,14318,
2012/07/30,59.20,59.40,58.70,59.20,0.50,0.8518,58.1400,58.2200,59.3950,,,114.0000,-40.6000,12646,12624,12605,64.0638,53.2174,81.2500,54.0123,34.8254,106,102,54.0123,34.8254,92.3861,191,161,155,,,,14381,14328,14313,
2012/07/31,59.00,60.30,58.80,60.00,0.80,1.3514,58.7000,58.3700,59.3150,,,269.0000,-24.4000,12654,12634,12612,73.0989,59.7175,91.8919,66.6389,45.4299,155,111,66.6389,45.4299,109.0567,229,207,178,,,,14427,14384,14339,
2012/08/01,59.10,60.00,59.10,59.50,-0.50,-0.8333,59.0800,58.4800,59.2050,,,129.0000,-16.1000,12664,12645,12621,61.5018,54.5498,78.3784,70.5520,53.8040,140,122,70.5520,53.8040,104.0482,195,202,170,,,,14403,14390,14337,
2012/08/03,59.00,60.00,59.00,59.10,-0.40,-0.6723,59.3000,58.5200,59.0850,,,43.0000,-25.2000,12666,12654,12629,53.3729,50.7193,67.5676,69.5572,59.0550,86,124,69.5572,59.0550,90.5615,194,198,165,,-0.6260,,14404,14395,14336,
2012/08/06,59.80,60.50,59.10,59.20,0.10,0.1692,59.4000,58.6000,58.9750,,,232.0000,-0.1000,12683,12663,12639,55.1512,51.6454,66.6667,68.5937,62.2346,189,135,68.5937,62.2346,81.3119,183,199,161,,-0.5646,,14410,14405,14343,
2012/08/07,59.30,59.30,58.80,58.80,-0.40,-0.6757,59.3200,58.7300,58.8500,,,124.0000,30.1000,12677,12669,12646,46.6170,47.7315,56.4103,64.5325,63.0006,108,135,64.5325,63.0006,67.5965,188,198,179,,-0.5419,,14409,14411,14369,
