ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/04/05,7.30,7.42,7.10,7.42,0.00,0.00,,,,,,0.0000,,20,,,,,,,,52,,,,,0,,,,,,20,,,
2012/04/06,7.23,7.58,7.11,7.58,0.16,2.1563,,,,,,146.0000,,20,,,,,,,,146,,,,,0,,,,,,20,,,
2012/04/09,7.38,7.53,7.17,7.39,-0.19,-2.5066,,,,,,39.0000,,20,,,,,,,,107,,,,,0,,,,,,20,,,
2012/04/10,7.23,7.36,7.12,7.35,-0.04,-0.5413,,,,,,-118.0000,,20,,,,,,,,157,,,,,0,,,,,,20,,,
2012/04/11,7.29,7.29,7.29,7.29,-0.06,-0.8163,7.4060,,,,,-119.0000,,20,20,,,,,,,1,92,,,,0,0,,,,,20,20,,
2012/04/12,7.29,7.29,7.20,7.27,-0.02,-0.2743,7.3760,,,,,-128.0000,,20,20,,,,,,,9,84,,,,0,0,,,,,20,20,,
2012/04/13,7.27,7.27,7.02,7.02,-0.25,-3.4388,7.2640,,,,,-229.0000,,20,20,,22.2222,,,,,101,75,,,,0,0,,,,,20,20,,
2012/04/16,7.02,7.09,6.86,7.09,0.07,0.9972,7.2040,,,,,-177.0000,,20,20,,30.3483,,,,,52,64,,,,0,0,,,,,20,20,,
2012/04/17,6.85,6.86,6.81,6.81,-0.28,-3.9492,7.0960,,,,,-198.0000,,20,20,,20.2121,,0.0000,33.3333,44.4444,21,36,33.3333,44.4444,11.1111,0,0,,,,,20,20,,
2012/04/18,6.90,6.93,6.90,6.93,0.12,1.7621,7.0240,7.2150,,,,-193.0000,-97.7000,20,20,20,31.9082,,15.5844,27.4170,38.7686,5,37,27.4170,38.7686,4.7138,0,0,0,,,,20,20,20,
2012/04/19,6.87,6.87,6.87,6.87,-0.06,-0.8658,6.9440,7.1600,,,,-195.0000,-117.2000,20,20,20,29.3286,,8.3333,21.0558,32.8644,2,36,21.0558,32.8644,-2.5613,0,0,0,,,,20,20,20,
2012/04/20,7.04,7.04,7.04,7.04,0.17,2.4745,6.9480,7.1060,,,,-194.0000,-151.2000,20,20,20,44.5657,,41.8182,27.9766,31.2351,1,16,27.9766,31.2351,21.4596,0,0,0,,,,20,20,20,
2012/04/23,7.01,7.01,6.85,6.99,-0.05,-0.7102,6.9280,7.0660,,,,-219.0000,-177.0000,20,20,20,41.4142,35.3741,37.5000,31.1511,31.2071,25,10,31.1511,31.2071,31.0390,0,0,0,,,,20,20,20,
2012/04/24,6.81,7.00,6.60,7.00,0.01,0.1431,6.9660,7.0310,,,,-87.0000,-173.9000,20,20,20,42.3919,35.8502,57.9710,40.0910,34.1684,132,33,40.0910,34.1684,51.9363,0,0,0,,,,20,20,20,
2012/04/25,6.77,6.96,6.77,6.93,-0.07,-1.00,6.9660,6.9950,,,,-92.0000,-171.2000,20,20,20,37.1800,33.9409,49.2537,43.1453,37.1607,5,33,43.1453,37.1607,55.1144,0,0,0,,,,20,20,20,
2012/04/26,7.04,7.04,6.73,6.90,-0.03,-0.4329,6.9720,6.9580,,,,-179.0000,-176.3000,20,20,20,34.9689,33.1164,61.2245,49.1717,41.1644,87,50,49.1717,41.1644,65.1863,0,0,0,,,,20,20,20,
2012/04/27,6.80,6.97,6.50,6.97,0.07,1.0145,6.9580,6.9530,,,,-61.0000,-159.5000,19,20,20,44.2518,37.0116,87.0370,61.7935,48.0407,118,73,61.7935,48.0407,89.2989,0,0,0,,,,19,20,20,
2012/04/30,6.68,6.91,6.55,6.90,-0.07,-1.0043,6.9400,6.9340,,,,-162.0000,-158.0000,19,20,20,37.7802,34.8006,74.0741,65.8870,53.9895,101,88,65.8870,53.9895,89.6820,0,0,0,,,,19,20,20,
2012/05/02,6.89,6.90,6.89,6.90,0.00,0.00,6.9200,6.9430,,,,-162.0000,-154.4000,19,19,20,37.7802,34.8006,74.0741,68.6160,58.8650,13,64,68.6160,58.8650,88.1181,0,0,0,,,,19,19,20,
2012/05/03,6.61,6.89,6.61,6.89,-0.01,-0.1449,6.9120,6.9390,7.0770,,,-284.0000,-163.5000,19,19,20,36.6768,34.4507,72.2222,69.8181,62.5160,122,88,69.8181,62.5160,84.4222,0,0,0,,,,19,19,20,
2012/05/04,6.73,6.73,6.58,6.58,-0.31,-4.4993,6.8480,6.9100,7.0350,,,-395.0000,-183.5000,19,19,20,17.5785,25.7093,14.8148,51.4837,58.8386,111,93,51.4837,58.8386,36.7738,0,0,0,,,,19,19,20,
