ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,14.55,14.75,14.35,14.35,0.00,0.00,,,,,,0.0000,,1279,,,,,,,,222,,,,,0,,,,,,1283,,,
2012/06/29,14.20,14.60,14.20,14.50,0.15,1.0453,,,,,,169.0000,,1284,,,,,,,,169,,,,,0,,,,,,1288,,,
2012/07/02,14.30,14.80,14.30,14.60,0.10,0.6897,,,,,,401.0000,,1295,,,,,,,,232,,,,,0,,,,,,1299,,,
2012/07/03,14.30,14.70,14.30,14.55,-0.05,-0.3425,,,,,,202.0000,,1292,,,,,,,,199,,,,,0,,,,,,1296,,,
2012/07/04,14.80,14.95,14.70,14.80,0.25,1.7182,14.5600,,,,,369.0000,,1295,1289,,,,,,,167,197,,,,0,0,,,,,1299,1293,,
2012/07/05,14.80,14.90,14.50,14.60,-0.20,-1.3514,14.6100,,,,,181.0000,,1293,1292,,,,,,,188,191,,,,0,0,,,,,1297,1296,,
2012/07/06,14.70,14.70,14.25,14.30,-0.30,-2.0548,14.5700,,,,,-27.0000,,1283,1292,,47.6190,,,,,208,198,,,,0,0,,,,,1287,1296,,
2012/07/09,14.35,14.40,14.10,14.10,-0.20,-1.3986,14.4700,,,,,-161.0000,,1283,1289,,38.7597,,,,,134,179,,,,0,0,,,,,1287,1294,,
2012/07/10,14.50,14.50,13.80,13.80,-0.30,-2.1277,14.3200,,,,,-334.0000,,1285,1288,,29.0360,,0.0000,33.3333,44.4444,173,174,33.3333,44.4444,11.1111,0,0,,,,,1289,1292,,
2012/07/11,13.80,14.00,13.80,14.00,0.20,1.4493,14.1600,14.3600,,,,-235.0000,56.5000,1285,1286,1288,40.8977,,17.3913,28.0193,38.9694,99,160,28.0193,38.9694,6.1192,0,0,0,,,,1285,1289,1291,
2012/07/12,14.10,14.15,13.80,13.80,-0.20,-1.4286,14.0000,14.3050,,,,-394.0000,17.1000,1266,1281,1286,34.0649,,0.0000,18.6795,32.2061,159,154,18.6795,32.2061,-8.3736,0,0,0,,,,1270,1284,1290,
2012/07/13,13.80,13.80,13.05,13.05,-0.75,-5.4348,13.7500,14.1600,,,,-634.0000,-63.2000,1259,1276,1284,19.4455,,0.0000,12.4530,25.6218,240,161,12.4530,25.6218,-13.8844,0,0,0,,,,1263,1279,1288,
2012/07/16,13.05,13.30,12.90,13.00,-0.05,-0.3831,13.5300,14.0000,,,,-812.0000,-184.5000,1242,1268,1279,18.8001,25.4545,4.8780,9.9280,20.3905,178,169,9.9280,20.3905,-10.9969,0,0,0,,,,1246,1271,1282,
2012/07/17,13.00,13.20,12.95,13.15,0.15,1.1538,13.4000,13.8600,,,,-710.0000,-275.7000,1230,1257,1272,27.4674,29.6412,12.5000,10.7854,17.1888,102,155,10.7854,17.1888,-2.0215,0,0,0,,,,1234,1260,1276,
2012/07/18,13.15,13.15,12.90,12.90,-0.25,-1.9011,13.1800,13.6700,,,,-804.0000,-393.0000,1209,1241,1264,22.6352,26.8949,0.0000,7.1902,13.8559,94,154,7.1902,13.8559,-6.1412,0,0,0,,,,1213,1246,1267,
2012/07/19,13.30,13.30,13.15,13.15,0.25,1.938,13.0500,13.5250,,,,-719.0000,-483.0000,1216,1231,1256,36.1208,33.6057,15.6250,10.0018,12.5712,85,139,10.0018,12.5712,4.8630,0,0,0,,,,1220,1236,1260,
2012/07/20,13.15,13.45,13.15,13.20,0.05,0.3802,13.0800,13.4150,,,,-609.0000,-541.2000,1216,1223,1249,38.6858,34.9093,18.7500,12.9179,12.6868,110,113,12.9179,12.6868,13.3801,0,0,0,,,,1216,1226,1253,
