ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2004/12/10,7.90,8.20,7.80,8.10,0.00,0.00,,,,,,0.0000,,9257,,,,,,,,43,,,,,0,,,,,,9257,,,
2004/12/13,8.10,8.10,7.70,7.95,-0.15,-1.8519,,,,,,-11.0000,,9257,,,,,,,,11,,,,,0,,,,,,9257,,,
2004/12/14,7.90,8.00,7.90,8.00,0.05,0.6289,,,,,,8.0000,,9257,,,,,,,,19,,,,,0,,,,,,9257,,,
2004/12/15,8.25,8.30,8.00,8.00,0.00,0.00,,,,,,8.0000,,9257,,,,,,,,24,,,,,0,,,,,,9257,,,
2004/12/16,8.25,8.55,8.25,8.55,0.55,6.875,8.1200,,,,,269.0000,,9257,9257,,,,,,,261,71,,,,0,0,,,,,9257,9257,,
2004/12/17,8.85,8.85,8.50,8.50,-0.05,-0.5848,8.2000,,,,,122.0000,,9257,9257,,,,,,,147,92,,,,0,0,,,,,9257,9257,,
2004/12/20,8.35,8.80,8.35,8.40,-0.10,-1.1765,8.2900,,,,,95.0000,,9257,9257,,66.6667,,,,,27,95,,,,0,0,,,,,9257,9257,,
2004/12/21,8.35,8.35,8.30,8.35,-0.05,-0.5952,8.3600,,,,,87.0000,,9257,9257,,62.5000,,,,,8,93,,,,0,0,,,,,9257,9257,,
2004/12/22,8.35,8.35,8.35,8.35,0.00,0.00,8.4300,,,,,87.0000,,9257,9257,,62.5000,,56.5217,52.1739,50.7246,3,89,52.1739,50.7246,55.0725,0,0,,,,,9257,9257,,
2004/12/23,8.40,8.40,8.10,8.10,-0.25,-2.994,8.3400,8.2300,,,,67.0000,73.2000,9257,9257,9257,43.1034,,34.7826,46.3768,49.2754,20,41,46.3768,49.2754,40.5797,0,0,0,,,,9257,9257,9257,
2004/12/24,8.05,8.05,8.05,8.05,-0.05,-0.6173,8.2500,8.2250,,,,38.0000,77.0000,9257,9257,9257,40.1155,,15.7895,36.1810,44.9106,29,17,36.1810,44.9106,18.7219,0,0,0,,,,9257,9257,9257,
2004/12/27,7.55,7.90,7.50,7.55,-0.50,-6.2112,8.0800,8.1850,,,,-74.0000,70.7000,9257,9257,9257,21.8991,,3.7037,25.3553,38.3921,112,34,25.3553,38.3921,-0.7185,0,0,0,,,,9257,9257,9257,
2004/12/28,7.05,7.50,7.05,7.35,-0.20,-2.649,7.8800,8.1200,,,,-174.0000,52.5000,9257,9257,9257,17.9800,30.7692,16.6667,22.4591,33.0811,100,52,22.4591,33.0811,1.2149,0,0,0,,,,9257,9257,9257,
