ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2007/06/13,21.60,21.70,20.90,21.00,0.00,0.00,,,,,,0.0000,,136,,,,,,,,747,,,,,0,,,,,,1036,,,
2007/06/14,21.00,21.50,20.85,20.85,-0.15,-0.7143,,,,,,-604.0000,,136,,,,,,,,604,,,,,0,,,,,,787,,,
2007/06/15,20.60,21.00,20.05,21.00,0.15,0.7194,,,,,,200.0000,,136,,,,,,,,804,,,,,0,,,,,,787,,,
2007/06/20,21.20,21.45,21.00,21.05,0.05,0.2381,,,,,,942.0000,,136,,,,,,,,742,,,,,0,,,,,,717,,,
2007/06/21,21.10,21.50,21.05,21.50,0.45,2.1378,21.0800,,,,,1770.0000,,136,137,,,,,,,828,745,,,,0,0,,,,,637,793,,
2007/06/22,21.60,23.00,21.60,23.00,1.50,6.9767,21.4800,,,,,4084.0000,,136,137,,,,,,,2314,1058,,,,0,0,,,,,887,764,,
2007/06/23,23.80,24.55,23.15,23.30,0.30,1.3043,21.9700,,,,,6873.0000,,138,137,,94.2308,,,,,2789,1495,,,,0,0,,,,,996,805,,
2007/06/25,23.60,24.30,23.00,23.50,0.20,0.8584,22.4700,,,,,8129.0000,,138,137,,94.7183,,,,,1256,1585,,,,0,0,,,,,996,847,,
2007/06/26,24.00,24.35,23.65,23.80,0.30,1.2766,23.0200,,,,,9903.0000,,138,138,,95.4156,,83.3333,61.1111,53.7037,1774,1792,61.1111,53.7037,75.9259,0,0,,,,,138,731,,
2007/06/27,24.00,24.20,23.45,23.80,0.00,0.00,23.4800,22.2800,,,,9903.0000,4120.0000,138,138,137,95.4156,,83.3333,68.5185,58.6420,669,1760,68.5185,58.6420,88.2716,0,0,0,,,,138,632,712,
2007/06/28,24.25,24.40,23.60,24.00,0.20,0.8403,23.6800,22.5800,,,,10504.0000,5170.4000,138,139,138,95.9313,,87.7778,74.9383,64.0741,601,1417,74.9383,64.0741,96.6667,0,0,0,,,,138,482,623,
2007/06/29,24.50,24.50,23.10,23.10,-0.90,-3.75,23.6400,22.8050,,,,9845.0000,6215.3000,138,139,138,59.6793,,59.1549,69.6772,65.9418,659,991,69.6772,65.9418,77.1479,0,0,0,,,,138,310,558,
2007/07/02,23.40,23.80,23.20,23.50,0.40,1.7316,23.6400,23.0550,,,,10199.0000,7215.2000,138,139,138,66.4426,77.1739,70.0000,69.7848,67.2228,354,811,69.7848,67.2228,74.9088,0,0,0,,,,138,139,493,
2007/07/03,24.00,24.00,23.15,23.15,-0.35,-1.4894,23.5100,23.2650,,,,9785.0000,8099.5000,138,139,138,56.4928,71.2591,52.5424,64.0373,66.1609,414,539,64.0373,66.1609,59.7900,0,0,0,,,,138,139,435,
2007/07/04,23.40,23.40,22.20,22.20,-0.95,-4.1037,23.1900,23.3350,,,,9171.0000,8839.6000,136,138,138,37.9718,58.0787,0.0000,42.6915,58.3378,614,528,42.6915,58.3378,11.3990,0,0,0,,,,993,309,470,
2007/07/05,22.20,23.40,22.00,23.10,0.90,4.0541,23.0100,23.3450,,,,9665.0000,9397.7000,136,138,138,54.8134,64.8063,44.0000,43.1277,53.2678,494,507,43.1277,53.2678,22.8475,0,0,0,,,,994,481,481,
2007/07/06,22.65,23.20,22.10,22.10,-1.00,-4.329,22.8100,23.2250,,,,8781.0000,9588.5000,136,137,138,40.2442,54.2528,4.0000,30.0851,45.5402,884,552,30.0851,45.5402,-0.8251,0,0,0,,,,1043,662,486,
2007/07/09,22.20,22.60,21.80,22.00,-0.10,-0.4525,22.5100,23.0750,,,,7954.0000,9571.0000,136,137,138,39.0003,53.3059,7.4074,22.5259,37.8688,827,646,22.5259,37.8688,-8.1599,0,0,0,,,,1044,843,491,
2007/07/10,22.00,22.20,21.70,21.80,-0.20,-0.9091,22.2400,22.8750,,,,7483.0000,9329.0000,136,137,138,36.3069,51.3503,3.5714,16.2077,30.6484,471,658,16.2077,30.6484,-12.6737,0,0,0,,,,136,842,490,
2007/07/11,21.60,23.30,21.50,23.30,1.50,6.8807,22.4600,22.8250,22.5525,,,8788.0000,9217.5000,136,137,137,60.7206,62.5818,60.0000,30.8052,30.7007,1305,796,30.8052,30.7007,31.0141,0,0,0,,,,136,671,490,
2007/07/12,23.50,24.10,23.05,23.05,-0.25,-1.073,22.4500,22.7300,22.6550,,,6937.0000,8860.8000,136,137,137,56.3972,60.0607,59.6154,40.4086,33.9366,1851,1067,40.4086,33.9366,53.3524,0,0,0,,,,136,499,490,
2007/07/13,23.30,23.80,22.60,22.75,-0.30,-1.3015,22.5800,22.6950,22.7500,,,5919.0000,8468.2000,136,137,137,51.1525,57.0520,48.0769,42.9647,36.9460,1018,1094,42.9647,36.9460,55.0021,0,0,0,,,,136,318,490,
2007/07/16,23.60,23.60,22.75,22.75,0.00,0.00,22.7300,22.6200,22.8375,,,5919.0000,8040.2000,136,137,137,51.1525,57.0520,48.0769,44.6688,39.5202,701,1069,44.6688,39.5202,54.9658,0,0,0,,,,136,137,490,
2007/07/17,23.00,23.40,22.85,22.95,0.20,0.8791,22.9600,22.6000,22.9325,,,6581.0000,7719.8000,136,137,137,55.1560,58.6937,55.7692,48.3689,42.4698,662,1107,48.3689,42.4698,60.1672,0,0,0,,,,136,137,489,
2007/07/18,23.65,23.65,23.10,23.20,0.25,1.0893,22.9400,22.7000,23.0175,,,7753.0000,7578.0000,136,137,137,60.0655,60.7401,65.3846,54.0408,46.3268,1172,1080,54.0408,46.3268,69.4688,0,0,0,,,,136,137,404,
2007/07/19,23.60,24.80,23.30,24.80,1.60,6.8966,23.2900,22.8700,23.1075,,,11393.0000,7750.8000,136,137,137,78.3059,70.8299,100.0000,69.3605,54.0047,3640,1438,69.3605,54.0047,100.0722,0,0,0,,0.3320,,136,137,318,
2007/07/20,25.70,26.50,25.30,26.50,1.70,6.8548,24.0400,23.3100,23.2675,,,16366.0000,8509.3000,136,137,137,86.2901,77.5250,100.0000,79.5737,62.5277,4973,2229,79.5737,62.5277,113.6657,0,0,0,,0.5789,,1296,368,343,
2007/07/23,28.35,28.35,28.00,28.35,1.85,6.9811,25.1600,23.9450,23.5100,,,18314.0000,9545.3000,136,137,137,90.7404,82.3376,100.0000,86.3825,70.4793,1948,2479,86.3825,70.4793,118.1888,0,0,0,,0.9134,,1846,710,423,
