ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,28.80,29.00,28.20,28.50,0.00,0.00,,,,,,0.0000,,655,,,,,,,,291,,,,,31,,,,,,8352,,,
2012/06/29,28.50,29.45,28.50,28.80,0.30,1.0526,,,,,,412.0000,,655,,,,,,,,412,,,,,56,,,,,,8377,,,
2012/07/02,28.95,29.50,28.95,29.20,0.40,1.3889,,,,,,561.0000,,668,,,,,,,,149,,,,,0,,,,,,10791,,,
2012/07/03,29.50,30.70,29.40,29.60,0.40,1.3699,,,,,,1108.0000,,684,,,,,,,,547,,,,,0,,,,,,10807,,,
2012/07/04,29.90,30.25,29.60,29.90,0.30,1.0135,29.2000,,,,,1378.0000,,691,671,,,,,,,270,333,,,,0,17,,,,,10814,9829,,
2012/07/05,29.90,30.15,29.70,29.70,-0.20,-0.6689,29.4400,,,,,1228.0000,,685,677,,,,,,,150,305,,,,0,11,,,,,10808,10320,,
2012/07/06,29.70,30.00,28.80,30.00,0.30,1.0101,29.6800,,,,,1536.0000,,685,683,,89.4737,,,,,308,284,,,,86,17,,,,,10894,10823,,
2012/07/09,29.85,30.00,29.25,29.50,-0.50,-1.6667,29.7400,,,,,1284.0000,,683,686,,68.0000,,,,,252,305,,,,96,36,,,,,11002,10865,,
2012/07/10,29.90,30.00,29.50,29.50,0.00,0.00,29.7200,,,,,1284.0000,,678,685,,68.0000,,52.0000,50.6667,50.2222,151,226,50.6667,50.2222,51.5556,0,36,,,,,10971,10898,,
2012/07/11,29.50,29.85,29.00,29.55,0.05,0.1695,29.6500,29.4250,,,,1520.0000,1031.1000,659,679,675,69.0690,,47.7273,49.6869,50.0438,236,219,49.6869,50.0438,48.9731,0,36,27,,,,10812,10898,10363,
2012/07/12,29.55,29.95,29.20,29.40,-0.15,-0.5076,29.5900,29.5150,,,,1312.0000,1162.3000,648,671,674,61.6544,,31.5789,43.6509,47.9128,208,231,43.6509,47.9128,35.1271,0,36,24,,,,10801,10896,10608,
2012/07/13,29.20,29.75,29.20,29.75,0.35,1.1905,29.5400,29.6100,,,,1465.0000,1267.6000,642,663,673,70.5166,,50.0000,45.7673,47.1976,153,200,45.7673,47.1976,42.9065,0,19,18,,,,10795,10877,10850,
2012/07/16,29.75,30.00,29.10,29.10,-0.65,-2.1849,29.4600,29.6000,,,,1350.0000,1346.5000,622,650,668,46.5440,58.3333,20.6897,37.4081,43.9344,115,172,37.4081,43.9344,24.3553,0,0,18,,,,10775,10831,10848,
2012/07/17,29.40,29.40,27.75,28.90,-0.20,-0.6873,29.3400,29.5300,,,,954.0000,1331.1000,619,639,662,41.3533,55.0000,47.9167,40.9109,42.9266,396,221,40.9109,42.9266,36.8796,0,0,18,,,,10872,10811,10855,
2012/07/18,28.95,29.15,28.50,28.60,-0.30,-1.0381,29.1500,29.4000,,,,749.0000,1268.2000,621,631,655,34.4398,50.2969,37.7778,39.8665,41.9066,205,215,39.8665,41.9066,35.7865,0,0,18,,,,10974,10844,10871,
2012/07/19,28.95,30.60,28.70,30.60,2.00,6.993,29.3900,29.4900,,,,1914.0000,1336.8000,670,635,653,71.9523,69.3549,100.0000,59.9110,47.9081,1165,406,59.9110,47.9081,83.9170,0,0,18,,,,11023,10888,10892,
2012/07/20,30.60,31.35,30.55,30.60,0.00,0.00,29.5600,29.5500,,,,1914.0000,1374.6000,661,639,651,71.9523,69.3549,79.1667,66.3296,54.0486,827,541,66.3296,54.0486,90.8916,50,10,15,,,,11064,10942,10909,
2012/07/23,30.25,31.00,30.25,31.00,0.40,1.3072,29.9400,29.7000,,,,2302.0000,1476.4000,691,653,652,75.9204,71.9178,90.2778,74.3123,60.8031,388,596,74.3123,60.8031,101.3306,0,10,5,,,,11044,10996,10914,
2012/07/24,31.50,31.75,31.00,31.00,0.00,0.00,30.3600,29.8500,,,,2302.0000,1578.2000,682,666,652,75.9204,71.9178,81.2500,76.6249,66.0771,719,660,76.6249,66.0771,97.7205,0,10,5,,,,11035,11028,10920,
2012/07/25,30.60,31.50,30.60,31.20,0.20,0.6452,30.8800,30.0150,29.7200,,,2998.0000,1726.0000,722,686,658,78.1464,73.2491,86.2500,79.8332,70.6625,696,759,79.8332,70.6625,98.1748,0,10,5,,,,11075,11049,10946,
2012/07/26,31.50,33.30,31.30,32.90,1.70,5.4487,31.3400,30.3650,29.9400,,,3811.0000,1975.9000,744,701,668,88.7523,81.4175,92.7928,84.1531,75.1593,813,688,84.1531,75.1593,102.1406,0,10,5,,,,11097,11063,10976,
2012/07/27,33.30,33.30,32.80,32.80,-0.10,-0.304,31.7800,30.6700,30.1400,,,3016.0000,2131.0000,814,731,685,85.8126,79.8528,90.9910,86.4324,78.9170,795,682,86.4324,78.9170,101.4631,0,0,5,,,,11167,11084,11013,
2012/07/30,33.00,33.00,31.70,31.75,-1.05,-3.2012,31.9300,30.9350,30.2675,,,2601.0000,2256.1000,836,760,707,60.5444,65.4459,67.7083,80.1910,79.3417,415,687,80.1910,79.3417,81.8897,0,0,5,,,,11189,11113,11054,
2012/07/31,31.65,32.20,31.65,32.05,0.30,0.9449,32.1400,31.2500,30.3900,,,2940.0000,2454.7000,929,810,738,64.1625,67.2856,72.8261,77.7361,78.8065,339,611,77.7361,78.8065,75.5952,0,0,5,,,,11282,11162,11095,
2012/08/01,32.05,32.80,32.05,32.40,0.35,1.092,32.3800,31.6300,30.5150,,,3556.0000,2735.4000,961,857,772,68.2398,69.3616,70.4918,75.3213,77.6448,616,595,75.3213,77.6448,70.6744,6,1,6,,,,11320,11211,11130,
2012/08/03,30.10,31.15,30.05,30.70,-1.70,-5.2469,31.9400,31.6400,30.5650,,,2719.0000,2815.9000,943,897,799,41.0309,51.9074,20.0000,56.8809,70.7235,837,600,56.8809,70.7235,29.1957,0,1,6,,1.0205,,11296,11251,11157,
2012/08/06,31.35,31.90,30.95,31.20,0.50,1.6287,31.6200,31.7000,30.6250,,,3194.0000,2943.9000,907,916,824,48.3056,55.5003,35.3846,49.7155,63.7208,475,536,49.7155,63.7208,21.7048,0,1,1,,0.9374,,11330,11284,11184,
2012/08/07,31.20,31.90,30.80,31.00,-0.20,-0.641,31.4700,31.7000,30.7000,,,2692.0000,2982.9000,883,925,843,45.6051,53.7481,29.2308,42.8872,56.7763,502,553,42.8872,56.7763,15.1091,0,1,1,,0.8457,,11378,11322,11217,
2012/08/08,31.20,31.75,30.75,31.35,0.35,1.129,31.3300,31.7350,30.7925,,,3068.0000,3059.5000,867,913,861,51.3202,56.3773,40.0000,41.9248,51.8258,376,561,41.9248,51.8258,22.1229,0,1,1,,0.7921,,11362,11338,11250,
