ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,9.99,10.05,9.83,9.83,0.00,0.00,,,,,,0.0000,,807,,,,,,,,31,,,,,0,,,,,,807,,,
2012/06/28,9.92,10.05,9.90,9.99,0.16,1.6277,,,,,,80.0000,,807,,,,,,,,80,,,,,0,,,,,,807,,,
2012/06/29,9.97,9.97,9.87,9.95,-0.04,-0.4004,,,,,,49.0000,,807,,,,,,,,31,,,,,0,,,,,,807,,,
2012/07/02,9.95,10.05,9.90,9.99,0.04,0.402,,,,,,261.0000,,807,,,,,,,,212,,,,,0,,,,,,807,,,
2012/07/03,9.99,10.00,9.90,10.00,0.01,0.1001,9.9520,,,,,421.0000,,807,808,,,,,,,160,102,,,,0,0,,,,,807,808,,
2012/07/04,10.15,10.35,9.95,10.35,0.35,3.50,10.0560,,,,,779.0000,,807,808,,,,,,,358,168,,,,0,0,,,,,807,808,,
2012/07/05,10.35,10.40,10.25,10.25,-0.10,-0.9662,10.1080,,,,,681.0000,,807,808,,80.0000,,,,,98,171,,,,0,0,,,,,807,808,,
2012/07/06,10.15,10.15,10.05,10.15,-0.10,-0.9756,10.1480,,,,,631.0000,,807,808,,68.2927,,,,,50,175,,,,0,0,,,,,807,808,,
2012/07/09,10.15,10.15,10.15,10.15,0.00,0.00,10.1800,,,,,631.0000,,807,808,,68.2927,,56.1404,52.0468,50.6823,10,135,52.0468,50.6823,54.7758,0,0,,,,,807,808,,
2012/07/10,10.15,10.25,9.81,10.00,-0.15,-1.4778,10.1800,10.0660,,,,552.0000,408.5000,807,808,808,51.8903,,32.2034,45.4323,48.9323,79,119,45.4323,48.9323,38.4324,0,0,0,,,,807,808,808,
2012/07/11,10.10,10.25,10.05,10.05,0.05,0.50,10.1200,10.0880,,,,741.0000,482.6000,807,808,808,56.1071,,40.6780,43.8475,47.2374,189,85,43.8475,47.2374,37.0679,0,0,0,,,,807,808,808,
2012/07/12,10.10,10.10,9.91,9.91,-0.14,-1.393,10.0520,10.0800,,,,654.0000,540.0000,807,808,808,43.3425,,16.9492,34.8814,43.1187,87,83,34.8814,43.1187,18.4068,0,0,0,,,,807,808,808,
2012/07/13,9.91,9.99,9.91,9.95,0.04,0.4036,10.0120,10.0800,,,,689.0000,604.0000,807,808,808,47.4421,55.0847,23.7288,31.1639,39.1338,35,80,31.1639,39.1338,15.2241,0,0,0,,,,807,808,808,
2012/07/16,9.98,10.10,9.96,9.97,0.02,0.201,9.9760,10.0780,,,,841.0000,662.0000,807,808,808,49.6289,55.9002,27.1186,29.8155,36.0277,152,108,29.8155,36.0277,17.3911,0,0,0,,,,807,808,808,
2012/07/17,10.10,10.10,10.00,10.10,0.13,1.3039,9.9960,10.0880,,,,859.0000,705.8000,807,808,808,61.9710,60.9297,49.1525,36.2612,36.1055,18,96,36.2612,36.1055,36.5725,0,0,0,,,,807,808,808,
2012/07/18,10.10,10.10,10.00,10.00,-0.10,-0.9901,9.9860,10.0530,,,,838.0000,711.7000,757,798,803,50.5401,55.6077,43.1818,38.5680,36.9263,21,62,38.5680,36.9263,41.8514,0,0,0,,,,757,798,803,
2012/07/19,10.00,10.05,9.96,9.96,-0.04,-0.40,9.9960,10.0240,,,,775.0000,721.1000,757,788,798,46.4293,53.5661,34.0909,37.0757,36.9761,63,57,37.0757,36.9761,37.2748,0,0,0,,,,757,788,798,
2012/07/20,9.98,9.99,9.93,9.99,0.03,0.3012,10.0040,10.0080,,,,828.0000,740.8000,757,778,793,50.0834,54.9203,40.9091,38.3535,37.4352,53,61,38.3535,37.4352,40.1899,0,0,0,,,,757,778,793,
2012/07/23,10.00,10.00,9.85,9.90,-0.09,-0.9009,9.9900,9.9830,,,,774.0000,755.1000,757,768,788,40.2096,50.1351,12.5000,29.7356,34.8687,54,41,29.7356,34.8687,19.4695,0,0,0,,,,757,768,788,
2012/07/24,9.85,9.85,9.21,9.70,-0.20,-2.0202,9.9100,9.9530,10.0095,,,644.0000,764.3000,757,758,783,26.3545,41.3922,55.0562,38.1758,35.9711,130,64,38.1758,35.9711,42.5853,0,0,0,,,,757,758,783,
2012/07/25,9.52,10.20,9.40,10.20,0.50,5.1546,9.9500,9.9680,10.0280,,,1994.0000,889.6000,757,758,778,63.7878,60.2821,100.0000,58.7839,43.5753,1350,330,58.7839,43.5753,89.2010,0,0,0,,,,757,758,778,
2012/07/26,9.41,9.41,9.16,9.21,-0.99,-9.7059,9.8000,9.8980,9.9890,,,1829.0000,1007.1000,757,758,773,28.8933,35.5397,4.8077,40.7918,42.6475,165,350,40.7918,42.6475,37.0804,0,0,0,,,,757,758,773,
2012/07/27,9.25,9.41,9.25,9.40,0.19,2.063,9.6820,9.8430,9.9615,,,1873.0000,1125.5000,757,758,768,36.8494,40.6406,23.0769,34.8869,40.0606,44,348,34.8869,40.0606,24.5393,0,0,0,,,,757,758,768,
2012/07/30,9.43,9.50,9.40,9.40,0.00,0.00,9.5820,9.7860,9.9320,,,1873.0000,1228.7000,757,758,763,36.8494,40.6406,23.0769,30.9502,37.0238,7,339,30.9502,37.0238,18.8030,0,0,0,,,,757,758,763,
2012/07/31,9.26,9.48,9.25,9.37,-0.03,-0.3191,9.5160,9.7130,9.9005,,,1769.0000,1319.7000,757,758,758,35.9352,40.0452,20.1923,27.3642,33.8040,104,334,27.3642,33.8040,14.4848,0,0,0,,,,757,758,758,
2012/08/01,9.44,9.44,9.27,9.28,-0.09,-0.9605,9.3320,9.6410,9.8470,,,1713.0000,1407.2000,757,758,758,32.9889,38.2128,11.5385,22.0890,29.8990,56,75,22.0890,29.8990,6.4690,0,0,0,,-0.2620,,757,758,758,
2012/08/03,9.35,9.35,9.17,9.17,-0.11,-1.1853,9.3240,9.5620,9.7930,,,1658.0000,1495.5000,757,758,758,29.4478,36.0155,0.9615,15.0465,24.9481,55,53,15.0465,24.9481,-4.7568,0,0,0,,-0.2784,,757,758,758,
2012/08/06,9.28,9.41,9.23,9.26,0.09,0.9815,9.2960,9.4890,9.7485,,,2449.0000,1657.6000,757,758,758,36.1744,39.1391,9.6154,13.2361,21.0441,791,202,13.2361,21.0441,-2.3799,0,0,0,,-0.2809,,757,758,758,
2012/08/07,9.22,9.34,9.21,9.33,0.07,0.7559,9.2820,9.4320,9.7075,,,2465.0000,1826.7000,757,758,758,41.3899,41.5598,16.3462,14.2728,18.7870,16,204,14.2728,18.7870,5.2444,0,0,0,,-0.2740,,757,758,758,
2012/08/08,9.22,9.36,9.22,9.35,0.02,0.2144,9.2780,9.3970,9.6750,,,2485.0000,2010.8000,757,758,758,42.9872,42.2754,55.8824,28.1427,21.9056,20,187,28.1427,21.9056,40.6168,0,0,0,,-0.2640,,757,758,758,
2012/08/09,9.34,9.79,9.28,9.79,0.44,4.7059,9.3800,9.3560,9.6620,,,2547.0000,2066.1000,807,768,763,66.8430,55.3867,100.0000,52.0951,31.9687,62,188,52.0951,31.9687,92.3478,0,0,0,,-0.2180,,807,768,763,
2012/08/10,9.79,9.79,9.53,9.75,-0.04,-0.4086,9.4960,9.4100,9.6540,,,2489.0000,2132.1000,807,778,768,63.9250,54.1665,93.5484,65.9129,43.2835,58,189,65.9129,43.2835,111.1717,0,0,0,,-0.1827,,807,778,768,
2012/08/13,9.73,9.73,9.73,9.73,-0.02,-0.2051,9.5900,9.4430,9.6430,,,2449.0000,2189.7000,807,788,773,62.2934,53.5234,90.3226,74.0494,53.5388,40,39,74.0494,53.5388,115.0707,0,0,0,,-0.1545,,807,788,773,
2012/08/14,9.70,9.70,9.56,9.56,-0.17,-1.7472,9.6360,9.4590,9.6225,,,2400.0000,2242.4000,807,798,778,49.4257,48.2150,62.9032,70.3340,59.1372,49,45,70.3340,59.1372,92.7277,0,0,0,0.1690,-0.1442,-0.2287,807,798,778,
