ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,13.15,13.25,13.10,13.20,0.00,0.00,,,,,,0.0000,,1414,,,,,,,,131,,,,,0,,,,,,1414,,,
2012/06/29,13.15,13.20,13.10,13.20,0.00,0.00,,,,,,0.0000,,1420,,,,,,,,87,,,,,0,,,,,,1420,,,
2012/07/02,13.30,13.40,13.25,13.30,0.10,0.7576,,,,,,153.0000,,1426,,,,,,,,153,,,,,0,,,,,,1426,,,
2012/07/03,13.40,13.40,13.30,13.35,0.05,0.3759,,,,,,238.0000,,1426,,,,,,,,85,,,,,0,,,,,,1426,,,
2012/07/04,13.40,13.45,13.35,13.35,0.00,0.00,13.2800,,,,,238.0000,,1428,1423,,,,,,,109,113,,,,0,0,,,,,1428,1423,,
2012/07/05,13.45,13.45,13.35,13.35,0.00,0.00,13.3100,,,,,238.0000,,1430,1426,,,,,,,85,103,,,,0,0,,,,,1430,1426,,
2012/07/06,13.35,13.35,13.20,13.20,-0.15,-1.1236,13.3100,,,,,171.0000,,1425,1427,,50.0000,,,,,67,99,,,,0,0,,,,,1425,1427,,
2012/07/09,13.10,13.15,13.10,13.10,-0.10,-0.7576,13.2700,,,,,133.0000,,1415,1425,,35.7143,,,,,38,76,,,,0,0,,,,,1415,1425,,
2012/07/10,13.00,13.10,12.90,12.95,-0.15,-1.145,13.1900,,,,,57.0000,,1403,1420,,23.5849,,9.0909,36.3636,45.4545,76,75,36.3636,45.4545,18.1818,0,0,,,,,1403,1420,,
2012/07/11,13.00,13.10,12.95,12.95,0.00,0.00,13.1100,13.1950,,,,57.0000,128.5000,1402,1415,1419,23.5849,,9.0909,27.2727,39.3939,52,63,27.2727,39.3939,3.0303,0,0,0,,,,1402,1415,1419,
2012/07/12,13.00,13.10,12.80,12.80,-0.15,-1.1583,13.0000,13.1550,,,,4.0000,128.9000,1393,1408,1417,15.8388,,0.0000,18.1818,32.3232,53,57,18.1818,32.3232,-10.1010,0,0,0,,,,1393,1408,1417,
2012/07/13,12.95,12.95,12.70,12.70,-0.10,-0.7813,12.9000,13.1050,,,,-76.0000,121.3000,1392,1401,1414,12.5431,,0.0000,12.1212,25.5892,80,59,12.1212,25.5892,-14.8148,0,0,0,,,,1392,1401,1414,
2012/07/16,12.70,12.75,12.55,12.55,-0.15,-1.1811,12.7900,13.0300,,,,-124.0000,93.6000,1392,1397,1411,9.1254,15.7895,0.0000,8.0808,19.7531,48,61,8.0808,19.7531,-15.2637,0,0,0,,,,1392,1397,1411,
2012/07/17,12.55,12.60,12.50,12.60,0.05,0.3984,12.7200,12.9550,,,,-18.0000,68.0000,1392,1394,1407,18.0566,20.3620,10.5263,8.8960,16.1341,106,67,8.8960,16.1341,-5.5802,0,0,0,,,,1392,1394,1407,
2012/07/18,12.65,12.65,12.60,12.60,0.00,0.00,12.6500,12.8800,,,,-18.0000,42.4000,1392,1392,1404,18.0566,20.3620,11.7647,9.8522,14.0401,29,63,9.8522,14.0401,1.4764,0,0,0,,,,1392,1392,1404,
2012/07/19,12.75,12.75,12.65,12.70,0.10,0.7937,12.6300,12.8150,,,,19.0000,20.5000,1392,1392,1400,36.1339,29.4764,30.7692,16.8246,14.9683,37,60,16.8246,14.9683,20.5372,0,0,0,,,,1392,1392,1400,
2012/07/20,12.75,12.80,12.75,12.75,0.05,0.3937,12.6400,12.7700,,,,87.0000,12.1000,1392,1392,1397,43.5993,33.6203,41.6667,25.1053,18.3473,68,57,25.1053,18.3473,38.6213,0,0,0,,,,1392,1392,1397,
2012/07/23,12.75,12.80,12.50,12.50,-0.25,-1.9608,12.6300,12.7100,,,,19.0000,0.7000,1392,1392,1394,25.6263,25.4603,0.0000,16.7368,17.8105,68,61,16.7368,17.8105,14.5896,0,0,0,,,,1392,1392,1394,
2012/07/24,12.40,12.50,12.30,12.50,0.00,0.00,12.6100,12.6650,,,,19.0000,-3.1000,1392,1392,1393,25.6263,25.4603,25.0000,19.4912,18.3707,16,43,19.4912,18.3707,21.7323,0,0,0,,,,1392,1392,1393,
2012/07/25,12.40,12.40,12.15,12.15,-0.35,-2.80,12.5200,12.5850,12.8900,,,-38.0000,-12.6000,1392,1392,1392,13.9953,18.1291,0.0000,12.9942,16.5785,57,49,12.9942,16.5785,5.8254,0,0,0,,,,1392,1392,1392,
2012/07/26,12.20,12.30,12.15,12.25,0.10,0.823,12.4300,12.5300,12.8425,,,39.0000,-9.1000,1394,1393,1392,25.5765,24.8718,15.3846,13.7910,15.6493,77,57,13.7910,15.6493,10.0742,0,0,0,,,,1394,1393,1392,
2012/07/27,12.35,12.55,12.35,12.50,0.25,2.0408,12.3800,12.5100,12.8075,,,101.0000,8.6000,1394,1393,1393,46.9908,38.6514,53.8462,27.1427,19.4805,62,56,27.1427,19.4805,42.4672,0,0,0,,,,1394,1393,1393,
