ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,17.00,17.00,16.90,17.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,43,,,,,0,,,,,,0,,,
2012/06/28,17.00,17.10,16.90,16.90,-0.10,-0.5882,,,,,,-29.0000,,0,,,,,,,,29,,,,,0,,,,,,0,,,
2012/06/29,16.90,16.90,16.90,16.90,0.00,0.00,,,,,,-29.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2012/07/02,16.95,17.20,16.90,16.95,0.05,0.2959,,,,,,6.0000,,0,,,,,,,,35,,,,,0,,,,,,0,,,
2012/07/03,16.90,17.00,16.80,16.90,-0.05,-0.295,16.9300,,,,,-37.0000,,0,1,,,,,,,43,32,,,,0,0,,,,,0,1,,
2012/07/04,17.50,17.50,16.90,16.90,0.00,0.00,16.9100,,,,,-37.0000,,0,1,,,,,,,49,33,,,,0,0,,,,,0,1,,
2012/07/05,16.90,17.00,16.90,16.95,0.05,0.2959,16.9200,,,,,11.0000,,0,1,,40.0000,,,,,48,37,,,,0,0,,,,,0,1,,
2012/07/06,16.90,16.90,16.90,16.90,-0.05,-0.295,16.9200,,,,,1.0000,,0,1,,32.2581,,,,,10,37,,,,0,0,,,,,0,1,,
2012/07/09,16.90,17.00,16.90,17.00,0.10,0.5917,16.9300,,,,,13.0000,,0,1,,53.7445,,28.5714,42.8571,47.6190,12,32,42.8571,47.6190,33.3333,0,0,,,,,0,1,,
2012/07/10,16.90,17.00,16.65,16.65,-0.35,-2.0588,16.8800,16.9050,,,,-115.0000,-21.6000,0,1,1,23.0450,,0.0000,28.5714,41.2698,128,49,28.5714,41.2698,3.1746,0,0,0,,,,0,1,1,
2012/07/11,16.65,16.80,16.40,16.40,-0.25,-1.5015,16.7800,16.8450,,,,-201.0000,-41.7000,0,1,1,15.4705,,0.0000,19.0476,33.8624,86,56,19.0476,33.8624,-10.5820,0,0,0,,,,0,1,1,
2012/07/12,16.40,16.40,16.10,16.10,-0.30,-1.8293,16.6100,16.7650,,,,-250.0000,-63.8000,0,1,1,10.5005,,0.0000,12.6984,26.8078,49,57,12.6984,26.8078,-15.5203,0,0,0,,,,0,1,1,
2012/07/13,16.10,16.40,16.00,16.40,0.30,1.8634,16.5100,16.7150,,,,-219.0000,-82.8000,0,1,1,35.4030,31.2500,26.6667,17.3545,23.6567,31,61,17.3545,23.6567,4.7501,0,0,0,,,,0,1,1,
2012/07/16,16.40,16.40,16.15,16.30,-0.10,-0.6098,16.3700,16.6500,,,,-233.0000,-106.7000,0,1,1,31.8573,29.2553,20.0000,18.2363,21.8499,14,61,18.2363,21.8499,11.0092,0,0,0,,,,0,1,1,
2012/07/17,16.15,16.30,16.15,16.20,-0.10,-0.6135,16.2800,16.5800,,,,-252.0000,-128.2000,0,1,1,28.4395,27.3508,20.0000,18.8242,20.8413,19,39,18.8242,20.8413,14.7900,0,0,0,,,,0,1,1,
2012/07/18,16.40,16.40,16.20,16.20,0.00,0.00,16.2400,16.5100,,,,-252.0000,-149.7000,0,1,1,28.4395,27.3508,20.0000,19.2161,20.2996,10,24,19.2161,20.2996,17.0492,0,0,0,,,,0,1,1,
2012/07/19,16.40,16.40,16.20,16.20,0.00,0.00,16.2600,16.4350,,,,-252.0000,-176.0000,0,1,1,28.4395,27.3508,20.0000,19.4774,20.0255,49,24,19.4774,20.0255,18.3812,0,0,0,,,,0,1,1,
2012/07/20,16.20,16.20,16.10,16.10,-0.10,-0.6173,16.2000,16.3550,,,,-286.0000,-204.7000,0,1,1,23.9917,25.2194,10.0000,16.3183,18.7898,34,25,16.3183,18.7898,11.3753,0,0,0,,,,0,1,1,
2012/07/23,15.00,15.90,15.00,15.50,-0.60,-3.7267,16.0400,16.2050,,,,-340.0000,-240.0000,0,1,1,11.2846,16.7006,27.7778,20.1381,19.2392,54,33,20.1381,19.2392,21.9359,0,0,0,,,,0,1,1,
2012/07/24,15.50,16.20,15.35,16.20,0.70,4.5161,16.0400,16.1600,16.5325,,,-296.0000,-258.1000,0,1,1,49.0581,41.7450,85.7143,41.9968,26.8251,44,38,41.9968,26.8251,72.3403,0,0,0,,,,0,1,1,
2012/07/25,15.85,16.45,15.60,16.35,0.15,0.9259,16.0700,16.1550,16.5000,,,-255.0000,-263.5000,0,1,1,54.0852,45.5705,93.1034,59.0324,37.5609,41,44,59.0324,37.5609,101.9754,0,0,0,,,,0,1,1,
2012/07/26,16.00,16.00,15.85,15.90,-0.45,-2.7523,16.0100,16.1350,16.4500,,,-271.0000,-265.6000,0,1,1,39.9077,37.5093,62.0690,60.0446,45.0554,16,37,60.0446,45.0554,90.0229,0,0,0,,,,0,1,1,
2012/07/27,15.85,16.85,15.85,16.85,0.95,5.9748,16.1600,16.1800,16.4475,,,-224.0000,-266.1000,0,1,1,63.8884,55.5984,100.0000,73.3630,54.4913,47,40,73.3630,54.4913,111.1065,0,0,0,,,,0,1,1,
2012/07/30,16.55,16.60,16.15,16.50,-0.35,-2.0772,16.3600,16.2000,16.4250,,,-236.0000,-266.4000,0,1,1,54.3071,49.8041,81.0811,75.9357,61.6394,12,32,75.9357,61.6394,104.5283,0,0,0,,,,0,1,1,
2012/07/31,16.20,16.20,16.00,16.00,-0.50,-3.0303,16.3200,16.1800,16.3800,,,-316.0000,-272.8000,0,1,1,43.2006,42.8453,54.0541,68.6418,63.9736,80,39,68.6418,63.9736,77.9784,0,0,0,,,,0,1,1,
2012/08/01,16.00,16.40,15.60,16.40,0.40,2.50,16.3300,16.2000,16.3550,,,-262.0000,-273.8000,0,1,1,52.5220,49.0573,75.6757,70.9864,66.3112,54,41,70.9864,66.3112,80.3369,0,0,0,,-0.1586,,0,1,1,
2012/08/03,15.90,15.90,15.80,15.80,-0.60,-3.6585,16.3100,16.1600,16.2975,,,-277.0000,-276.3000,0,1,1,40.5450,41.6498,43.2432,61.7387,64.7870,15,41,61.7387,64.7870,55.6421,0,0,0,,-0.1879,,0,1,1,
2012/08/06,16.00,16.00,15.55,15.55,-0.25,-1.5823,16.0500,16.1050,16.2300,,,-303.0000,-278.0000,0,1,1,36.3953,38.9748,13.3333,45.6036,58.3926,26,37,45.6036,58.3926,20.0257,0,0,0,,-0.2286,,0,1,1,
2012/08/07,15.55,15.55,15.30,15.30,-0.25,-1.6077,15.8100,16.0850,16.1450,,,-323.0000,-276.3000,0,1,1,32.4142,36.4229,0.0000,30.4024,49.0625,20,39,30.4024,49.0625,-6.9178,0,0,0,,-0.2778,,0,1,1,
2012/08/08,15.30,15.35,15.30,15.30,0.00,0.00,15.6700,15.9950,16.0775,,,-323.0000,-279.0000,0,1,1,32.4142,36.4229,0.0000,20.2683,39.4644,25,28,20.2683,39.4644,-18.1241,0,0,0,,-0.3132,,0,1,1,
2012/08/09,15.30,15.50,15.25,15.50,0.20,1.3072,15.4900,15.9100,16.0325,,,-294.0000,-282.9000,0,1,1,39.9777,40.1536,15.6250,18.7205,32.5498,29,23,18.7205,32.5498,-8.9380,0,0,0,,-0.3215,,0,1,1,
2012/08/10,15.60,15.95,15.40,15.90,0.40,2.5806,15.5100,15.9100,16.0225,,,-246.0000,-280.4000,0,1,1,52.6855,46.9461,48.1481,28.5297,31.2098,48,29,28.5297,31.2098,23.1696,0,0,0,,-0.2923,,0,1,1,
2012/08/13,15.70,15.70,15.70,15.70,-0.20,-1.2579,15.5400,15.7950,15.9875,,,-249.0000,-282.9000,0,1,1,46.7472,44.2092,39.1304,32.0633,31.4943,3,25,32.0633,31.4943,33.2013,0,0,0,,-0.2821,,0,1,1,
2012/08/14,15.70,15.85,15.70,15.80,0.10,0.6369,15.6400,15.7250,15.9625,,,-203.0000,-279.6000,0,1,1,50.1204,45.9286,47.8261,37.3176,33.4354,46,30,37.3176,33.4354,45.0819,0,0,0,-0.0092,-0.2629,-0.2583,0,1,1,
2012/08/16,15.45,15.75,15.45,15.70,-0.10,-0.6329,15.7200,15.6950,15.9375,,,-213.0000,-269.3000,0,1,1,46.5797,44.4347,60.0000,44.8784,37.2497,10,27,44.8784,37.2497,60.1357,0,0,0,0.0087,-0.2529,-0.2572,0,1,1,
2012/08/17,15.50,15.90,15.50,15.50,-0.20,-1.2739,15.7200,15.6050,15.9025,,,-218.0000,-264.9000,0,1,1,39.8273,41.4901,33.3333,41.0300,38.5098,5,22,41.0300,38.5098,46.0705,0,0,0,-0.0014,-0.2581,-0.2574,0,1,1,
2012/08/20,15.50,15.55,15.30,15.30,-0.20,-1.2903,15.6000,15.5550,15.8575,,,-233.0000,-260.5000,0,1,1,33.9256,38.6930,7.1429,29.7343,35.5846,15,15,29.7343,35.5846,18.0336,0,0,0,-0.0284,-0.2752,-0.2610,0,1,1,
2012/08/21,15.35,15.55,15.20,15.25,-0.05,-0.3268,15.5100,15.5250,15.8150,,,-263.0000,-256.5000,0,1,1,32.4817,37.9944,6.6667,22.0451,31.0715,30,21,22.0451,31.0715,3.9924,0,0,0,-0.0455,-0.2894,-0.2667,0,1,1,
2012/08/22,15.25,15.25,14.85,14.85,-0.40,-2.623,15.3200,15.4800,15.7825,,,-354.0000,-259.6000,0,1,1,23.0596,32.8226,0.0000,14.6967,25.6132,91,30,14.6967,25.6132,-7.1362,0,0,0,-0.1000,-0.3292,-0.2792,0,1,1,
2012/08/23,14.85,14.85,14.25,14.30,-0.55,-3.7037,15.0400,15.3800,15.6875,,,-413.0000,-268.6000,0,1,1,15.5953,27.2573,2.9412,10.7782,20.6682,59,40,10.7782,20.6682,-9.0018,0,0,0,-0.1941,-0.4005,-0.3034,0,1,1,
2012/08/24,14.30,14.30,13.90,14.20,-0.10,-0.6993,14.7800,15.2500,15.5800,,,-477.0000,-286.9000,0,1,1,14.5666,26.3704,15.0000,12.1855,17.8406,64,51,12.1855,17.8406,0.8752,0,0,0,-0.2501,-0.4597,-0.3347,0,1,1,
2012/08/27,14.20,14.20,14.15,14.20,0.00,0.00,14.5600,15.0800,15.4950,,,-477.0000,-310.0000,0,1,1,14.5666,26.3704,15.0000,13.1236,16.2683,22,53,13.1236,16.2683,6.8343,0,0,0,-0.2660,-0.5009,-0.3679,0,1,1,
