ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/04/30,17.30,17.30,16.85,16.85,0.00,0.00,,,,,,0.0000,,5958,,,,,,,,40,,,,,0,,,,,,5958,,,
2012/05/02,17.15,17.15,17.05,17.05,0.20,1.1869,,,,,,6.0000,,5958,,,,,,,,6,,,,,0,,,,,,5958,,,
2012/05/03,17.30,17.30,16.80,16.95,-0.10,-0.5865,,,,,,-53.0000,,5957,,,,,,,,59,,,,,0,,,,,,5957,,,
2012/05/04,16.95,17.00,16.95,17.00,0.05,0.295,,,,,,-28.0000,,5957,,,,,,,,25,,,,,0,,,,,,5957,,,
2012/05/07,17.25,17.25,16.50,16.50,-0.50,-2.9412,16.8700,,,,,-186.0000,,5857,5937,,,,,,,158,57,,,,0,0,,,,,5857,5937,,
2012/05/08,16.75,17.65,16.10,17.65,1.15,6.9697,17.0300,,,,,242.0000,,5769,5900,,,,,,,428,135,,,,0,0,,,,,5769,5900,,
2012/05/09,18.00,18.85,18.00,18.85,1.20,6.7989,17.3900,,,,,382.0000,,5768,5862,,81.2500,,,,,140,162,,,,0,0,,,,,5768,5862,,
2012/05/10,20.15,20.15,19.50,20.05,1.20,6.366,18.0100,,,,,1454.0000,,5721,5814,,87.0690,,,,,1072,364,,,,0,0,,,,,5721,5814,,
2012/05/11,20.05,20.05,18.65,18.90,-1.15,-5.7357,18.3900,,,,,978.0000,,5712,5765,,64.1677,,69.1358,56.3786,52.1262,476,454,56.3786,52.1262,64.8834,0,0,,,,,5712,5765,,
2012/05/14,18.50,19.50,18.50,19.20,0.30,1.5873,18.9300,17.9000,,,,1088.0000,388.3000,5711,5736,5837,66.8936,,76.5432,63.1001,55.7842,110,445,63.1001,55.7842,77.7321,0,0,0,,,,5711,5736,5837,
2012/05/15,19.30,20.15,19.15,20.00,0.80,4.1667,19.4000,18.2150,,,,1403.0000,528.6000,5711,5725,5812,73.3751,,96.2963,74.1655,61.9113,315,422,74.1655,61.9113,98.6740,0,0,0,,,,5711,5725,5812,
2012/05/16,18.60,20.00,18.60,19.50,-0.50,-2.50,19.5300,18.4600,,,,1173.0000,645.3000,5711,5713,5787,63.9806,,83.9506,77.4272,67.0833,230,440,77.4272,67.0833,98.1151,0,0,0,,,,5711,5713,5787,
2012/05/17,19.80,19.85,19.50,19.50,0.00,0.00,19.4200,18.7150,,,,1173.0000,767.9000,5711,5711,5763,63.9806,68.5315,83.9506,79.6017,71.2561,67,239,79.6017,71.2561,96.2929,0,0,0,,,,5711,5711,5763,
2012/05/18,19.70,19.80,19.40,19.45,-0.05,-0.2564,19.5300,18.9600,,,,1115.0000,882.2000,5711,5711,5738,62.8224,68.0126,82.7160,80.6398,74.3840,58,156,80.6398,74.3840,93.1515,0,0,0,,,,5711,5711,5738,
2012/05/21,18.80,19.65,18.80,19.60,0.15,0.7712,19.6100,19.2700,,,,1175.0000,1018.3000,5711,5711,5724,65.0971,68.7860,74.4186,78.5661,75.7780,60,146,78.5661,75.7780,84.1422,0,0,0,,,,5711,5711,5724,
2012/05/22,19.60,20.50,19.60,20.05,0.45,2.2959,19.6200,19.5100,,,,1437.0000,1137.8000,5741,5717,5721,71.3972,71.0749,77.5000,78.2107,76.5889,262,135,78.2107,76.5889,81.4543,0,0,0,,,,5741,5717,5721,
2012/05/23,20.05,20.25,19.80,19.95,-0.10,-0.4988,19.7100,19.6200,,,,1319.0000,1231.5000,5777,5730,5722,68.1183,69.8335,72.5000,76.3071,76.4950,118,113,76.3071,76.4950,75.9314,0,0,0,,,,5777,5730,5722,
2012/05/24,19.80,19.80,19.55,19.55,-0.40,-2.005,19.7200,19.5700,,,,1224.0000,1208.5000,5797,5747,5729,55.8148,64.8880,52.5000,68.3714,73.7871,95,118,68.3714,73.7871,57.5400,0,0,0,,,,5797,5747,5729,
2012/05/25,19.50,19.65,18.80,18.90,-0.65,-3.3248,19.6100,19.5700,,,,1125.0000,1223.2000,5797,5765,5738,41.2768,57.6506,15.7895,50.8441,66.1395,99,126,50.8441,66.1395,20.2534,0,0,0,,,,5797,5765,5738,
2012/05/28,19.50,20.20,19.50,20.20,1.30,6.8783,19.7300,19.6700,18.7850,,,2026.0000,1317.0000,5745,5771,5741,63.8654,65.9394,84.2105,61.9662,64.7484,901,295,61.9662,64.7484,56.4020,0,0,0,,,,5745,5771,5741,
2012/05/29,20.50,21.60,20.50,21.60,1.40,6.9307,20.0400,19.8300,19.0225,,,3881.0000,1564.8000,5688,5761,5739,75.8637,72.3072,100.0000,74.6442,68.0470,1855,613,74.6442,68.0470,87.8385,0,0,0,,,,5688,5761,5739,
2012/05/30,21.60,23.10,21.00,22.50,0.90,4.1667,20.5500,20.1300,19.2950,,,6124.0000,2059.9000,6238,5853,5792,80.7854,75.5171,86.0465,78.4449,71.5130,2243,1038,78.4449,71.5130,92.3089,0,0,0,,,,6238,5853,5792,
