ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,18.20,18.60,18.20,18.40,0.00,0.00,,,,,,0.0000,,201,,,,,,,,62,,,,,0,,,,,,201,,,
2012/06/20,18.30,18.40,18.15,18.20,-0.20,-1.087,,,,,,-22.0000,,204,,,,,,,,22,,,,,0,,,,,,204,,,
2012/06/21,18.20,18.30,18.00,18.30,0.10,0.5495,,,,,,6.0000,,206,,,,,,,,28,,,,,0,,,,,,206,,,
2012/06/22,18.20,18.45,18.05,18.40,0.10,0.5464,,,,,,56.0000,,204,,,,,,,,50,,,,,0,,,,,,204,,,
2012/06/25,18.40,18.40,18.35,18.40,0.00,0.00,18.3400,,,,,56.0000,,203,204,,,,,,,4,33,,,,0,0,,,,,203,204,,
2012/06/26,18.40,18.40,17.60,18.00,-0.40,-2.1739,18.2600,,,,,-38.0000,,198,204,,,,,,,94,39,,,,0,0,,,,,198,204,,
2012/06/27,18.00,18.00,17.60,17.80,-0.20,-1.1111,18.1800,,,,,-82.0000,,197,202,,20.0000,,,,,44,44,,,,0,0,,,,,197,202,,
2012/06/28,17.70,17.75,17.50,17.75,-0.05,-0.2809,18.0700,,,,,-126.0000,,194,200,,18.8679,,,,,44,47,,,,0,0,,,,,194,200,,
2012/06/29,17.50,17.75,17.50,17.70,-0.05,-0.2817,17.9300,,,,,-143.0000,,194,198,,17.6678,,18.1818,39.3939,46.4646,17,40,39.3939,46.4646,25.2525,0,0,,,,,194,198,,
2012/07/02,17.70,17.80,17.60,17.70,0.00,0.00,17.7900,18.0650,,,,-143.0000,-43.6000,193,196,200,17.6678,,21.0526,33.2802,42.0698,22,44,33.2802,42.0698,15.7009,0,0,0,,,,193,196,200,
2012/07/03,17.80,17.80,17.35,17.65,-0.05,-0.2825,17.7200,17.9900,,,,-244.0000,-68.0000,192,195,199,16.1854,,27.2727,31.2777,38.4724,101,45,31.2777,38.4724,16.8882,0,0,0,,,,192,195,199,
2012/07/04,17.65,17.80,17.40,17.60,-0.05,-0.2833,17.6800,17.9300,,,,-287.0000,-94.5000,191,193,198,14.7048,,22.7273,28.4276,35.1241,43,45,28.4276,35.1241,15.0344,0,0,0,,,,191,193,198,
2012/07/05,17.45,17.45,17.20,17.20,-0.40,-2.2727,17.5700,17.8200,,,,-375.0000,-132.6000,188,192,196,7.8294,12.5000,0.0000,18.9517,29.7333,88,54,18.9517,29.7333,-2.6116,0,0,0,,,,188,192,196,
2012/07/06,17.20,17.20,16.90,17.20,0.00,0.00,17.4700,17.7000,,,,-375.0000,-175.7000,184,190,194,7.8294,12.5000,20.0000,19.3011,26.2559,48,60,19.3011,26.2559,5.3915,0,0,0,,,,184,190,194,
2012/07/09,17.20,17.20,17.20,17.20,0.00,0.00,17.3700,17.5800,,,,-375.0000,-218.8000,184,188,192,7.8294,12.5000,27.2727,21.9583,24.8234,38,63,21.9583,24.8234,16.2282,0,0,0,,,,184,188,192,
2012/07/10,17.20,17.40,17.00,17.40,0.20,1.1628,17.3200,17.5200,,,,-318.0000,-246.8000,184,187,191,34.3503,24.7172,55.5556,33.1574,27.6014,57,54,33.1574,27.6014,44.2694,0,0,0,,,,184,187,191,
2012/07/11,17.35,17.40,17.00,17.15,-0.25,-1.4368,17.2300,17.4550,,,,-359.0000,-274.5000,184,185,189,23.9943,20.7638,27.7778,31.3642,28.8557,41,54,31.3642,28.8557,36.3813,0,0,0,,,,184,185,189,
2012/07/12,17.15,17.30,17.00,17.15,0.00,0.00,17.2200,17.3950,,,,-359.0000,-297.8000,165,181,186,23.9943,20.7638,27.7778,30.1687,29.2934,54,47,30.1687,29.2934,31.9195,0,0,0,,,,165,181,186,
2012/07/13,17.10,17.30,17.10,17.30,0.15,0.8746,17.2400,17.3550,,,,-273.0000,-310.8000,165,177,184,39.7011,28.8857,44.4444,34.9273,31.1713,86,55,34.9273,31.1713,42.4392,0,0,0,,,,165,177,184,
2012/07/16,17.20,17.45,17.20,17.35,0.05,0.289,17.2700,17.3200,17.6925,,,-257.0000,-322.2000,165,173,181,44.3049,31.4411,50.0000,39.9515,34.0981,16,50,39.9515,34.0981,51.6585,0,0,0,,,,165,173,181,
2012/07/17,17.30,17.30,17.00,17.30,-0.05,-0.2882,17.2500,17.2850,17.6375,,,-276.0000,-325.4000,165,169,178,40.5864,30.2551,72.7273,50.8768,39.6910,19,43,50.8768,39.6910,73.2484,0,0,0,,,,165,169,178,
2012/07/18,17.30,17.30,17.00,17.25,-0.05,-0.289,17.2700,17.2500,17.5900,,,-310.0000,-327.7000,165,166,175,36.8727,29.0592,63.6364,55.1300,44.8373,34,41,55.1300,44.8373,75.7153,0,0,0,,,,165,166,175,
