ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,31.25,32.00,30.60,31.00,0.00,0.00,,,,,,0.0000,,3429,,,,,,,,995,,,,,241,,,,,,14145,,,
2012/06/29,31.25,31.25,30.40,30.60,-0.40,-1.2903,,,,,,-593.0000,,3437,,,,,,,,593,,,,,239,,,,,,13821,,,
2012/07/02,31.30,31.30,30.70,30.90,0.30,0.9804,,,,,,-47.0000,,3440,,,,,,,,546,,,,,242,,,,,,13817,,,
2012/07/03,30.90,31.65,30.90,31.35,0.45,1.4563,,,,,,533.0000,,3458,,,,,,,,580,,,,,234,,,,,,13826,,,
2012/07/04,31.40,31.80,31.30,31.65,0.30,0.9569,31.1000,,,,,1398.0000,,3475,3448,,,,,,,865,715,,,,233,238,,,,,13842,13891,,
2012/07/05,31.65,31.70,31.10,31.10,-0.55,-1.7378,31.1200,,,,,784.0000,,3423,3447,,,,,,,614,639,,,,228,235,,,,,13785,13819,,
2012/07/06,31.05,31.05,30.60,30.80,-0.30,-0.9646,31.1600,,,,,451.0000,,3423,3444,,45.6522,,,,,333,587,,,,164,220,,,,,13721,13799,,
2012/07/09,30.80,30.80,30.20,30.20,-0.60,-1.9481,31.0200,,,,,124.0000,,3326,3421,,34.7682,,,,,327,543,,,,150,202,,,,,13540,13743,,
2012/07/10,30.80,30.80,30.05,30.10,-0.10,-0.3311,30.7700,,,,,-269.0000,,3262,3382,,33.1858,,2.5641,34.1880,44.7293,393,506,34.1880,44.7293,13.1054,160,187,,,,,13486,13675,,
2012/07/11,30.10,30.80,29.75,30.80,0.70,2.3256,30.6000,30.8500,,,,305.0000,268.6000,3262,3339,3394,51.6645,,51.2195,39.8652,43.1080,574,448,39.8652,43.1080,33.3797,166,174,206,,,,13492,13605,13748,
2012/07/12,29.75,30.20,29.50,29.50,-1.30,-4.2208,30.2800,30.7000,,,,-412.0000,227.4000,3271,3309,3378,31.9637,,0.0000,26.5768,37.5976,717,468,26.5768,37.5976,4.5352,127,153,194,,,,13462,13541,13680,
