ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2010/07/13,16.50,17.10,16.50,16.70,0.00,0.00,,,,,,0.0000,,1670,,,,,,,,192,,,,,0,,,,,,1670,,,
2010/07/14,16.95,17.30,16.85,16.95,0.25,1.497,,,,,,287.0000,,1670,,,,,,,,287,,,,,0,,,,,,1670,,,
2010/07/15,17.00,17.80,17.00,17.40,0.45,2.6549,,,,,,646.0000,,1670,,,,,,,,359,,,,,0,,,,,,1670,,,
2010/07/16,17.30,17.35,16.85,16.85,-0.55,-3.1609,,,,,,394.0000,,1656,,,,,,,,252,,,,,0,,,,,,1656,,,
2010/07/19,16.60,17.05,16.50,16.85,0.00,0.00,16.9500,,,,,394.0000,,1656,1665,,,,,,,96,237,,,,0,0,,,,,1656,1665,,
2010/07/20,16.55,17.10,16.55,16.70,-0.15,-0.8902,16.9500,,,,,305.0000,,1656,1662,,,,,,,89,216,,,,0,0,,,,,1656,1662,,
2010/07/21,16.70,16.90,16.55,16.60,-0.10,-0.5988,16.8800,,,,,177.0000,,1666,1661,,46.6667,,,,,128,184,,,,0,0,,,,,1666,1661,,
2010/07/22,16.50,16.80,16.40,16.50,-0.10,-0.6024,16.7000,,,,,26.0000,,1666,1660,,43.2099,,,,,151,143,,,,0,0,,,,,1666,1660,,
2010/07/23,16.75,16.80,16.50,16.55,0.05,0.303,16.6400,,,,,219.0000,,1673,1664,,45.6265,,10.7143,36.9048,45.6349,193,131,36.9048,45.6349,19.4444,0,0,,,,,1673,1664,,
2010/07/26,16.80,16.80,16.40,16.50,-0.05,-0.3021,16.5700,16.7600,,,,57.0000,250.5000,1673,1667,1666,43.4098,,7.1429,26.9841,39.4180,162,144,26.9841,39.4180,2.1164,0,0,0,,,,1673,1667,1666,
2010/07/27,16.50,16.75,16.50,16.55,0.05,0.303,16.5400,16.7450,,,,140.0000,264.5000,1673,1670,1666,46.5272,,10.7143,21.5608,33.4656,83,143,21.5608,33.4656,-2.2487,0,0,0,,,,1673,1670,1666,
2010/07/28,16.55,16.75,16.50,16.50,-0.05,-0.3021,16.5200,16.7000,,,,-29.0000,232.9000,1679,1673,1667,43.6422,,10.5263,17.8827,28.2713,169,151,17.8827,28.2713,-2.8946,0,0,0,,,,1679,1673,1667,
2010/07/29,16.50,16.75,16.40,16.45,-0.05,-0.303,16.5100,16.6050,,,,-199.0000,148.4000,1679,1676,1668,40.6198,43.2432,7.1429,14.3027,23.6151,170,155,14.3027,23.6151,-4.3220,0,0,0,,,,1679,1676,1668,
2010/07/30,16.45,16.70,16.20,16.50,0.05,0.304,16.5000,16.5700,,,,25.0000,111.5000,1679,1677,1670,45.1760,44.8687,33.3333,20.6463,22.6255,224,161,20.6463,22.6255,16.6878,0,0,0,,,,1679,1677,1670,
2010/08/02,16.50,16.75,16.35,16.40,-0.10,-0.6061,16.4800,16.5250,,,,-193.0000,52.8000,1679,1678,1673,38.1506,42.2299,28.5714,23.2880,22.8463,218,172,23.2880,22.8463,24.1713,0,0,0,,,,1679,1678,1673,
2010/08/03,16.40,16.60,16.20,16.40,0.00,0.00,16.4500,16.4950,,,,-193.0000,3.0000,1680,1679,1675,38.1506,42.2299,33.3333,26.6364,24.1097,238,203,26.6364,24.1097,31.6899,0,0,0,,,,1680,1679,1675,
2010/08/04,16.25,16.55,16.20,16.30,-0.10,-0.6098,16.4100,16.4650,,,,-359.0000,-50.6000,1680,1680,1676,31.1704,39.4676,16.6667,23.3132,23.8442,166,203,23.3132,23.8442,22.2512,0,0,0,,,,1680,1680,1676,
2010/08/05,16.10,16.35,16.00,16.00,-0.30,-1.8405,16.3200,16.4150,,,,-551.0000,-108.3000,1690,1682,1679,18.7923,32.5083,0.0000,15.5421,21.0768,192,207,15.5421,21.0768,4.4727,0,0,0,,,,1690,1682,1679,
2010/08/06,16.35,16.35,16.00,16.20,0.20,1.25,16.2600,16.3800,,,,-424.0000,-172.6000,1690,1684,1680,38.3711,40.1796,26.6667,19.2503,20.4680,127,188,19.2503,20.4680,16.8149,0,0,0,,,,1690,1684,1680,
