ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/06/18,38.00,43.20,38.00,39.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,300,,,,,0,,,,,,0,,,
2014/06/19,39.10,39.20,37.36,38.01,-1.49,-3.7722,,,,,,-164.0000,,0,,,,,,,,164,,,,,0,,,,,,0,,,
2014/06/20,38.14,38.14,35.81,36.29,-1.72,-4.5251,,,,,,-223.0000,,0,,,,,,,,59,,,,,0,,,,,,0,,,
2014/06/23,36.22,36.22,34.60,35.15,-1.14,-3.1414,,,,,,-281.0000,,0,,,,,,,,58,,,,,0,,,,,,0,,,
2014/06/24,34.51,34.70,32.00,32.70,-2.45,-6.9701,36.3300,,,,,-347.0000,,0,0,,,,,,,66,129,,,,0,0,,,,,0,0,,
2014/06/25,33.30,36.50,33.30,36.19,3.49,10.6728,35.6680,,,,,-319.0000,,0,0,,,,,,,28,75,,,,0,0,,,,,0,0,,
2014/06/26,36.50,36.50,35.40,35.90,-0.29,-0.8013,35.2460,,,,,-444.0000,,0,0,,32.9868,,,,,125,67,,,,0,0,,,,,0,0,,
2014/06/27,35.90,36.30,35.60,35.60,-0.30,-0.8357,35.1080,,,,,-477.0000,,0,0,,31.9013,,,,,33,62,,,,0,0,,,,,0,0,,
2014/06/30,35.90,36.66,35.50,36.66,1.06,2.9775,35.4100,,,,,-397.0000,,0,0,,40.2394,,41.6071,47.2024,49.0675,80,66,47.2024,49.0675,43.4722,0,0,,,,,0,0,,
2014/07/01,36.90,40.50,36.90,39.92,3.26,8.8925,36.8540,36.5920,,,,-190.0000,-284.2000,0,0,0,58.8391,,93.1765,62.5271,53.5540,207,94,62.5271,53.5540,80.4732,0,0,0,,,,0,0,0,
2014/07/02,39.50,39.60,36.80,36.91,-3.01,-7.5401,36.9980,36.3330,,,,-355.0000,-319.7000,0,0,0,43.7516,,57.7647,60.9396,56.0159,165,122,60.9396,56.0159,70.7871,0,0,0,,,,0,0,0,
2014/07/03,37.20,37.79,37.00,37.50,0.59,1.5985,37.3180,36.2820,,,,-266.0000,-329.9000,0,0,0,46.9512,,64.7059,62.1950,58.0756,89,114,62.1950,58.0756,70.4339,0,0,0,,,,0,0,0,
2014/07/04,37.21,37.74,36.88,36.88,-0.62,-1.6533,37.5740,36.3410,,,,-376.0000,-345.2000,0,0,0,43.8088,43.2544,57.4118,60.6006,58.9173,110,130,60.6006,58.9173,63.9673,0,0,0,,,,0,0,0,
2014/07/07,36.89,37.37,36.81,37.30,0.42,1.1388,37.7020,36.5560,,,,-344.0000,-351.5000,0,0,0,46.7082,44.5623,55.5556,58.9189,58.9178,32,120,58.9189,58.9178,58.9211,0,0,0,,,,0,0,0,
2014/07/08,37.10,38.69,37.00,37.25,-0.05,-0.134,37.1680,37.0110,,,,-453.0000,-362.1000,0,0,0,46.3665,44.4293,36.2745,51.3708,56.4021,109,101,51.3708,56.4021,41.3081,0,0,0,,,,0,0,0,
2014/07/09,37.49,37.49,37.00,37.40,0.15,0.4027,37.2660,37.1320,,,,-402.0000,-370.4000,0,0,0,47.7431,44.9669,38.0000,46.9139,53.2394,51,78,46.9139,53.2394,34.2628,0,0,0,,,,0,0,0,
2014/07/10,37.59,38.80,37.50,38.10,0.70,1.8717,37.3860,37.3520,,,,-297.0000,-355.7000,0,0,0,54.3102,47.5497,52.0000,48.6092,51.6960,105,81,48.6092,51.6960,42.4357,0,0,0,,,,0,0,0,
2014/07/11,38.99,38.99,37.30,37.60,-0.50,-1.3123,37.5300,37.5520,,,,-359.0000,-343.9000,0,0,0,49.0289,45.8721,21.6216,39.6134,47.6685,62,71,39.6134,47.6685,23.5032,0,0,0,,,,0,0,0,
2014/07/14,37.60,37.61,37.43,37.61,0.01,0.0266,37.5920,37.6470,,,,-352.0000,-339.4000,0,0,0,49.1476,45.9138,28.9286,36.0518,43.7962,7,66,36.0518,43.7962,20.5629,0,0,0,,,,0,0,0,
2014/07/15,37.50,37.50,37.19,37.19,-0.42,-1.1167,37.5800,37.3740,36.9830,,,-376.0000,-358.0000,0,0,0,43.9858,44.3508,17.4312,29.8449,39.1458,24,49,29.8449,39.1458,11.2432,0,0,0,,,,0,0,0,
2014/07/16,37.49,37.49,36.81,37.00,-0.19,-0.5109,37.5000,37.3830,36.8580,,,-423.0000,-364.8000,0,0,0,41.6133,43.6180,8.7156,22.8018,33.6978,47,49,22.8018,33.6978,1.0098,0,0,0,,,,0,0,0,
2014/07/17,37.19,37.20,36.01,36.80,-0.20,-0.5405,37.2400,37.3130,36.7975,,,-465.0000,-384.7000,0,0,0,38.9589,42.8058,26.5101,24.0379,30.4778,42,36,24.0379,30.4778,11.1580,0,0,0,,,,0,0,0,
2014/07/18,36.89,36.90,36.89,36.90,0.10,0.2717,37.1000,37.3150,36.8280,,,-462.0000,-393.3000,0,0,0,41.2090,43.3808,29.8658,25.9805,28.9787,3,24,25.9805,28.9787,19.9841,0,0,0,,,,0,0,0,
2014/07/21,36.89,37.30,36.89,37.30,0.40,1.084,37.0380,37.3150,36.9355,,,-417.0000,-400.6000,0,0,0,50.0474,45.7605,43.2886,31.7499,29.9024,45,32,31.7499,29.9024,35.4447,0,0,0,,,,0,0,0,
