ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/06/26,118.28,150.00,85.00,145.25,0.00,0.00,,,,,,0.0000,,0,,,,,,,,3758,,,,,0,,,,,,0,,,
2014/06/27,145.26,174.99,140.00,169.99,24.74,17.0327,,,,,,2235.0000,,0,,,,,,,,2235,,,,,0,,,,,,0,,,
2014/06/30,166.01,169.99,166.00,166.01,-3.98,-2.3413,,,,,,1869.0000,,0,,,,,,,,366,,,,,0,,,,,,0,,,
2014/07/01,165.50,167.99,148.00,148.01,-18.00,-10.8427,,,,,,885.0000,,0,,,,,,,,984,,,,,0,,,,,,0,,,
2014/07/02,152.00,155.80,135.01,138.10,-9.91,-6.6955,153.4720,,,,,-366.0000,,0,0,,,,,,,1251,1718,,,,0,0,,,,,0,0,,
2014/07/03,136.01,140.99,108.00,119.50,-18.60,-13.4685,148.3220,,,,,-2237.0000,,0,0,,,,,,,1871,1341,,,,0,0,,,,,0,0,,
2014/07/04,122.99,131.99,109.51,129.99,10.49,8.7782,140.3220,,,,,-979.0000,,0,0,,41.0989,,,,,1258,1146,,,,0,0,,,,,0,0,,
2014/07/07,129.99,131.99,124.00,131.99,2.00,1.5386,133.5180,,,,,-457.0000,,0,0,,42.7031,,,,,522,1177,,,,0,0,,,,,0,0,,
2014/07/08,126.01,130.99,118.76,124.99,-7.00,-5.3034,128.9140,,,,,-847.0000,,0,0,,38.3198,,44.4383,48.1461,49.3820,390,1058,48.1461,49.3820,45.6742,0,0,,,,,0,0,,
2014/07/09,125.00,136.83,124.00,136.83,11.84,9.4728,128.6600,141.0660,,,,-372.0000,-26.9000,0,0,0,48.9548,,43.0363,46.4428,48.4023,475,903,46.4428,48.4023,42.5239,0,0,0,,,,0,0,0,
2014/07/10,136.00,137.88,128.26,129.50,-7.33,-5.357,130.6600,139.4910,,,,-700.0000,-96.9000,0,0,0,43.3960,,34.6830,42.5229,46.4425,328,594,42.5229,46.4425,34.6837,0,0,0,,,,0,0,0,
2014/07/11,132.99,132.99,120.00,123.99,-5.51,-4.2548,129.4600,134.8910,,,,-1004.0000,-420.8000,0,0,0,39.3641,,26.6544,37.2334,43.3728,304,403,37.2334,43.3728,24.9546,0,0,0,,,,0,0,0,
2014/07/14,120.00,122.00,117.81,118.50,-5.49,-4.4278,126.7620,130.1400,,,,-1412.0000,-748.9000,0,0,0,35.4285,39.2906,21.9665,32.1444,39.6300,408,381,32.1444,39.6300,17.1733,0,0,0,,,,0,0,0,
2014/07/15,121.99,121.99,118.01,119.40,0.90,0.7595,125.6440,127.2790,,,,-1170.0000,-954.4000,0,0,0,36.6740,39.7641,34.5559,32.9483,37.4028,242,351,32.9483,37.4028,24.0393,0,0,0,,,,0,0,0,
2014/07/16,121.99,123.00,118.01,118.60,-0.80,-0.67,121.9980,125.3290,,,,-1587.0000,-1076.5000,0,0,0,35.9347,39.4656,32.0409,32.6458,35.8171,417,339,32.6458,35.8171,26.3032,0,0,0,,,,0,0,0,
2014/07/17,118.01,120.00,113.06,117.50,-1.10,-0.9275,119.5980,125.1290,,,,-1793.0000,-1032.1000,0,0,0,34.7778,39.0262,17.8888,27.7268,33.1203,206,315,27.7268,33.1203,16.9397,0,0,0,,,,0,0,0,
2014/07/18,112.11,115.99,103.00,110.00,-7.50,-6.383,116.8000,123.1300,,,,-2252.0000,-1159.4000,0,0,0,27.5272,36.0411,20.0688,25.1741,30.4716,459,346,25.1741,30.4716,14.5792,0,0,0,,,,0,0,0,
2014/07/21,110.00,110.00,104.00,106.00,-4.00,-3.6364,114.3000,120.5310,,,,-2545.0000,-1368.2000,0,0,0,24.2866,34.5055,8.6009,19.6497,26.8643,293,323,19.6497,26.8643,5.2206,0,0,0,,,,0,0,0,
2014/07/22,106.49,106.49,91.21,100.00,-6.00,-5.6604,110.4200,118.0320,,,,-3107.0000,-1594.2000,0,0,0,20.0401,32.2566,18.8344,19.3779,24.3689,562,387,19.3779,24.3689,9.3961,0,0,0,,,,0,0,0,
2014/07/24,98.00,100.99,88.00,95.00,-5.00,-5.00,105.7000,113.8490,127.4575,,,-3615.0000,-1918.5000,0,0,0,17.0576,30.4523,15.5590,18.1050,22.2809,508,405,18.1050,22.2809,9.7531,0,0,0,,,,0,0,0,
2014/07/25,88.00,91.56,82.66,85.00,-10.00,-10.5263,99.2000,109.3990,124.4450,,,-4546.0000,-2303.1000,0,0,0,12.5684,27.1401,5.8007,14.0035,19.5218,931,550,14.0035,19.5218,2.9671,0,0,0,,,,0,0,0,
2014/07/28,82.19,86.49,77.91,80.50,-4.50,-5.2941,93.3000,105.0500,119.9705,,,-5071.0000,-2709.8000,0,0,0,11.0044,25.7644,5.7441,11.2504,16.7646,525,563,11.2504,16.7646,0.2219,0,0,0,,,,0,0,0,
2014/07/29,80.00,92.99,75.00,92.99,12.49,15.5155,90.6980,102.4990,116.3195,,,-4643.0000,-3032.9000,0,0,0,37.0810,35.6420,37.4792,19.9933,17.8409,428,590,19.9933,17.8409,24.2982,0,0,0,,,,0,0,0,
2014/07/30,93.00,96.30,90.00,92.50,-0.49,-0.5269,89.1980,99.8090,113.5440,,,-4890.0000,-3404.9000,0,0,0,36.5765,35.4402,38.8889,26.2918,20.6579,247,527,26.2918,20.6579,37.5598,0,0,0,,,,0,0,0,
2014/07/31,92.50,93.99,88.00,93.99,1.49,1.6108,88.9960,97.3480,111.3385,,,-4689.0000,-3715.1000,0,0,0,39.5765,36.6305,46.3284,32.9707,24.7621,201,466,32.9707,24.7621,49.3878,0,0,0,,,,0,0,0,
2014/08/01,92.00,92.00,88.01,90.28,-3.71,-3.9472,90.0520,94.6260,109.8775,,,-4863.0000,-4022.1000,0,0,0,34.6757,34.8835,43.6571,36.5328,28.6857,174,315,36.5328,28.6857,52.2271,0,0,0,,-18.6387,,0,0,0,
2014/08/04,91.00,95.25,89.73,91.09,0.81,0.8972,92.1700,92.7350,107.9325,,,-4615.0000,-4258.4000,0,0,0,36.7284,35.6149,51.0956,41.3871,32.9195,248,259,41.3871,32.9195,58.3223,0,0,0,,-17.9135,,0,0,0,
2014/08/05,91.30,93.14,91.02,92.49,1.40,1.5369,92.0700,91.3840,105.9575,,,-4464.0000,-4450.3000,0,0,0,40.5998,36.9501,67.2951,50.0231,38.6207,151,204,50.0231,38.6207,72.8279,0,0,0,,-17.0295,,0,0,0,
2014/08/06,91.85,93.29,88.50,93.29,0.80,0.865,92.2280,90.7130,104.3725,,,-3978.0000,-4537.4000,0,0,0,42.9917,37.7548,85.8685,61.9716,46.4043,486,252,61.9716,46.4043,93.1061,0,0,0,,-16.0790,,0,0,0,
2014/08/07,92.00,93.58,90.51,92.00,-1.29,-1.3828,91.8300,90.4130,102.1310,,,-4136.0000,-4589.5000,0,0,0,39.8840,36.9258,79.8122,67.9185,53.5757,158,243,67.9185,53.5757,96.6040,0,0,0,,-15.2539,,0,0,0,
2014/08/08,92.01,93.00,89.00,91.29,-0.71,-0.7717,92.0320,91.0420,100.2205,,,-4430.0000,-4577.9000,0,0,0,38.0667,36.4453,76.4789,70.7719,59.3078,294,267,70.7719,59.3078,93.7002,0,0,0,,-14.4904,,0,0,0,
2014/08/11,90.21,91.99,89.70,90.00,-1.29,-1.4131,91.8140,91.9920,98.5210,,,-4737.0000,-4544.5000,0,0,0,34.6266,35.5289,24.0964,55.2134,57.9430,307,279,55.2134,57.9430,49.7543,0,0,0,,-13.8299,,0,0,0,
2014/08/12,90.00,90.00,81.71,84.29,-5.71,-6.3444,90.1740,91.1220,96.8105,,,-5181.0000,-4598.3000,0,0,0,23.3962,31.6824,19.0547,43.1605,53.0155,444,337,43.1605,53.0155,23.4505,0,0,0,,-13.6103,,0,0,0,
2014/08/13,83.01,86.50,79.82,85.00,0.71,0.8423,88.5160,90.3720,95.0905,,,-4930.0000,-4602.3000,0,0,0,26.9322,32.6712,33.5710,39.9640,48.6650,251,290,39.9640,48.6650,22.5620,0,0,0,4.6739,-13.2265,-15.5635,0,0,0,
2014/08/14,84.20,84.20,81.78,82.70,-2.30,-2.7059,86.6560,89.2430,93.2955,,,-5059.0000,-4639.3000,0,0,0,22.8348,31.0814,18.6649,32.8643,43.3981,129,285,32.8643,43.3981,11.7967,0,0,0,4.1678,-12.9586,-15.0425,0,0,0,
2014/08/15,82.40,83.19,76.97,80.50,-2.20,-2.6602,84.4980,88.2650,91.4455,,,-5258.0000,-4678.8000,0,0,0,19.4400,29.5795,21.2523,28.9936,38.5966,199,266,28.9936,38.5966,9.7877,0,0,0,3.6256,-12.7765,-14.5893,0,0,0,
2014/08/18,79.65,79.70,66.11,72.77,-7.73,-9.6025,81.0520,86.4330,89.5840,,,-5532.0000,-4770.5000,0,0,0,11.9496,24.9571,24.2446,27.4106,34.8679,274,259,27.4106,34.8679,12.4960,0,0,0,2.3751,-13.1049,-14.2924,0,0,0,
2014/08/19,72.00,78.09,70.80,73.50,0.73,1.0032,78.8940,84.5340,87.9590,,,-5390.0000,-4863.1000,0,0,0,15.6335,26.1461,26.9021,27.2411,32.3257,142,199,27.2411,32.3257,17.0720,0,0,0,1.8206,-13.1546,-14.0649,0,0,0,
2014/08/20,76.62,77.56,73.00,77.56,4.06,5.5238,77.4060,82.9610,86.8370,,,-5314.0000,-4996.7000,0,0,0,34.0488,32.6232,42.5809,32.3544,32.3352,76,164,32.3544,32.3352,32.3926,0,0,0,2.1522,-12.7197,-13.7958,0,0,0,
