ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/11/07,65.78,71.00,63.52,64.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,27,,,,,0,,,,,,0,,,
2014/11/10,61.01,61.01,47.98,50.99,-13.21,-20.5763,,,,,,-95.0000,,0,,,,,,,,95,,,,,0,,,,,,0,,,
2014/11/11,51.00,51.00,48.00,48.99,-2.00,-3.9223,,,,,,-138.0000,,0,,,,,,,,43,,,,,0,,,,,,0,,,
2014/11/12,47.95,48.50,47.95,48.00,-0.99,-2.0208,,,,,,-151.0000,,0,,,,,,,,13,,,,,0,,,,,,0,,,
2014/11/13,48.00,52.39,48.00,52.39,4.39,9.1458,52.9140,,,,,-129.0000,,0,0,,,,,,,22,40,,,,0,0,,,,,0,0,,
2014/11/14,50.51,51.00,50.30,50.30,-2.09,-3.9893,50.1340,,,,,-141.0000,,0,0,,,,,,,12,37,,,,0,0,,,,,0,0,,
2014/11/17,50.20,51.99,50.00,50.90,0.60,1.1928,50.1160,,,,,-82.0000,,0,0,,21.4347,,,,,59,29,,,,0,0,,,,,0,0,,
2014/11/19,51.00,51.90,51.00,51.50,0.60,1.1788,50.6180,,,,,-47.0000,,0,0,,23.7917,,,,,35,28,,,,0,0,,,,,0,0,,
2014/11/20,51.80,52.39,50.63,51.00,-0.50,-0.9709,51.2180,,,,,-62.0000,,0,0,,23.0987,,13.2321,37.7440,45.9147,15,28,37.7440,45.9147,21.4027,0,0,,,,,0,0,,
2014/11/21,52.40,52.40,50.80,51.80,0.80,1.5686,51.1000,52.0070,,,,-33.0000,-87.8000,0,0,0,27.1714,,29.4793,34.9891,42.2728,29,30,34.9891,42.2728,20.4217,0,0,0,,,,0,0,0,
2014/11/24,51.50,52.00,51.50,51.70,-0.10,-0.1931,51.3800,50.7570,,,,-74.0000,-95.2000,0,0,0,26.9573,,84.2697,51.4160,45.3205,41,35,51.4160,45.3205,63.6068,0,0,0,,,,0,0,0,
2014/11/25,51.89,53.99,51.70,53.00,1.30,2.5145,51.8000,50.9580,,,,-31.0000,-88.8000,0,0,0,34.9547,,83.6093,62.1471,50.9294,43,32,62.1471,50.9294,84.5824,0,0,0,,,,0,0,0,
2014/11/26,53.00,53.50,52.95,53.00,0.00,0.00,52.1000,51.3590,,,,-31.0000,-78.1000,0,0,0,34.9547,28.9315,83.4725,69.2555,57.0381,26,30,69.2555,57.0381,93.6904,0,0,0,,,,0,0,0,
2014/11/27,53.90,57.00,53.90,56.69,3.69,6.9623,53.2380,52.2280,,,,17.0000,-61.3000,0,0,0,55.0645,38.2790,95.5714,78.0275,64.0346,48,37,78.0275,64.0346,106.0134,0,0,0,,,,0,0,0,
2014/11/28,56.69,57.49,55.00,56.80,0.11,0.194,54.2380,52.6690,,,,45.0000,-43.9000,0,0,0,55.5560,38.5419,90.7877,82.2809,70.1167,28,37,82.2809,70.1167,106.6094,0,0,0,,,,0,0,0,
