ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/12/04,110.00,111.00,104.00,104.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,52010,,,,,0,,,,,,0,,,
2014/12/05,100.60,110.00,100.60,108.50,4.50,4.3269,,,,,,49300.0000,,0,,,,,,,,49300,,,,,0,,,,,,0,,,
2014/12/08,108.80,109.00,105.50,108.49,-0.01,-0.0092,,,,,,-810.0000,,0,,,,,,,,50110,,,,,0,,,,,,0,,,
2014/12/09,108.49,108.49,104.00,107.00,-1.49,-1.3734,,,,,,-15825.0000,,0,,,,,,,,15015,,,,,0,,,,,,0,,,
2014/12/10,107.49,107.49,104.00,105.00,-2.00,-1.8692,106.5980,,,,,-28325.0000,,0,0,,,,,,,12500,35787,,,,0,0,,,,,0,0,,
2014/12/11,102.00,103.49,102.00,103.49,-1.51,-1.4381,106.4960,,,,,-32325.0000,,0,0,,,,,,,4000,26185,,,,0,0,,,,,0,0,,
2014/12/12,101.00,103.50,101.00,103.00,-0.49,-0.4735,105.3960,,,,,-75125.0000,,0,0,,45.0000,,,,,42800,24885,,,,0,0,,,,,0,0,,
2014/12/15,102.00,102.30,100.50,101.50,-1.50,-1.4563,103.9980,,,,,-114525.0000,,0,0,,38.1356,,,,,39400,22743,,,,0,0,,,,,0,0,,
2014/12/16,101.40,101.50,99.00,100.00,-1.50,-1.4778,102.5980,,,,,-138275.0000,,0,0,,32.2350,,8.3333,36.1111,45.3704,23750,24490,36.1111,45.3704,17.5926,0,0,,,,,0,0,,
2014/12/17,100.00,100.99,100.00,100.97,0.97,0.97,101.7920,104.1950,,,,-130275.0000,-48618.5000,0,0,0,39.4992,,17.9091,30.0438,40.2615,8000,23590,30.0438,40.2615,9.6083,0,0,0,,,,0,0,0,
2014/12/18,99.60,100.99,99.51,100.98,0.01,0.0099,101.2900,103.8930,,,,-109275.0000,-59546.0000,0,0,0,39.5793,,19.8000,26.6292,35.7174,21000,26990,26.6292,35.7174,8.4527,0,0,0,,,,0,0,0,
2014/12/19,100.99,101.39,100.50,101.39,0.41,0.406,100.9680,103.1820,,,,-101775.0000,-74653.5000,0,0,0,43.2755,,25.1844,26.1476,32.5275,7500,19930,26.1476,32.5275,13.3878,0,0,0,,,,0,0,0,
2014/12/22,100.50,104.00,100.50,101.20,-0.19,-0.1874,100.9080,102.4530,,,,-127776.0000,-87350.1000,0,0,0,41.8518,40.3978,25.9128,26.0693,30.3748,26001,17250,26.0693,30.3748,17.4585,0,0,0,,,,0,0,0,
2014/12/23,101.99,104.00,99.61,100.99,-0.21,-0.2075,101.1060,101.8520,,,,-165376.0000,-102305.2000,0,0,0,40.1019,39.7729,39.8000,30.6462,30.4652,37600,20020,30.6462,30.4652,31.0082,0,0,0,,,,0,0,0,
2014/12/24,100.00,104.00,100.00,104.00,3.01,2.9805,101.7120,101.7520,,,,-137476.0000,-113220.3000,0,0,0,65.1583,51.5036,100.0000,53.7642,38.2315,27900,24000,53.7642,38.2315,84.8294,0,0,0,,,,0,0,0,
2014/12/25,101.30,102.75,101.30,102.75,-1.25,-1.2019,102.0660,101.6780,,,,-217776.0000,-131765.4000,0,0,0,53.9183,47.3274,75.0000,60.8428,45.7686,80300,35860,60.8428,45.7686,90.9911,0,0,0,,,,0,0,0,
2014/12/26,102.99,106.00,102.50,104.00,1.25,1.2165,102.5880,101.7780,,,,-132876.0000,-137540.5000,0,0,0,61.8214,51.6080,71.4286,64.3714,51.9695,84900,51340,64.3714,51.9695,89.1750,0,0,0,,,,0,0,0,
2014/12/27,105.99,107.00,105.50,107.00,3.00,2.8846,103.7480,102.3280,,,,-33556.0000,-129443.6000,0,0,0,74.4441,60.0981,100.0000,76.2476,60.0622,99320,66004,76.2476,60.0622,108.6183,0,0,0,,,,0,0,0,
2014/12/29,107.50,108.50,106.70,108.40,1.40,1.3084,105.2300,103.1680,,,,71344.0000,-108481.7000,0,0,0,78.4366,63.3698,98.8877,83.7943,67.9729,104900,79464,83.7943,67.9729,115.4370,0,0,0,,,,0,0,0,
2014/12/30,108.49,110.00,107.50,108.88,0.48,0.4428,106.2060,103.9590,104.0770,,,183564.0000,-77097.8000,0,0,0,79.7388,64.4597,89.2204,85.6030,73.8496,112220,96328,85.6030,73.8496,109.1098,0,0,0,,,,0,0,0,
2014/12/31,109.39,109.49,108.00,109.39,0.51,0.4684,107.5340,104.8000,104.3465,,,253964.0000,-40773.9000,0,0,0,81.1874,65.6446,94.1290,88.4450,78.7147,70400,94348,88.4450,78.7147,107.9055,0,0,0,,,,0,0,0,
2015/01/05,107.00,107.00,101.00,102.35,-7.04,-6.4357,107.2040,104.8960,104.0390,,,195734.0000,-11023.0000,0,0,0,37.1684,43.7034,26.3715,67.7538,75.0611,58230,89014,67.7538,75.0611,53.1393,0,0,0,,,,0,0,0,
2015/01/06,101.15,101.99,98.02,101.95,-0.40,-0.3908,106.1940,104.9710,103.7120,,,188304.0000,20585.0000,0,0,0,35.8434,42.8164,32.8047,56.1041,68.7421,7430,70636,56.1041,68.7421,30.8281,0,0,0,,,,0,0,0,
2015/01/07,101.40,101.50,101.00,101.30,-0.65,-0.6376,104.7740,105.0020,103.4270,,,174244.0000,54547.0000,0,0,0,33.5136,41.3293,27.3790,46.5291,61.3377,14060,52468,46.5291,61.3377,16.9117,0,0,0,,,,0,0,0,
2015/01/08,100.01,100.01,97.01,99.89,-1.41,-1.3919,102.9760,104.5910,103.1715,,,159644.0000,84259.0000,0,0,0,28.6638,38.1904,22.1709,38.4097,53.6951,14600,32944,38.4097,53.6951,7.8389,0,0,0,,,,0,0,0,
2015/01/09,99.95,99.95,97.00,98.00,-1.89,-1.8921,100.6980,104.1160,102.8970,,,130294.0000,119066.0000,0,0,0,23.2516,34.3731,7.6923,28.1706,45.1869,29350,24734,28.1706,45.1869,-5.8621,0,0,0,,-0.7782,,0,0,0,
2015/01/12,97.89,97.89,95.61,96.50,-1.50,-1.5306,99.5280,103.3660,102.5720,,,122494.0000,144603.0000,0,0,0,19.7076,31.6353,6.1849,20.8420,37.0719,7800,14648,20.8420,37.0719,-11.6179,0,0,0,,-1.2149,,0,0,0,
2015/01/13,95.00,96.54,95.00,96.54,0.04,0.0415,98.4460,102.3200,102.3240,,,125164.0000,160475.0000,0,0,0,20.0973,31.7933,10.2667,17.3169,30.4869,2670,13696,17.3169,30.4869,-9.0232,0,0,0,,-1.5400,,0,0,0,
2015/01/14,96.49,96.49,90.73,92.39,-4.15,-4.2987,96.6640,100.7190,101.9435,,,115554.0000,164896.0000,0,0,0,12.5273,25.2000,8.8486,14.4941,25.1560,9610,12806,14.4941,25.1560,-6.8296,0,0,0,,-2.1083,,0,0,0,
2015/01/15,92.39,94.00,92.39,94.00,1.61,1.7426,95.4860,99.2310,101.5950,,,122854.0000,158825.0000,0,0,0,25.5777,31.2353,20.0983,16.3622,22.2247,7300,11346,16.3622,22.2247,4.6372,0,0,0,,-2.4010,,0,0,0,
2015/01/16,93.39,93.39,93.39,93.39,-0.61,-0.6489,94.5640,97.6310,101.2155,,,122754.0000,145704.0000,0,0,0,23.9529,30.2273,23.6234,18.7826,21.0773,100,5496,18.7826,21.0773,14.1931,0,0,0,,-2.6516,,0,0,0,
2015/01/19,92.00,92.50,91.01,92.00,-1.39,-1.4884,93.6640,96.5960,100.7460,,,104654.0000,136596.0000,0,0,0,20.4080,27.9823,11.7920,16.4524,19.5357,18100,7556,16.4524,19.5357,10.2858,0,0,0,,-2.9287,,0,0,0,
2015/01/20,92.39,94.00,90.01,92.00,0.00,0.00,92.7560,95.6010,100.2860,,,104654.0000,128231.0000,0,0,0,20.4080,27.9823,19.9000,17.6016,18.8910,22902,11602,17.6016,18.8910,15.0228,0,0,0,,-3.1123,,0,0,0,
2015/01/21,90.50,91.39,90.50,91.39,-0.61,-0.663,92.5560,94.6100,99.8060,,,98654.0000,120672.0000,0,0,0,18.6626,26.9375,13.8833,16.3622,18.0481,6000,10880,16.3622,18.0481,12.9904,0,0,0,-2.0934,-3.2694,-2.2227,0,0,0,
2015/01/22,90.50,90.98,89.51,90.60,-0.79,-0.8644,91.8760,93.6810,99.1360,,,87304.0000,113438.0000,0,0,0,16.4731,25.5876,13.0072,15.2438,17.1133,11350,11690,15.2438,17.1133,11.5049,0,0,0,-1.9129,-3.4183,-2.4618,0,0,0,
2015/01/23,89.20,89.50,89.05,89.05,-1.55,-1.7108,91.0080,92.7860,98.4510,,,81304.0000,108539.0000,0,0,0,12.9077,23.1090,0.0000,10.1626,14.7964,6000,12870,10.1626,14.7964,0.8949,0,0,0,-1.8524,-3.6196,-2.6934,0,0,0,
2015/01/26,89.00,89.00,89.00,89.00,-0.05,-0.0561,90.4080,92.0360,97.7010,,,79304.0000,104220.0000,0,0,0,12.8005,23.0305,0.0000,6.7750,12.1226,2000,9650,6.7750,12.1226,-3.9201,0,0,0,-1.6747,-3.7400,-2.9027,0,0,0,
2015/01/27,89.50,89.50,88.50,88.98,-0.02,-0.0225,89.8040,91.2800,96.8000,,,60304.0000,97734.0000,0,0,0,12.7496,22.9964,8.7273,7.4258,10.5570,19000,8870,7.4258,10.5570,1.1633,0,0,0,-1.4251,-3.7934,-3.0809,0,0,0,
