ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/21,12.10,12.15,12.10,12.10,0.00,0.00,,,,,,0.0000,,11,,,,,,,,12,,,,,0,,,,,,11,,,
2012/06/22,12.10,12.10,12.05,12.05,-0.05,-0.4132,,,,,,-12.0000,,11,,,,,,,,12,,,,,0,,,,,,11,,,
2012/06/25,12.25,12.25,12.10,12.10,0.05,0.4149,,,,,,6.0000,,11,,,,,,,,18,,,,,0,,,,,,11,,,
2012/06/26,12.25,12.25,12.05,12.05,-0.05,-0.4132,,,,,,1.0000,,11,,,,,,,,5,,,,,0,,,,,,11,,,
2012/06/27,12.25,12.25,12.25,12.25,0.20,1.6598,12.1100,,,,,6.0000,,11,11,,,,,,,5,10,,,,0,0,,,,,11,11,,
2012/06/28,12.20,12.20,12.15,12.15,-0.10,-0.8163,12.1200,,,,,-1.0000,,11,11,,,,,,,7,9,,,,0,0,,,,,11,11,,
2012/07/02,12.40,12.40,12.15,12.15,0.00,0.00,12.1400,,,,,-1.0000,,11,11,,55.5556,,,,,12,9,,,,0,0,,,,,11,11,,
2012/07/03,12.20,12.35,12.20,12.25,0.10,0.823,12.1700,,,,,14.0000,,11,11,,64.9123,,,,,15,8,,,,0,0,,,,,11,11,,
2012/07/04,12.30,12.45,12.25,12.45,0.20,1.6327,12.2500,,,,,34.0000,,11,11,,76.6900,,100.0000,66.6667,55.5556,20,11,66.6667,55.5556,88.8889,0,0,,,,,11,11,,
2012/07/05,12.25,12.25,12.20,12.20,-0.25,-2.008,12.2400,12.1750,,,,25.0000,7.2000,11,11,11,51.0078,,37.5000,56.9444,56.0185,9,12,56.9444,56.0185,58.7963,0,0,0,,,,11,11,11,
2012/07/06,12.15,12.15,12.10,12.10,-0.10,-0.8197,12.2300,12.1750,,,,17.0000,8.9000,11,11,11,43.9440,,12.5000,42.1296,51.3889,8,12,42.1296,51.3889,23.6111,0,0,0,,,,11,11,11,
2012/07/09,12.05,12.05,11.90,11.90,-0.20,-1.6529,12.1800,12.1600,,,,-2.0000,9.9000,11,11,11,32.9821,,0.0000,28.0864,43.6214,19,14,28.0864,43.6214,-2.9835,0,0,0,,,,11,11,11,
2012/07/10,12.00,12.05,11.95,12.05,0.15,1.2605,12.1400,12.1550,,,,4.0000,9.7000,11,11,11,45.2695,48.2759,27.2727,27.8152,38.3527,6,12,27.8152,38.3527,6.7402,0,0,0,,,,11,11,11,
2012/07/11,11.80,11.90,11.70,11.70,-0.35,-2.9046,11.9900,12.1200,,,,-17.0000,7.9000,11,11,11,29.9131,38.2134,0.0000,18.5435,31.7496,21,12,18.5435,31.7496,-7.8688,0,0,0,,,,11,11,11,
2012/07/12,11.70,11.80,11.60,11.60,-0.10,-0.8547,11.8700,12.0550,,,,-52.0000,2.1000,11,11,11,26.7965,35.8822,0.0000,12.3623,25.2872,35,17,12.3623,25.2872,-13.4874,0,0,0,,,,11,11,11,
2012/07/13,11.75,11.75,11.70,11.70,0.10,0.8621,11.7900,12.0100,,,,-43.0000,-2.1000,11,11,11,34.9317,39.8830,11.7647,12.1631,20.9125,9,18,12.1631,20.9125,-5.3356,0,0,0,,,,11,11,11,
2012/07/16,11.60,11.60,11.30,11.30,-0.40,-3.4188,11.6700,11.9250,,,,-62.0000,-8.2000,11,11,11,22.7801,31.3477,0.0000,8.1087,16.6446,19,18,8.1087,16.6446,-8.9629,0,0,0,,,,11,11,11,
2012/07/17,11.30,11.70,11.30,11.40,0.10,0.885,11.5400,11.8400,,,,-44.0000,-14.0000,11,11,11,30.0773,35.1337,10.5263,8.9146,14.0679,18,20,8.9146,14.0679,-1.3920,0,0,0,,,,11,11,11,
2012/07/18,11.30,12.00,11.25,11.80,0.40,3.5088,11.5600,11.7750,,,,-3.0000,-17.7000,11,11,11,51.8965,47.7156,61.1111,26.3134,18.1498,41,24,26.3134,18.1498,42.6408,0,0,0,,,,11,11,11,
2012/07/19,11.70,11.80,11.70,11.70,-0.10,-0.8475,11.5800,11.7250,11.9500,,,-27.0000,-22.9000,11,11,11,47.4541,45.3182,56.2500,36.2923,24.1973,24,22,36.2923,24.1973,60.4823,0,0,0,,,,11,11,11,
2012/07/20,11.70,11.70,11.30,11.65,-0.05,-0.4274,11.5700,11.6800,11.9275,,,-39.0000,-28.5000,11,11,11,45.1359,44.1094,50.0000,40.8615,29.7520,12,22,40.8615,29.7520,63.0805,0,0,0,,,,11,11,11,
2012/07/23,11.65,11.95,11.60,11.75,0.10,0.8584,11.6600,11.6650,11.9125,,,-20.0000,-30.3000,11,11,11,50.8934,47.1832,66.6667,49.4632,36.3224,19,22,49.4632,36.3224,75.7449,0,0,0,,,,11,11,11,
2012/07/24,11.60,11.70,11.40,11.70,-0.05,-0.4255,11.7200,11.6300,11.8925,,,-39.0000,-34.6000,11,11,11,47.8787,45.8090,60.0000,52.9755,41.8734,19,23,52.9755,41.8734,75.1796,0,0,0,,,,11,11,11,
2012/07/25,11.60,11.60,11.55,11.55,-0.15,-1.2821,11.6700,11.6150,11.8675,,,-43.0000,-37.2000,11,11,11,39.4634,41.8226,40.0000,48.6503,44.1324,4,15,48.6503,44.1324,57.6862,0,0,0,,,,11,11,11,
2012/07/26,11.60,11.60,11.50,11.55,0.00,0.00,11.6400,11.6100,11.8325,,,-43.0000,-36.3000,11,11,11,39.4634,41.8226,40.0000,45.7669,44.6772,7,12,45.7669,44.6772,47.9462,0,0,0,,,,11,11,11,
2012/07/27,11.55,11.85,11.50,11.80,0.25,2.1645,11.6700,11.6200,11.8150,,,-12.0000,-33.2000,11,11,11,57.4235,50.3862,73.3333,54.9557,48.1034,31,16,54.9557,48.1034,68.6603,0,0,0,,-0.1840,,11,11,11,
2012/07/30,11.60,11.75,11.00,11.20,-0.60,-5.0847,11.5600,11.6100,11.7675,,,-229.0000,-49.9000,11,11,11,30.9653,36.3697,20.0000,43.3038,46.5035,217,55,43.3038,46.5035,36.9043,0,0,0,,-0.2109,,11,11,11,
2012/07/31,11.35,11.70,11.35,11.60,0.40,3.5714,11.5400,11.6300,11.7350,,,-177.0000,-63.2000,11,11,11,49.5583,47.0768,63.1579,49.9218,47.6430,52,62,49.9218,47.6430,54.4796,0,0,0,,-0.1976,,11,11,11,
2012/08/01,11.50,11.60,11.15,11.45,-0.15,-1.2931,11.5200,11.5950,11.6850,,,-234.0000,-86.3000,11,11,11,44.2013,44.0448,47.3684,49.0707,48.1189,57,72,49.0707,48.1189,50.9743,0,0,0,,-0.1969,,11,11,11,
2012/08/03,11.50,11.55,11.40,11.50,0.05,0.4367,11.5100,11.5750,11.6500,,,-215.0000,-105.1000,11,11,11,46.5139,45.3253,52.6316,50.2577,48.8318,19,75,50.2577,48.8318,53.1094,0,0,0,,-0.1901,,11,11,11,
2012/08/06,11.65,11.65,11.50,11.50,0.00,0.00,11.4500,11.5600,11.6200,,,-215.0000,-122.7000,11,11,11,46.5139,45.3253,58.8235,53.1129,50.2588,40,77,53.1129,50.2588,58.8211,0,0,0,,-0.1826,,11,11,11,
2012/08/07,11.50,11.60,11.50,11.50,0.00,0.00,11.5100,11.5350,11.6000,,,-215.0000,-142.2000,11,11,11,46.5139,45.3253,58.8235,55.0165,51.8447,15,36,55.0165,51.8447,61.3600,0,0,0,,-0.1747,,11,11,11,
2012/08/08,11.60,11.65,11.60,11.60,0.10,0.8696,11.5100,11.5250,11.5775,,,-207.0000,-159.0000,11,11,11,53.2153,48.3918,70.5882,60.2071,54.6322,8,27,60.2071,54.6322,71.3568,0,0,0,,-0.1585,,11,11,11,
2012/08/09,11.60,11.85,11.60,11.75,0.15,1.2931,11.5700,11.5450,11.5800,,,-196.0000,-174.3000,11,11,11,61.8248,52.7302,88.2353,69.5498,59.6047,11,18,69.5498,59.6047,89.4400,0,0,0,0.0975,-0.1321,-0.1808,11,11,11,
2012/08/10,11.70,11.95,11.70,11.95,0.20,1.7021,11.6600,11.5850,11.5975,,,-167.0000,-186.7000,11,11,11,70.5083,57.8803,100.0000,79.6999,66.3031,29,20,79.6999,66.3031,106.4934,0,0,0,0.1391,-0.0939,-0.1634,11,11,11,
2012/08/13,11.80,11.90,11.65,11.90,-0.05,-0.4184,11.7400,11.5950,11.6075,,,-195.0000,-205.0000,11,11,11,66.0042,56.2100,93.7500,84.3832,72.3298,28,18,84.3832,72.3298,108.4901,0,0,0,0.1545,-0.0669,-0.1441,11,11,11,
