ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,12.50,12.60,12.30,12.35,0.00,0.00,,,,,,0.0000,,3739,,,,,,,,95,,,,,0,,,,,,3739,,,
2012/06/29,12.40,12.50,12.30,12.30,-0.05,-0.4049,,,,,,-239.0000,,3747,,,,,,,,239,,,,,0,,,,,,3747,,,
2012/07/02,12.40,12.95,12.35,12.80,0.50,4.065,,,,,,630.0000,,3780,,,,,,,,869,,,,,0,,,,,,3780,,,
2012/07/03,12.90,12.90,12.60,12.60,-0.20,-1.5625,,,,,,331.0000,,3780,,,,,,,,299,,,,,0,,,,,,3780,,,
2012/07/04,12.70,12.70,12.55,12.65,0.05,0.3968,12.5400,,,,,857.0000,,3790,3768,,,,,,,526,405,,,,0,0,,,,,3790,3768,,
2012/07/05,12.70,12.75,12.45,12.45,-0.20,-1.581,12.5600,,,,,580.0000,,3769,3774,,,,,,,277,442,,,,0,0,,,,,3769,3774,,
2012/07/06,12.45,12.45,12.30,12.35,-0.10,-0.8032,12.5700,,,,,352.0000,,3745,3773,,50.0000,,,,,228,439,,,,0,0,,,,,3745,3773,,
2012/07/09,12.20,12.35,12.15,12.15,-0.20,-1.6194,12.4400,,,,,196.0000,,3721,3761,,41.0448,,,,,156,297,,,,0,0,,,,,3721,3761,,
2012/07/10,12.15,12.20,12.00,12.05,-0.10,-0.823,12.3300,,,,,42.0000,,3701,3746,,37.0620,,5.2632,35.0877,45.0292,154,268,35.0877,45.0292,15.2047,0,0,,,,,3701,3746,,
2012/07/11,12.15,12.15,11.95,12.00,-0.05,-0.4149,12.2000,12.3700,,,,-119.0000,263.0000,3697,3727,3747,35.0229,,5.0000,25.0585,38.3723,161,195,25.0585,38.3723,-1.5692,0,0,0,,,,3697,3727,3747,
2012/07/12,12.00,12.10,11.95,12.00,0.00,0.00,12.1100,12.3350,,,,-119.0000,251.1000,3668,3707,3740,35.0229,,5.0000,18.3723,31.7057,160,171,18.3723,31.7057,-8.2943,0,0,0,,,,3668,3707,3740,
2012/07/13,12.00,12.00,11.80,11.85,-0.15,-1.25,12.0100,12.2900,,,,-335.0000,241.5000,3663,3690,3732,28.2973,,4.5455,13.7634,25.7249,216,169,13.7634,25.7249,-10.1597,0,0,0,,,,3663,3690,3732,
2012/07/16,11.95,11.95,11.70,11.70,-0.15,-1.2658,11.9200,12.1800,,,,-439.0000,134.6000,3656,3677,3719,22.9977,31.4286,0.0000,9.1756,20.2085,104,159,9.1756,20.2085,-12.8902,0,0,0,,,,3656,3677,3719,
2012/07/17,11.70,11.85,11.65,11.80,0.10,0.8547,11.8700,12.1000,,,,-280.0000,73.5000,3672,3672,3709,33.0314,35.4523,13.6364,10.6625,17.0265,159,160,10.6625,17.0265,-2.0654,0,0,0,,,,3672,3672,3709,
2012/07/18,11.70,11.80,11.60,11.65,-0.15,-1.2712,11.8000,12.0000,,,,-513.0000,-63.5000,3674,3667,3697,26.7559,32.3464,5.8824,9.0691,14.3740,233,174,9.0691,14.3740,-1.5407,0,0,0,,,,3674,3667,3697,
2012/07/19,11.75,11.95,11.75,11.95,0.30,2.5751,11.7900,11.9500,,,,-181.0000,-139.6000,3751,3684,3695,49.6938,43.2030,46.6667,21.6016,16.7832,332,208,21.6016,16.7832,31.2385,0,0,0,,,,3751,3684,3695,
2012/07/20,11.95,12.05,11.80,11.85,-0.10,-0.8368,11.7900,11.9000,,,,-360.0000,-210.8000,3793,3710,3700,44.1618,40.8209,41.6667,28.2900,20.6188,179,201,28.2900,20.6188,43.6323,0,0,0,,,,3793,3710,3700,
2012/07/23,11.80,11.85,11.65,11.70,-0.15,-1.2658,11.7900,11.8550,,,,-597.0000,-290.1000,3780,3734,3706,36.7898,37.4427,18.1818,24.9206,22.0527,237,228,24.9206,22.0527,30.6563,0,0,0,,,,3780,3734,3706,
2012/07/24,11.70,11.70,11.50,11.65,-0.05,-0.4274,11.7600,11.8150,,,,-770.0000,-371.3000,3794,3759,3715,34.4870,36.3488,25.0000,24.9471,23.0175,173,230,24.9471,23.0175,28.8062,0,0,0,,,,3794,3759,3715,
2012/07/25,11.50,11.65,11.45,11.55,-0.10,-0.8584,11.7400,11.7700,12.0700,,,-966.0000,-456.0000,3800,3784,3725,29.9828,34.1708,16.6667,22.1869,22.7407,196,223,22.1869,22.7407,21.0795,0,0,0,,,,3800,3784,3725,
2012/07/26,11.60,11.70,11.60,11.70,0.15,1.2987,11.6900,11.7400,12.0375,,,-757.0000,-519.8000,3801,3794,3739,43.3099,40.0491,41.6667,28.6802,24.7205,209,198,28.6802,24.7205,36.5995,0,0,0,,,,3801,3794,3739,
2012/07/27,11.75,11.80,11.70,11.75,0.05,0.4274,11.6700,11.7300,12.0100,,,-628.0000,-549.1000,3808,3797,3753,47.3207,41.9346,50.0000,35.7868,28.4093,129,188,35.7868,28.4093,50.5418,0,0,0,,,,3808,3797,3753,
2012/07/30,11.85,11.90,11.70,11.80,0.05,0.4255,11.6900,11.7400,11.9600,,,-440.0000,-549.2000,3815,3804,3769,51.4432,43.8607,58.3333,43.3023,33.3736,188,179,43.3023,33.3736,63.1597,0,0,0,,,,3815,3804,3769,
2012/07/31,11.75,11.85,11.70,11.85,0.05,0.4237,11.7300,11.7450,11.9225,,,-323.0000,-553.5000,3830,3811,3785,55.6116,45.8212,66.6667,51.0904,39.2792,117,167,51.0904,39.2792,74.7128,0,0,0,,,,3830,3811,3785,
2012/08/01,11.80,11.85,11.70,11.85,0.00,0.00,11.7900,11.7650,11.8825,,,-323.0000,-534.5000,3843,3820,3802,55.6116,45.8212,66.6667,56.2825,44.9470,168,162,56.2825,44.9470,78.9536,0,0,0,,,,3843,3820,3802,
2012/08/03,11.70,11.80,11.70,11.70,-0.15,-1.2658,11.7900,11.7400,11.8450,,,-416.0000,-558.0000,3843,3828,3811,40.5672,40.7414,55.5556,56.0402,48.6447,93,139,56.0402,48.6447,70.8311,0,0,0,,-0.2013,,3843,3828,3811,
2012/08/06,11.90,12.00,11.80,12.00,0.30,2.5641,11.8400,11.7550,11.8275,,,-236.0000,-545.6000,3874,3841,3819,63.9640,52.2831,100.0000,70.6935,55.9943,180,149,70.6935,55.9943,100.0918,0,0,0,,-0.1714,,3874,3841,3819,
2012/08/07,12.05,12.05,11.75,11.80,-0.20,-1.6667,11.8400,11.7650,11.8100,,,-468.0000,-532.7000,3907,3860,3832,48.6442,45.7961,58.3333,66.5734,59.5207,232,158,66.5734,59.5207,80.6789,0,0,0,,-0.1619,,3907,3860,3832,
2012/08/08,11.90,11.95,11.80,11.85,0.05,0.4237,11.8400,11.7850,11.8000,,,-347.0000,-490.4000,3919,3878,3844,52.0869,47.5703,55.5556,62.9008,60.6474,121,158,62.9008,60.6474,67.4076,0,0,0,,-0.1487,,3919,3878,3844,
2012/08/09,11.85,12.05,11.85,12.05,0.20,1.6878,11.8800,11.8350,11.8025,,,-164.0000,-410.2000,3894,3888,3854,63.7508,54.1227,100.0000,75.2672,65.5207,183,161,75.2672,65.5207,94.7603,0,0,0,,-0.1207,,3894,3888,3854,
2012/08/10,11.90,12.15,11.90,12.05,0.00,0.00,11.9500,11.8700,11.8050,,,-164.0000,-350.9000,3907,3901,3864,63.7508,54.1227,77.7778,76.1041,69.0485,161,175,76.1041,69.0485,90.2153,0,0,0,,-0.0973,,3907,3901,3864,
2012/08/13,11.85,12.05,11.85,11.90,-0.15,-1.2448,11.9300,11.8850,11.8075,,,-467.0000,-334.8000,3918,3909,3875,50.4791,48.6913,44.4444,65.5509,67.8826,303,200,65.5509,67.8826,60.8874,0,0,0,,-0.0899,,3918,3909,3875,
2012/08/14,11.90,12.25,11.90,12.10,0.20,1.6807,11.9900,11.9150,11.8275,,,-198.0000,-310.6000,3933,3915,3887,62.8525,55.2268,72.7273,67.9430,67.9027,269,207,67.9430,67.9027,68.0235,0,0,0,,-0.0671,,3933,3915,3887,
2012/08/15,12.00,12.10,12.00,12.10,0.00,0.00,12.0400,11.9400,11.8425,,,-198.0000,-298.1000,3935,3918,3898,62.8525,55.2268,72.7273,69.5378,68.4477,150,213,69.5378,68.4477,71.7178,0,0,0,0.1490,-0.0485,-0.1230,3935,3918,3898,
2012/08/16,12.15,12.40,12.00,12.30,0.20,1.6529,12.0900,11.9850,11.8750,,,166.0000,-249.2000,3950,3929,3908,72.6817,61.1205,84.6154,74.5636,70.4864,364,249,74.5636,70.4864,82.7182,0,0,0,0.1689,-0.0174,-0.1019,3950,3929,3908,
2012/08/17,12.55,12.70,12.50,12.55,0.25,2.0325,12.1900,12.0700,11.9050,,,932.0000,-114.4000,3962,3940,3920,80.4436,67.0374,84.2105,77.7793,72.9173,766,370,77.7793,72.9173,87.5031,0,0,0,0.2064,0.0271,-0.0761,3962,3940,3920,
2012/08/20,12.55,12.85,12.55,12.55,0.00,0.00,12.3200,12.1250,11.9400,,,932.0000,2.4000,3958,3948,3929,80.4436,67.0374,71.4286,75.6624,73.8323,536,417,75.6624,73.8323,79.3224,0,0,0,0.2204,0.0617,-0.0485,3958,3948,3929,
2012/08/21,12.55,12.65,12.50,12.55,0.00,0.00,12.4100,12.2000,11.9825,,,932.0000,142.4000,3976,3957,3936,80.4436,67.0374,70.0000,73.7749,73.8132,398,442,73.7749,73.8132,73.6983,0,0,0,0.2185,0.0880,-0.0212,3976,3957,3936,
2012/08/22,12.50,12.90,12.50,12.75,0.20,1.5936,12.5400,12.2900,12.0375,,,1450.0000,322.1000,3982,3966,3942,85.9587,71.5364,85.7143,77.7547,75.1270,518,516,77.7547,75.1270,83.0100,0,0,0,0.2318,0.1237,0.0078,3982,3966,3942,
2012/08/23,12.85,12.90,12.75,12.80,0.05,0.3922,12.6400,12.3650,12.1000,,,1915.0000,530.0000,3647,3905,3917,87.0540,72.5579,90.4762,81.9952,77.4164,465,536,81.9952,77.4164,91.1528,0,0,0,0.2342,0.1541,0.0370,3647,3905,3917,
2012/08/24,13.00,13.30,12.90,13.25,0.45,3.5156,12.7800,12.4850,12.1775,,,2748.0000,821.2000,3660,3845,3892,92.9734,79.7079,96.4286,86.8063,80.5464,833,550,86.8063,80.5464,99.3262,0,0,0,0.2802,0.2122,0.0721,3660,3845,3892,
2012/08/27,13.40,13.45,13.10,13.30,0.05,0.3774,12.9300,12.6250,12.2550,,,3339.0000,1201.8000,3649,3783,3866,93.3772,80.3292,89.6552,87.7559,82.9496,591,561,87.7559,82.9496,97.3687,92,19,9,0.2994,0.2592,0.1095,3741,3802,3875,
2012/08/28,13.30,13.40,13.05,13.40,0.10,0.7519,13.1000,12.7550,12.3350,,,4211.0000,1642.7000,3635,3715,3836,94.1799,81.5608,96.5517,90.6879,85.5290,872,655,90.6879,85.5290,101.0056,99,38,19,0.3065,0.3011,0.1478,3734,3753,3855,
2012/08/29,13.05,13.25,12.70,12.75,-0.65,-4.8507,13.1000,12.8200,12.3800,,,1804.0000,1842.9000,3668,3652,3809,48.4134,56.4830,26.3158,69.2305,80.0962,2407,1033,69.2305,80.0962,47.4992,83,55,28,0.2093,0.2786,0.1740,3751,3707,3837,
2012/08/30,12.75,13.00,12.70,12.85,0.10,0.7843,13.1100,12.8750,12.4300,,,2200.0000,2046.3000,3674,3658,3781,52.6604,58.6185,36.8421,58.4344,72.8756,396,1019,58.4344,72.8756,29.5520,0,55,28,0.1469,0.2658,0.1923,3674,3713,3809,
2012/08/31,12.85,13.20,12.75,12.95,0.10,0.7782,13.0500,12.9150,12.4925,,,2815.0000,2234.6000,3674,3660,3753,56.9167,60.7212,47.3684,54.7457,66.8323,615,976,54.7457,66.8323,30.5726,0,55,28,0.1094,0.2607,0.2060,3674,3716,3780,
2012/09/03,13.00,13.85,13.00,13.85,0.90,6.9498,13.1600,13.0450,12.5850,,,4648.0000,2606.2000,3655,3662,3722,78.1418,73.7947,100.0000,69.8305,67.8317,1833,1224,69.8305,67.8317,73.8281,83,53,36,0.1913,0.3255,0.2299,3738,3715,3758,
2012/09/04,14.05,14.25,13.85,13.90,0.05,0.361,13.2600,13.1800,12.6900,,,6223.0000,3135.3000,3655,3666,3690,78.8368,74.3128,77.4194,72.3601,69.3412,1575,1365,72.3601,69.3412,78.3980,83,50,44,0.2347,0.3766,0.2592,3738,3716,3735,
2012/09/05,13.90,14.00,13.65,13.75,-0.15,-1.0791,13.4600,13.2800,12.7850,,,5524.0000,3542.7000,3714,3675,3663,70.7389,69.7962,67.7419,70.8207,69.8343,699,1023,70.8207,69.8343,72.7935,83,50,53,0.2258,0.4004,0.2875,3797,3725,3716,
2012/09/06,13.60,13.85,13.30,13.60,-0.15,-1.0909,13.6100,13.3600,12.8625,,,4427.0000,3793.9000,3979,3736,3697,62.9763,65.4561,58.0645,66.5686,68.7458,1097,1163,66.5686,68.7458,62.2144,83,67,61,0.1840,0.4025,0.3105,4062,3803,3758,
2012/09/07,13.90,13.95,13.65,13.70,0.10,0.7353,13.7600,13.4050,12.9450,,,5299.0000,4049.0000,3981,3797,3729,65.9643,66.9507,64.5161,65.8845,67.7920,872,1215,65.8845,67.7920,62.0694,83,84,69,0.1552,0.4075,0.3299,4064,3881,3798,
2012/09/10,13.80,14.05,13.70,13.85,0.15,1.0949,13.7600,13.4600,13.0425,,,5881.0000,4303.2000,3989,3864,3763,70.2814,69.1359,74.1935,68.6542,68.0794,582,965,68.6542,68.0794,69.8037,83,84,68,0.1422,0.4187,0.3476,4072,3948,3831,
2012/09/11,13.80,13.85,13.55,13.55,-0.30,-2.1661,13.6900,13.4750,13.1150,,,5459.0000,4428.0000,3991,3931,3798,53.8795,60.4198,54.8387,64.0490,66.7359,422,734,64.0490,66.7359,58.6752,83,84,67,0.0819,0.3989,0.3579,4074,4015,3865,
2012/09/12,13.70,13.75,13.55,13.70,0.15,1.107,13.6800,13.5700,13.1950,,,5853.0000,4832.9000,4049,3998,3836,59.5443,62.9665,63.3333,63.8105,65.7608,394,673,63.8105,65.7608,59.9098,83,84,67,0.0525,0.3907,0.3645,4132,4082,3903,
