ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/01/20,105.26,158.00,105.26,123.99,0.00,0.00,,,,,,0.0000,,0,,,,,,,,201,,,,,0,,,,,,0,,,
2015/01/21,122.99,123.50,119.01,123.00,-0.99,-0.7985,,,,,,-83.0000,,0,,,,,,,,83,,,,,0,,,,,,0,,,
2015/01/22,122.99,123.00,118.00,122.30,-0.70,-0.5691,,,,,,-249.0000,,0,,,,,,,,166,,,,,0,,,,,,0,,,
2015/01/23,122.99,139.99,122.00,135.00,12.70,10.3843,,,,,,149.0000,,0,,,,,,,,398,,,,,0,,,,,,0,,,
2015/01/26,134.50,144.20,132.01,135.99,0.99,0.7333,128.0560,,,,,358.0000,,0,0,,,,,,,209,211,,,,0,0,,,,,0,0,,
2015/01/27,136.00,140.00,134.50,136.50,0.51,0.375,130.5580,,,,,493.0000,,0,0,,,,,,,135,198,,,,0,0,,,,,0,0,,
2015/01/28,136.40,136.40,130.00,131.50,-5.00,-3.663,132.2580,,,,,385.0000,,0,0,,67.9751,,,,,108,203,,,,0,0,,,,,0,0,,
2015/01/29,131.50,134.00,130.00,132.00,0.50,0.3802,134.1980,,,,,412.0000,,0,0,,68.8692,,,,,27,175,,,,0,0,,,,,0,0,,
2015/01/30,129.21,135.99,129.21,132.00,0.00,0.00,133.5980,,,,,412.0000,,0,0,,68.8692,,50.7016,50.2339,50.0780,27,101,50.2339,50.0780,50.5457,0,0,,,,,0,0,,
2015/02/02,133.00,134.49,131.16,133.50,1.50,1.1364,133.1000,130.5780,,,,459.0000,233.6000,0,0,0,72.2199,,59.1603,53.2093,51.1217,47,68,53.2093,51.1217,57.3845,0,0,0,,,,0,0,0,
2015/02/03,134.50,142.00,133.01,140.49,6.99,5.236,133.8980,132.2280,,,,705.0000,304.1000,0,0,0,82.6578,,85.8397,64.0861,55.4432,246,91,64.0861,55.4432,81.3720,0,0,0,,,,0,0,0,
2015/02/04,138.00,140.00,134.00,135.00,-5.49,-3.9078,134.5980,133.4280,,,,581.0000,370.5000,0,0,0,61.0415,,58.5586,62.2436,57.7100,124,94,62.2436,57.7100,71.3108,0,0,0,,,,0,0,0,
2015/02/05,135.96,141.50,135.00,141.50,6.50,4.8148,136.4980,135.3480,,,,778.0000,473.2000,0,0,0,71.5953,70.9100,81.9880,68.8251,61.4150,197,128,68.8251,61.4150,83.6451,0,0,0,,,,0,0,0,
2015/02/06,142.40,151.00,141.50,149.99,8.49,6.00,140.0960,136.8470,,,,1244.0000,582.7000,0,0,0,80.0613,76.1792,95.3648,77.6717,66.8339,466,216,77.6717,66.8339,99.3472,0,0,0,,,,0,0,0,
2015/02/09,150.50,162.99,150.01,159.99,10.00,6.6671,145.3940,139.2470,,,,1724.0000,719.3000,0,0,0,85.9713,80.6767,91.1190,82.1541,71.9406,480,302,82.1541,71.9406,102.5810,0,0,0,,,,0,0,0,
2015/02/10,156.49,159.99,153.50,156.99,-3.00,-1.8751,148.6940,141.2960,,,,1607.0000,830.7000,0,0,0,77.6821,75.9817,82.2380,82.1821,75.3544,117,276,82.1821,75.3544,95.8373,0,0,0,,,,0,0,0,
2015/02/11,156.50,160.99,154.01,160.00,3.01,1.9173,153.6940,144.1460,,,,1709.0000,963.1000,0,0,0,80.0035,77.4200,91.1486,85.1709,78.6266,102,272,85.1709,78.6266,98.2595,0,0,0,,,,0,0,0,
2015/02/12,159.99,171.00,159.00,166.90,6.90,4.3125,158.7740,147.6360,,,,2068.0000,1128.7000,0,0,0,84.4520,80.3610,89.7088,86.6836,81.3123,359,304,86.6836,81.3123,97.4262,0,0,0,,,,0,0,0,
2015/02/13,166.99,168.99,162.01,165.00,-1.90,-1.1384,161.7760,150.9360,,,,1972.0000,1284.7000,0,0,0,78.6690,77.3352,84.2064,85.8578,82.8274,96,230,85.8578,82.8274,91.9186,0,0,0,,,,0,0,0,
2015/02/24,170.00,173.68,167.01,170.00,5.00,3.0303,163.7780,154.5860,142.5820,,,2163.0000,1455.1000,0,0,0,82.4616,79.5461,90.7258,87.4805,84.3785,191,173,87.4805,84.3785,93.6845,0,0,0,,,,0,0,0,
2015/02/25,169.01,171.98,163.00,165.00,-5.00,-2.9412,165.3800,157.0370,144.6325,,,1977.0000,1582.3000,0,0,0,67.9616,71.8953,77.5595,84.1735,84.3101,186,186,84.1735,84.3101,83.9002,0,0,0,,,,0,0,0,
2015/02/26,169.99,169.99,164.00,168.55,3.55,2.1515,167.0900,160.3920,146.9100,,,2020.0000,1726.2000,0,0,0,72.1360,73.8438,84.0584,84.1351,84.2518,43,175,84.1351,84.2518,83.9018,0,0,0,,,,0,0,0,
2015/03/02,166.51,172.99,166.51,171.00,2.45,1.4536,167.9100,163.3420,149.3450,,,2084.0000,1856.8000,0,0,0,74.8499,75.1414,88.6777,85.6493,84.7176,64,116,85.6493,84.7176,87.5126,0,0,0,,,,0,0,0,
2015/03/03,173.49,173.49,167.01,171.00,0.00,0.00,169.1100,165.4430,151.1450,,,2084.0000,1940.8000,0,0,0,74.8499,75.1414,86.7195,86.0060,85.1471,149,126,86.0060,85.1471,87.7239,0,0,0,,,,0,0,0,
2015/03/04,170.46,174.99,169.01,174.99,3.99,2.3333,170.1080,166.9430,153.0950,,,2318.0000,2000.2000,0,0,0,79.5263,77.3219,100.0000,90.6707,86.9883,234,135,90.6707,86.9883,98.0355,0,0,0,,,,0,0,0,
2015/03/05,172.50,183.00,172.50,182.97,7.98,4.5603,173.7020,169.5410,155.4185,,,2655.0000,2105.0000,0,0,0,85.8436,80.9648,99.8750,93.7388,89.2385,337,165,93.7388,89.2385,102.7395,0,0,0,,17.4403,,0,0,0,
2015/03/06,186.00,194.99,185.00,192.50,9.53,5.2085,178.4920,172.7910,158.4685,,,2884.0000,2222.5000,0,0,0,90.1841,84.2590,92.4500,93.3092,90.5954,229,202,93.3092,90.5954,98.7368,0,0,0,,18.2237,,0,0,0,
2015/03/09,193.97,206.50,193.97,194.40,1.90,0.987,183.1720,175.5410,161.5885,,,3215.0000,2337.2000,0,0,0,90.8549,84.8300,72.1839,86.2674,89.1527,331,256,86.2674,89.1527,80.4968,0,0,0,,18.7813,,0,0,0,
2015/03/10,200.89,200.89,183.36,190.99,-3.41,-1.7541,187.1700,178.1400,164.5380,,,3006.0000,2440.6000,0,0,0,79.1981,79.2048,64.3448,78.9599,85.7551,209,268,78.9599,85.7551,65.3695,0,0,0,,18.7322,,0,0,0,
2015/03/11,190.90,190.98,184.01,189.00,-1.99,-1.0419,189.9720,180.0400,167.3130,,,2860.0000,2510.3000,0,0,0,72.6689,75.9965,58.8235,72.2478,81.2527,146,250,72.2478,81.2527,54.2380,0,0,0,,18.3214,,0,0,0,
2015/03/12,190.00,199.99,189.53,194.00,5.00,2.6455,192.1780,182.9400,169.9885,,,2980.0000,2610.6000,0,0,0,78.1100,78.3952,68.7422,71.0792,77.8615,120,207,71.0792,77.8615,57.5147,0,0,0,,18.1897,,0,0,0,
2015/03/13,195.00,195.00,188.02,190.99,-3.01,-1.5515,191.8760,185.1840,172.7880,,,2878.0000,2696.4000,0,0,0,68.2889,73.5672,60.7242,67.6276,74.4502,102,181,67.6276,74.4502,53.9823,0,0,0,,17.6391,,0,0,0,
2015/03/16,193.89,193.89,189.00,192.49,1.50,0.7854,191.4940,187.3330,175.3375,,,2940.0000,2782.0000,0,0,0,70.5065,74.4235,62.6300,65.9617,71.6207,62,127,65.9617,71.6207,54.6438,0,0,0,,17.1263,,0,0,0,
2015/03/17,192.48,193.99,188.01,189.00,-3.49,-1.8131,191.0960,189.1330,177.2880,,,2854.0000,2859.0000,0,0,0,58.9889,68.7689,48.5294,60.1510,67.7975,86,103,60.1510,67.7975,44.8579,0,0,0,-3.2101,16.2510,17.8561,0,0,0,
2015/03/18,188.00,189.99,186.40,187.00,-2.00,-1.0582,190.6960,190.3340,178.6385,,,2761.0000,2903.3000,0,0,0,53.0316,65.6505,15.7303,45.3441,60.3130,93,92,45.3441,60.3130,15.4062,0,0,0,-4.2169,15.2205,17.3290,0,0,0,
2015/03/19,187.00,188.00,179.01,180.01,-6.99,-3.738,187.8980,190.0380,179.7895,,,2516.0000,2889.4000,0,0,0,37.2529,55.9733,3.6377,31.4420,50.6893,245,117,31.4420,50.6893,-7.0528,0,0,0,-5.8351,13.6821,16.5996,0,0,0,
2015/03/20,180.00,186.00,177.01,179.14,-0.87,-0.4833,185.5280,188.7020,180.7465,,,2314.0000,2832.4000,0,0,0,35.6679,54.8750,8.9196,23.9345,41.7710,202,137,23.9345,41.7710,-11.7386,0,0,0,-6.9571,12.2514,15.7300,0,0,0,
2015/03/23,178.00,181.98,178.00,179.10,-0.04,-0.0223,182.8500,187.1720,181.3565,,,2191.0000,2730.0000,0,0,0,35.5844,54.8210,9.0949,18.9880,34.1767,123,149,18.9880,34.1767,-11.3895,0,0,0,-7.5876,10.9877,14.7815,0,0,0,
2015/03/24,178.00,180.00,176.01,177.50,-1.60,-0.8934,180.5500,185.8230,181.9815,,,2131.0000,2642.5000,0,0,0,31.9884,52.5658,6.2135,14.7298,27.6944,60,144,14.7298,27.6944,-11.1994,0,0,0,-8.0588,9.7448,13.7742,0,0,0,
2015/03/25,177.00,193.50,175.41,192.00,14.50,8.169,181.5500,186.1230,183.0815,,,2422.0000,2598.7000,0,0,0,67.5976,66.2799,84.6861,38.0486,31.1458,291,184,38.0486,31.1458,51.8541,0,0,0,-6.3321,9.8166,12.9827,0,0,0,
2015/03/26,193.99,193.99,187.00,191.00,-1.00,-0.5208,183.7480,185.8230,184.3815,,,2306.0000,2531.3000,0,0,0,64.7902,64.8689,83.9074,53.3348,38.5421,116,158,53.3348,38.5421,82.9203,0,0,0,-5.2822,9.6813,12.3224,0,0,0,
2015/03/27,190.00,194.99,189.01,191.57,0.57,0.2984,186.2340,185.8810,185.5325,,,2373.0000,2480.8000,0,0,0,65.7628,65.3279,82.5332,63.0676,46.7173,67,131,63.0676,46.7173,95.7683,0,0,0,-4.4992,9.5104,11.7600,0,0,0,
2015/03/30,191.57,193.99,185.50,187.09,-4.48,-2.3386,187.8320,185.3410,186.3370,,,2281.0000,2414.9000,0,0,0,52.1710,58.7470,59.6527,61.9293,51.7880,92,125,61.9293,51.7880,82.2120,0,0,0,-4.5588,8.9107,11.1901,0,0,0,
2015/03/31,188.94,189.97,186.01,187.59,0.50,0.2673,189.8500,185.2000,187.1665,,,2333.0000,2362.8000,0,0,0,53.4593,59.2469,62.2063,62.0217,55.1992,52,123,62.0217,55.1992,75.6666,0,0,0,-4.4974,8.3792,10.6280,0,0,0,
2015/04/01,186.00,188.95,186.00,187.50,-0.09,-0.048,188.9500,185.2500,187.7920,,,2297.0000,2316.4000,0,0,0,53.1501,59.1062,61.7467,61.9300,57.4428,36,72,61.9300,57.4428,70.9044,0,0,0,-4.4285,7.8602,10.0744,0,0,0,
2015/04/02,188.00,190.99,186.51,190.00,2.50,1.3333,188.7500,186.2490,188.1435,,,2338.0000,2298.6000,0,0,0,60.7230,61.8502,74.5148,66.1249,60.3368,41,57,66.1249,60.3368,77.7011,0,0,0,-4.0177,7.5633,9.5722,0,0,0,
2015/04/07,190.00,196.60,187.01,195.99,5.99,3.1526,189.6340,187.9340,188.3180,,,2522.0000,2319.4000,0,0,0,73.1852,67.5428,97.1213,76.4571,65.7102,184,81,76.4571,65.7102,97.9507,0,0,0,-2.9596,7.7224,9.2022,0,0,0,
2015/04/08,195.70,195.70,189.01,189.03,-6.96,-3.5512,190.0220,188.9270,188.0495,,,2441.0000,2344.4000,0,0,0,50.7383,56.7996,64.2756,72.3966,67.9390,81,78,72.3966,67.9390,81.3117,0,0,0,-3.1974,7.2039,8.8026,0,0,0,
