ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/04/29,46.00,55.49,46.00,48.45,0.00,0.00,,,,,,0.0000,,0,,,,,,,,234,,,,,0,,,,,,0,,,
2015/04/30,47.85,49.00,46.61,46.61,-1.84,-3.7977,,,,,,-115.0000,,0,,,,,,,,115,,,,,0,,,,,,0,,,
2015/05/04,46.00,46.61,41.00,41.50,-5.11,-10.9633,,,,,,-185.0000,,0,,,,,,,,70,,,,,0,,,,,,0,,,
2015/05/05,42.00,42.00,40.81,41.50,0.00,0.00,,,,,,-185.0000,,0,,,,,,,,36,,,,,0,,,,,,0,,,
2015/05/06,41.00,41.19,40.83,41.00,-0.50,-1.2048,43.8120,,,,,-201.0000,,0,0,,,,,,,16,94,,,,0,0,,,,,0,0,,
2015/05/07,40.82,41.10,40.82,41.10,0.10,0.2439,42.3420,,,,,-188.0000,,0,0,,,,,,,13,50,,,,0,0,,,,,0,0,,
2015/05/08,41.44,41.50,41.20,41.50,0.40,0.9732,41.3200,,,,,-171.0000,,0,0,,6.2893,,,,,17,30,,,,0,0,,,,,0,0,,
2015/05/11,41.11,41.50,40.80,41.00,-0.50,-1.2048,41.2200,,,,,-207.0000,,0,0,,5.8480,,,,,36,23,,,,0,0,,,,,0,0,,
2015/05/12,40.37,40.37,39.20,40.00,-1.00,-2.439,40.9200,,,,,-237.0000,,0,0,,5.0050,,4.9110,34.9703,44.9901,30,22,34.9703,44.9901,14.9308,0,0,,,,,0,0,,
2015/05/13,39.00,39.00,37.88,38.50,-1.50,-3.75,40.4200,42.1160,,,,-261.0000,-175.0000,0,0,0,3.9739,,5.5755,25.1721,38.3841,24,24,25.1721,38.3841,-1.2520,0,0,0,,,,0,0,0,
2015/05/14,38.00,38.00,36.01,36.06,-2.44,-6.3377,39.4120,40.8770,,,,-305.0000,-205.5000,0,0,0,2.8342,,0.4717,16.9386,31.2356,44,30,16.9386,31.2356,-11.6554,0,0,0,,,,0,0,0,
2015/05/15,36.00,36.20,35.41,35.60,-0.46,-1.2757,38.2320,39.7760,,,,-343.0000,-228.3000,0,0,0,2.6615,,2.8832,12.2535,24.9082,38,34,12.2535,24.9082,-13.0561,0,0,0,,,,0,0,0,
2015/05/18,35.99,35.99,35.00,35.00,-0.60,-1.6854,37.0320,39.1260,,,,-383.0000,-248.1000,0,0,0,2.4298,3.4602,0.0000,8.1690,19.3285,40,35,8.1690,19.3285,-14.1500,0,0,0,,,,0,0,0,
2015/05/19,34.50,34.50,32.90,33.00,-2.00,-5.7143,35.6320,38.2760,,,,-404.0000,-270.0000,0,0,0,1.8022,3.0063,1.1628,5.8336,14.8302,21,33,5.8336,14.8302,-12.1596,0,0,0,,,,0,0,0,
2015/05/20,34.00,35.14,34.00,35.00,2.00,6.0606,34.9320,37.6760,,,,-394.0000,-289.3000,0,0,0,25.0377,15.1492,24.4186,12.0286,13.8963,10,30,12.0286,13.8963,8.2931,0,0,0,,,,0,0,0,
2015/05/21,35.18,35.18,34.50,34.70,-0.30,-0.8571,34.6600,37.0360,,,,-403.0000,-310.8000,0,0,0,24.0148,14.8451,20.9302,14.9958,14.2628,9,23,14.9958,14.2628,16.4618,0,0,0,,,,0,0,0,
2015/05/22,34.80,40.00,34.80,39.00,4.30,12.3919,35.3400,36.7860,,,,-356.0000,-329.3000,0,0,0,55.3723,35.1891,81.6600,37.2172,21.9143,47,25,37.2172,21.9143,67.8230,0,0,0,,,,0,0,0,
2015/05/25,39.00,40.30,39.00,39.55,0.55,1.4103,36.2500,36.6410,,,,-296.0000,-338.2000,0,0,0,58.0307,37.2799,89.8649,54.7664,32.8650,60,29,54.7664,32.8650,98.5693,0,0,0,,,,0,0,0,
2015/05/26,39.42,40.00,39.42,40.00,0.45,1.1378,37.6500,36.6410,,,,-293.0000,-343.8000,0,0,0,60.3497,39.0353,95.9459,68.4929,44.7410,3,25,68.4929,44.7410,115.9968,0,0,0,,,,0,0,0,
2015/05/27,39.50,39.64,39.43,39.64,-0.36,-0.90,38.5780,36.7550,39.4355,,,-302.0000,-347.9000,0,0,0,57.3097,38.1046,91.0811,76.0223,55.1681,9,25,76.0223,55.1681,117.7308,0,0,0,,,,0,0,0,
2015/05/28,40.00,40.00,39.10,39.45,-0.19,-0.4793,39.5280,37.0940,38.9855,,,-309.0000,-348.3000,0,0,0,55.5380,37.5886,88.5135,80.1860,63.5074,7,25,80.1860,63.5074,113.5433,0,0,0,,,,0,0,0,
2015/05/29,39.00,39.99,39.00,39.99,0.54,1.3688,39.7260,37.5330,38.6545,,,-301.0000,-344.1000,0,0,0,59.7788,40.1035,95.8108,85.3943,70.8030,8,17,85.3943,70.8030,114.5768,0,0,0,,,,0,0,0,
2015/06/01,39.00,39.13,39.00,39.13,-0.86,-2.1505,39.6420,37.9460,38.5360,,,-317.0000,-337.5000,0,0,0,50.5621,37.4796,81.4286,84.0724,75.2262,16,8,84.0724,75.2262,101.7649,0,0,0,,,,0,0,0,
2015/06/02,39.20,39.37,39.20,39.37,0.24,0.6133,39.5160,38.5830,38.4295,,,-313.0000,-328.4000,0,0,0,52.9894,38.7006,83.9655,84.0368,78.1630,4,8,84.0368,78.1630,95.7842,0,0,0,,,,0,0,0,
