ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/06/10,28.21,31.30,28.21,30.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,99,,,,,0,,,,,,0,,,
2015/06/11,29.00,30.00,27.21,28.50,-1.50,-5.00,,,,,,-52.0000,,0,,,,,,,,52,,,,,0,,,,,,0,,,
2015/06/12,27.70,27.70,27.55,27.55,-0.95,-3.3333,,,,,,-58.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2015/06/15,28.00,28.00,27.55,28.00,0.45,1.6334,,,,,,-56.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2015/06/16,28.20,28.20,27.55,27.55,-0.45,-1.6071,28.3200,,,,,-58.0000,,0,0,,,,,,,2,32,,,,0,0,,,,,0,0,,
2015/06/17,27.55,27.60,27.40,27.42,-0.13,-0.4719,27.8040,,,,,-77.0000,,0,0,,,,,,,19,16,,,,0,0,,,,,0,0,,
2015/06/18,27.41,27.53,27.00,27.00,-0.42,-1.5317,27.5040,,,,,-94.0000,,0,0,,11.5385,,,,,17,9,,,,0,0,,,,,0,0,,
2015/06/22,26.62,27.00,26.62,27.00,0.00,0.00,27.3940,,,,,-94.0000,,0,0,,11.5385,,,,,12,10,,,,0,0,,,,,0,0,,
2015/06/23,26.60,26.60,25.81,25.81,-1.19,-4.4074,26.9560,,,,,-105.0000,,0,0,,8.0162,,0.0000,33.3333,44.4444,11,12,33.3333,44.4444,11.1111,0,0,,,,,0,0,,
2015/06/24,25.80,26.00,25.30,25.30,-0.51,-1.976,26.5060,27.4130,,,,-113.0000,-70.7000,0,0,0,6.9285,,0.0000,22.2222,37.0370,8,13,22.2222,37.0370,-7.4074,0,0,0,,,,0,0,0,
2015/06/25,25.27,25.70,25.20,25.50,0.20,0.7905,26.1220,26.9630,,,,-107.0000,-81.4000,0,0,0,12.5148,,10.0000,18.1481,30.7407,6,10,18.1481,30.7407,-7.0370,0,0,0,,,,0,0,0,
2015/06/26,26.00,26.10,25.30,25.30,-0.20,-0.7843,25.7820,26.6430,,,,-112.0000,-87.4000,0,0,0,11.6739,,3.3333,13.2099,24.8971,5,8,13.2099,24.8971,-10.1646,0,0,0,,,,0,0,0,
2015/06/29,25.30,26.00,25.30,26.00,0.70,2.7668,25.5820,26.4880,,,,-104.0000,-92.0000,0,0,0,31.1126,20.1493,26.6667,17.6955,22.4966,8,7,17.6955,22.4966,8.0933,0,0,0,,,,0,0,0,
2015/06/30,25.00,25.00,25.00,25.00,-1.00,-3.8462,25.4200,26.1880,,,,-106.0000,-97.0000,0,0,0,22.5900,17.3279,0.0000,11.7970,18.9300,2,5,11.7970,18.9300,-2.4691,0,0,0,,,,0,0,0,
2015/07/01,26.10,26.10,25.50,26.09,1.09,4.36,25.5780,26.0420,,,,-102.0000,-101.4000,0,0,0,43.0096,29.1281,43.0830,22.2257,20.0286,4,5,22.2257,20.0286,26.6198,0,0,0,,,,0,0,0,
2015/07/02,25.00,25.00,25.00,25.00,-1.09,-4.1778,25.4780,25.8000,,,,-103.0000,-104.0000,0,0,0,32.6686,25.2036,0.0000,14.8171,18.2914,1,4,14.8171,18.2914,7.8685,0,0,0,,,,0,0,0,
2015/07/03,25.00,25.00,25.00,25.00,0.00,0.00,25.4180,25.6000,,,,-103.0000,-104.9000,0,0,0,32.6686,25.2036,0.0000,9.8781,15.4870,4,3,9.8781,15.4870,-1.3397,0,0,0,,,,0,0,0,
2015/07/06,25.00,25.10,25.00,25.10,0.10,0.40,25.2380,25.4100,,,,-98.0000,-105.3000,0,0,0,34.7415,26.2879,9.0909,9.6157,13.5299,5,3,9.6157,13.5299,1.7873,0,0,0,,,,0,0,0,
2015/07/07,24.95,25.00,24.95,25.00,-0.10,-0.3984,25.2380,25.3290,,,,-104.0000,-105.2000,0,0,0,33.5037,25.8787,4.3478,7.8597,11.6398,6,4,7.8597,11.6398,0.2995,0,0,0,,,,0,0,0,
2015/07/08,24.91,24.91,24.91,24.91,-0.09,-0.36,25.0020,25.2900,26.3515,,,-110.0000,-104.9000,0,0,0,32.2624,25.4891,0.0000,5.2398,9.5065,6,4,5.2398,9.5065,-3.2935,0,0,0,,,,0,0,0,
2015/07/09,24.70,24.70,24.70,24.70,-0.21,-0.843,24.9420,25.2100,26.0865,,,-114.0000,-105.6000,0,0,0,29.2299,24.5483,0.0000,3.4932,7.5021,4,5,3.4932,7.5021,-4.5245,0,0,0,,,,0,0,0,
2015/07/13,24.59,24.59,24.59,24.59,-0.11,-0.4453,24.8600,25.1390,25.8910,,,-117.0000,-106.1000,0,0,0,27.5993,24.0412,0.0000,2.3288,5.7776,3,4,2.3288,5.7776,-4.5689,0,0,0,,,,0,0,0,
2015/07/14,24.13,24.13,24.13,24.13,-0.46,-1.8707,24.6660,24.9520,25.7200,,,-120.0000,-107.7000,0,0,0,21.5630,21.9710,0.0000,1.5525,4.3693,3,4,1.5525,4.3693,-4.0809,0,0,0,,,,0,0,0,
2015/07/15,25.10,25.25,25.10,25.25,1.12,4.6415,24.7160,24.9770,25.5825,,,-111.0000,-108.2000,0,0,0,52.1441,36.4961,100.0000,34.3684,14.3690,9,5,34.3684,14.3690,74.3671,0,0,0,,,,0,0,0,
