ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/05/25,38.00,38.00,29.45,32.20,0.00,0.00,,,,,,0.0000,,0,,,,,,,,792,,,,,0,,,,,,0,,,
2015/05/26,31.00,31.15,28.80,31.14,-1.06,-3.2919,,,,,,-405.0000,,0,,,,,,,,405,,,,,0,,,,,,0,,,
2015/05/27,30.01,34.80,30.01,34.20,3.06,9.8266,,,,,,-40.0000,,0,,,,,,,,365,,,,,0,,,,,,0,,,
2015/05/28,34.20,34.60,32.51,34.30,0.10,0.2924,,,,,,288.0000,,0,,,,,,,,328,,,,,0,,,,,,0,,,
2015/05/29,34.30,37.50,34.00,35.80,1.50,4.3732,33.5280,,,,,690.0000,,0,0,,,,,,,402,458,,,,0,0,,,,,0,0,,
2015/06/01,35.51,37.20,34.31,34.50,-1.30,-3.6313,33.9880,,,,,174.0000,,0,0,,,,,,,516,403,,,,0,0,,,,,0,0,,
2015/06/02,34.70,34.70,33.50,34.10,-0.40,-1.1594,34.5800,,,,,76.0000,,0,0,,62.8032,,,,,98,341,,,,0,0,,,,,0,0,,
2015/06/03,34.29,34.29,32.70,33.00,-1.10,-3.2258,34.3400,,,,,-57.0000,,0,0,,53.3181,,,,,133,295,,,,0,0,,,,,0,0,,
2015/06/04,32.80,33.20,31.50,32.77,-0.23,-0.697,34.0340,,,,,-204.0000,,0,0,,51.3714,,43.1522,47.7174,49.2391,147,259,47.7174,49.2391,44.6739,0,0,,,,,0,0,,
2015/06/05,33.00,33.14,31.51,32.99,0.22,0.6713,33.4720,33.5000,,,,-114.0000,40.8000,0,0,0,53.3274,,48.1609,47.8652,48.7812,90,196,47.8652,48.7812,46.0334,0,0,0,,,,0,0,0,
2015/06/08,32.99,33.00,32.00,32.00,-0.99,-3.0009,32.9720,33.4800,,,,-135.0000,27.3000,0,0,0,43.8114,,26.5688,40.7664,46.1096,21,97,40.7664,46.1096,30.0801,0,0,0,,,,0,0,0,
2015/06/09,32.00,32.61,31.20,31.35,-0.65,-2.0312,32.4220,33.5010,,,,-215.0000,46.3000,0,0,0,38.4111,,2.3810,27.9713,40.0635,80,94,27.9713,40.0635,3.7868,0,0,0,,,,0,0,0,
2015/06/10,31.69,32.50,31.50,32.20,0.85,2.7113,32.2620,33.3010,,,,-172.0000,33.1000,0,0,0,48.3932,50.0000,15.8730,23.9385,34.6885,43,76,23.9385,34.6885,2.4386,0,0,0,,,,0,0,0,
2015/06/11,31.80,31.90,28.90,30.99,-1.21,-3.7578,31.9060,32.9700,,,,-476.0000,-43.3000,0,0,0,37.9000,44.8357,25.1807,24.3526,31.2432,304,107,24.3526,31.2432,10.5714,0,0,0,,,,0,0,0,
2015/06/12,30.00,30.99,30.00,30.50,-0.49,-1.5812,31.4080,32.4400,,,,-519.0000,-164.2000,0,0,0,34.2872,42.8791,27.5862,25.4305,29.3056,43,98,25.4305,29.3056,17.6802,0,0,0,,,,0,0,0,
2015/06/15,30.00,31.20,30.00,31.00,0.50,1.6393,31.2080,32.0900,,,,-490.0000,-230.6000,0,0,0,41.1558,45.5253,38.9610,29.9407,29.5173,29,99,29.9407,29.5173,30.7874,0,0,0,,,,0,0,0,
2015/06/16,31.10,32.65,31.10,32.00,1.00,3.2258,31.3380,31.8800,,,,-352.0000,-273.4000,0,0,0,52.9569,50.5259,72.0930,43.9914,34.3420,138,111,43.9914,34.3420,63.2903,0,0,0,,,,0,0,0,
