ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/07/16,52.00,106.00,50.00,50.99,0.00,0.00,,,,,,0.0000,,0,,,,,,,,847,,,,,0,,,,,,0,,,
2015/07/17,50.51,52.00,47.51,48.30,-2.69,-5.2755,,,,,,-217.0000,,0,,,,,,,,217,,,,,0,,,,,,0,,,
2015/07/20,48.45,49.99,47.50,47.50,-0.80,-1.6563,,,,,,-394.0000,,0,,,,,,,,177,,,,,0,,,,,,0,,,
2015/07/21,47.65,48.15,43.00,44.19,-3.31,-6.9684,,,,,,-551.0000,,0,,,,,,,,157,,,,,0,,,,,,0,,,
2015/07/22,43.50,44.16,39.50,40.29,-3.90,-8.8255,46.2540,,,,,-821.0000,,0,0,,,,,,,270,333,,,,0,0,,,,,0,0,,
2015/07/23,40.00,40.00,39.50,39.84,-0.45,-1.1169,44.0240,,,,,-862.0000,,0,0,,,,,,,41,172,,,,0,0,,,,,0,0,,
2015/07/24,39.72,39.89,38.87,39.28,-0.56,-1.4056,42.2200,,,,,-965.0000,,0,0,,0.0000,,,,,103,149,,,,0,0,,,,,0,0,,
2015/07/27,39.30,39.30,35.39,37.85,-1.43,-3.6405,40.2900,,,,,-1132.0000,,0,0,,0.0000,,,,,167,147,,,,0,0,,,,,0,0,,
2015/07/28,35.77,35.77,34.30,34.86,-2.99,-7.8996,38.4240,,,,,-1429.0000,,0,0,,0.0000,,0.7810,33.5937,44.5312,297,175,33.5937,44.5312,11.7186,0,0,,,,,0,0,,
2015/07/29,34.87,36.80,34.87,35.51,0.65,1.8646,37.4680,41.8610,,,,-1282.0000,-765.3000,0,0,0,5.9571,,6.8362,24.6745,37.9123,147,151,24.6745,37.9123,-1.8011,0,0,0,,,,0,0,0,
2015/07/30,35.52,35.52,35.00,35.10,-0.41,-1.1546,36.5200,40.2720,,,,-1386.0000,-903.9000,0,0,0,5.7001,,5.0988,18.1493,31.3246,104,163,18.1493,31.3246,-8.2015,0,0,0,,,,0,0,0,
2015/07/31,35.15,35.30,34.89,34.90,-0.20,-0.5698,35.6440,38.9320,,,,-1490.0000,-1031.2000,0,0,0,5.5597,,4.3321,13.5436,25.3976,104,163,13.5436,25.3976,-10.1646,0,0,0,,,,0,0,0,
2015/08/03,34.91,35.10,34.00,34.13,-0.77,-2.2063,34.9000,37.5950,,,,-1555.0000,-1147.3000,0,0,0,4.9916,3.5793,1.2795,9.4555,20.0836,65,143,9.4555,20.0836,-11.8005,0,0,0,,,,0,0,0,
2015/08/04,34.20,37.10,34.20,35.98,1.85,5.4205,35.1240,36.7740,,,,-1306.0000,-1222.8000,0,0,0,26.6114,13.2231,33.0000,17.3037,19.1570,249,133,17.3037,19.1570,13.5972,0,0,0,,,,0,0,0,
2015/08/05,35.32,35.99,33.30,33.31,-2.67,-7.4208,34.6840,36.0760,,,,-1425.0000,-1283.2000,0,0,0,19.0885,11.4241,0.1517,11.5864,16.6334,119,128,11.5864,16.6334,1.4923,0,0,0,,,,0,0,0,
2015/08/06,32.81,33.09,32.51,32.70,-0.61,-1.8313,34.2040,35.3620,,,,-1475.0000,-1344.5000,0,0,0,17.7155,11.0494,2.7982,8.6570,13.9746,50,117,8.6570,13.9746,-1.9782,0,0,0,,,,0,0,0,
2015/08/07,32.51,33.10,32.50,32.80,0.10,0.3058,33.7840,34.7140,,,,-1390.0000,-1387.0000,0,0,0,18.8636,11.5681,6.5217,7.9452,11.9648,85,113,7.9452,11.9648,-0.0939,0,0,0,,,,0,0,0,
2015/08/10,32.50,33.08,32.50,32.99,0.19,0.5793,33.5560,34.2280,,,,-1374.0000,-1411.2000,0,0,0,21.3651,12.6241,10.6522,8.8476,10.9257,16,103,8.8476,10.9257,4.6912,0,0,0,,,,0,0,0,
2015/08/11,32.99,33.08,32.71,33.08,0.09,0.2728,32.9760,34.0500,,,,-1345.0000,-1402.8000,0,0,0,22.7194,13.1600,12.6087,10.1013,10.6509,29,59,10.1013,10.6509,9.0020,0,0,0,,,,0,0,0,
2015/08/12,32.71,33.08,32.50,32.99,-0.09,-0.2721,32.9120,33.7980,37.8295,,,-1439.0000,-1418.5000,0,0,0,22.2593,13.0725,10.6522,10.2849,10.5289,94,54,10.2849,10.5289,9.7969,0,0,0,,,,0,0,0,
2015/08/13,32.62,32.71,32.49,32.49,-0.50,-1.5156,32.8700,33.5370,36.9045,,,-1470.0000,-1426.9000,0,0,0,19.6119,12.5664,0.0000,6.8566,9.3048,31,51,6.8566,9.3048,1.9602,0,0,0,,,,0,0,0,
2015/08/14,32.49,32.50,32.24,32.24,-0.25,-0.7695,32.7580,33.2710,36.1015,,,-1518.0000,-1429.7000,0,0,0,18.3055,12.3065,0.0000,4.5711,7.7269,48,43,4.5711,7.7269,-1.7406,0,0,0,,,,0,0,0,
2015/08/17,32.01,32.20,30.90,31.50,-0.74,-2.2953,32.4600,33.0080,35.3015,,,-1611.0000,-1435.3000,0,0,0,14.8032,11.5360,11.7878,6.9767,7.4768,93,59,6.9767,7.4768,5.9763,0,0,0,,,,0,0,0,
2015/08/18,31.00,31.00,30.61,30.75,-0.75,-2.381,31.9940,32.4850,34.6295,,,-1664.0000,-1471.1000,0,0,0,12.0088,10.7892,5.6225,6.5253,7.1596,53,63,6.5253,7.1596,5.2565,0,0,0,,,,0,0,0,
2015/08/19,30.60,30.60,29.91,30.00,-0.75,-2.439,31.3960,32.1540,34.1150,,,-1745.0000,-1503.1000,0,0,0,9.7909,10.0775,2.8213,5.2906,6.5366,81,61,5.2906,6.5366,2.7986,0,0,0,,,,0,0,0,
2015/08/20,29.71,29.99,29.00,29.50,-0.50,-1.6667,30.7980,31.8340,33.5980,,,-1801.0000,-1535.7000,0,0,0,8.5305,9.6161,12.2549,7.6120,6.8951,56,66,7.6120,6.8951,9.0459,0,0,0,,-4.3931,,0,0,0,
2015/08/21,29.11,29.80,29.00,29.00,-0.50,-1.6949,30.1500,31.4540,33.0840,,,-1829.0000,-1579.6000,0,0,0,7.3891,9.1588,0.0000,5.0747,6.2883,28,62,5.0747,6.2883,2.6475,0,0,0,,-4.3503,,0,0,0,
2015/08/24,29.00,29.00,27.41,27.50,-1.50,-5.1724,29.3500,30.9050,32.5665,,,-1892.0000,-1631.4000,0,0,0,4.9869,7.9251,1.5873,3.9122,5.4963,63,56,3.9122,5.4963,0.7441,0,0,0,,-4.3869,,0,0,0,
2015/08/25,27.10,27.45,27.00,27.45,-0.05,-0.1818,28.6900,30.3420,32.1960,,,-1918.0000,-1688.7000,0,0,0,4.9229,7.8865,7.8809,5.2351,5.4092,26,50,5.2351,5.4092,4.8869,0,0,0,,-4.3695,,0,0,0,
2015/08/26,27.20,27.20,27.00,27.00,-0.45,-1.6393,28.0900,29.7430,31.7705,,,-1924.0000,-1737.2000,0,0,0,4.3235,7.5263,0.0000,3.4901,4.7695,6,35,3.4901,4.7695,0.9312,0,0,0,,-4.3420,,0,0,0,
2015/08/27,27.28,28.50,27.28,28.50,1.50,5.5556,27.8900,29.3440,31.4405,,,-1889.0000,-1779.1000,0,0,0,35.6597,20.6966,28.8462,11.9421,7.1604,35,31,11.9421,7.1604,21.5056,0,0,0,,-4.1513,,0,0,0,
2015/08/28,28.83,28.97,28.51,28.51,0.01,0.0351,27.7920,28.9710,31.1210,,,-1871.0000,-1814.4000,0,0,0,35.8279,20.7787,37.7500,20.5447,11.6218,18,29,20.5447,11.6218,38.3906,0,0,0,,-3.9538,,0,0,0,
2015/08/31,28.97,30.00,28.90,30.00,1.49,5.2262,28.2920,28.8210,30.9145,,,-1827.0000,-1836.0000,0,0,0,56.2641,32.1846,83.3333,41.4743,21.5726,44,25,41.4743,21.5726,81.2775,0,0,0,,-3.6352,,0,0,0,
2015/09/01,30.19,32.30,30.10,31.90,1.90,6.3333,29.1820,28.9360,30.7105,,,-1772.0000,-1846.8000,0,0,0,70.5939,43.5005,92.4528,58.4671,33.8708,55,31,58.4671,33.8708,107.6598,0,0,0,1.7872,-3.1925,-4.0861,0,0,0,
2015/09/02,31.80,31.80,30.50,30.67,-1.23,-3.8558,29.9160,29.0030,30.5785,,,-1822.0000,-1854.5000,0,0,0,56.2713,38.9147,69.2453,62.0598,43.2671,50,40,62.0598,43.2671,99.6452,0,0,0,1.8858,-2.9074,-3.8504,0,0,0,
2015/09/03,30.70,30.70,30.20,30.70,0.03,0.0978,30.3560,29.1230,30.4785,,,-1817.0000,-1856.1000,0,0,0,56.5294,39.0855,69.8113,64.6437,50.3927,5,34,64.6437,50.3927,93.1457,0,0,0,1.9229,-2.6486,-3.6100,0,0,0,
2015/09/04,30.20,30.70,30.00,30.20,-0.50,-1.6287,30.6940,29.2430,30.3485,,,-1821.0000,-1855.3000,0,0,0,50.5602,37.1940,60.3774,63.2216,54.6690,4,31,63.2216,54.6690,80.3268,0,0,0,1.8473,-2.4554,-3.3791,0,0,0,
2015/09/07,30.49,30.50,30.49,30.50,0.30,0.9934,30.7940,29.5430,30.2240,,,-1815.0000,-1847.6000,0,0,0,54.0534,39.1224,66.0377,64.1603,57.8327,6,24,64.1603,57.8327,76.8154,0,0,0,1.8030,-2.2522,-3.1537,0,0,0,
2015/09/08,30.50,32.00,30.50,32.00,1.50,4.918,30.8140,29.9980,30.1700,,,-1787.0000,-1834.5000,0,0,0,67.7328,47.8554,94.0239,74.1148,63.2601,28,18,74.1148,63.2601,95.8243,0,0,0,1.9296,-1.9477,-2.9125,0,0,0,
2015/09/09,32.00,32.60,32.00,32.50,0.50,1.5625,31.1800,30.5480,30.1455,,,-1777.0000,-1819.8000,0,0,0,71.1666,50.4407,97.5550,81.9282,69.4828,10,10,81.9282,69.4828,106.8191,0,0,0,2.0248,-1.6470,-2.6594,0,0,0,
2015/09/10,32.70,34.49,32.60,34.20,1.70,5.2308,31.8800,31.1180,30.2310,,,-1703.0000,-1801.2000,0,0,0,79.8955,58.1386,94.8122,86.2229,75.0628,74,24,86.2229,75.0628,108.5430,0,0,0,2.2438,-1.2570,-2.3789,0,0,0,
2015/09/11,34.30,36.90,34.00,36.80,2.60,7.6023,33.2000,31.9470,30.4590,,,-1592.0000,-1773.3000,0,0,0,87.0761,66.7544,98.5507,90.3322,80.1526,111,45,90.3322,80.1526,110.6913,0,0,0,2.6386,-0.7298,-2.0491,0,0,0,
2015/09/14,35.50,38.50,35.50,38.10,1.30,3.5326,34.7200,32.7570,30.7890,,,-1469.0000,-1737.5000,0,0,0,89.3569,70.1100,95.2941,91.9861,84.0971,123,69,91.9861,84.0971,107.7642,0,0,0,2.9511,-0.2047,-1.6802,0,0,0,
2015/09/15,38.10,40.59,38.10,39.40,1.30,3.4121,36.2000,33.5070,31.2215,,,-1285.0000,-1688.8000,0,0,0,91.2170,73.0747,88.7630,90.9118,86.3687,184,100,90.9118,86.3687,99.9979,0,0,0,3.1888,0.3128,-1.2816,0,0,0,
2015/09/16,38.87,41.12,38.80,40.40,1.00,2.5381,37.7800,34.4800,31.7415,,,-1104.0000,-1617.0000,0,0,0,92.4370,75.1436,93.5252,91.7829,88.1734,181,134,91.7829,88.1734,99.0019,0,0,0,3.3216,0.7944,-0.8664,0,0,0,
2015/09/17,40.79,46.83,40.79,45.00,4.60,11.3861,39.9400,35.9100,32.5165,,,-704.0000,-1505.7000,0,0,0,95.7194,82.0607,88.8005,90.7888,89.0452,400,199,90.7888,89.0452,94.2759,0,0,0,3.8337,1.5296,-0.3872,0,0,0,
