ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/01/15,44.21,44.50,44.21,44.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,7,,,,,0,,,,,,0,,,
2016/01/18,44.00,46.31,44.00,44.00,-0.50,-1.1236,,,,,,-13.0000,,0,,,,,,,,13,,,,,0,,,,,,0,,,
2016/01/19,46.31,46.31,46.31,46.31,2.31,5.25,,,,,,-11.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2016/01/20,44.00,45.00,44.00,45.00,-1.31,-2.8288,,,,,,-12.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2016/01/22,44.00,44.00,44.00,44.00,-1.00,-2.2222,44.7620,,,,,-14.0000,,0,0,,,,,,,2,5,,,,0,0,,,,,0,0,,
2016/01/26,44.00,45.78,44.00,45.78,1.78,4.0455,45.0180,,,,,-10.0000,,0,0,,,,,,,4,4,,,,0,0,,,,,0,0,,
2016/01/27,44.00,44.00,43.50,43.50,-2.28,-4.9803,44.9180,,,,,-14.0000,,0,0,,44.5534,,,,,4,2,,,,0,0,,,,,0,0,,
2016/02/02,45.00,45.00,43.50,43.50,0.00,0.00,44.3560,,,,,-14.0000,,0,0,,44.5534,,,,,2,2,,,,0,0,,,,,0,0,,
2016/02/03,43.50,43.50,43.50,43.50,0.00,0.00,44.0560,,,,,-14.0000,,0,0,,44.5534,,0.0000,33.3333,44.4444,1,2,33.3333,44.4444,11.1111,0,0,,,,,0,0,,
2016/02/15,43.50,43.50,43.50,43.50,0.00,0.00,43.9560,44.3590,,,,-14.0000,-11.6000,0,0,0,44.5534,,0.0000,22.2222,37.0370,3,2,22.2222,37.0370,-7.4074,0,0,0,,,,0,0,0,
2016/02/16,43.50,43.50,43.50,43.50,0.00,0.00,43.5000,44.2590,,,,-14.0000,-13.0000,0,0,0,44.5534,,0.0000,14.8148,29.6296,1,2,14.8148,29.6296,-14.8148,0,0,0,,,,0,0,0,
2016/02/17,43.50,43.50,43.50,43.50,0.00,0.00,43.5000,44.2090,,,,-14.0000,-13.1000,0,0,0,44.5534,,0.0000,9.8765,23.0453,2,1,9.8765,23.0453,-16.4609,0,0,0,,,,0,0,0,
2016/02/18,43.50,43.50,43.50,43.50,0.00,0.00,43.5000,43.9280,,,,-14.0000,-13.4000,0,0,0,44.5534,44.5534,0.0000,6.5844,17.5583,2,1,6.5844,17.5583,-15.3635,0,0,0,,,,0,0,0,
2016/02/19,45.00,45.00,45.00,45.00,1.50,3.4483,43.8000,43.9280,,,,-10.0000,-13.2000,0,0,0,65.0286,52.9417,65.7895,26.3194,20.4787,4,2,26.3194,20.4787,38.0009,0,0,0,,,,0,0,0,
2016/02/24,43.50,43.50,43.50,43.50,-1.50,-3.3333,43.8000,43.8780,,,,-16.0000,-13.4000,0,0,0,45.0607,45.4420,0.0000,17.5463,19.5012,6,3,17.5463,19.5012,13.6364,0,0,0,,,,0,0,0,
2016/02/26,42.28,42.28,42.28,42.28,-1.22,-2.8046,43.5560,43.5280,,,,-19.0000,-14.3000,0,0,0,34.6702,40.3681,0.0000,11.6975,16.9000,3,3,11.6975,16.9000,1.2926,0,0,0,,,,0,0,0,
2016/03/02,41.85,42.50,41.85,42.50,0.22,0.5203,43.3560,43.4280,,,,-6.0000,-13.5000,0,0,0,37.7751,41.6497,20.6349,14.6766,16.1589,13,5,14.6766,16.1589,11.7122,0,0,0,,,,0,0,0,
2016/03/03,42.00,42.49,42.00,42.49,-0.01,-0.0235,43.1540,43.3270,,,,-12.0000,-13.3000,0,0,0,37.6774,41.6054,20.3175,16.5569,16.2915,6,6,16.5569,16.2915,17.0877,0,0,0,,,,0,0,0,
2016/03/04,42.49,42.50,42.00,42.50,0.01,0.0235,42.6540,43.2270,,,,22.0000,-9.7000,0,0,0,37.8702,41.6731,20.6349,17.9163,16.8331,34,12,17.9163,16.8331,20.0825,0,0,0,,,,0,0,0,
